21_JUMP_STREET.srt 	21_JUMP_STREET_DVS62 	00:06:21,00 --> 00:06:26,50 	the rookies approach the biker gang.
CHRONICLE.srt 	CHRONICLE_DVS407 	01:00:51,00 --> 01:00:56,50 	now, we approach the park thugs.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS18 	00:03:55,00 --> 00:04:05,50 	the car backs out of a driveway as someone approaches a house.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS111 	00:25:42,00 --> 00:25:49,50 	to her feet and gazes attentively at her husband who approaches with a neutral expression on his face.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS218 	00:45:12,00 --> 00:45:18,50 	as the children devour cake slices, a priest approaches.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS238 	00:52:54,00 --> 00:52:58,50 	at someone's bar, someone approaches the radio.
COLOMBIANA.srt 	COLOMBIANA_DVS251 	00:21:09,00 --> 00:21:16,50 	someone reads a comic book as she waits on a platform for an approaching l train.
COLOMBIANA.srt 	COLOMBIANA_DVS464 	00:40:46,00 --> 00:40:53,50 	we glimpse an fbi jacket as the two teams approach a pair of waiting suvs.
COLOMBIANA.srt 	COLOMBIANA_DVS499 	00:44:34,00 --> 00:44:41,50 	now a black luxury car approaches a mansion nestled among palm trees.
COLOMBIANA.srt 	COLOMBIANA_DVS596 	00:56:11,00 --> 00:56:16,50 	now someone approaches two caged mastiffs.
COLOMBIANA.srt 	COLOMBIANA_DVS818 	01:19:10,00 --> 01:19:17,50 	as the elevator approaches the 11th floor, agent someone draws his gun.
COLOMBIANA.srt 	COLOMBIANA_DVS847 	01:21:05,00 --> 01:21:12,50 	the swat team enters her apartment while she approaches the fresh hole in the wall.
COLOMBIANA.srt 	COLOMBIANA_DVS903 	01:25:06,00 --> 01:25:13,50 	the agent heads through an iron security gate and approaches the entrance of a brownstone building.
DEAR_JOHN.srt 	DEAR_JOHN_DVS124 	00:18:43,00 --> 00:18:49,50 	now they approach a partially constructed house.
DEAR_JOHN.srt 	DEAR_JOHN_DVS190 	00:29:59,00 --> 00:30:03,50 	someone approaches him.
DEAR_JOHN.srt 	DEAR_JOHN_DVS296 	00:45:55,00 --> 00:46:24,50 	someone approaches a cafe, where pedestrians gather outside.
DEAR_JOHN.srt 	DEAR_JOHN_DVS314 	00:48:40,00 --> 00:48:44,50 	they approach the front door.
DEAR_JOHN.srt 	DEAR_JOHN_DVS344 	00:53:16,00 --> 00:53:21,50 	a cigar-smoking man approaches someone.
DEAR_JOHN.srt 	DEAR_JOHN_DVS429 	01:04:10,00 --> 01:04:18,50 	later, two soldiers approach the fallen crate.
DEAR_JOHN.srt 	DEAR_JOHN_DVS452 	01:06:23,00 --> 01:06:32,50 	passing a group of soldiers playing football, he approaches other lounging on picnic tables outside a tent.
DEAR_JOHN.srt 	DEAR_JOHN_DVS759 	01:39:49,00 --> 01:39:54,50 	as someone leads the group, a soldier approaches him.
DISTRICT_9.srt 	DISTRICT_9_DVS155 	00:18:02,00 --> 00:18:14,50 	now they approach another.
DISTRICT_9.srt 	DISTRICT_9_DVS174 	00:20:12,00 --> 00:20:17,50 	the little alien approaches him with a canister.
DISTRICT_9.srt 	DISTRICT_9_DVS246 	00:27:16,00 --> 00:27:25,50 	the agents approach.
DISTRICT_9.srt 	DISTRICT_9_DVS265 	00:29:10,00 --> 00:29:14,50 	the alien blocks someone from approaching the shack.
DISTRICT_9.srt 	DISTRICT_9_DVS658 	01:17:12,00 --> 01:17:18,50 	in the ship, someone approaches a chamber where a pilot seat pops out.
DISTRICT_9.srt 	DISTRICT_9_DVS684 	01:20:12,00 --> 01:20:19,50 	someone, aiming a rifle, cautiously approaches an open hatchway to the ship.
EASY_A.srt 	EASY_A_DVS243 	01:13:22,00 --> 01:13:29,50 	someone's car peals through the parking lot as the off-duty waiter approaches the tearful girl.
FLIGHT.srt 	FLIGHT_DVS852 	01:42:01,00 --> 01:42:05,50 	they approach a burly man.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS60 	00:15:54,00 --> 00:16:10,50 	as they move into a broadway style dance number, young people approach from all over the crowd.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS348 	01:32:50,00 --> 01:32:56,50 	he approaches a hostess at the airport restaurant.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS82 	00:13:10,00 --> 00:13:33,50 	as he approaches the side of the building, a flaming blast erupts from its door.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS244 	00:39:01,00 --> 00:39:08,50 	through its sight, he sees ghost rider approaching.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS349 	00:52:11,00 --> 00:52:20,50 	they approach towering rock formations that appear constructed into, creating buildings within their natural structures.
GREEN_ZONE.srt 	GREEN_ZONE_DVS133 	00:30:39,00 --> 00:30:47,50 	they approach the open patio door.
GREEN_ZONE.srt 	GREEN_ZONE_DVS462 	01:41:13,00 --> 01:41:19,50 	the washington official notices the approaching soldier.
HUGO.srt 	HUGO_DVS169 	00:23:43,00 --> 00:23:49,50 	the news vendor smiles as he approaches the woman and her dog.
HUGO.srt 	HUGO_DVS456 	01:05:50,00 --> 01:05:58,50 	he returns them to the brown-haired woman then approaches the flower seller, who arranges bouquets for display.
HUGO.srt 	HUGO_DVS783 	01:53:35,00 --> 01:53:39,50 	someone approaches him.
IN_TIME.srt 	IN_TIME_DVS62 	00:06:56,00 --> 00:07:01,50 	noticing, someone approaches the wealthy man.
IN_TIME.srt 	IN_TIME_DVS258 	00:26:30,00 --> 00:26:35,50 	in the hotel, someone approaches the front desk.
IN_TIME.srt 	IN_TIME_DVS485 	00:52:47,00 --> 00:52:58,50 	they race down a deserted road and approach a building with a sign over the entrance reading simply pawn.
IN_TIME.srt 	IN_TIME_DVS592 	01:03:20,00 --> 01:03:26,50 	climbing out of the cruiser, someone approaches the oblivious someone.
IN_TIME.srt 	IN_TIME_DVS608 	01:05:17,00 --> 01:05:24,50 	now, someone totes a gun as he approaches the group surrounding someone.
IN_TIME.srt 	IN_TIME_DVS681 	01:13:54,00 --> 01:14:03,50 	someone approaches the destroyed window trailed by his men.
IN_TIME.srt 	IN_TIME_DVS722 	01:17:13,00 --> 01:17:19,50 	outside, timekeepers approach someone.
IN_TIME.srt 	IN_TIME_DVS726 	01:17:38,00 --> 01:17:43,50 	peering through blinds, he sees timekeepers approaching.
IN_TIME.srt 	IN_TIME_DVS727 	01:17:42,00 --> 01:17:47,50 	peering through blinds, he sees timekeepers approaching.
IN_TIME.srt 	IN_TIME_DVS761 	01:20:19,00 --> 01:20:26,50 	now, the two outlaws enter a sunlit hotel lobby and approach the desk.
INSIDE_MAN.srt 	INSIDE_MAN_DVS10 	00:03:43,00 --> 00:03:47,50 	someone is approaching van.
INSIDE_MAN.srt 	INSIDE_MAN_DVS33 	00:07:27,00 --> 00:07:33,50 	someone approaches the standing hasidic man.
INSIDE_MAN.srt 	INSIDE_MAN_DVS36 	00:08:03,00 --> 00:08:09,50 	the slim policeman approaches the entrance and tries the doors.
INSIDE_MAN.srt 	INSIDE_MAN_DVS54 	00:15:26,00 --> 00:15:31,50 	someone approaches the eight-year-old.
INSIDE_MAN.srt 	INSIDE_MAN_DVS128 	00:36:47,00 --> 00:36:55,50 	someone approaches a balding man.
INSIDE_MAN.srt 	INSIDE_MAN_DVS190 	00:54:23,00 --> 00:54:29,50 	now, in the command truck, someone approaches the construction worker.
INSIDE_MAN.srt 	INSIDE_MAN_DVS254 	01:18:31,00 --> 01:18:43,50 	the mastermind enters the secured office, approaches the desk and picks up the phone.
INSIDE_MAN.srt 	INSIDE_MAN_DVS296 	01:30:08,00 --> 01:30:15,50 	approaching the vault, officers spread out.
INSIDE_MAN.srt 	INSIDE_MAN_DVS398 	01:53:37,00 --> 01:53:50,50 	as someone approaches the basement stairs, the man exits the secured office and strides toward the vault.
INSIDE_MAN.srt 	INSIDE_MAN_DVS402 	01:54:17,00 --> 01:54:27,50 	now, someone approaches the black suv.
IRON_MAN_2.srt 	IRON_MAN_2_DVS129 	00:24:11,00 --> 00:24:17,50 	someone approaches someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS171 	00:32:12,00 --> 00:32:22,50 	approaching racecars zoom around the limousine as someone drives faster.
IRON_MAN_2.srt 	IRON_MAN_2_DVS195 	00:36:18,00 --> 00:36:33,50 	approaching someone, iron man wraps the whip around his own suit several times, and punches someone's stomach and face.
IRON_MAN_2.srt 	IRON_MAN_2_DVS218 	00:42:09,00 --> 00:42:15,50 	outside the cell, a dark-haired guard approaches with a tray of food.
IRON_MAN_2.srt 	IRON_MAN_2_DVS275 	00:51:21,00 --> 00:51:25,50 	someone approaches someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS431 	01:20:49,00 --> 01:20:55,50 	he approaches the object and reads a plaque on its side.
IRON_MAN_2.srt 	IRON_MAN_2_DVS483 	01:26:49,00 --> 01:26:53,50 	someone approaches the triangle.
IRON_MAN_2.srt 	IRON_MAN_2_DVS530 	01:35:39,00 --> 01:35:43,50 	someone approaches the colonel.
IRON_MAN_2.srt 	IRON_MAN_2_DVS553 	01:38:17,00 --> 01:38:21,50 	pepper approaches the tech.
IRON_MAN_2.srt 	IRON_MAN_2_DVS558 	01:38:45,00 --> 01:38:52,50 	people hurry past someone as she strides out of the expo's main entrance and approaches someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS594 	01:41:47,00 --> 01:42:29,50 	she slides between the legs of a fourth approaching guard and punches him in the groin.
IRON_MAN_2.srt 	IRON_MAN_2_DVS626 	01:47:11,00 --> 01:47:29,50 	someone and someone shoot and punch more drones as they approach.
IRON_MAN_2.srt 	IRON_MAN_2_DVS704 	01:56:28,00 --> 01:56:33,50 	someone picks up another medal and approaches someone.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS11 	00:04:18,00 --> 00:04:22,50 	an suv approaches.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS145 	00:29:26,00 --> 00:29:30,50 	the kids approached someone.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS353 	01:06:53,00 --> 01:06:58,50 	the balding man sternly gestures for someone to approach.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS390 	01:12:54,00 --> 01:12:59,50 	the attendant gestures for her to approach.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS488 	01:34:10,00 --> 01:34:18,50 	she slows down as she approaches the apartment, and notices someone crossing the street toward her.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS40 	00:10:22,00 --> 00:10:31,50 	clad in a filmy cerulean dress, a young statuesque beauty with sun-kissed skin and long blonde hair approaches someone.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS69 	00:24:09,00 --> 00:24:14,50 	she frowns as he coldly approaches.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS132 	00:47:06,00 --> 00:47:15,50 	someone approaches the registration desk.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS161 	00:58:49,00 --> 00:58:54,50 	someone approaches the water.
KARATE_KID.srt 	KARATE_KID_DVS212 	00:18:15,00 --> 00:18:21,50 	someone approaches the bully.
KARATE_KID.srt 	KARATE_KID_DVS299 	00:26:49,00 --> 00:26:53,50 	someone approaches his mother.
KARATE_KID.srt 	KARATE_KID_DVS331 	00:29:52,00 --> 00:29:57,50 	someone approaches the stage.
KARATE_KID.srt 	KARATE_KID_DVS564 	00:50:47,00 --> 00:50:53,50 	the winning student approaches his instructor, his eyes averted.
KARATE_KID.srt 	KARATE_KID_DVS1636 	02:12:59,00 --> 02:13:05,50 	as the announcer approaches with the trophy, someone intercepts him.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS64 	00:12:06,00 --> 00:12:11,50 	she approaches and hugs a tall balding man.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS177 	00:48:56,00 --> 00:49:01,50 	someone approaches waiting fans.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS195 	00:51:54,00 --> 00:52:01,50 	white haired someone jensen approaches her.
KNOCKED_UP.srt 	KNOCKED_UP_DVS26 	00:18:34,00 --> 00:18:39,50 	now in a dinner, someone approaches someone in a booth.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS84 	00:28:10,00 --> 00:28:14,50 	someone approaches someone.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS183 	01:05:42,00 --> 01:05:52,50 	someone approaches it, her hand still on the tachyon amplifier.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS197 	01:10:07,00 --> 01:10:13,50 	someone approaches his slain body.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS38 	00:12:25,00 --> 00:12:32,50 	a silver haired man with a bowtie and a toothy smile approaches him.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS48 	00:14:34,00 --> 00:14:38,50 	someone approaches a scooter.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS272 	01:05:06,00 --> 01:05:12,50 	he lumbers on to the sidewalk and approaches the apartment building.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS329 	01:16:20,00 --> 01:16:26,50 	an approaching bmw sports a pizza joint sign on its.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS367 	01:27:18,00 --> 01:27:23,50 	someone approaches someone's booth.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS137 	00:16:32,00 --> 00:16:38,50 	the priest approaches the boy and offers a glass of water.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS404 	00:47:33,00 --> 00:47:40,50 	someone ducks into the canvas and the zebra stretches its neck toward the approaching ape.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS588 	01:04:50,00 --> 01:04:55,50 	someone pushes off as someone approaches the bucket.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS977 	01:36:28,00 --> 01:36:36,50 	someone approaches a glistening pond surround by a three foot tall bank of roots.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS33 	00:13:31,00 --> 00:13:36,50 	bikini clog beauty approaches someone.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS127 	00:46:39,00 --> 00:46:51,50 	now at a bar, three doctors approach someone.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS180 	01:03:15,00 --> 01:03:20,50 	now, someone approaches the nurses' station.
MORNING_GLORY.srt 	MORNING_GLORY_DVS432 	01:33:40,00 --> 01:33:45,50 	a woman approaches carrying a note.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS443 	00:52:01,00 --> 00:52:05,50 	someone approaches a penguin.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS531 	01:03:43,00 --> 01:03:47,50 	reader approaches captain's egg.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS673 	01:23:40,00 --> 01:23:56,50 	the someone pass colorful flower beds as they approach the building.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS241 	00:50:12,00 --> 00:50:19,50 	the limousine approaches.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS24 	00:05:12,00 --> 00:05:17,50 	someone exits his car and approaches the front door.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS165 	00:41:27,00 --> 00:41:33,50 	a stick-thin woman with a copper red someone and severe features approaches her.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS325 	01:17:28,00 --> 01:17:33,50 	an officer approaches.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS221 	00:57:29,00 --> 00:57:38,50 	someone swerves away from the big rig, then cuts across approaching traffic as he returns to the proper lane.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS232 	01:01:54,00 --> 01:01:59,50 	as they approach the parthenon's entrance
PROMETHEUS.srt 	PROMETHEUS_DVS260 	00:24:54,00 --> 00:25:01,50 	the ship slows as it approaches a gap between two outcroppings.
PROMETHEUS.srt 	PROMETHEUS_DVS300 	00:29:41,00 --> 00:29:49,50 	the team members approach one of the entry ways, each carrying a kit or bag of varying size.
PROMETHEUS.srt 	PROMETHEUS_DVS302 	00:29:48,00 --> 00:29:55,50 	we peer up at the approaching humans from a sandy slope dotted with sharp rocks.
PROMETHEUS.srt 	PROMETHEUS_DVS370 	00:36:22,00 --> 00:36:26,50 	the team approaches it.
PROMETHEUS.srt 	PROMETHEUS_DVS479 	00:50:24,00 --> 00:50:31,50 	someone approaches a wall of glass-doored coolers filled with supplies.
PROMETHEUS.srt 	PROMETHEUS_DVS512 	00:54:42,00 --> 00:54:49,50 	someone stops playing a concertina and approaches a pinging red dot on the map.
PROMETHEUS.srt 	PROMETHEUS_DVS592 	01:06:03,00 --> 01:06:09,50 	later, the vehicles approach the structures gateway.
PROMETHEUS.srt 	PROMETHEUS_DVS681 	01:13:10,00 --> 01:13:16,50 	staring, someone approaches the intergalactic map.
PROMETHEUS.srt 	PROMETHEUS_DVS702 	01:14:31,00 --> 01:14:37,50 	aiming his flashlight, the android approaches it wearily.
