30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS208 	00:51:38,00 --> 00:51:42,50 	they climb out of the wreck.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS99 	00:14:35,00 --> 00:14:39,50 	they both climb out.
BLINDDATING.srt 	BLINDDATING_DVS69 	00:21:31,00 --> 00:21:38,50 	someone climbs into the limo.
BURLESQUE.srt 	BURLESQUE_DVS536 	01:14:21,00 --> 01:14:26,50 	she climbs wearily onto the stage.
BURLESQUE.srt 	BURLESQUE_DVS701 	01:47:22,00 --> 01:47:28,50 	meanwhile, someone climbs the stairs to the dressing room.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS127 	00:22:03,00 --> 00:22:09,50 	hodge climbs several feet of the pole and slides to the ground.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS131 	00:22:38,00 --> 00:22:44,50 	someone climbs into the backseat of a jeep carrying agent someone.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS289 	00:55:34,00 --> 00:55:39,50 	he climbs behind the wheel and starts the engine.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS313 	00:59:30,00 --> 00:59:37,50 	he dashes across the yard and scurries up one of the armored vehicles, then climbs onto the roof of a low building.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS325 	01:01:35,00 --> 01:01:45,50 	flashes of blue light streak across the yard as dugan climbs atop one of the armored vehicles.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS557 	01:37:19,00 --> 01:37:28,50 	in a huge hangar, someone climbs up a ladder into a bomber plane.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS557 	01:37:19,00 --> 01:37:28,50 	allied soldiers shoot three hydra troopers trying to climb up behind him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS558 	01:37:27,00 --> 01:37:37,50 	in the cockpit, someone inserts the canister containing the blue energy source into a large mechanism, then climbs into the pilot's seat.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS577 	01:39:50,00 --> 01:40:02,50 	someone climbs up into the hold as the wheels retract.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS584 	01:40:54,00 --> 01:41:01,50 	a trooper climbs into one of the flying bombs as bay doors beneath it open.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS199 	00:15:53,00 --> 00:16:00,50 	a teenage girl with long blonde hair climbs into a rainbow colored vw bus.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS200 	00:16:11,00 --> 00:16:18,50 	as she climbs into the passenger seat and shuts the door, someone's smile fades.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS238 	00:18:52,00 --> 00:18:58,50 	someone climbs down the back of the van and hops off.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS358 	00:33:39,00 --> 00:33:46,50 	working on the roof, someone climbs down a ladder and carries his tools over.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS438 	00:42:02,00 --> 00:42:07,50 	now, someone climbs onto a roof.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS522 	00:50:56,00 --> 00:51:02,50 	the veteran surfer appears uninjured as he climbs onto the rock's peak.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS68 	00:13:38,00 --> 00:13:42,50 	someone climbs out of a makeshift fort.
COLOMBIANA.srt 	COLOMBIANA_DVS143 	00:13:08,00 --> 00:13:15,50 	as someone swings down to a corner ledge, a brawny gunman climbs out a window after her.
COLOMBIANA.srt 	COLOMBIANA_DVS159 	00:14:10,00 --> 00:14:16,50 	she climbs through an open window into a man's apartment.
COLOMBIANA.srt 	COLOMBIANA_DVS176 	00:15:32,00 --> 00:15:38,50 	she climbs up as the beefy thug arrives in the alley.
COLOMBIANA.srt 	COLOMBIANA_DVS181 	00:15:50,00 --> 00:15:56,50 	the thug gestures and his acrobatic cohort climbs back onto the roof.
COLOMBIANA.srt 	COLOMBIANA_DVS438 	00:38:42,00 --> 00:39:00,50 	several stories above, someone climbs out of the duct and clings to the wall.
COLOMBIANA.srt 	COLOMBIANA_DVS438 	00:38:42,00 --> 00:39:00,50 	as she climbs, the officers arrive on the rooftop.
COLOMBIANA.srt 	COLOMBIANA_DVS677 	01:04:19,00 --> 01:04:24,50 	he climbs into the front passenger seat.
COLOMBIANA.srt 	COLOMBIANA_DVS816 	01:19:00,00 --> 01:19:06,50 	swat officers climb a stairwell.
COLOMBIANA.srt 	COLOMBIANA_DVS865 	01:22:18,00 --> 01:22:27,50 	someone climbs backward through the narrow vent hole.
COLOMBIANA.srt 	COLOMBIANA_DVS967 	01:33:10,00 --> 01:33:16,50 	scurrying to a row of luxury cars, they climb into a mercedes.
COLOMBIANA.srt 	COLOMBIANA_DVS970 	01:33:27,00 --> 01:33:33,50 	someone climbs out with a sub machine gun raised.
DEAR_JOHN.srt 	DEAR_JOHN_DVS78 	00:11:27,00 --> 00:11:38,50 	someone climbs out.
DEAR_JOHN.srt 	DEAR_JOHN_DVS233 	00:36:12,00 --> 00:36:24,50 	at dusk, the platoon crosses the airfield and climbs the boarding steps of a cargo plane.
DEAR_JOHN.srt 	DEAR_JOHN_DVS476 	01:10:11,00 --> 01:10:17,50 	the humvee stops, and the soldiers climb out with their guns drawn.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS176 	00:39:22,00 --> 00:39:28,50 	someone bends down to climb in through the window.
DISTRICT_9.srt 	DISTRICT_9_DVS439 	00:48:34,00 --> 00:48:41,50 	he sweeps his gaze over the area, then climbs back into his vehicle.
DISTRICT_9.srt 	DISTRICT_9_DVS628 	01:13:37,00 --> 01:13:45,50 	someone climbs the car.
DISTRICT_9.srt 	DISTRICT_9_DVS650 	01:16:10,00 --> 01:16:33,50 	he climbs down through the trap door.
DISTRICT_9.srt 	DISTRICT_9_DVS650 	01:16:10,00 --> 01:16:33,50 	under the shack, someone shuts a hatch below the open trapdoor and climbs down.
DISTRICT_9.srt 	DISTRICT_9_DVS824 	01:37:06,00 --> 01:37:17,50 	its driver climbs out and fires at someone.
EASY_A.srt 	EASY_A_DVS135 	00:42:42,00 --> 00:42:47,50 	someone climbs out of a lap pool.
EASY_A.srt 	EASY_A_DVS273 	01:22:33,00 --> 01:22:41,50 	someone climbs out of the wood in a feather boa.
FLIGHT.srt 	FLIGHT_DVS21 	00:02:58,00 --> 00:03:02,50 	the woman climbs on the bed.
FLIGHT.srt 	FLIGHT_DVS183 	00:39:42,00 --> 00:39:47,50 	a patient climbs the stairs.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS285 	01:14:31,00 --> 01:14:36,50 	someone climbs the fence.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS84 	00:48:02,00 --> 00:48:15,50 	someone climbs out and ambles over to him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS249 	00:39:38,00 --> 00:40:01,50 	he resumes climbing while a mass of guards unleashes a barrage of bullets.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS271 	00:42:18,00 --> 00:42:22,50 	someone climbs out of the truck.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS558 	01:19:36,00 --> 01:19:58,50 	it skids to a half before and he climbs on.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS566 	01:21:18,00 --> 01:21:51,50 	from below, someone climbs up on her hood.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS574 	01:22:26,00 --> 01:23:00,50 	someone climbs up the suvs rear and over the roof.
GREEN_ZONE.srt 	GREEN_ZONE_DVS461 	01:41:00,00 --> 01:41:12,50 	elsewhere, someone climbs a stairway.
GROWN_UPS.srt 	GROWN_UPS_DVS21 	00:06:23,00 --> 00:06:30,50 	as his busty wife brings the phone, he tries to climb out.
HUGO.srt 	HUGO_DVS84 	00:10:49,00 --> 00:10:57,50 	he climbs down a metal ladder to a large square clock suspended over train station platforms.
HUGO.srt 	HUGO_DVS92 	00:11:56,00 --> 00:12:11,50 	inching around some stray pigeons, the boy climbs a stepladder beside the mechanism and switches on a lightbulb hanging from a chain.
HUGO.srt 	HUGO_DVS275 	00:40:20,00 --> 00:40:26,50 	he regains his footing and climbs up the corner of the building.
HUGO.srt 	HUGO_DVS297 	00:45:45,00 --> 00:45:54,50 	across the station, the inspector climbs a series of pegs sticking out of a wall, using only his hands.
HUGO.srt 	HUGO_DVS527 	01:18:06,00 --> 01:18:14,50 	smiling, someone climbs a ladder toward someone.
HUGO.srt 	HUGO_DVS731 	01:47:34,00 --> 01:47:40,50 	the massive pendulum sweeps back and forth as someone climbs higher.
IN_TIME.srt 	IN_TIME_DVS86 	00:09:33,00 --> 00:09:38,50 	someone boosts the stranger into climbing it.
IN_TIME.srt 	IN_TIME_DVS193 	00:20:28,00 --> 00:20:34,50 	two passengers climb off and the doors closed behind them.
IN_TIME.srt 	IN_TIME_DVS250 	00:25:51,00 --> 00:25:58,50 	climbing out of the sedan, someone sweeps his view around the area.
IN_TIME.srt 	IN_TIME_DVS395 	00:41:20,00 --> 00:41:25,50 	someone climbs up after them.
IN_TIME.srt 	IN_TIME_DVS464 	00:50:02,00 --> 00:50:07,50 	someone climbs out through his mangled door.
IN_TIME.srt 	IN_TIME_DVS599 	01:04:08,00 --> 01:04:23,50 	tucking his gun into his waistband, someone climbs into the cruiser's driving seat.
IN_TIME.srt 	IN_TIME_DVS617 	01:06:01,00 --> 01:06:08,50 	toting his gun, someone climbs out of the cruiser and strides to the limo driver's side.
IN_TIME.srt 	IN_TIME_DVS743 	01:18:41,00 --> 01:18:47,50 	they climb a fire escape.
IN_TIME.srt 	IN_TIME_DVS745 	01:18:49,00 --> 01:19:03,50 	a few buildings behind them, someone climbs up and resumes his sprint.
IN_TIME.srt 	IN_TIME_DVS843 	01:29:25,00 --> 01:29:31,50 	a cluster of guards waits outside one as someone climbs out.
INSIDE_MAN.srt 	INSIDE_MAN_DVS181 	00:51:40,00 --> 00:51:46,50 	the worker climbs aboard and joins the rest of someone's team.
INSIDE_MAN.srt 	INSIDE_MAN_DVS325 	01:36:23,00 --> 01:36:30,50 	they climb the foyer stairs and secure both sides of the lobby.
IRON_MAN_2.srt 	IRON_MAN_2_DVS272 	00:50:48,00 --> 00:50:53,50 	someone climbs metal steps and studies one of the suits.
IRON_MAN_2.srt 	IRON_MAN_2_DVS352 	01:03:58,00 --> 01:04:06,50 	he climbs down.
IRON_MAN_2.srt 	IRON_MAN_2_DVS357 	01:04:59,00 --> 01:05:03,50 	someone climbs down.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS18 	00:06:02,00 --> 00:06:06,50 	someone climbs into her car.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS131 	00:42:11,00 --> 00:42:18,50 	now they climb the two ladders, someone gently guides her with a protective hand on her back.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS353 	01:39:44,00 --> 01:39:58,50 	someone climbs back into his seat and locks eyes with someone through the webcam.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS390 	01:49:42,00 --> 01:49:49,50 	someone climbs out of the suv and shuts the door keeping her eyes fixed.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS24 	00:02:54,00 --> 00:03:01,50 	as children, the sister climbs into her brother's bed to snuggle.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS44 	00:05:52,00 --> 00:05:56,50 	he climbs out of bed.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS150 	00:30:32,00 --> 00:30:37,50 	someone climbs off her sweat-stained bed.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS311 	00:59:41,00 --> 00:59:46,50 	two men ascend a climbing wall.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS363 	01:07:47,00 --> 01:07:51,50 	someone climbs onto the rope ladder.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS35 	00:04:01,00 --> 00:04:09,50 	as the woman roams the empty apartment, the dark-haired man climbs the stairs with a box.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS100 	00:16:13,00 --> 00:16:22,50 	someone reclines on the couch, and someone lovingly climbs on top of her.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS104 	00:16:39,00 --> 00:16:43,50 	he climbs into bed.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS440 	01:27:23,00 --> 01:27:28,50 	he climbs in next to someone.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS585 	01:54:59,00 --> 01:55:04,50 	someone climbs out and jogs around to help her.
KARATE_KID.srt 	KARATE_KID_DVS464 	00:41:09,00 --> 00:41:29,50 	someone scales a pile of boxes beside them and climbs onto a roof.
KARATE_KID.srt 	KARATE_KID_DVS1235 	01:41:11,00 --> 01:41:16,50 	someone shoves the door open and climbs out.
KARATE_KID.srt 	KARATE_KID_DVS1548 	02:05:09,00 --> 02:05:17,50 	and the boy climbs the platform steps.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS159 	00:59:01,00 --> 00:59:10,50 	as they climb, someone lags far behind.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS160 	00:59:15,00 --> 00:59:23,50 	he points up and they climb to the top.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS269 	01:04:52,00 --> 01:04:56,50 	someone's husband climbs out.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS285 	00:37:38,00 --> 00:37:45,50 	someone climbs stairs to the neck deck and slides on his bare feet again.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS294 	00:38:20,00 --> 00:38:29,50 	he braces himself and climbs to his feet.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS324 	00:40:20,00 --> 00:40:26,50 	someone climbs back up and scrambles around as the others shout at him.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS369 	00:44:20,00 --> 00:44:26,50 	someone climbs back on the canvas cover, then scrambles to the prow.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS406 	00:47:42,00 --> 00:47:48,50 	someone extends an oar to her and she climbs aboard.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS466 	00:52:34,00 --> 00:52:40,50 	someone climbs over his raft and unsheathes a knife.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS475 	00:53:20,00 --> 00:53:30,50 	as the tiger climbs onto the canvas, someone curls up in a fetal position with his back to him and squeezes his eyes shut.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS478 	00:53:41,00 --> 00:53:47,50 	he tries to climb on top of the raft but it rolls under his weight.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS483 	00:54:07,00 --> 00:54:12,50 	the boy climbs on top of the raft.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS486 	00:54:22,00 --> 00:54:27,50 	someone eagerly climbs in to retrieve them.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS499 	00:55:18,00 --> 00:55:24,50 	with the animal distracted, someone starts to climb from the prow.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS502 	00:55:37,00 --> 00:55:48,50 	someone emerges from the opening at the boat's center and climbs partway up on the canvas.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS502 	00:55:37,00 --> 00:55:48,50 	the rat climbs up someone's arm and over his head.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS508 	00:56:12,00 --> 00:56:22,50 	scraping his rear claws against the painted metal hull, the tiger climbs back aboard.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS612 	01:06:47,00 --> 01:06:52,50 	the tiger tries to climb the raft, then the ship's hull.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS614 	01:06:54,00 --> 01:07:00,50 	someone tries climbing aboard the raft from another spoke.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS643 	01:09:04,00 --> 01:09:10,50 	as someone uses it to climb on board,
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS709 	01:14:00,00 --> 01:14:07,50 	with no luck, he cautiously climbs from his raft onto the bow.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS825 	01:24:07,00 --> 01:24:12,50 	someone climbs to his knees.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS867 	01:27:19,00 --> 01:27:25,50 	he climbs onto the boat and secures a rope around his torso.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS883 	01:29:12,00 --> 01:29:19,50 	with the rope around his waist, he climbs back up the side and flops onto the bench.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS955 	01:34:42,00 --> 01:34:47,50 	someone climbs off the boat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS970 	01:35:49,00 --> 01:35:56,50 	someone climbs up a small hill using an arched root for support.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1003 	01:38:25,00 --> 01:38:34,50 	the creatures climb into the trees.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1016 	01:39:22,00 --> 01:39:29,50 	a meerkat climbs onto someone's back and rests across his shoulder.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS90 	00:34:07,00 --> 00:34:15,50 	someone climbs out.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS207 	00:30:37,00 --> 00:30:43,50 	someone hugs him, then climbs into the cab.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS29 	00:07:49,00 --> 00:07:53,50 	he tries to climb over the wall, but fails.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS278 	01:00:48,00 --> 01:00:53,50 	someone climbs down from the scratch-o-matic seat.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS348 	01:15:53,00 --> 01:16:00,50 	someone climbs down from the chair.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS101 	00:26:35,00 --> 00:26:42,50 	someone climbs in beside someone.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS109 	00:28:29,00 --> 00:28:38,50 	climbing in, someone pauses at the side of the complex network of buckles.
PROMETHEUS.srt 	PROMETHEUS_DVS350 	00:34:41,00 --> 00:34:47,50 	climbing up, he notices greenish slime dripping from a few of the engraved points.
PROMETHEUS.srt 	PROMETHEUS_DVS378 	00:37:58,00 --> 00:38:02,50 	someone climbs a ladder.
PROMETHEUS.srt 	PROMETHEUS_DVS427 	00:43:21,00 --> 00:43:27,50 	as holloway climbs out of the vehicle, it blows away.
PROMETHEUS.srt 	PROMETHEUS_DVS675 	01:12:43,00 --> 01:12:50,50 	the android climbs up on the disc and crouches, studying the control panel.
PROMETHEUS.srt 	PROMETHEUS_DVS713 	01:15:35,00 --> 01:15:39,50 	the crew climbs out.
PROMETHEUS.srt 	PROMETHEUS_DVS920 	01:41:19,00 --> 01:41:27,50 	as the engineer climbs onto the gunner chair, we glimpse someone's motionless face in profile.
PROMETHEUS.srt 	PROMETHEUS_DVS989 	01:48:38,00 --> 01:48:47,50 	straightening she sways on her feet, then perseveres  to the compartment's open entryway and climbs up.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS357 	01:07:56,00 --> 01:08:19,50 	someone climbs into the passenger seat and hands him a file with the transcript from someone's phone call to someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS433 	01:22:44,00 --> 01:22:57,50 	someone, someone, and several others in trench coats climb out of the vehicles.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS478 	01:30:45,00 --> 01:30:51,50 	someone climbs out the other door.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS365 	01:30:38,00 --> 01:31:05,50 	one mouse madly cycles his hind legs to climb up into a footed bowl.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS440 	01:49:03,00 --> 01:49:08,50 	several orphans climb down from the roof.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS338 	00:55:02,00 --> 00:55:08,50 	later, someone's mom climbs up to the tree house.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS341 	00:55:34,00 --> 00:55:40,50 	she climbs back down.
SALT.srt 	SALT_DVS22 	00:03:52,00 --> 00:04:37,50 	on the table, a tarantula climbs up the wall of a terrarium.
SALT.srt 	SALT_DVS143 	00:25:39,00 --> 00:25:45,50 	waving her hand, someone flags down a beltway cab and climbs in back.
SALT.srt 	SALT_DVS316 	00:55:23,00 --> 00:55:28,50 	she climbs into a bed next to someone's.
SANCTUM.srt 	SANCTUM_DVS22 	00:05:26,00 --> 00:05:40,50 	the fair-haired man gently swims across the rocky pool and climbs onto a ledge.
SANCTUM.srt 	SANCTUM_DVS274 	00:55:32,00 --> 00:55:39,50 	the young man climbs up on an underwater ledge and raises his flippered feet.
SANCTUM.srt 	SANCTUM_DVS294 	00:59:22,00 --> 00:59:28,50 	someone climbs over a rock barrier carrying a yellow supply bag.
SANCTUM.srt 	SANCTUM_DVS433 	01:22:40,00 --> 01:22:45,50 	he resumes climbing.
SANCTUM.srt 	SANCTUM_DVS465 	01:26:42,00 --> 01:26:47,50 	someone climbs on to the tank.
SANCTUM.srt 	SANCTUM_DVS476 	01:28:41,00 --> 01:28:55,50 	it widens and he climbs down a ledge, his eyes squinting into a dim chamber.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS145 	00:28:13,00 --> 00:28:20,50 	someone strides past someone, to the decorative eagle, and climbs onto it.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS180 	00:35:21,00 --> 00:35:26,50 	the dragon climbs up the building toward someone.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS360 	01:16:29,00 --> 01:16:34,50 	he climbs out of the pinto.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS436 	01:33:08,00 --> 01:33:16,50 	someone climbs toward the top of its framework and feebly kicks at the dish.
SOUL_SURFER.srt 	SOUL_SURFER_DVS52 	00:17:24,00 --> 00:17:28,50 	someone climbs back on.
SOUL_SURFER.srt 	SOUL_SURFER_DVS53 	00:17:32,00 --> 00:17:37,50 	kicking legs again, he climbs back on.
SOUL_SURFER.srt 	SOUL_SURFER_DVS233 	01:11:53,00 --> 01:12:08,50 	the bus halts a short distance from the aid tent and the youth group climbs off.
SUPER_8.srt 	SUPER_8_DVS319 	00:57:06,00 --> 00:57:12,50 	he climbs out of bed and trips as he makes his way across the room.
SUPER_8.srt 	SUPER_8_DVS380 	01:07:51,00 --> 01:07:58,50 	on the screen, a gigantic creature climbs out of the crashed train car.
SUPER_8.srt 	SUPER_8_DVS473 	01:22:29,00 --> 01:22:35,50 	the creature climbs on top of the bus and rocks it from side to side.
SUPER_8.srt 	SUPER_8_DVS635 	01:42:29,00 --> 01:42:35,50 	the creature climbs up the tower and into the ship which flies away.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS226 	00:35:21,00 --> 00:35:26,50 	someone climbs into the midst of the sleeping crew.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS324 	00:50:21,00 --> 00:50:29,50 	someone hops into the water besides someone as two men climb out of the plane and on to one of its pontoons.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS650 	01:28:02,00 --> 01:28:08,50 	someone climbs into the back of a car which rises into the air.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS233 	00:46:03,00 --> 00:46:07,50 	she climbs off.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS295 	00:54:16,00 --> 00:54:22,50 	she climbs into the seat and slams the door shut.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS330 	01:00:22,00 --> 01:00:27,50 	someone climbs out.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS431 	01:21:14,00 --> 01:21:23,50 	he pops a candy into his mouth and climbs into bed fully clothed.
