21_JUMP_STREET.srt 	21_JUMP_STREET_DVS112 	00:15:13,00 --> 00:15:22,50 	the teen dances, rips the clothes from his closet, trashes a piano keyboard and then leans close to the camera.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS454 	01:12:09,00 --> 01:12:13,50 	someone leans closer.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS460 	01:12:32,00 --> 01:12:37,50 	someone huddles in, his body leaning over someone's.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS602 	01:34:37,00 --> 01:34:42,50 	he leans against a wall, chest heaving.
BLINDDATING.srt 	BLINDDATING_DVS142 	00:38:55,00 --> 00:39:04,50 	someone gently touches her neck and leans his lips toward hers.
BLINDDATING.srt 	BLINDDATING_DVS171 	00:44:29,00 --> 00:44:38,50 	her mother leans closer and peers in to her daughter's eyes.
BLINDDATING.srt 	BLINDDATING_DVS366 	01:30:32,00 --> 01:30:39,50 	someone leans his face close to someone's.
BRUNO.srt 	BRUNO_DVS77 	00:16:26,00 --> 00:16:36,50 	later, he leans against a bulletin board filled with celebrity photos.
BRUNO.srt 	BRUNO_DVS109 	00:23:43,00 --> 00:24:01,50 	someone leans his hands against the wall, and wags his butt.
BURLESQUE.srt 	BURLESQUE_DVS93 	00:10:15,00 --> 00:10:25,50 	a handsome toned bartender in eyeliner and a bowler hat leans toward the blonde.
BURLESQUE.srt 	BURLESQUE_DVS210 	00:30:54,00 --> 00:30:58,50 	the young woman leans on the sink.
BURLESQUE.srt 	BURLESQUE_DVS237 	00:34:14,00 --> 00:34:28,50 	as someone leans forward and pouts her full lips, someone's cool gaze hardens even more.
BURLESQUE.srt 	BURLESQUE_DVS398 	00:55:30,00 --> 00:55:35,50 	a bartender leans forward,
BURLESQUE.srt 	BURLESQUE_DVS410 	00:56:37,00 --> 00:56:43,50 	someone easily removes the cap, then leans closer.
BURLESQUE.srt 	BURLESQUE_DVS567 	01:24:13,00 --> 01:24:21,50 	now leaning on the bar, someone sips the last of a cocktail.
BURLESQUE.srt 	BURLESQUE_DVS683 	01:45:30,00 --> 01:45:35,50 	someone strolls up to the bar and leans her back against it.
BURLESQUE.srt 	BURLESQUE_DVS727 	01:49:49,00 --> 01:49:57,50 	he leans in and they kiss.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS79 	00:11:58,00 --> 00:12:12,50 	female models lean against a red car as a dark-haired mustached man in a tuxedo struts onto the stage.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS482 	01:24:57,00 --> 01:25:04,50 	someone leans out of the train, clinging to the side.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS104 	00:08:23,00 --> 00:08:28,50 	he leans down and kisses her.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS140 	00:11:26,00 --> 00:11:32,50 	surfboards lean against a rusted metal guardrail.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS901 	01:28:09,00 --> 01:28:15,50 	she sinks down to the floor and leans her back against a booth seat.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS57 	00:11:21,00 --> 00:11:27,50 	as someone eats with her hands, her father leans over the table and kiss his wife.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS83 	00:15:25,00 --> 00:15:31,50 	someone leans down to his wide-eyed son, propping his hands on his knees.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS124 	00:28:07,00 --> 00:28:19,50 	she leans close, nearly pressing her forehead to his, and drives her gaze squarely at him.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS170 	00:36:27,00 --> 00:36:32,50 	she leans on the brick wall.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS232 	00:50:52,00 --> 00:51:02,50 	he scans the locker room then leans over and eats out of the bowl.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS298 	01:11:55,00 --> 01:11:59,50 	someone leans back in his chair.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS365 	01:28:45,00 --> 01:28:51,50 	the boxer leans into a row of radio station microphones.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS367 	01:29:19,00 --> 01:29:24,50 	someone leans closer to the bank of microphones.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS420 	01:41:51,00 --> 01:41:55,50 	someone leans to his children.
COLOMBIANA.srt 	COLOMBIANA_DVS426 	00:37:24,00 --> 00:37:30,50 	she leans over someone, pointing the gun at his chest.
COLOMBIANA.srt 	COLOMBIANA_DVS585 	00:55:09,00 --> 00:55:14,50 	our focus shifts to his niece as she leans forward as well.
COLOMBIANA.srt 	COLOMBIANA_DVS716 	01:08:17,00 --> 01:08:21,50 	she leans her head on her hands.
COLOMBIANA.srt 	COLOMBIANA_DVS721 	01:08:43,00 --> 01:08:48,50 	she leans closer and presses her lips to someone's.
COLOMBIANA.srt 	COLOMBIANA_DVS728 	01:09:08,00 --> 01:09:13,50 	then leans forward and places a gentle peck on her cheek.
COLOMBIANA.srt 	COLOMBIANA_DVS924 	01:28:29,00 --> 01:28:34,50 	spins around, and leans his hands on the seat.
DEAR_JOHN.srt 	DEAR_JOHN_DVS253 	00:39:36,00 --> 00:39:42,50 	leaning on a fence, someone and someone watch someone feed a horse.
DEAR_JOHN.srt 	DEAR_JOHN_DVS366 	00:58:30,00 --> 00:58:41,50 	inside, she leans back against a wall as she unbuttons his dress shirt.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS433 	01:46:52,00 --> 01:46:57,50 	they lean in and kiss tenderly.
DISTRICT_9.srt 	DISTRICT_9_DVS474 	00:55:00,00 --> 00:55:04,50 	he leans toward someone's son.
DISTRICT_9.srt 	DISTRICT_9_DVS805 	01:35:15,00 --> 01:35:22,50 	leaning against the command module's wall, someone sinks to the floor and draws his son.
DISTRICT_9.srt 	DISTRICT_9_DVS861 	01:42:00,00 --> 01:42:26,50 	on-board the command module, someone leans back on his seat, blinking heavily.
EASY_A.srt 	EASY_A_DVS79 	00:29:56,00 --> 00:30:00,50 	she leans close to melody.
EASY_A.srt 	EASY_A_DVS236 	01:12:50,00 --> 01:12:55,50 	he leans in again.
FLIGHT.srt 	FLIGHT_DVS47 	00:07:05,00 --> 00:07:11,50 	she leans on the steering wheel, and lowers the phone to the passenger seat.
FLIGHT.srt 	FLIGHT_DVS88 	00:16:14,00 --> 00:16:18,50 	she leans back, eyes closed.
FLIGHT.srt 	FLIGHT_DVS674 	01:31:10,00 --> 01:31:14,50 	she leans in and their foreheads touch.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS64 	00:16:55,00 --> 00:17:02,50 	the dancers lean over and back up, edging close to someone and someone.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS65 	00:17:03,00 --> 00:17:13,50 	a forward leaning pose radiates from the back of the flash mob.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS146 	00:38:11,00 --> 00:38:17,50 	he leans over awkwardly, bracing a hand on the bathtub.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS115 	01:05:42,00 --> 01:05:48,50 	jonathan leans back and lights a fat joint.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS145 	01:25:16,00 --> 01:25:21,50 	someone and someone lean close to kiss.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS50 	00:08:12,00 --> 00:08:20,50 	someone throws the chain off, leaning over the back of the motorcycle.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS106 	00:17:04,00 --> 00:17:20,50 	he leans over his victim who trembles and sputters incoherently.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS108 	00:17:24,00 --> 00:17:47,50 	the henchman's wide eyes reflect his ghastly flaming visage as the rider cocks his head appraisingly then leans in to peer more closely at the man.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS143 	00:22:45,00 --> 00:22:51,50 	leaning back, his jaw distends in a supernatural roar.
HUGO.srt 	HUGO_DVS175 	00:24:44,00 --> 00:24:49,50 	he leans back against a pillar.
HUGO.srt 	HUGO_DVS545 	01:21:31,00 --> 01:21:36,50 	she leans forward and kisses someone on the cheek
HUGO.srt 	HUGO_DVS749 	01:49:42,00 --> 01:49:46,50 	someone leans his face against the clock as someone and the inspector head back downstairs.
IN_TIME.srt 	IN_TIME_DVS313 	00:32:37,00 --> 00:32:43,50 	spotting his exposed arm, the auburn-haired woman leans closer.
IN_TIME.srt 	IN_TIME_DVS354 	00:37:21,00 --> 00:37:26,50 	but someone leans her full lips closer.
IN_TIME.srt 	IN_TIME_DVS383 	00:40:17,00 --> 00:40:23,50 	someone briefly leans closer to him, then swims away.
IN_TIME.srt 	IN_TIME_DVS640 	01:08:38,00 --> 01:08:43,50 	he leans closer and presses his lips to hers.
IN_TIME.srt 	IN_TIME_DVS710 	01:15:56,00 --> 01:16:03,50 	someone leans out the passenger window and aims a gun at his back.
IN_TIME.srt 	IN_TIME_DVS787 	01:22:46,00 --> 01:22:53,50 	he joins someone, wrapping an arm around her as she leans against him.
IN_TIME.srt 	IN_TIME_DVS875 	01:32:54,00 --> 01:33:00,50 	leaning away from the weapon only inches from his brow.
IN_TIME.srt 	IN_TIME_DVS947 	01:39:41,00 --> 01:39:47,50 	he caresses her cheek, then leans in and kisses her.
INSIDE_MAN.srt 	INSIDE_MAN_DVS301 	01:31:24,00 --> 01:31:31,50 	his partner leans his head against a wall.
INSIDE_MAN.srt 	INSIDE_MAN_DVS375 	01:49:18,00 --> 01:49:24,50 	her cool smile evaporates as she leans forward.
IRON_MAN_2.srt 	IRON_MAN_2_DVS61 	00:10:22,00 --> 00:10:28,50 	happy and someone approach a young brunette woman leaning against a white convertible.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS76 	00:23:30,00 --> 00:23:38,50 	someone wipes tears from her eyes then leans toward someone.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS108 	00:34:21,00 --> 00:34:25,50 	he leans in and kisses her.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS164 	00:53:39,00 --> 00:53:44,50 	as he leans to nuzzle her she scoots away.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS219 	01:04:47,00 --> 01:04:52,50 	she starts to push her tray away then leans back.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS360 	01:41:22,00 --> 01:41:36,50 	someone leans heavily against an arched doorway.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS396 	01:50:38,00 --> 01:50:43,50 	she moves to lean on one arm.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS202 	00:39:46,00 --> 00:39:51,50 	a vendor leans toward someone.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS310 	01:01:01,00 --> 01:01:12,50 	as someone leans alluringly on an archway before an enchanted someone, someone frowns.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS438 	01:26:54,00 --> 01:26:58,50 	an investigator leans closer.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS477 	01:32:22,00 --> 01:32:28,50 	in his office, someone leans his head back on a pillow.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS547 	01:48:50,00 --> 01:49:02,50 	someone exhales wearily through pursed lips, then picks up the box containing the manuscript and leans back in her chair.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS603 	01:56:59,00 --> 01:57:03,50 	she leans close.
KARATE_KID.srt 	KARATE_KID_DVS28 	00:02:46,00 --> 00:02:51,50 	someone frowns and leans his head against the seat.
KARATE_KID.srt 	KARATE_KID_DVS922 	01:15:24,00 --> 01:15:30,50 	leaning across someone, someone draws a character on the dusty window.
KARATE_KID.srt 	KARATE_KID_DVS948 	01:17:45,00 --> 01:17:51,50 	later, at another section, someone stops, leaning against a stone banister.
KARATE_KID.srt 	KARATE_KID_DVS1180 	01:37:04,00 --> 01:37:09,50 	someone leans closer, then picks the scrap up,
KARATE_KID.srt 	KARATE_KID_DVS1462 	01:59:15,00 --> 01:59:21,50 	putting an arm around him, he leans close.
KNOCKED_UP.srt 	KNOCKED_UP_DVS38 	00:24:58,00 --> 00:25:02,50 	she leans back.
KNOCKED_UP.srt 	KNOCKED_UP_DVS48 	00:32:04,00 --> 00:32:09,50 	he leans back in his chair.
KNOCKED_UP.srt 	KNOCKED_UP_DVS59 	00:35:08,00 --> 00:35:12,50 	someone leans forward.
KNOCKED_UP.srt 	KNOCKED_UP_DVS78 	00:45:19,00 --> 00:45:28,50 	they lean close and enjoy a tender kiss.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS155 	00:57:34,00 --> 00:57:40,50 	someone blinks groggily, then leans his head back.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS251 	01:29:16,00 --> 01:29:31,50 	wincing, the scientist leans his head back, then puts a finger beneath her chin, and guides her face upward.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS251 	01:29:16,00 --> 01:29:31,50 	he leans in for a kiss.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS119 	00:27:36,00 --> 00:27:41,50 	closing her eyes, she leans forward.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS370 	00:44:24,00 --> 00:44:29,50 	he leans far out, clinging to the mast.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS392 	00:46:24,00 --> 00:46:30,50 	he leans back, his arms draped on the boat's rim and cover.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS674 	01:11:34,00 --> 01:11:39,50 	the teen leans an ear close to the hull.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS942 	01:33:37,00 --> 01:33:42,50 	he leans close to the tiger.
MORNING_GLORY.srt 	MORNING_GLORY_DVS203 	00:46:40,00 --> 00:46:48,50 	he leans her over a worktop.
MORNING_GLORY.srt 	MORNING_GLORY_DVS405 	01:29:10,00 --> 01:29:17,50 	someone leans over and kisses someone on the cheek, then wipes off her lipstick someone.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS67 	00:10:31,00 --> 00:10:36,50 	he leans his hands on the table.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS135 	00:20:49,00 --> 00:20:55,50 	leaning closer, it eyes the weary man.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS355 	00:44:56,00 --> 00:45:01,50 	squinting after them, she leans back.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS604 	01:11:45,00 --> 01:11:49,50 	he leans closer.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS121 	00:26:47,00 --> 00:26:52,50 	she leans the bat on the stair rail.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS373 	01:19:13,00 --> 01:19:19,50 	grins at someone, then leans forward.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS416 	01:26:47,00 --> 01:26:57,50 	someone leans into the bomb, her arms stretching toward the wire.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS418 	01:27:12,00 --> 01:27:27,50 	the kids return their attention to someone, who leans down into the vent and stretches her arms toward the red wire.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS460 	01:34:51,00 --> 01:34:56,50 	the slide leans on a hay bale.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS139 	00:23:20,00 --> 00:23:24,50 	someone leans closer.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS187 	00:32:27,00 --> 00:32:32,50 	someone leans over and snuggles closer.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS378 	01:09:30,00 --> 01:09:34,50 	avoiding his gaze she leans forward and has a drink.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS482 	01:28:32,00 --> 01:28:39,50 	they sip red wine, then lean in for a kiss at the same time, and bash heads.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS392 	01:29:05,00 --> 01:29:15,50 	leaning forward, someone scowls with a black eye.
PROMETHEUS.srt 	PROMETHEUS_DVS78 	00:04:28,00 --> 00:04:36,50 	as he leans his head back, it emits countless black particles like ash that float through the air.
PROMETHEUS.srt 	PROMETHEUS_DVS79 	00:04:33,00 --> 00:04:38,50 	he leans forward on one arm.
PROMETHEUS.srt 	PROMETHEUS_DVS522 	00:57:52,00 --> 00:57:58,50 	she leans over and hugs him from behind with a giddy smile.
PROMETHEUS.srt 	PROMETHEUS_DVS531 	00:59:12,00 --> 00:59:18,50 	he leans in and they embrace with mounting passion.
PROMETHEUS.srt 	PROMETHEUS_DVS536 	00:59:27,00 --> 00:59:32,50 	holloway leans down again and kisses her hungrily.
PROMETHEUS.srt 	PROMETHEUS_DVS582 	01:04:53,00 --> 01:04:59,50 	holloway knits his brow and leans closer to the mirror.
PROMETHEUS.srt 	PROMETHEUS_DVS640 	01:09:22,00 --> 01:09:27,50 	someone leans over an urn, peering closely with his flashlight.
PROMETHEUS.srt 	PROMETHEUS_DVS658 	01:11:44,00 --> 01:11:50,50 	someone climbs on the seat and leans back into it.
PROMETHEUS.srt 	PROMETHEUS_DVS686 	01:13:24,00 --> 01:13:30,50 	spreading his arms wide, the pilot leans back as if playing an organ.
PROMETHEUS.srt 	PROMETHEUS_DVS832 	01:30:08,00 --> 01:30:14,50 	now in her cabin, she leans over her sink.
PROMETHEUS.srt 	PROMETHEUS_DVS1008 	01:50:07,00 --> 01:50:13,50 	someone leans her face close to the glass peering through.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS72 	00:12:22,00 --> 00:12:31,50 	a man leans against the refrigerator.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS151 	00:27:47,00 --> 00:27:54,50 	someone glances at the man over his shoulder, then leans toward someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS184 	00:34:53,00 --> 00:35:06,50 	her head, revealing a silvery blue slip, then leans over on top of someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS224 	00:41:32,00 --> 00:41:37,50 	a panic maulin leans out an open window.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS253 	00:47:39,00 --> 00:47:50,50 	leaning forward, she cups the back of someone's head in her hand and presses her lips to his.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS264 	00:50:19,00 --> 00:50:37,50 	he paces forward and leans tensely on a rail attaching the cell bars one to the next.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS469 	01:29:24,00 --> 01:29:33,50 	he leans out and fires.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS674 	02:06:45,00 --> 02:06:52,50 	someone removes his hat, crouches, and leans his ear close to someone.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS19 	00:03:03,00 --> 00:03:08,50 	then, leans back and fires.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS302 	01:13:07,00 --> 01:13:15,50 	someone leans into tuck.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS398 	01:37:55,00 --> 01:38:02,50 	someone wedges the blade underneath the stone, levers it upward and leans it back.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS405 	01:41:14,00 --> 01:41:20,50 	king someone winces thoughtfully, then leans toward someone.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS430 	01:46:52,00 --> 01:47:00,50 	he leans in close.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS433 	01:47:27,00 --> 01:47:50,50 	as he leans his head toward her raised skirts, a sickened scowl overtakes someone's face and she plunges a dagger into the back of his neck.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS201 	00:33:53,00 --> 00:34:00,50 	she shuts her eyes ecstatically as he leans his face toward hers.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS406 	01:04:05,00 --> 01:04:10,50 	someone leans back in his chair and bows his head.
SALT.srt 	SALT_DVS25 	00:04:58,00 --> 00:05:07,50 	the dog eyes her as she hugs her husband from behind then leans over his shoulder and kisses him on his lips and forehead.
SALT.srt 	SALT_DVS170 	00:29:08,00 --> 00:29:16,50 	as someone leans out the window.
SALT.srt 	SALT_DVS211 	00:36:06,00 --> 00:36:16,50 	flanked by agents aiming their guns, someone leans out toward her.
SANCTUM.srt 	SANCTUM_DVS430 	01:22:18,00 --> 01:22:22,50 	he leans against his arm.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS109 	00:07:31,00 --> 00:07:36,50 	leaning against a far wall,
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS241 	00:16:48,00 --> 00:16:53,50 	she leans on her cane and eyes someone.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS839 	00:55:35,00 --> 00:55:41,50 	someone hesitantly rolls over and leans her head over the edge of the bed.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS841 	00:55:43,00 --> 00:55:48,50 	she leans a little further to see below.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS905 	00:59:09,00 --> 00:59:13,50 	and leans them against a rock.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS937 	01:00:48,00 --> 01:00:55,50 	they share a grave look, then lean over and adjust the blankets covering the children at their feet.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS984 	01:04:15,00 --> 01:04:19,50 	someone absently meets her laotong's loving gaze, then leans back.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS136 	00:25:37,00 --> 00:25:42,50 	he leans over the balcony railing.
SPARKLE_2012.srt 	SPARKLE_2012_DVS188 	00:30:54,00 --> 00:31:00,50 	she softens and leans forward.
SPARKLE_2012.srt 	SPARKLE_2012_DVS351 	00:58:32,00 --> 00:58:38,50 	she awakes to her daughters performing, and leans closer.
SPARKLE_2012.srt 	SPARKLE_2012_DVS390 	01:05:45,00 --> 01:05:49,50 	someone leans forward.
SPARKLE_2012.srt 	SPARKLE_2012_DVS577 	01:34:37,00 --> 01:34:45,50 	someone leans over it.
SPARKLE_2012.srt 	SPARKLE_2012_DVS620 	01:40:19,00 --> 01:40:25,50 	leaning close to the glass, sister smiles softly.
SPARKLE_2012.srt 	SPARKLE_2012_DVS651 	01:48:31,00 --> 01:48:38,50 	someone leans her head back, spreads her arms and drinks in the applause.
SUPER_8.srt 	SUPER_8_DVS209 	00:36:03,00 --> 00:36:09,50 	at the pump, he leans against his car as he fills it with gas.
SUPER_8.srt 	SUPER_8_DVS324 	00:58:45,00 --> 00:58:50,50 	someone leans forward onto her knees and peers at the film.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS196 	00:28:59,00 --> 00:29:05,50 	someone ties a rope against the plank and leans out of the porthole.
