21_JUMP_STREET.srt 	21_JUMP_STREET_DVS67 	00:07:35,00 --> 00:07:40,50 	a fat bearded biker crosses the bridge.
KARATE_KID.srt 	KARATE_KID_DVS503 	00:45:04,00 --> 00:45:10,50 	someone waits in a fighting stance, his wrists crossed in an x shape.
KARATE_KID.srt 	KARATE_KID_DVS929 	01:16:11,00 --> 01:16:22,50 	the taxi crosses a lofty stone bridge spanning the tranquil river.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS149 	00:19:05,00 --> 00:19:11,50 	someone crosses himself and prays as his family begins dining.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS187 	00:24:56,00 --> 00:25:04,50 	someone crosses his arms and stares ahead as selvam spins the metal wheel.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS71 	00:11:04,00 --> 00:11:09,50 	someone sits and crosses his legs.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS305 	00:39:19,00 --> 00:39:27,50 	crossing a row of street vendors he notices a five foot tall stuffed penguin standing at the end.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS313 	00:40:28,00 --> 00:40:35,50 	outside the penguins cross a wet sidewalk bordered by mounds of snow.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS433 	00:51:02,00 --> 00:51:10,50 	someone crosses to the living room where the penguins gather around a scattering of stones from a hearth.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS530 	01:03:30,00 --> 01:03:37,50 	he brushes some snow off a couch and sits, crossing his legs casually.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS676 	01:24:01,00 --> 01:24:07,50 	someone gins as he crosses his path with a pitcher of water.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS313 	01:08:38,00 --> 01:08:51,50 	with his arms crossed at his back, he regards the boys frankly.
PROMETHEUS.srt 	PROMETHEUS_DVS620 	01:08:07,00 --> 01:08:12,50 	crossing the mist enshrouded floor, someone arrives at another code panel.
PROMETHEUS.srt 	PROMETHEUS_DVS866 	01:35:14,00 --> 01:35:18,50 	someone crosses the room.
PROMETHEUS.srt 	PROMETHEUS_DVS881 	01:37:45,00 --> 01:37:48,50 	crosses the disc.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS110 	00:18:52,00 --> 00:18:56,50 	they cross an fbi bullpen.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS434 	01:22:56,00 --> 01:23:09,50 	armed with their rifles and sub machine guns, the g-men cross the shadowy woods.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS508 	01:36:19,00 --> 01:36:47,50 	someone crosses the roomy rundown apartment then doubles back to a door.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS604 	01:53:37,00 --> 01:53:45,50 	he crosses the room.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS620 	01:56:33,00 --> 01:56:50,50 	on another floor, someone crosses a hall to a door bearing the words detective bureau someone squad.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS623 	01:57:05,00 --> 01:57:12,50 	he crosses to a desk and halts briefly by a secretary busy typing.
SALT.srt 	SALT_DVS310 	00:54:38,00 --> 00:54:53,50 	later, it crosses the 59th street bridge.
SANCTUM.srt 	SANCTUM_DVS292 	00:59:03,00 --> 00:59:13,50 	now, we drift over a rippling subterranean pond as the group crosses a cavern as big as a covered stadium.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS675 	00:44:11,00 --> 00:44:19,50 	she crosses to him, shuffling past a mantle adorned with framed pictures and an ornamental clock.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS708 	00:46:22,00 --> 00:46:29,50 	now at school, they cross the hallway with other students.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS767 	00:51:13,00 --> 00:51:20,50 	now, someone crosses a courtyard to a wooden mailbox on a wall.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS853 	00:56:40,00 --> 00:56:45,50 	her other arm crosses her chest, she gathers the blanket up close to her chin.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1057 	01:10:53,00 --> 01:11:01,50 	as an amused someone and sebastian watch from their distant table, someone crosses the dance floor.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS174 	00:34:08,00 --> 00:34:21,50 	meanwhile, someone crosses the curio shop.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS390 	01:22:06,00 --> 01:22:10,50 	as he crosses a black persian carpet.
SOUL_SURFER.srt 	SOUL_SURFER_DVS63 	00:23:38,00 --> 00:23:42,50 	descend on the others as they cross.
SOUL_SURFER.srt 	SOUL_SURFER_DVS123 	00:40:05,00 --> 00:40:09,50 	that, crossing to one of her surf.
SPARKLE_2012.srt 	SPARKLE_2012_DVS210 	00:33:31,00 --> 00:33:40,50 	someone crosses the room, smoking a cigarette.
SPARKLE_2012.srt 	SPARKLE_2012_DVS241 	00:37:39,00 --> 00:37:46,50 	they cross their wrists over their chest, then freeze with them crossed at an angle overhead.
SPARKLE_2012.srt 	SPARKLE_2012_DVS241 	00:37:39,00 --> 00:37:46,50 	they cross their wrists over their chest, then freeze with them crossed at an angle overhead.
SPARKLE_2012.srt 	SPARKLE_2012_DVS251 	00:39:16,00 --> 00:39:24,50 	now the club owner crosses the floor and greets the comedian as he and someone arrive on another night.
SPARKLE_2012.srt 	SPARKLE_2012_DVS549 	01:30:23,00 --> 01:30:30,50 	arriving at columbia records, she crosses to the desk of the blonde haired receptionist.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS711 	01:34:48,00 --> 01:34:55,50 	later, gulls cross a blue sky as wind ruffles snowy's fur and blows someone's hair.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS103 	00:20:21,00 --> 00:20:27,50 	now, on her cell, she crosses the verrazano-narrows bridge.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS106 	00:21:11,00 --> 00:21:22,50 	later, the baby blue ragtop crosses the bridge.
THE_CALL.srt 	THE_CALL_DVS923 	01:10:51,00 --> 01:10:59,50 	in it, the lively teen poses on her belly, chin in her hands and ankles crossed up behind her.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS347 	00:53:38,00 --> 00:53:43,50 	that evening, he crosses the driveway.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS751 	01:44:50,00 --> 01:44:55,50 	someone crosses the hallway toward her family.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS183 	00:23:34,00 --> 00:23:41,50 	now, pedestrians cross paths outside someone's apartment building.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS258 	00:31:22,00 --> 00:31:34,50 	now in the cottage, someone crosses the living room to a family tree he's created on a wall, and attaches current photos of someone and someone besides various sticky notes.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS259 	00:31:31,00 --> 00:31:36,50 	he crosses to a map on another wall
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS317 	00:38:43,00 --> 00:38:47,50 	they cross the chic and minimalist home.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS714 	01:19:57,00 --> 01:20:08,50 	now a taxi crosses the bridge back to the island.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1031 	01:50:50,00 --> 01:50:57,50 	it crosses the bridge into hedestad.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1107 	01:55:45,00 --> 01:55:53,50 	someone crosses to the island counter.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1191 	02:06:54,00 --> 02:07:01,50 	with her gun at the ready, someone crosses the kitchen in search of the someone.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1257 	02:12:18,00 --> 02:12:25,50 	they cross the street with their hands in their pockets and climb into the van.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS156 	00:54:44,00 --> 00:54:50,50 	seat at the table and crosses her legs.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS293 	01:48:22,00 --> 01:48:28,50 	he crosses a room on the other side.
THE_VOW.srt 	THE_VOW_DVS343 	00:46:33,00 --> 00:46:43,50 	riding on board, someone glances out her window, as her train crosses an intersecting rail line.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS53 	00:13:16,00 --> 00:13:28,50 	the successful business woman crosses paths with her and rolls her eyes.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS357 	01:28:08,00 --> 01:28:14,50 	as she embraces her, a horrified look crosses his face.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS178 	00:32:43,00 --> 00:32:55,50 	outside, as someone crosses the street, someone catches up.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS186 	00:24:49,00 --> 00:24:54,50 	he crosses his arms and feels his back for wings.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS775 	01:23:25,00 --> 01:23:29,50 	and crosses to the bed.
TRUE_GRIT.srt 	TRUE_GRIT_DVS351 	01:12:13,00 --> 01:12:17,50 	they cross a river.
TRUE_GRIT.srt 	TRUE_GRIT_DVS464 	01:31:03,00 --> 01:31:08,50 	someone and someone each fire as they cross paths.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS387 	00:46:18,00 --> 00:46:25,50 	as someone crosses off items on a list, someone spies someone's nephew.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS399 	00:48:26,00 --> 00:48:31,50 	they cross the set to a coffee station.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS444 	00:54:01,00 --> 00:54:08,50 	under the table, someone crosses her legs.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS449 	01:10:21,00 --> 01:10:36,50 	later, the hand crosses off june 10th.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS571 	01:18:39,00 --> 01:18:43,50 	she crosses her finger
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS695 	01:34:50,00 --> 01:34:56,50 	driving, someone crosses a third wedding off her list.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS703 	01:35:22,00 --> 01:35:28,50 	driving again, she violently crosses another wedding off her list.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS52 	00:04:31,00 --> 00:04:36,50 	the owner crosses to a desk.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS232 	00:17:43,00 --> 00:17:48,50 	the agent crosses the floor.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS970 	01:29:08,00 --> 01:29:14,50 	he crosses the room.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1055 	01:35:09,00 --> 01:35:19,50 	do not cross the line.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1067 	01:36:34,00 --> 01:36:42,50 	with wide eyes, he crosses the bridge, pushes a fellow officer out of his way, and presses a button.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1142 	01:42:13,00 --> 01:42:25,50 	someone peers at the someone, who twirls, engulfing himself in a cyclone, which grows tremendously in size and crosses onto the surface of the sea.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1161 	01:43:33,00 --> 01:43:38,50 	someone crosses the cabin.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1188 	01:46:00,00 --> 01:46:06,50 	in the submarine, someone crosses the office.
ZOMBIELAND.srt 	ZOMBIELAND_DVS543 	01:03:43,00 --> 01:03:48,50 	at dusk, the hummer crosses a vast parking lot.
ZOMBIELAND.srt 	ZOMBIELAND_DVS565 	01:06:06,00 --> 01:06:14,50 	now zombies cross the play land parking lot, but the girls remain oblivious.
ZOOKEEPER.srt 	ZOOKEEPER_DVS157 	00:35:29,00 --> 00:35:35,50 	the wolf crosses to a nearby fence, averting his gaze.
ZOOKEEPER.srt 	ZOOKEEPER_DVS388 	01:27:11,00 --> 01:27:17,50 	in a parking lot, someone the gorilla crosses to a van and open.
