21_JUMP_STREET.srt  	21_JUMP_STREET_DVS214  	00:36:28,00 --> 00:36:37,50  	As the undercover cops shake their heads, a rapid series of explosive and disturbing images fill our view.
A_THOUSAND_WORDS.srt  	A_THOUSAND_WORDS_DVS189  	00:35:28,00 --> 00:35:33,50  	SOMEONE shakes black haired Gil's hand, then gestures to SOMEONE.
A_THOUSAND_WORDS.srt  	A_THOUSAND_WORDS_DVS215  	00:41:33,00 --> 00:41:38,50  	SOMEONE shakes his fists and walks into the backyard.
A_THOUSAND_WORDS.srt  	A_THOUSAND_WORDS_DVS246  	00:47:34,00 --> 00:47:42,50  	SOMEONE points at his own throat then shakes his head.
A_THOUSAND_WORDS.srt  	A_THOUSAND_WORDS_DVS291  	00:53:43,00 --> 00:53:47,50  	SOMEONE shakes his head.
A_THOUSAND_WORDS.srt  	A_THOUSAND_WORDS_DVS356  	01:01:33,00 --> 01:01:38,50  	Young SOMEONE shakes food of his fork.
A_THOUSAND_WORDS.srt  	A_THOUSAND_WORDS_DVS365  	01:03:20,00 --> 01:03:26,50  	SOMEONE shakes a snow globe, then sets it in front of SOMEONE.
A_THOUSAND_WORDS.srt  	A_THOUSAND_WORDS_DVS367  	01:03:56,00 --> 01:04:00,50  	SOMEONE shakes his head and shrugs.
A_THOUSAND_WORDS.srt  	A_THOUSAND_WORDS_DVS369  	01:04:33,00 --> 01:04:38,50  	He looks down and shakes his head slightly.
A_THOUSAND_WORDS.srt  	A_THOUSAND_WORDS_DVS434  	01:14:42,00 --> 01:14:48,50  	SOMEONE holds up his hands and shakes his head, then leaves.
A_THOUSAND_WORDS.srt  	A_THOUSAND_WORDS_DVS448  	01:16:42,00 --> 01:16:46,50  	He shakes his head.
A_THOUSAND_WORDS.srt  	A_THOUSAND_WORDS_DVS488  	01:24:00,00 --> 01:24:04,50  	SOMEONE shakes SOMEONE's hand.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt  	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS161  	00:21:22,00 --> 00:21:34,50  	SOMEONE turns the thief’s inside out coat back the right way then shakes out the wrinkles.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt  	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS260  	00:38:06,00 --> 00:38:13,50  	SOMEONE climbs into his carriage then shakes SOMEONE's hand.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt  	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS321  	00:46:19,00 --> 00:46:23,50  	SOMEONE shakes his head.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt  	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS349  	00:49:42,00 --> 00:49:46,50  	SOMEONE shakes SOMEONE's hand.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt  	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS519  	01:12:57,00 --> 01:13:06,50  	He holds up a shaking hand and a shaft of light shining through a hole in his chest hits his palm.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt  	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS602  	01:23:09,00 --> 01:23:40,50  	SOMEONE gives him a bullet then shakes his hand.
BAD_TEACHER.srt  	BAD_TEACHER_DVS29  	00:11:35,00 --> 00:11:40,50  	SOMEONE shakes her head.
BAD_TEACHER.srt  	BAD_TEACHER_DVS114  	00:30:37,00 --> 00:30:42,50  	SOMEONE shakes her head.
BAD_TEACHER.srt  	BAD_TEACHER_DVS169  	00:46:34,00 --> 00:46:39,50  	SOMEONE shakes her head.
BAD_TEACHER.srt  	BAD_TEACHER_DVS171  	00:46:42,00 --> 00:46:47,50  	SOMEONE shakes her head.
BRUNO.srt  	BRUNO_DVS58  	00:11:47,00 --> 00:11:54,50  	The actor playing the lawyer shakes his head.
BRUNO.srt  	BRUNO_DVS81  	00:16:59,00 --> 00:17:04,50  	SOMEONE shakes his head.
BRUNO.srt  	BRUNO_DVS88  	00:19:26,00 --> 00:19:30,50  	SOMEONE shakes his head and glares.
BRUNO.srt  	BRUNO_DVS107  	00:23:27,00 --> 00:23:32,50  	The candidate shakes his head.
BRUNO.srt  	BRUNO_DVS117  	00:26:25,00 --> 00:26:36,50  	SOMEONE shakes his head back and forth as he strokes SOMEONE's invisible member.
BRUNO.srt  	BRUNO_DVS212  	00:58:43,00 --> 00:58:49,50  	Offers his limp hand to one of three hunters, and the man shakes it.
BRUNO.srt  	BRUNO_DVS265  	01:15:30,00 --> 01:15:35,50  	He shakes his head, then walks out.
BURLESQUE.srt  	BURLESQUE_DVS94  	00:10:36,00 --> 00:10:44,50  	Then she returns her eyes to the stage where the dancers shake their hips.
BURLESQUE.srt  	BURLESQUE_DVS209  	00:30:48,00 --> 00:30:52,50  	SOMEONE shakes her head.
BURLESQUE.srt  	BURLESQUE_DVS237  	00:34:14,00 --> 00:34:28,50  	SOMEONE softly shakes his head to himself.
BURLESQUE.srt  	BURLESQUE_DVS239  	00:34:27,00 --> 00:34:36,50  	A smiling SOMEONE points her knees and pops out her hands, then swings her arms, shakes her hips, and whips her hair back.
BURLESQUE.srt  	BURLESQUE_DVS260  	00:36:50,00 --> 00:37:02,50  	The newest dancer runs her hands through her hair and shakes her hips.
BURLESQUE.srt  	BURLESQUE_DVS322  	00:44:31,00 --> 00:44:35,50  	Averting his gaze, SOMEONE shakes his head.
BURLESQUE.srt  	BURLESQUE_DVS349  	00:47:53,00 --> 00:48:00,50  	SOMEONE smiles and shakes her head.
BURLESQUE.srt  	BURLESQUE_DVS391  	00:54:17,00 --> 00:54:24,50  	Bending forward, she shakes her rear and the feathers on her short skirt flutter.
BURLESQUE.srt  	BURLESQUE_DVS454  	01:02:38,00 --> 01:02:42,50  	SOMEONE shakes her head.
BURLESQUE.srt  	BURLESQUE_DVS483  	01:07:07,00 --> 01:07:13,50  	As she removes her coat, he shakes his head and smiles.
BURLESQUE.srt  	BURLESQUE_DVS590  	01:27:25,00 --> 01:27:31,50  	SOMEONE spins around in the doorway and SOMEONE shakes her head.
BURLESQUE.srt  	BURLESQUE_DVS678  	01:45:13,00 --> 01:45:17,50  	He shakes his head at the check.
BURLESQUE.srt  	BURLESQUE_DVS750  	01:53:31,00 --> 01:53:38,50  	As they shake their butts at the audience, SOMEONE imitates them and SOMEONE grins.
CAPTAIN_AMERICA.srt  	CAPTAIN_AMERICA_DVS89  	00:14:10,00 --> 00:14:16,50  	SOMEONE stares at SOMEONE, then shakes his head as he backs away.
CAPTAIN_AMERICA.srt  	CAPTAIN_AMERICA_DVS101  	00:15:45,00 --> 00:15:51,50  	SOMEONE shakes Rogers' hands then opens a folder.
CAPTAIN_AMERICA.srt  	CAPTAIN_AMERICA_DVS208  	00:37:49,00 --> 00:37:56,50  	Standing at the back of the room, SOMEONE watches Senator Brandt shake Dr.
CAPTAIN_AMERICA.srt  	CAPTAIN_AMERICA_DVS379  	01:08:08,00 --> 01:08:19,50  	The beam shakes and its far end detaches from the wall.
CAPTAIN_AMERICA.srt  	CAPTAIN_AMERICA_DVS404  	01:13:47,00 --> 01:13:52,50  	SOMEONE shakes Dernier's hand and turns to the others.
CAPTAIN_AMERICA.srt  	CAPTAIN_AMERICA_DVS527  	01:34:39,00 --> 01:34:44,50  	SOMEONE smiles and shakes his head.
CHASING_MAVERICKS.srt  	CHASING_MAVERICKS_DVS39  	00:02:50,00 --> 00:02:56,50  	He tries to shake the salty water off his face.
CHASING_MAVERICKS.srt  	CHASING_MAVERICKS_DVS163  	00:12:58,00 --> 00:13:04,50  	He holds on, shaking his drenched head, and keeps paddling.
CHASING_MAVERICKS.srt  	CHASING_MAVERICKS_DVS165  	00:13:05,00 --> 00:13:10,50  	He shakes it off again and keeps paddling.
CHASING_MAVERICKS.srt  	CHASING_MAVERICKS_DVS168  	00:13:17,00 --> 00:13:21,50  	The round faced boy shakes his head.
CHASING_MAVERICKS.srt  	CHASING_MAVERICKS_DVS367  	00:34:42,00 --> 00:34:47,50  	He pops up and shakes out his curls.
CHASING_MAVERICKS.srt  	CHASING_MAVERICKS_DVS368  	00:34:46,00 --> 00:34:51,50  	SOMEONE shakes his head and faces the sea.
CHASING_MAVERICKS.srt  	CHASING_MAVERICKS_DVS391  	00:36:51,00 --> 00:36:57,50  	SOMEONE shakes out a cup, then fills it with coffee and shifts his anxious gaze.
CHASING_MAVERICKS.srt  	CHASING_MAVERICKS_DVS417  	00:39:17,00 --> 00:39:23,50  	SOMEONE shakes his head, wearing a slight grin on his weathered face.
CHASING_MAVERICKS.srt  	CHASING_MAVERICKS_DVS491  	00:47:40,00 --> 00:47:45,50  	Slack jawed, SOMEONE closes his eyes and shakes his head.
CHASING_MAVERICKS.srt  	CHASING_MAVERICKS_DVS578  	00:56:09,00 --> 00:56:14,50  	Surfacing, he shakes out his curls.
CHASING_MAVERICKS.srt  	CHASING_MAVERICKS_DVS605  	00:58:20,00 --> 00:58:27,50  	SOMEONE seethes on his board as SOMEONE joyfully surfaces and shakes his hair out.
CHASING_MAVERICKS.srt  	CHASING_MAVERICKS_DVS698  	01:07:44,00 --> 01:07:49,50  	SOMEONE surfaces with SOMEONE and shakes his hair out.
CHASING_MAVERICKS.srt  	CHASING_MAVERICKS_DVS767  	01:16:32,00 --> 01:16:36,50  	SOMEONE shakes his head.
CHASING_MAVERICKS.srt  	CHASING_MAVERICKS_DVS812  	01:20:14,00 --> 01:20:19,50  	SOMEONE looks around anxiously and shakes water from his hair.
CHASING_MAVERICKS.srt  	CHASING_MAVERICKS_DVS986  	01:36:37,00 --> 01:36:43,50  	As he pounds on the cabin, a veteran surfer shakes his head.
CHRONICLE.srt  	CHRONICLE_DVS522  	01:14:17,00 --> 01:14:26,50  	As SOMEONE tries to prop himself up on his elbows, SOMEONE shakes both fists overhead in a primal scream.
CINDERELLA_MAN.srt  	CINDERELLA_MAN_DVS17  	00:03:52,00 --> 00:03:57,50  	Later, SOMEONE shakes hands with the driver.
CINDERELLA_MAN.srt  	CINDERELLA_MAN_DVS72  	00:14:14,00 --> 00:14:20,50  	Facing her husband, SOMEONE shakes her head.
CINDERELLA_MAN.srt  	CINDERELLA_MAN_DVS123  	00:28:02,00 --> 00:28:06,50  	She shakes her head.
CINDERELLA_MAN.srt  	CINDERELLA_MAN_DVS211  	00:43:52,00 --> 00:43:57,50  	He shakes his head.
CINDERELLA_MAN.srt  	CINDERELLA_MAN_DVS226  	00:47:16,00 --> 00:47:19,50  	They shake hands.
CINDERELLA_MAN.srt  	CINDERELLA_MAN_DVS228  	00:48:27,00 --> 00:48:32,50  	As SOMEONE stops, SOMEONE shakes his head.
CINDERELLA_MAN.srt  	CINDERELLA_MAN_DVS288  	01:09:08,00 --> 01:09:12,50  	SOMEONE shakes his head.
CINDERELLA_MAN.srt  	CINDERELLA_MAN_DVS293  	01:10:18,00 --> 01:10:23,50  	Mrs. Gould looks away, smiles, and shakes her head.
CINDERELLA_MAN.srt  	CINDERELLA_MAN_DVS402  	01:37:46,00 --> 01:37:52,50  	Baer arrives and shakes hands with the SOMEONE.
CINDERELLA_MAN.srt  	CINDERELLA_MAN_DVS409  	01:38:39,00 --> 01:38:49,50  	At the bar, Baer stands and shakes SOMEONE's hand.
CINDERELLA_MAN.srt  	CINDERELLA_MAN_DVS544  	02:08:06,00 --> 02:08:17,50  	In a grainy blurred focused view from SOMEONE's corner, SOMEONE rubs his head and shakes his arms down.
CINDERELLA_MAN.srt  	CINDERELLA_MAN_DVS576  	02:16:26,00 --> 02:16:31,50  	turns and shakes hands with a gentleman in a suit.
COLOMBIANA.srt  	COLOMBIANA_DVS131  	00:11:13,00 --> 00:11:17,50  	She shakes her head.
COLOMBIANA.srt  	COLOMBIANA_DVS300  	00:25:48,00 --> 00:25:53,50  	Eating her breakfast, the little girl shakes her head.
COLOMBIANA.srt  	COLOMBIANA_DVS405  	00:36:01,00 --> 00:36:07,50  	The policeman finds the plastic cup and shakes his head at it.
COLOMBIANA.srt  	COLOMBIANA_DVS659  	01:01:52,00 --> 01:01:57,50  	SOMEONE shakes his head as he turns to face her.
COLOMBIANA.srt  	COLOMBIANA_DVS913  	01:27:00,00 --> 01:27:05,50  	She shakes her head with a sorrowful childlike pout
DEAR_JOHN.srt  	DEAR_JOHN_DVS31  	00:03:53,00 --> 00:03:58,50  	The smiling woman shakes her drenched bag.
DEAR_JOHN.srt  	DEAR_JOHN_DVS107  	00:15:43,00 --> 00:15:48,50  	He bashfully shakes it.
DEAR_JOHN.srt  	DEAR_JOHN_DVS273  	00:42:44,00 --> 00:42:51,50  	SOMEONE studies the coin and shakes his head.
DEAR_JOHN.srt  	DEAR_JOHN_DVS303  	00:47:12,00 --> 00:47:19,50  	Later in a conference room, he shakes hands with two soldiers then grabs his bag.
DEAR_JOHN.srt  	DEAR_JOHN_DVS399  	01:01:28,00 --> 01:01:35,50  	SOMEONE shakes it.
DEAR_JOHN.srt  	DEAR_JOHN_DVS468  	01:08:26,00 --> 01:08:35,50  	Clenching his jaw, SOMEONE shakes his head, as he continues to toss letters into the flames.
DEAR_JOHN.srt  	DEAR_JOHN_DVS568  	01:20:52,00 --> 01:20:57,50  	He resolutely shakes his head.
DEAR_JOHN.srt  	DEAR_JOHN_DVS623  	01:25:05,00 --> 01:25:12,50  	SOMEONE swallows, dropping his gaze, then shakes his head and locks eyes with SOMEONE.
DEAR_JOHN.srt  	DEAR_JOHN_DVS634  	01:26:35,00 --> 01:26:41,50  	SOMEONE nods, then sorrowfully shakes her head.
DEAR_JOHN.srt  	DEAR_JOHN_DVS676  	01:31:06,00 --> 01:31:11,50  	SOMEONE shakes her head.
DEAR_JOHN.srt  	DEAR_JOHN_DVS691  	01:33:09,00 --> 01:33:13,50  	He shakes his head.
DEAR_JOHN.srt  	DEAR_JOHN_DVS741  	01:37:52,00 --> 01:37:57,50  	She shakes her head disbelievingly.
DINNER_FOR_SCHMUCKS.srt  	DINNER_FOR_SCHMUCKS_DVS268  	01:04:47,00 --> 01:04:52,50  	SOMEONE shakes hands with SOMEONE.
DINNER_FOR_SCHMUCKS.srt  	DINNER_FOR_SCHMUCKS_DVS374  	01:31:03,00 --> 01:31:09,50  	SOMEONE shakes his head.
DINNER_FOR_SCHMUCKS.srt  	DINNER_FOR_SCHMUCKS_DVS377  	01:32:13,00 --> 01:32:19,50  	The vulture man and the beard man shake their heads sadly.
