21_JUMP_STREET.srt  	21_JUMP_STREET_DVS475  	01:17:40,00 --> 01:17:49,50  	They hurry on stage and break up the fight.
CHRONICLE.srt  	CHRONICLE_DVS449  	01:05:43,00 --> 01:05:48,50  	We follow him as he hurries out of the room.
CINDERELLA_MAN.srt  	CINDERELLA_MAN_DVS160  	00:34:46,00 --> 00:34:52,50  	Nearby, a woman hurries after a man who marches away with luggage.
CINDERELLA_MAN.srt  	CINDERELLA_MAN_DVS432  	01:44:54,00 --> 01:45:04,50  	Later, outside the rundown tenement, a man hurries to a railing overlooking the alley.
COLOMBIANA.srt  	COLOMBIANA_DVS67  	00:04:32,00 --> 00:04:38,50  	Meanwhile, SOMEONE hurries to a car guarded by armed men.
COLOMBIANA.srt  	COLOMBIANA_DVS95  	00:07:29,00 --> 00:07:39,50  	The family hurries back into the kitchen.
COLOMBIANA.srt  	COLOMBIANA_DVS162  	00:14:24,00 --> 00:14:30,50  	SOMEONE hurries down a flight of stairs into an alley.
COLOMBIANA.srt  	COLOMBIANA_DVS241  	00:20:16,00 --> 00:20:22,50  	The woman hurries off past the security guard.
COLOMBIANA.srt  	COLOMBIANA_DVS438  	00:38:42,00 --> 00:39:00,50  	The officers hurry up a set of emergency access stairs.
COLOMBIANA.srt  	COLOMBIANA_DVS454  	00:40:01,00 --> 00:40:06,50  	She hurries to her cell and shuts herself in.
COLOMBIANA.srt  	COLOMBIANA_DVS614  	00:58:14,00 --> 00:58:21,50  	He frames his crotch with his hands then hurries over and belly flops onto the bed.
COLOMBIANA.srt  	COLOMBIANA_DVS633  	00:59:41,00 --> 00:59:48,50  	With her fingers curled around the gun's handle, she hurries into the mansion.
COLOMBIANA.srt  	COLOMBIANA_DVS759  	01:13:28,00 --> 01:13:32,50  	He hurries outside.
COLOMBIANA.srt  	COLOMBIANA_DVS963  	01:32:50,00 --> 01:32:55,50  	He hurries over and starts to lift him.
COLOMBIANA.srt  	COLOMBIANA_DVS1082  	01:42:45,00 --> 01:42:49,50  	The agent hurries off.
DEAR_JOHN.srt  	DEAR_JOHN_DVS278  	00:43:39,00 --> 00:43:46,50  	SOMEONE hurries down a sidewalk and briefly stops for SOMEONE to catch up.
DEAR_JOHN.srt  	DEAR_JOHN_DVS307  	00:47:55,00 --> 00:48:06,50  	She ducks under a dividing rope, and hurries around to the other side.
DEAR_JOHN.srt  	DEAR_JOHN_DVS639  	01:27:07,00 --> 01:27:12,50  	She hurries away, and he idly looks around.
