0006_Clerks_00.04.36.887-00.04.44.005 	DANTE stands on a garbage can and tucks a corner of the sheet under the awning.
1012_Unbreakable_00.04.44.190-00.04.55.628 	the young woman sits down, glances at some leaflets, drops them in the seat pocket, straightens her shoulder-length brown hair, tucks down her top, sits back, and closes her eyes.
1012_Unbreakable_00.06.42.463-00.06.50.225 	she looks up, her smile gone, folds and unfolds her arms, tucks her fist under her chin, shows him her wedding ring.
1015_27_Dresses_00.40.37.302-00.40.40.916 	there's a small white box tucked in the dog's collar.
1015_27_Dresses_01.22.26.356-01.22.28.277 	tess tucks into a helping of ribs.
1028_No_Reservations_00.09.28.231-00.09.31.128 	she sits down as he tucks in.
1028_No_Reservations_00.35.55.089-00.35.59.186 	hungrily tucking into their food, leah and bernadette watch nick and kate.
1028_No_Reservations_00.41.29.426-00.41.29.872 	a tea towel tucked into her apron has caught fire.
1028_No_Reservations_00.54.57.008-00.55.02.236 	the staff tuck in hungrily.
1030_Public_Enemies_00.02.57.790-00.03.00.456 	they stealthily tucked the weapons in their pants.
1033_Sherlock_Holmes_A_Game_of_Shadows_00.11.12.304-00.11.16.517 	he glances around and tucks his napkin down the front of his shirt.
1047_Defiance_00.10.38.901-00.10.40.545 	and tucks the gun into his belt.
1047_Defiance_01.30.38.336-01.30.42.837 	asael looks over to arkady who's standing with his back to them both, tucking into his large portion of food.
1048_Gran_Torino_00.49.01.062-00.49.04.448 	sue wanders into the kitchen and finds him tucking in.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_01.06.57.645-01.07.00.952 	he tucks the locket inside his shirt.
1052_Harry_Potter_and_the_order_of_phoenix_00.30.21.560-00.30.28.851 	in the great hall, luna and the other students tuck into a luscious assortment of puddings.
1052_Harry_Potter_and_the_order_of_phoenix_01.02.00.451-01.02.01.896 	he tucks in.
1053_Harry_Potter_and_the_philosophers_stone_00.13.14.734-00.13.23.148 	he steps inside, tucking his pink umbrella into his coat.
1053_Harry_Potter_and_the_philosophers_stone_00.49.59.000-00.50.07.000 	he is sitting in his pajamas on the wide-stone sill gazing out of the window with his knees tucked up under his chin.
1053_Harry_Potter_and_the_philosophers_stone_01.34.47.217-01.35.07.442 	with his knees tucked under his chin, harry sits alone on the stone floor of the empty classroom, gazing into the mirror.
1055_Marley_and_me_01.06.18.164-01.06.28.118 	later, jenny tucks the baby into his cot, then goes over to kiss patrick, who's snug in his little bed.
1056_Rambo_00.20.07.985-00.20.13.363 	rambo sees a pistol tucked into the second pirate's waistband.
1058_The_Damned_united_00.38.06.168-00.38.16.943 	the derby players tuck the white shirts of their home kit into their shorts and sit on benches as brian strolls in.
1059_The_devil_wears_prada_01.11.56.808-01.11.59.814 	emily tucks into a jelly pot and some bread.
2005_Signs_00.27.56.312-00.27.57.581 	merrill tucks the pamphlet in his jacket.
2005_Signs_00.51.43.806-00.51.45.727 	he tucks the book under his arm and picks up the phone.
2012_Unbreakable_01.25.44.075-01.25.44.575 	he knees tucked up to her chest.
1053_Harry_Potter_and_the_philosophers_stone_00.13.14.734-00.13.23.148 	he steps inside, tucking his pink umbrella into his coat.
1053_Harry_Potter_and_the_philosophers_stone_00.49.59.000-00.50.07.000 	he is sitting in his pajamas on the wide-stone sill gazing out of the window with his knees tucked up under his chin.
1053_Harry_Potter_and_the_philosophers_stone_01.34.47.217-01.35.07.442 	with his knees tucked under his chin, harry sits alone on the stone floor of the empty classroom, gazing into the mirror.
1055_Marley_and_me_01.06.18.164-01.06.28.118 	later, jenny tucks the baby into his cot, then goes over to kiss patrick, who's snug in his little bed.
1056_Rambo_00.20.07.985-00.20.13.363 	rambo sees a pistol tucked into the second pirate's waistband.
1058_The_Damned_united_00.38.06.168-00.38.16.943 	the derby players tuck the white shirts of their home kit into their shorts and sit on benches as brian strolls in.
1059_The_devil_wears_prada_01.11.56.808-01.11.59.814 	emily tucks into a jelly pot and some bread.
2005_Signs_00.27.56.312-00.27.57.581 	merrill tucks the pamphlet in his jacket.
2005_Signs_00.51.43.806-00.51.45.727 	he tucks the book under his arm and picks up the phone.
2012_Unbreakable_01.25.44.075-01.25.44.575 	he knees tucked up to her chest.
