0002_As_Good_As_It_Gets_01.16.35.767-01.16.37.619 	frank stumbles back.
1047_Defiance_01.56.50.550-01.56.55.714 	in a narrow woodland area, shimon, clutching his leather briefcase, starts to stumble.
1051_Harry_Potter_and_the_goblet_of_fire_00.02.00.163-00.02.05.901 	he stumbles across the uneven ground, towards the big house.
1054_Harry_Potter_and_the_prisoner_of_azkaban_01.58.43.443-01.58.52.090 	they race back the way they came through the moonlit forest, stumbling over the uneven ground.
1056_Rambo_00.47.16.759-00.47.32.054 	they stumble desperately through the water.
1056_Rambo_01.04.56.666-01.04.57.744 	she stumbles in the dirt.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.19.08.000-00.19.09.000 	he stumbles.
2005_Signs_00.38.13.558-00.38.14.101 	he stumbles backwards into the crops.
2026_Legion_00.30.10.025-00.30.14.698 	bob and jeep appear from the back, as kyle, percy, audrey and sandra carry howard into the diner, all of them stumbling, gasping for air.
2034_Super_8_01.04.29.045-01.04.36.753 	-- when louis finally gets out -- he runs from his car -- stumbling drunk and bleeding -- screaming, shredding his.
2054_Harry_Potter_and_the_prisoner_of_azkaban_01.23.19.631-01.23.22.811 	malfoy stumbles back against a tree, cross-eyed with fear as hermione jabs the tip of her wand under his nose, when.
