0004_Charade_01.05.09.237-01.05.25.062 	TEX takes the list, examines it, then folds it and puts it in his pocket.
0020_Raising_Arizona_00.01.26.169-00.01.28.929 	At this point the pan has reached the COUNSELOR, an earnest, bearded young man who straddles a folding chair with his arms folded over its back.
0020_Raising_Arizona_00.57.31.589-00.57.32.777 	Through it we can see the Biker sitting on the ground, legs stretched out in front of him, back resting against his parked motorcycle, arms folded across his chest.
0023_THE_BUTTERFLY_EFFECT_00.36.56.546-00.37.10.048 	When Evan comes to in this memory, the lit cigarette absently drops from his mouth and nestles into the folds of his shirt.
0029_The_Graduate_00.25.22.045-00.25.39.129 	He stands up in the booth, looks around, moves about uncomfortably for a few moments, removes his jacket and carrying it folded across his arm in front of him, leaves the phone booth and crosses to the doors that lead to the main lobby.
0029_The_Graduate_01.00.05.929-01.00.07.669 	She folds her hands on the table and looks down at them.
0030_The_Hustler_01.40.07.400-01.40.09.587 	Bert displays a neatly folded wad of money in his hand.
0031_The_Lost_Weekend_00.11.04.076-00.11.07.443 	There's nothing but sugar in the bowl, but lining the lid is a folded five-dollar bill.
0031_The_Lost_Weekend_00.11.27.086-00.11.37.723 	He looks at it, folds it neatly, pockets it, puts on his hat, then, with an afterthought, goes into the living room.
0038_Psycho_00.49.38.180-00.49.45.592 	As CAMERA approaches the bed, we see the folded newspaper as Mary placed it on the bedside table.
0038_Psycho_01.47.08.399-01.47.10.825 	The Guard is carrying a folded blanket over his arm.
0041_The_Sixth_Sense_00.10.14.374-00.10.16.313 	Malcolm clutches his stomach and folds like a rag doll onto the bed.
0041_The_Sixth_Sense_00.53.05.866-00.53.07.933 	She pulls it off and begins to fold it.
0041_The_Sixth_Sense_01.02.21.951-01.02.26.904 	Lynn folds her napkin quietly.
0043_Thelma_and_Luise_00.06.48.299-00.06.49.332 	A perfectly ordered suitcase, everything neatly folded and orderly.
0049_Hannah_and_her_sisters_00.19.21.720-00.19.25.562 	She walks past David to a counter where she begins to fold napkins.
1002_Harry_Potter_and_the_Half-Blood_Prince_00.52.50.581-00.52.53.614 	Harry folds back the wrapping paper.
1002_Harry_Potter_and_the_Half-Blood_Prince_02.21.19.455-02.21.21.676 	Inside is a neatly folded piece of paper.
1004_Juno_00.37.23.550-00.37.28.217 	Vanessa presses her hands together as if in prayer and lets him fold her in his arms.
1005_Signs_00.27.56.744-00.28.00.000 	Merrill folds up the pamphlet and puts it in his pocket.
1005_Signs_01.29.43.998-01.29.47.212 	They turn to look at Morgan asleep on the floor, his head resting on folded blankets.
1006_Slumdog_Millionaire_01.50.10.994-01.50.13.320 	His arms are folded around his knees.
1007_Spider-Man1_00.18.15.693-00.18.17.230 	He folds them up.
1052_Harry_Potter_and_the_order_of_phoenix_02.04.22.325-02.04.30.047 	harry folds the sweatshirt, puts it into the trunk and closes the lid.
1053_Harry_Potter_and_the_philosophers_stone_00.49.51.799-00.49.57.257 	in the boys dormitory, uniforms neatly folded on the chairs beside their four-poster beds.
1054_Harry_Potter_and_the_prisoner_of_azkaban_02.07.17.409-02.07.23.396 	a cabin trunk packs itself, folds up its contents neatly and closes.
1054_Harry_Potter_and_the_prisoner_of_azkaban_02.08.11.625-02.08.17.850 	lupin points his wand and the parchment folds itself up and becomes blank.
1057_Seven_pounds_01.13.56.561-01.13.58.606 	she folds her cardigan around her.
1058_The_Damned_united_00.14.55.000-00.15.02.041 	now, he lays an orange on each of the neatly folded towels on the benches.
2012_Unbreakable_00.33.56.222-00.34.00.094 	this piece of paper is folded over three times, unlike the others.
2012_Unbreakable_01.24.18.665-01.24.19.260 	his crumpled tie lies folded over itself on his still chest.
2027_Les_Miserables_01.28.28.971-01.28.30.412 	cosette hurries down the garden to the gate, and goes to put the folded letter in the grill where her and marius' hands entwined.
2041_This_is_40_00.50.52.302-00.50.57.452 	debbie talks to jodi while they fold clothes and watch desi.
