0006_Clerks_01.24.29.341-01.24.30.473 	randal tumbles into the cakes as entenman's products scatter beneath and around him.
1011_The_Help_01.19.02.626-01.19.03.813 	mae mobley, with her knickers down, proudly sits on one of the many toilets scattered across the lawn.
1012_Unbreakable_01.23.34.521-01.23.42.187 	the spreading light falls on mail scattered over a tiled floor, and on clothes strewn on the floor further inside.
1033_Sherlock_Holmes_A_Game_of_Shadows_00.30.48.632-00.30.54.003 	holmes smashes through a window and crashes into watson, scattering all the money.
1033_Sherlock_Holmes_A_Game_of_Shadows_00.31.08.872-00.31.13.374 	watson notices the other players eyeing his winnings, which are now scattered on the floor.
1034_Super_8_01.42.19.981-01.42.27.766 	the water tower collapses and crashes down into the street, scattering soldiers standing there, and crushing their vehicles.
1043_Vantage_Point_01.15.02.523-01.15.09.913 	pedestrians scatter as barnes is sandwiched between the truck and the near by wall.
1049_Harry_Potter_and_the_chamber_of_secrets_00.33.52.009-00.33.58.910 	swooping low over the table, it heads for ron, but collides with a bowl, scattering crisps everywhere.
1049_Harry_Potter_and_the_chamber_of_secrets_01.48.25.900-01.48.34.550 	scattering spiders, ron backs the car out around the tree roots and back along the narrow tunnel.
1049_Harry_Potter_and_the_chamber_of_secrets_01.50.08.078-01.50.12.077 	the car rises into the air smashing into a branch and scattering spiders.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_00.56.26.122-00.56.33.035 	they scatter among the desks in the open plan office.
1051_Harry_Potter_and_the_goblet_of_fire_00.59.54.327-01.00.00.018 	he bursts out through the stands over the heads of the startled onlookers, wings tearing through the canopy, scattering professors.
1052_Harry_Potter_and_the_order_of_phoenix_01.36.11.826-01.36.21.513 	the multicolored fireworks spiral down and explode, scattering the papers in all directions.
1053_Harry_Potter_and_the_philosophers_stone_00.07.38.459-00.07.44.539 	visitors scatter in all directions.
1053_Harry_Potter_and_the_philosophers_stone_00.56.51.436-00.56.53.490 	the children scatter.
2026_Legion_00.38.39.528-00.38.45.538 	dark shapes bolt from the burning vehicles, scattering.
2027_Les_Miserables_01.49.11.026-01.49.14.372 	swiftly valjean grabs a gun and shoots up at them sending them scattering.
2034_Super_8_00.31.33.020-00.31.33.545 	charles, joe and preston, with joe's dad's kodak camera on tripod, have been filming, their gear scattered.
2054_Harry_Potter_and_the_prisoner_of_azkaban_00.25.13.533-00.25.17.221 	amid scattered applause, harry, ron, hermione clap.
2054_Harry_Potter_and_the_prisoner_of_azkaban_01.55.29.324-01.55.31.763 	the crows scatter to the skies.
