0001_American_Beauty_00.10.07.367-00.10.08.408 	his head suddenly jerks up and he looks at us, as if he realizes he's being watched.
0027_The_Big_Lebowski_00.11.56.015-00.11.58.517 	oddly, the dude's sunglassed face is on it; we realize that, under the magazine's logo and headline, the display is mirrored.
0030_The_Hustler_00.15.50.042-00.15.53.902 	eddie, hand to his mouth, realizes that the big moment has arrived and beckons to charlie for his leather cue case.
0030_The_Hustler_01.30.52.083-01.30.55.108 	finally, eddie realizes he must respond.
0031_The_Lost_Weekend_00.40.12.630-00.40.18.316 	don can't see them, they can't see him, as he overhears their conversation, and it takes him a little time to realize that they are helen's parents.
0031_The_Lost_Weekend_00.46.16.650-00.46.20.774 	she is beginning to realize that he's drunk.
0031_The_Lost_Weekend_01.27.22.948-01.27.39.788 	don realizes he's forgotten to put it up, but it's not too late, is it?
0032_The_Princess_Bride_00.28.41.374-00.28.45.583 	because, as he begins to put his feet into strange positions, we realize that what he is doing is miming the fencers.
0038_Psycho_00.16.07.067-00.16.12.651 	she glances at him nervously, pokes in her bag a bit more, sighs, realizes she'll have to remove some of its contents.
0038_Psycho_00.31.24.933-00.31.32.501 	she looks about, at the closet, the drawers etc., realizes all such places are obvious.
0038_Psycho_00.32.24.735-00.32.29.249 	mary walks slowly to the window, realizing that the terrible voice is coming from the house behind the cabins.
0041_The_Sixth_Sense_00.57.10.179-00.57.12.660 	malcolm stops at a set of doors at the end of the hall -- realizes cole is no longer next to him.
0043_Thelma_and_Luise_00.11.09.567-00.11.13.462 	louise realizes that thelma is going to revert to a teenager and continue whining unless she gives in.
0043_Thelma_and_Luise_00.28.41.237-00.28.45.619 	louise did not realize she was doing it.
0043_Thelma_and_Luise_00.49.26.584-00.49.28.830 	they realize they have not been spotted.
0043_Thelma_and_Luise_01.57.20.860-01.57.22.996 	louise has tears streaming down her face as she realizes there is absolutely no escape.
0050_Indiana_Jones_and_the_last_crusade_01.49.16.080-01.49.24.725 	and then he realizes that a man is praying at the altar!
0053_Rendezvous_mit_Joe_Black_00.48.04.539-00.48.15.516 	he shifts the spoon from hand to hand, starts to stick it in his pocket, realizes this is inappropriate.
0053_Rendezvous_mit_Joe_Black_01.28.05.904-01.28.11.389 	quince hesitates, then realizes what drew has on his mind.
1006_Slumdog_Millionaire_01.44.47.489-01.44.50.485 	latika realizes she's left salim's phone in the car.
1008_Spider-Man2_00.58.02.209-00.58.04.773 	realizing the lens cap is still on, peter removes it.
1008_Spider-Man2_01.46.01.053-01.46.08.276 	blinks to clear his eyes and realizes the train is hurdling through the city towards the end of the line.
1008_Spider-Man2_01.49.16.828-01.49.19.531 	a worried look creeps into his eyes as he realizes he has no mask.
1009_Spider-Man3_00.43.04.384-00.43.06.452 	her smile quickly fades as she realizes the crowd is not for her.
1009_Spider-Man3_01.37.44.667-01.37.48.949 	gwen looks up and realizes it's peter playing the piano.
1009_Spider-Man3_01.40.14.728-01.40.19.658 	his vicious expression turns to wide eyed shock as he realizes what he's done.
1014_2012_02.17.10.518-02.17.13.246 	she turns and realizes noah is nowhere to be seen.
1015_27_Dresses_00.23.37.648-00.23.47.395 	as jane approaches, her face falls, realizing that george and tess are making a beeline for each other.
1029_Pride_And_Prejudice_Disk_One_00.21.28.659-00.21.37.796 	however, when he realizes they're discussing him, he turns away.
1029_Pride_And_Prejudice_Disk_One_00.44.33.676-00.44.36.578 	darcy realizes he is being spoken to.
1030_Public_Enemies_01.42.07.117-01.42.13.119 	but the g-men step right past, realizing he's inside, and cross the street.
1033_Sherlock_Holmes_A_Game_of_Shadows_00.48.01.025-00.48.07.255 	the soldier watson hit realizes he's inadvertently pulled the pin out of the grenade which then dropped back into a bag full of grenades.
1042_Up_In_The_Air_01.05.11.742-01.05.13.670 	they realize mr. samuels is in the next office on the other side of an opaque glass screen.
2005_Signs_00.06.15.776-00.06.21.123 	he turns to put it on the counter and realizes his children are seated on the kitchen floor with one of their two german shepherds.
2012_Unbreakable_00.08.14.754-00.08.17.940 	he sits up when he realizes the shaking is getting stronger.
2012_Unbreakable_00.08.27.784-00.08.31.838 	some of the other passengers start to react as they realize the train is picking up speed.
2012_Unbreakable_01.05.06.265-01.05.11.298 	as he gets closer to the customer, he realizes that the man is in a wheelchair.
2026_Legion_00.28.55.361-00.28.59.163 	and that's when they realize it hose aren't clouds.
2026_Legion_01.11.16.278-01.11.19.041 	charlie watches in horror as the boy calmly realizes that his thumbs are missing.
2026_Legion_01.24.52.753-01.24.57.364 	it takes the creature a moment to realize that the clicking sound is coming from bob's silver zippo.
2027_Les_Miserables_00.35.58.093-00.35.59.177 	appalled, he realizes he's made a terrible mistake.
2034_Super_8_00.53.02.395-00.53.06.282 	jack suddenly stops himself, realizing what he's saying.
2034_Super_8_01.18.12.639-01.18.23.729 	the boys are put onto the bus -- boom down to donny's car in the foreground, where we realize that we haven't been the only audience to this: donny, sunk deep in his seat, hiding, watches wide-eyed as the bus drives away.
2040_The_Ugly_Truth_00.28.37.970-00.28.41.314 	realizing her defeat, abby sighs.
2040_The_Ugly_Truth_00.42.23.873-00.42.24.909 	abby realizes she's spoken aloud.
2040_The_Ugly_Truth_01.28.02.408-01.28.03.634 	realizing the balloon is now soaring upwards.
2041_This_is_40_02.00.22.705-02.00.22.901 	debbie sees the punch and gasps, realizing it's pete.
