0001_American_Beauty_00.09.53.401-00.09.54.138 	CLOSE on the face of RICKY FITTS, illuminated by the screen of his DIGICAM as he videotapes.
1009_Spider-Man3_01.41.07.932-01.41.13.540 	a flash of lightning illuminates a gothic church with a tall studded aspire topped by a stone crucifix.
1009_Spider-Man3_01.48.06.268-01.48.11.904 	at night peter walks under the illuminated canopy of the theater across the street from mary jane's apartment building.
1010_TITANIC_00.01.55.263-00.01.56.644 	their lights illuminated a small expansive pale sand.
1010_TITANIC_00.03.24.134-00.03.32.713 	both subs glide of the wreck and illuminate twisted metal shapes encrusted with grayish growth
1010_TITANIC_00.04.16.958-00.04.24.833 	lights illuminate rectangular windows with panes of broken glass.
1010_TITANIC_00.05.45.759-00.05.51.096 	its bright lights illuminate a crystal chandelier, still dangling from a ceiling.
1010_TITANIC_02.18.30.845-02.18.33.634 	the light briefly illuminates rose's face.
1010_TITANIC_02.53.13.452-02.53.18.570 	the crewman's flashlight beam illuminates a dead woman and infant floating in the water.
1010_TITANIC_02.54.17.161-02.54.27.033 	her hair and eyebrows caked with ice, rose turns her head as a distant light illuminates the side of her face.
1010_TITANIC_03.06.07.712-03.06.14.664 	bright light suddenly shines from within the titanic and illuminates the corridor, now restored to its former glory.
1014_2012_00.00.36.725-00.00.41.375 	the curving edge of planet earth is illuminated dwarfing further planets in the distance.
1015_27_Dresses_01.36.23.983-01.36.31.283 	they pull up beside an illuminated sign announcing the wedding reception.
1023_Horrible_Bosses_00.50.26.301-00.50.28.831 	street lamps illuminate the darkened street as they drive on.
1026_Legion_00.07.46.439-00.07.52.106 	the green neon lights of the sign illuminate his features.
1026_Legion_00.35.22.488-00.35.25.237 	a torchlight beam illuminates the diner.
1026_Legion_00.39.05.167-00.39.06.642 	the bursts of rapid fire illuminate the faces on the roof.
1026_Legion_00.46.15.012-00.46.18.230 	outside, intermittent bright flashes illuminate the horizon.
1026_Legion_01.13.03.856-01.13.08.089 	bright light flashes all around, illuminating hundreds of possessed standing motionless, staring at the diner.
1026_Legion_01.31.01.563-01.31.07.585 	the sun rises higher in the sky, illuminating the town.
1028_No_Reservations_01.03.10.119-01.03.15.092 	the candles and firelight illuminate the room.
1030_Public_Enemies_00.53.55.375-00.53.58.186 	near one, a man lights a flare and holds it aloft, illuminating a vast crowd.
1030_Public_Enemies_01.37.31.922-01.37.34.432 	a car's headlights illuminate and shine on her anxious face.
1030_Public_Enemies_02.07.53.234-02.07.57.015 	the scene draws more chicagoans from across the street, and more flares illuminate the area with searing light.
1037_The_Curious_Case_Of_Benjamin_Button_00.08.03.039-00.08.17.493 	fireworks illuminate the streets, which are filled with revelers waving american flags.
1037_The_Curious_Case_Of_Benjamin_Button_01.12.03.905-01.12.19.668 	they walk arm in arm, the streetlights dimly illuminating their way.
1038_The_Great_Gatsby_01.24.07.010-01.24.08.406 	he tosses something into the illuminated pool.
1040_The_Ugly_Truth_00.08.05.866-00.08.10.265 	later that night, abby walks past an illuminated fountain.
1043_Vantage_Point_00.15.49.856-00.15.53.170 	a muzzle flash illuminates the window, and the president reels back before falling.
1046_Australia_02.10.17.200-02.10.24.872 	the flickering flames illuminate the calm figure of king george, as others mill around trying to help.
1049_Harry_Potter_and_the_chamber_of_secrets_02.04.33.104-02.04.35.995 	harry walks towards the massive carved head of a bearded man illuminated with a green light.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_00.17.53.253-00.17.55.080 	harry slumps forward, his jagged scar illuminated by the bike's headlight.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_00.18.10.425-00.18.16.663 	the swirling vortex of light travels up voldemort's wand, illuminating his face.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_02.14.36.395-02.14.41.539 	a massive force of energy shoots from the tip of the wand, illuminating the dark sky.
1051_Harry_Potter_and_the_goblet_of_fire_00.08.10.226-00.08.16.217 	spotlight beams illuminate the packed stands.
1051_Harry_Potter_and_the_goblet_of_fire_02.08.48.861-02.08.57.762 	streaks of light burst all around, illuminating the dark sky.
1052_Harry_Potter_and_the_order_of_phoenix_00.00.21.547-00.00.31.043 	the sun breaks through the threatening storm clouds illuminating words in spiky metal letters.
1052_Harry_Potter_and_the_order_of_phoenix_00.52.51.762-00.52.54.649 	lightning illuminates the room.
1052_Harry_Potter_and_the_order_of_phoenix_01.47.44.311-01.47.55.251 	as harry walks towards it, the sphere stars to glow, illuminating the swirling mist inside it.
1053_Harry_Potter_and_the_philosophers_stone_00.24.17.306-00.24.28.350 	the door swings slowly open and harry stares in surprise as the lamplight illuminates a very small badly wrapped package tide with string.
1054_Harry_Potter_and_the_prisoner_of_azkaban_01.44.07.662-01.44.15.248 	a faint, silvery breath floats from sirius' half-open mouth, illuminating his face.
1056_Rambo_00.55.11.970-00.55.15.617 	he angles a lamp above his head to illuminate them.
1057_Seven_pounds_00.35.07.324-00.35.15.829 	light from the tank illuminates ben's face as he stands in the darkness, seemingly lost in thought.
1059_The_devil_wears_prada_00.31.58.000-00.32.04.000 	she stops by the door and looks in at nigel, who is examining some contact sheets on an illuminated desktop.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.00.27.641-00.00.31.337 	a massive force of energy shoots from the tip of the wand, illuminating the dark sky.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.14.59.813-00.15.03.212 	traveling at incredible speed, the cart's single headlight illuminates a waterfall gushing beneath the track.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.50.16.300-00.50.23.269 	the protective shield, the burning wooden ground stones at the quidditch pitch illuminate the dark hillside.
1062_Day_the_Earth_stood_still_00.11.54.898-00.11.59.058 	floodlights illuminate a sports field teaming with equipment and personnel.
1062_Day_the_Earth_stood_still_00.17.13.681-00.17.18.605 	a bright ball of light is moving through the dark sky above the illuminated city.
1062_Day_the_Earth_stood_still_00.17.22.664-00.17.36.567 	it illuminates the bell gothic fasade of saint patrick's cathedral and moves with swirling brilliance towards central park.
1062_Day_the_Earth_stood_still_00.21.05.000-00.21.10.056 	flood lights illuminate the site and police snipers take positions overlooking the park.
1062_Day_the_Earth_stood_still_00.49.51.000-00.50.00.172 	as she pulls into a rain-drenched parking lot, an illuminated golden arches sign is reflected in the car's windscreen.
2004_Juno_01.06.34.204-01.06.36.362 	mark pulls a chain to illuminate a bare bulb.
2026_Legion_00.07.13.810-00.07.18.883 	jeep switches on a lamp, illuminating this incredibly cramped bedroom.
2026_Legion_01.06.06.733-01.06.09.277 	just then the spot lights that illuminate the roof sign come to life.
2027_Les_Miserables_00.08.29.855-00.08.32.221 	two silver candlesticks light the room, illuminating walls painted with religious scenes.
1053_Harry_Potter_and_the_philosophers_stone_00.24.17.306-00.24.28.350 	the door swings slowly open and harry stares in surprise as the lamplight illuminates a very small badly wrapped package tide with string.
1054_Harry_Potter_and_the_prisoner_of_azkaban_01.44.07.662-01.44.15.248 	a faint, silvery breath floats from sirius' half-open mouth, illuminating his face.
1056_Rambo_00.55.11.970-00.55.15.617 	he angles a lamp above his head to illuminate them.
1057_Seven_pounds_00.35.07.324-00.35.15.829 	light from the tank illuminates ben's face as he stands in the darkness, seemingly lost in thought.
1059_The_devil_wears_prada_00.31.58.000-00.32.04.000 	she stops by the door and looks in at nigel, who is examining some contact sheets on an illuminated desktop.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.00.27.641-00.00.31.337 	a massive force of energy shoots from the tip of the wand, illuminating the dark sky.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.14.59.813-00.15.03.212 	traveling at incredible speed, the cart's single headlight illuminates a waterfall gushing beneath the track.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.50.16.300-00.50.23.269 	the protective shield, the burning wooden ground stones at the quidditch pitch illuminate the dark hillside.
1062_Day_the_Earth_stood_still_00.11.54.898-00.11.59.058 	floodlights illuminate a sports field teaming with equipment and personnel.
1062_Day_the_Earth_stood_still_00.17.13.681-00.17.18.605 	a bright ball of light is moving through the dark sky above the illuminated city.
1062_Day_the_Earth_stood_still_00.17.22.664-00.17.36.567 	it illuminates the bell gothic fasade of saint patrick's cathedral and moves with swirling brilliance towards central park.
1062_Day_the_Earth_stood_still_00.21.05.000-00.21.10.056 	flood lights illuminate the site and police snipers take positions overlooking the park.
1062_Day_the_Earth_stood_still_00.49.51.000-00.50.00.172 	as she pulls into a rain-drenched parking lot, an illuminated golden arches sign is reflected in the car's windscreen.
2004_Juno_01.06.34.204-01.06.36.362 	mark pulls a chain to illuminate a bare bulb.
2026_Legion_00.07.13.810-00.07.18.883 	jeep switches on a lamp, illuminating this incredibly cramped bedroom.
2026_Legion_01.06.06.733-01.06.09.277 	just then the spot lights that illuminate the roof sign come to life.
2027_Les_Miserables_00.08.29.855-00.08.32.221 	two silver candlesticks light the room, illuminating walls painted with religious scenes.
2054_Harry_Potter_and_the_prisoner_of_azkaban_00.00.35.658-00.00.38.990 	the tent blooms softly with light -- briefly illuminating a bedside photograph (of james & lily potter) -- then goes dark.
