0001_American_Beauty_01.14.47.184-01.14.47.434 	the room, too, seems changed: sloppier, more lived in.
1031_Quantum_of_Solace_00.39.57.328-00.39.59.690 	the performers are getting changed.
1033_Sherlock_Holmes_A_Game_of_Shadows_00.26.16.758-00.26.20.425 	that is the price i must pay to change the course of history.
1035_The_Adjustment_Bureau_00.49.33.117-00.49.37.003 	as they near a traffic light, it changes from green to red.
1039_The_Queen_00.02.21.553-00.02.27.113 	as she turns her head from the artist's formal pose, her expression barely changes.
1039_The_Queen_00.44.59.630-00.45.04.334 	the queen changes the channel and various images appear.
1045_An_education_00.25.48.807-00.25.50.515 	she's changed out of her school uniform.
1047_Defiance_01.46.58.735-01.47.00.335 	tuvia peers up to the sky at a plane changing direction.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_00.13.53.330-00.14.03.400 	they all change physically until each one looks like harry.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_00.21.07.961-00.21.14.427 	hermione rushes to hug him as he changes back into ron.
1053_Harry_Potter_and_the_philosophers_stone_01.22.23.773-01.22.36.060 	the snitch flips from tower to tower then suddenly change his course and head straight for the ground.
1053_Harry_Potter_and_the_philosophers_stone_02.21.05.682-02.21.10.113 	the green and white banners above their heads change to scarlet and gold.
1059_The_devil_wears_prada_00.05.43.328-00.05.51.173 	andy watches a member of the editorial staff quickly binning her breakfast, and another changing her shoes.
1059_The_devil_wears_prada_01.23.34.000-01.23.38.720 	back in her own suite, andy has changed into a slim-fitting low cut black suit.
1059_The_devil_wears_prada_01.31.39.316-01.31.44.617 	she's changed into a black dress with a scoop neck, a full skirt with petticoats, and wears black gloves and a silver necklace.
2005_Signs_01.18.38.687-01.18.39.402 	the color of the fingers changesthe color of the fingers changes to the exact color and texture of the yellow cracked paint on the door.
2012_Unbreakable_00.08.56.894-00.08.58.520 	he changes channels with a remote control.
