0003_CASABLANCA_00.09.37.839-00.09.48.365 	rick looks at the german calmly, takes the card out of his hand, and tears it up.
1007_Spider-Man1_00.44.19.990-00.44.21.198 	peter, tears running down his cheeks, looks at the peaceful face of his dead uncle.
1008_Spider-Man2_00.26.38.197-00.26.49.687 	as crowds walk into the foyer, and tickets are checked and stubs torn off, mj is suiting with a fellow actress in makeup.
1008_Spider-Man2_00.31.43.850-00.31.48.392 	he breaks into a run, then tears open his shirt to reveal the spider-man costume.
1008_Spider-Man2_00.55.48.173-00.55.48.894 	the material of aunt may's brolly starts to tear.
1008_Spider-Man2_01.24.31.906-01.24.33.863 	he holds up the curb and reaches for the neck of his shirt as if to tear it open.
1008_Spider-Man2_01.47.23.689-01.47.34.034 	it rips spider-man's costume in several places, and battles the front of the train as the costume tears away his arms as his hands holds the webs uses them to restrain the train forward thrust.
1008_Spider-Man2_02.10.32.402-02.10.36.708 	he swerves past police helicopters and soars over fire engines as they tear through the streets.
1009_Spider-Man3_00.50.38.536-00.50.45.092 	spider-man fires a thread at the runaway van, leaps onto the torn off door, and he's dragged along like a water scare as he dodges cars.
1009_Spider-Man3_01.07.29.877-01.07.39.579 	eddie brock jumps out of a camp, camera at the ready as black spider-man tears the heavy grill from the ground.
1009_Spider-Man3_01.10.16.948-01.10.19.495 	black spider-man tears up the pipe.
1009_Spider-Man3_01.42.29.190-01.42.32.867 	up in the bell tower, spider-man claws at his mask, desperately trying to tear it off.
1009_Spider-Man3_01.42.32.867-01.42.40.913 	it tears and stretches like rubber then snaps back like a second skin.
1009_Spider-Man3_01.43.16.253-01.43.18.914 	peter tears up the tattered skin tight black fabric across his chest.
1009_Spider-Man3_01.43.24.537-01.43.28.081 	above him, peter tears the unraveling symbiote from his body.
1009_Spider-Man3_01.54.15.790-01.54.18.388 	venom swings into spider-man and knocks him through the windscreen, tearing off the roof.
1009_Spider-Man3_01.54.47.881-01.54.50.000 	spider-man's wrists are lashed to the web with webbing fired by brock, who lands on top of him and tears off the spider- man mask.
1009_Spider-Man3_01.56.08.632-01.56.13.370 	he lands in a deserted construction site, his suit ripped and torn.
1009_Spider-Man3_02.02.29.351-02.02.39.528 	peter, his spider-man mask badly torn, his eye and mouth quite visible, looks around for venom.
1009_Spider-Man3_02.03.55.425-02.04.00.372 	peter remembers hitting himself on the bell when he tried to tear the black suit off.
1009_Spider-Man3_02.10.38.902-02.10.46.555 	peter's lip trembles, and tears pour down his cheeks.
1011_The_Help_02.00.29.810-02.00.43.682 	she tears the check into tiny pieces and storms out of the house.
1012_Unbreakable_01.14.40.511-01.14.48.178 	seats lean drunkenly, having been torn from their mountings, their upholstery charred and blackened.
1012_Unbreakable_01.29.55.742-01.30.00.409 	the man tears at the choking arm, and slams david back into the bedroom wall.
1014_2012_01.33.09.717-01.33.18.036 	as the ship starts listing, the table is torn and personnel sliding down the slope.
1015_27_Dresses_01.10.40.917-01.10.47.976 	they carry on kissing in the volvo and tearing off each others' soaking wet clothes.
1017_Bad_Santa_00.51.48.492-00.51.58.103 	he then proceeds to tear open the remaining doors on the calendar and scarf the chocolate inside.
1019_Confessions_Of_A_Shopaholic_00.59.38.791-00.59.41.539 	she tears the sleeve.
1023_Horrible_Bosses_00.45.16.823-00.45.18.775 	an orange pontiac trans am tears out and drives off down the street.
1024_Identity_Thief_01.00.42.757-01.00.46.111 	a tractor-trailer plows through the rental car tearing it to pieces.
1026_Legion_00.03.43.504-00.03.46.534 	flesh has been torn away at shoulder level.
1027_Les_Miserables_00.44.52.841-00.44.55.094 	having fended javert off with a baton torn from the wall, valjean is disarmed.
1030_Public_Enemies_00.02.43.926-00.02.45.370 	they tear off the outer tape.
1037_The_Curious_Case_Of_Benjamin_Button_00.10.01.428-00.10.07.679 	he tears through the street, stumbling as he pushes past revelers, one of whom swigs from a bottle of booze.
1037_The_Curious_Case_Of_Benjamin_Button_01.21.58.802-01.22.04.532 	mike tears his jumper, revealing two bullet holes in his chest.
1038_The_Great_Gatsby_01.42.39.400-01.42.41.065 	daisy stares at gatsby, tears brimming in her eyes.
1043_Vantage_Point_00.08.23.885-00.08.27.901 	the director and her assistant fight back tears.
1043_Vantage_Point_00.37.44.547-00.37.47.213 	the once heighered flags hanging limp and torn.
1046_Australia_02.03.16.598-02.03.21.990 	magarri turns away and tears fill the drover's eyes.
1047_Defiance_01.00.53.980-01.01.01.225 	under a cover of darkness, as the ghetto people stream out of a house tearing off their yellow stars.
1047_Defiance_01.18.20.603-01.18.30.603 	she leans up against a tree and watches in terror as it tears at the food stock with its sharp teeth.
1049_Harry_Potter_and_the_chamber_of_secrets_00.19.41.473-00.19.43.709 	a boy with very fair hair tears a page from a book.
1049_Harry_Potter_and_the_chamber_of_secrets_00.36.45.275-00.36.48.107 	they tear up books.
1051_Harry_Potter_and_the_goblet_of_fire_00.59.54.327-01.00.00.018 	he bursts out through the stands over the heads of the startled onlookers, wings tearing through the canopy, scattering professors.
1051_Harry_Potter_and_the_goblet_of_fire_02.12.14.286-02.12.15.108 	his clothes are torn.
1052_Harry_Potter_and_the_order_of_phoenix_02.00.04.103-02.00.06.616 	the banner with the picture of fudge is torn to shreds by flying shards of glass.
1053_Harry_Potter_and_the_philosophers_stone_00.09.41.994-00.09.46.946 	uncle vernon tears up three identical letters addressed to harry.
1056_Rambo_00.29.21.362-00.29.26.843 	a small child is torn from its mother and tossed into the burning building.
1056_Rambo_00.30.11.044-00.30.12.805 	their bodies are torn apart by bullets.
1056_Rambo_00.53.23.422-00.53.26.339 	pigs are tearing flesh from the crucified man's leg.
1056_Rambo_00.56.08.000-00.56.10.459 	they begin to tear at her clothes.
1056_Rambo_00.59.19.351-00.59.20.907 	one of the women's' dresses is torn away, leaving her topless.
1056_Rambo_01.05.25.632-01.05.30.921 	rambo starts to tear a strip from sarah's shirt.
1056_Rambo_01.08.28.017-01.08.50.255 	the blast tears through trees and shrubs and spreads out like a concentric wave of destruction from its epicenter, throwing up dirt and leaves and knocking over soldiers.
1056_Rambo_01.13.27.796-01.13.33.436 	he tears it open and starts reloading the gun.
1056_Rambo_01.15.35.610-01.15.43.000 	rambo fires on the boat, tearing through the metal wall of its cabin.
1057_Seven_pounds_01.48.52.419-01.48.58.362 	he tears up the shower curtain, bringing it and the rail down on himself.
1060_Yes_man_00.25.14.165-00.25.20.769 	they tear down a road on the scooter.
2004_Juno_01.32.14.865-01.32.17.828 	as she tears recklessly down the street on her bikes, she passes the dancing elk track team, still running in outrageously skimpy shorts and bandanas.
2005_Signs_01.11.42.158-01.11.43.782 	morgan's face is hard, but tears start to fall anyway.
2026_Legion_00.04.24.711-00.04.33.690 	he reaches the street just in time to see a fleet of police cars tearing around the corner, sirens wailing, heading this way.
2026_Legion_00.40.44.965-00.40.57.235 	suddenly howard's body is torn away from sandra.
2026_Legion_01.10.31.410-01.10.34.061 	creatures tear away from the car like fiery comets through the night.
2026_Legion_01.14.23.197-01.14.23.558 	bob pulls his son close and hugs him with all his might, tears filling his eyes.
2034_Super_8_00.03.14.800-00.03.16.238 	and as he stares, tears come to his eyes.
2041_This_is_40_01.58.43.081-01.58.57.614 	when the car stops for a red he keeps going, tears off to the left, crosses four lanes of traffic in both directions and almost gets hit.
