0004_Charade_00.05.50.616-00.05.51.523 	CAMERA PANS down to include JEAN-LOUIS, his hand held firmly by the man in the mask.
1020_Crazy_Stupid_Love_00.31.08.925-00.31.21.364 	cal watches jacob leave with all the different women, including two at the same time.
1024_Identity_Thief_00.10.02.143-00.10.04.875 	more co-workers step out and include sandy in a circle.
1029_Pride_And_Prejudice_Disk_One_01.33.56.630-01.33.59.787 	jane and lizzie stand with a happy group, including bingley.
1030_Public_Enemies_01.56.20.655-01.56.25.321 	dillinger steps aboard among a few other men, including a uniformed officer.
1033_Sherlock_Holmes_A_Game_of_Shadows_00.33.56.947-00.34.02.614 	everyone gets to their feet, including mrs. hudson, who taps a slumbering holmes on the shoulder.
1033_Sherlock_Holmes_A_Game_of_Shadows_01.42.57.739-01.43.04.028 	holmes walks over to a footman in 18th century costume including a white parted wig and handsome letter.
1034_Super_8_00.24.19.708-00.24.23.345 	the boys salvage their stuff including the camera.
1042_Up_In_The_Air_00.57.03.139-00.57.08.936 	a few drunken party guests, including dave, are there.
1044_Pride_And_Prejudice_Disk_Two_00.59.24.483-00.59.35.647 	a number of guests are gathered in the drawing room to listen, including mr. bingley, the gardiners, louisa hurst, and miss bingley, who has a sour look on her face.
1052_Harry_Potter_and_the_order_of_phoenix_01.02.25.224-01.02.30.038 	umbridge's squad includes draco malfoy, crabbe, goyle and filch.
1056_Rambo_00.34.50.867-00.35.02.906 	the singer is reese, one of a motley collection of mercenaries in rambo's boat, including bearded diaz and en-joo, handsome stubbly school boy and bald lewis.
1056_Rambo_00.41.31.846-00.41.37.962 	the mercenaries disembark laden with various weapons and bandoleers, including automatic rifles with telescopic sights.
1056_Rambo_00.50.29.121-00.50.31.568 	the team, including rambo, make ready.
1057_Seven_pounds_00.06.52.273-00.07.01.140 	ben stairs pensively at the details, which include a photo of attractive, dark-haired emily.
1057_Seven_pounds_01.52.34.466-01.52.39.339 	ben sifts through envelopes, each of which has the name of a person tim wanted to help, including ben's.
1059_The_devil_wears_prada_00.57.18.400-00.57.26.401 	miranda's in a meeting with her senior members of staff, including nigel.
1059_The_devil_wears_prada_01.09.14.000-01.09.24.000 	back at home, nate wanders out of the bedroom and finds andy looking through some of her old articles and photographs, including one of her with her parents.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.36.36.000-00.36.42.145 	the students who met harry, including cho, ginny, and seamus, stand looking at the floor.
1062_Day_the_Earth_stood_still_01.22.27.000-01.22.31.000 	she gathers up her belongings including her phone and checks her watch.
1056_Rambo_00.34.50.867-00.35.02.906 	the singer is reese, one of a motley collection of mercenaries in rambo's boat, including bearded diaz and en-joo, handsome stubbly school boy and bald lewis.
1056_Rambo_00.41.31.846-00.41.37.962 	the mercenaries disembark laden with various weapons and bandoleers, including automatic rifles with telescopic sights.
1056_Rambo_00.50.29.121-00.50.31.568 	the team, including rambo, make ready.
1057_Seven_pounds_00.06.52.273-00.07.01.140 	ben stairs pensively at the details, which include a photo of attractive, dark-haired emily.
1057_Seven_pounds_01.52.34.466-01.52.39.339 	ben sifts through envelopes, each of which has the name of a person tim wanted to help, including ben's.
1059_The_devil_wears_prada_00.57.18.400-00.57.26.401 	miranda's in a meeting with her senior members of staff, including nigel.
1059_The_devil_wears_prada_01.09.14.000-01.09.24.000 	back at home, nate wanders out of the bedroom and finds andy looking through some of her old articles and photographs, including one of her with her parents.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.36.36.000-00.36.42.145 	the students who met harry, including cho, ginny, and seamus, stand looking at the floor.
1062_Day_the_Earth_stood_still_01.22.27.000-01.22.31.000 	she gathers up her belongings including her phone and checks her watch.
2034_Super_8_00.45.43.607-00.46.01.607 	jack at the podium, town officials, including the local mayor sit on stage as well.
2041_This_is_40_01.40.18.221-01.40.18.889 	pete greets guests, including graham and grandma molly.
