0002_As_Good_As_It_Gets_01.03.58.102-01.03.59.227 	the fabric clinging to her breasts, like the old movie poster of the deep.
1009_Spider-Man3_00.18.07.315-00.18.10.287 	harry prices out the section of wall peter is clinging to.
1009_Spider-Man3_00.34.00.895-00.34.03.957 	the cable snaps but she clings onto the very edge of the floor.
1009_Spider-Man3_01.05.48.609-01.05.53.972 	he clings to one huge lantern, looks out over the city and pulls off his black hood.
1009_Spider-Man3_01.57.05.424-01.57.07.996 	who looks up at mary jane, clinging onto the web.
1010_TITANIC_02.36.31.086-02.36.32.400 	inside people cling to columns at the top of the grand staircase.
1010_TITANIC_02.39.48.067-02.39.53.353 	one man jumps and free falls into the icy water where small groups of survivors cling to floating debris.
1010_TITANIC_02.47.18.609-02.47.21.454 	clinging to a nearby piece of debris, a crewman blows into a whistle.
1010_TITANIC_02.49.18.709-02.49.23.375 	still clinging to wreckage, the crewman with the whistle in his mouth floats motionless with his eyes closed.
1012_Unbreakable_01.29.00.762-01.29.08.249 	david struggles to the surface, clinging to the pole, lets go of it to claw his fingers over the pool edge.
1014_2012_01.29.16.429-01.29.19.326 	the president clinging to a drip stand, fixes his eyes on the tall pointed washington monument.
1014_2012_01.33.19.831-01.33.23.244 	and slithers along the floor away from harry still clinging to the hammock.
1014_2012_02.05.12.460-02.05.17.895 	jackson struggles to help the injured tenzen and gordon, who cling on just above grinding gears.
1026_Legion_00.37.18.795-00.37.25.511 	two long, bony hands cling on to the door frame as the ice cream man with a blue forage cap emerges.
1031_Quantum_of_Solace_01.29.56.222-01.30.00.294 	he clings to the bumper as the driver reverses.
1035_The_Adjustment_Bureau_01.35.24.597-01.35.30.366 	the intervention officers stand motionless, looking on stoically as the lovers cling to each other.
1041_This_is_40_02.03.01.366-02.03.03.825 	he gives her back a fatherly pat as she clings to him.
1044_Pride_And_Prejudice_Disk_Two_00.46.47.690-00.46.52.306 	darcy is striding towards pemberley, his wet shirt clinging to his broad chest.
1046_Australia_00.43.22.004-00.43.23.543 	daisy and nullah cling frantically to the ladder.
1046_Australia_02.27.57.016-02.28.06.126 	they cling to each other tears running down their cheeks
1047_Defiance_01.52.02.102-01.52.07.442 	asael looks behind him and sees a female shoot a hit, her arm still clinging to her machine gun.
1053_Harry_Potter_and_the_philosophers_stone_02.05.12.545-02.05.21.869 	he clings onto the reins, shaking with fear, as the queen gets closer and closer, gliding over the smooth marble floor.
1054_Harry_Potter_and_the_prisoner_of_azkaban_00.05.33.662-00.05.35.102 	vernon struggles after her with ripper clinging to his leg.
1054_Harry_Potter_and_the_prisoner_of_azkaban_00.36.44.000-00.36.54.137 	clinging to the creature's neck, harry sees his reflection in the water as buckbeak skims low over the lake, one huge claw just touching the surface.
1054_Harry_Potter_and_the_prisoner_of_azkaban_01.29.24.762-01.29.28.664 	scratched by the sharp twigs, hermione is twisted this way and that as she clings to the branch.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.20.23.000-00.20.26.906 	clinging to its spikes, she hauls herself up.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.20.41.960-00.20.53.592 	the three friends cling on desperately as the dragon climbs towards the light.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.01.57.111-01.01.58.266 	they cling to a carpet by their fingertips.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.47.14.125-01.47.21.672 	high on the ramparts, harry flings his arms around voldemort's neck, and clinging onto him, jumps off the edge.
2005_Signs_00.51.28.422-00.51.29.606 	the children scream and cling to their father.
