0001_American_Beauty_00.16.33.396-00.16.34.929 	The light on Angela grows stronger, and the other girls DISAPPEAR entirely.
1053_Harry_Potter_and_the_philosophers_stone_01.44.24.595-01.44.33.541 	even the huge giant is dwarfed by the tall trees, which rise up and disappear into the darkness above their heads.
1053_Harry_Potter_and_the_philosophers_stone_01.47.21.672-01.47.28.648 	it attacks the dark figure, who turns and disappears into the mist.
1054_Harry_Potter_and_the_prisoner_of_azkaban_00.12.33.700-00.12.35.408 	the purple bus disappears into the night.
1054_Harry_Potter_and_the_prisoner_of_azkaban_01.59.12.652-01.59.23.104 	the werewolf sniffs the ground, then disappears around the other side of the tree.
1054_Harry_Potter_and_the_prisoner_of_azkaban_02.05.44.585-02.05.47.862 	two figures disappear from beside ron's bed.
1054_Harry_Potter_and_the_prisoner_of_azkaban_02.06.02.981-02.06.09.941 	it disappears amongst the branches and feathers fall.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.18.56.000-00.19.00.000 	he disappears from sight, lost in a mountain of gold and silver treasure.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.44.55.981-01.45.00.785 	harry disappears from voldemort's sight.
2012_Unbreakable_00.36.24.637-00.36.26.904 	david watches her disappear into the shadows.
2012_Unbreakable_00.38.37.519-00.38.44.087 	elijah watches the green army jacket melt into the thick part of the crowd and disappear as it moves away from the stadium.
2012_Unbreakable_00.42.03.880-00.42.04.380 	he disappears into the subway entrance.
2012_Unbreakable_01.12.04.639-01.12.07.139 	she disappears inside.
2012_Unbreakable_01.22.01.195-01.22.02.330 	the huge man disappears with his bin inside.
2017_Bad_Santa_00.07.45.383-00.07.52.556 	the van speeds away through the christmas eve night and disappears into the distance, like the down of a thistle.
2017_Bad_Santa_00.53.07.223-00.53.09.948 	the kid, screaming, is just disappearing at the far end.
2027_Les_Miserables_00.23.31.520-00.23.35.245 	the few men in the street choose their whores and disappear by the end of the chorus.
2027_Les_Miserables_01.36.57.105-01.36.59.405 	as the procession turns off, the calvary division gallop ahead and disappear round a corner.
2027_Les_Miserables_02.28.13.375-02.28.20.385 	as they disappear we crane up, high over the cloister, high over the walls of the convent and we see the paris streets outside.
2034_Super_8_00.24.56.195-00.25.00.098 	then back up at the disappearing car.
2034_Super_8_01.32.56.259-01.33.04.324 	joe runs, looking for another way into the creature's massive space -- he finally finds another intersection -- he turns into it -- he disappears down the tunnel.
2034_Super_8_01.42.54.898-01.43.01.969 	joe and alice, jack, louis and cary watch, amazed, as the ship disappears into the night sky, we are tight on joe's hand, as it takes alice's.
2054_Harry_Potter_and_the_prisoner_of_azkaban_00.09.59.261-00.10.00.239 	stan, huddled in an armchair, peeks over the daily prophet, eyes harry coolly, before disappearing once more.
2054_Harry_Potter_and_the_prisoner_of_azkaban_00.15.27.095-00.15.33.002 	harry vaults atop the bed, watches the book disappear underneath, then grabs a pillow.
2054_Harry_Potter_and_the_prisoner_of_azkaban_01.27.05.139-01.27.10.714 	-- the crows shriek excitedly and the executioner separates from the others, disappears behind a low stand of trees.
2054_Harry_Potter_and_the_prisoner_of_azkaban_01.27.50.926-01.27.54.215 	ron reaches the summit, disappears over the top.
2054_Harry_Potter_and_the_prisoner_of_azkaban_01.54.30.377-01.54.34.926 	harry and hermione shoo buckbeak along, disappear into the forest.
2054_Harry_Potter_and_the_prisoner_of_azkaban_01.55.58.759-01.56.02.911 	hermione disappears down the hole, then a figure approaches the tree, lupin.
