0001_American_Beauty_00.09.53.401-00.09.54.138 	close on the face of ricky fitts, illuminated by the screen of his digicam as he videotapes.
1052_Harry_Potter_and_the_order_of_phoenix_00.00.21.547-00.00.31.043 	the sun breaks through the threatening storm clouds illuminating words in spiky metal letters.
1052_Harry_Potter_and_the_order_of_phoenix_00.52.51.762-00.52.54.649 	lightning illuminates the room.
1052_Harry_Potter_and_the_order_of_phoenix_01.47.44.311-01.47.55.251 	as harry walks towards it, the sphere stars to glow, illuminating the swirling mist inside it.
1053_Harry_Potter_and_the_philosophers_stone_00.24.17.306-00.24.28.350 	the door swings slowly open and harry stares in surprise as the lamplight illuminates a very small badly wrapped package tide with string.
1054_Harry_Potter_and_the_prisoner_of_azkaban_01.44.07.662-01.44.15.248 	a faint, silvery breath floats from sirius' half-open mouth, illuminating his face.
1056_Rambo_00.55.11.970-00.55.15.617 	he angles a lamp above his head to illuminate them.
1057_Seven_pounds_00.35.07.324-00.35.15.829 	light from the tank illuminates ben's face as he stands in the darkness, seemingly lost in thought.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.00.27.641-00.00.31.337 	a massive force of energy shoots from the tip of the wand, illuminating the dark sky.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.14.59.813-00.15.03.212 	traveling at incredible speed, the cart's single headlight illuminates a waterfall gushing beneath the track.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.50.16.300-00.50.23.269 	the protective shield, the burning wooden ground stones at the quidditch pitch illuminate the dark hillside.
1062_Day_the_Earth_stood_still_00.11.54.898-00.11.59.058 	floodlights illuminate a sports field teaming with equipment and personnel.
1062_Day_the_Earth_stood_still_00.17.13.681-00.17.18.605 	a bright ball of light is moving through the dark sky above the illuminated city.
1062_Day_the_Earth_stood_still_00.17.22.664-00.17.36.567 	it illuminates the bell gothic fasade of saint patrick's cathedral and moves with swirling brilliance towards central park.
1062_Day_the_Earth_stood_still_00.21.05.000-00.21.10.056 	flood lights illuminate the site and police snipers take positions overlooking the park.
2004_Juno_01.06.34.204-01.06.36.362 	mark pulls a chain to illuminate a bare bulb.
2026_Legion_00.07.13.810-00.07.18.883 	jeep switches on a lamp, illuminating this incredibly cramped bedroom.
2026_Legion_01.06.06.733-01.06.09.277 	just then the spot lights that illuminate the roof sign come to life.
2027_Les_Miserables_00.08.29.855-00.08.32.221 	two silver candlesticks light the room, illuminating walls painted with religious scenes.
2054_Harry_Potter_and_the_prisoner_of_azkaban_00.00.35.658-00.00.38.990 	the tent blooms softly with light -- briefly illuminating a bedside photograph (of james & lily potter) -- then goes dark.
