0001_American_Beauty_01.52.12.796-01.52.15.696 	a pool of blood is forming on the kitchen table.
1031_Quantum_of_Solace_00.06.41.435-00.06.47.898 	posing high-heels forming a slowly turning pattern.
1034_Super_8_01.00.05.540-01.00.08.553 	un-shed tears form in alice's eyes as she watches.
1034_Super_8_01.39.09.038-01.39.18.950 	the cubes, cars and other bits and pieces begin to fuse together, forming a gigantic structure on top of the tower.
1034_Super_8_01.41.02.929-01.41.07.938 	the creature steps into the now fully formed spaceship it's created on top of the water tower and the door closes behind it.
1037_The_Curious_Case_Of_Benjamin_Button_00.00.04.663-00.00.09.179 	colored buttons fall into a large heap, forming the warner brothers' shield.
1037_The_Curious_Case_Of_Benjamin_Button_00.34.37.615-00.34.42.853 	table linen has been thrown over some tables and chairs to form a tent.
1046_Australia_00.52.36.467-00.52.42.694 	nullah looks up and a twister starts to form in the dust in front of the house.
1047_Defiance_01.11.00.265-01.11.01.264 	a woman breaks the ice that has formed in a bucket of water.
1052_Harry_Potter_and_the_order_of_phoenix_00.53.04.412-00.53.09.672 	the rain turns to swirling snow, briefly forming the face of voldemort.
1052_Harry_Potter_and_the_order_of_phoenix_01.59.43.606-01.59.47.963 	the water forms a huge rolling ball with voldemort trapped inside.
1053_Harry_Potter_and_the_philosophers_stone_00.20.30.000-00.20.42.078 	he stares in amazement as the bricks rearrange themselves to form a doorway.
1054_Harry_Potter_and_the_prisoner_of_azkaban_00.55.00.000-00.55.07.513 	looming above him, they form the menacing shape of a huge, black dog.
1054_Harry_Potter_and_the_prisoner_of_azkaban_00.55.16.743-00.55.24.612 	as he reaches out, thick ice begins to form on the handle of his broomstick.
1054_Harry_Potter_and_the_prisoner_of_azkaban_01.43.31.582-01.43.42.227 	a silver mist forms a protective shield and the dementors are held back.
1054_Harry_Potter_and_the_prisoner_of_azkaban_02.01.35.980-02.01.47.281 	the light from the wand glows even more strongly, forming a bright protective shield which spreads to the other side of the lake.
1057_Seven_pounds_00.00.36.000-00.00.39.000 	shafts of light gradually form the shape of a running man.
1058_The_Damned_united_00.28.58.000-00.29.11.000 	the leeds players, in purple team track suits with their surnames on their backs form a semicircle facing brian with stout redhead bremner who dived for the penalty in the derby cup clash beside lanky giles.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.43.06.912-00.43.22.444 	a demetor flies past and is repelled by the ever-increasing mass as it extends to cover the school and the grounds, forming a protective shield
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.22.16.000-01.22.21.236 	they gather to form a patronus in the shape of a beautiful silver doe.
1062_Day_the_Earth_stood_still_00.01.00.000-00.01.01.000 	letters form around the moon.
1062_Day_the_Earth_stood_still_00.01.04.560-00.01.08.000 	a circle of reflected sunlight and the earth form the two os.
1062_Day_the_Earth_stood_still_00.54.21.023-00.54.27.804 	high metal panels are pushed into place forming a triangular wall around the robot.
2027_Les_Miserables_00.03.01.941-00.03.03.617 	javert nods to the guards, and they begin to form the chained men into lines to return to their prison.
2027_Les_Miserables_02.07.57.749-02.08.00.595 	the seine forms a whirlpool here, where violent currents swirl round the piles of the bridge.
2034_Super_8_01.40.21.118-01.41.22.215 	formed -- but here, as he is being hugged by his father, joe looks down: something in his pocket is moving -- he considers it, confused for a moment -- but he reaches in and pulls it out.
