0005_Chinatown_00.09.02.817-00.09.03.825 	he kneels down in the mud and stares at it.
0050_Indiana_Jones_and_the_last_crusade_01.18.51.275-01.18.54.146 	an old man kneels at his car repairing a rear tire.
1001_Flight_01.47.56.195-01.48.03.795 	still kneeling, he unscrews the top from the bottle, and runs his fingers over the cold surface of the glass.
1003_How_to_Lose_Friends_and_Alienate_People_01.06.16.148-01.06.20.964 	she kneels down beside him.
1003_How_to_Lose_Friends_and_Alienate_People_01.09.12.418-01.09.19.034 	holding alison upright, sydney gazes over at sophie, kneeling by the pool.
1005_Signs_00.07.36.606-00.07.37.524 	the other one, houdini, lies slumped in the yard with bo kneeling in front of him.
1005_Signs_00.09.58.537-00.10.02.204 	houdini lies motionless on the ground near the climbing frame, with morgan kneeling beside him.
1005_Signs_00.40.02.380-00.40.04.047 	morgan and bo are kneeling close to the tv.
1005_Signs_01.00.09.810-01.00.16.477 	then, with his head turned wearily to one side, and ticked defensively back a little drops delicately to a kneeling position.
1005_Signs_01.00.27.400-01.00.30.346 	kneeling up again and sighing with relief.
1005_Signs_01.17.07.030-01.17.18.451 	graham looks around and puts a comforting hand on morgan's shoulder before kneeling down in front of the frightened boy.
1008_Spider-Man2_00.01.27.696-00.01.33.194 	peter not stopping the thief, then kneeling by his dying uncle.
1008_Spider-Man2_00.46.31.377-00.46.43.243 	his brow, alarm spreads over his face, and he kneels up on the operating table, the limbs rising with him.
1009_Spider-Man3_00.12.57.150-00.13.05.785 	flint walks over to her, kneels down in front of her, and gently takes her arm.
1009_Spider-Man3_02.07.38.538-02.07.48.369 	he kneels over the dying man as his partner drives away.
1009_Spider-Man3_02.10.50.954-02.10.59.004 	kneeling on either side of harry's body, framed by an arc of girders and the dawn light of the clouds beyond, the two childhood friends bow their heads in shared sorrow.
1010_TITANIC_02.37.28.501-02.37.31.775 	jack and rose continue on, pressing passed a group of people kneeling around a priest.
1010_TITANIC_02.37.52.152-02.37.59.259 	kneeling people grab one of the priest's hands as he holds onto a cab stand or rotating shaft with his other hand
1010_TITANIC_02.43.54.779-02.44.07.325 	jack and rose hold hands as they kneel beside one another.
1011_The_Help_01.19.28.491-01.19.31.111 	she kneels in front of her.
1012_Unbreakable_01.25.48.846-01.25.59.076 	he kneels beside the boy pulling the plastic cable tying his wrists to a towel rail, light glinting on his wedding ring.
1014_2012_00.27.02.627-00.27.05.928 	he kneels by his son, ajeet.
1018_Body_Of_Lies_01.02.02.789-01.02.05.539 	one of hani's agents, holding a gun, stands beside a figure who kneels with his head covered in a black hood and his wrists bound behind his back.
1026_Legion_00.59.11.870-00.59.16.573 	kneeling in front of sandra, audrey takes a pill from a pot.
1027_Les_Miserables_00.38.27.167-00.38.30.784 	in church, he kneels at an altar.
1027_Les_Miserables_01.49.55.003-01.49.56.019 	he kneels with his hands tied and the noose around his neck.
1030_Public_Enemies_00.34.49.646-00.34.51.381 	billie, kneeling over him, unfastens her dress.
1037_The_Curious_Case_Of_Benjamin_Button_00.35.03.347-00.35.12.911 	kneeling beneath the table, benjamin strikes a match and carefully lights a candle, whose warm glow silhouettes them behind the white drapery.
1037_The_Curious_Case_Of_Benjamin_Button_00.36.47.597-00.36.53.374 	queenie comes up from the basement in her dressing gown and catches sight of him kneeling in the shadows, staring at the floor.
1038_The_Great_Gatsby_01.54.58.807-01.55.00.397 	kneeling with a rag and bucket, gatsby looks around.
1043_Vantage_Point_01.03.16.346-01.03.18.062 	they kneel by a casualty.
1046_Australia_00.49.00.000-00.49.05.000 	she crouches down next to him and lays newspapers from a pile out on the ground to kneel on.
1046_Australia_00.49.11.823-00.49.14.000 	she kneels and thinks.
1047_Defiance_01.10.12.441-01.10.12.907 	two officers kneeling await their fate.
1047_Defiance_01.27.19.928-01.27.23.178 	lova, one of his group, kneels down by a basin of water, his face and hands covered in blood.
1048_Gran_Torino_00.01.45.322-00.01.51.605 	josh, a thin boy with fair hair, is last to kneel, bow and make the sign of the cross.
1049_Harry_Potter_and_the_chamber_of_secrets_01.12.38.182-01.12.44.820 	still kneeling beside the petrified justin, harry notices a line of spiders quickly scuttling across the floor.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_02.12.52.352-02.12.59.170 	the three friends kneel, and fill in the grave with sand.
1052_Harry_Potter_and_the_order_of_phoenix_02.01.59.968-02.02.06.013 	hermione, ron and the others come into the wrecked hall of the ministry of magic and stop in alarm when they see dumbledore kneeling beside harry.
1052_Harry_Potter_and_the_order_of_phoenix_02.03.30.147-02.03.34.970 	dumbledore still kneels beside harry, who is lying unconscious.
1053_Harry_Potter_and_the_philosophers_stone_02.06.10.781-02.06.15.613 	he and hermione run to ron, and kneel beside him.
1053_Harry_Potter_and_the_philosophers_stone_02.06.50.545-02.06.56.943 	still kneeling beside ron, hermione watches him go.
1054_Harry_Potter_and_the_prisoner_of_azkaban_01.06.30.000-01.06.44.013 	kneeling beside her friend, hermione puts out a hand and pulls off the invisibility cloak.
1056_Rambo_00.29.07.733-00.29.10.128 	a man kneels before a pair of soldiers with weapons.
1058_The_Damned_united_01.27.33.000-01.27.38.777 	peter takes a step closer to kneeling brian, scrutinizing him.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.51.24.328-00.51.30.741 	he kneels down and places the golden cup on the ground between them.
1062_Day_the_Earth_stood_still_01.26.20.000-01.26.28.170 	as he kneels crying, helen rushes up to him, kneels down, puts her arms around him, and hugs him tightly.
2005_Signs_01.01.07.088-01.01.08.307 	he sits there kneeling two feet from the door.
2005_Signs_01.01.25.579-01.01.36.127 	graham lets go of the doorknob -- he turns and walks quickly across the kitchen -- he picks up the butcher knife -- he kneels down next to the pantry -- he ducks his head under the slanted kitchen table -- he places his cheek to the floor, only inches from the bottom of the door, and looks into the pantry.
2012_Unbreakable_00.01.19.869-00.01.24.500 	he kneels down and gestures for the bundle of sweatshirts in her arms.
2026_Legion_01.12.17.846-01.12.24.207 	charlie, drenched in sweat is writhing on the ground with michael holding down her arms and audrey kneeling between her legs.
2027_Les_Miserables_01.44.12.242-01.44.14.197 	he kneels by her side.
2027_Les_Miserables_01.57.05.293-01.57.15.462 	valjean is now kneeling next to the sleeping marius.
2034_Super_8_01.12.30.710-01.12.33.301 	slam-flattened by jack, who kneels to him.
2054_Harry_Potter_and_the_prisoner_of_azkaban_01.06.19.675-01.06.45.297 	ron takes hermione's arm, discouraging her from going further, but she does, filling the footprints with her own, then kneeling and -- very gently -- drawing the cloak from harry.
