21_JUMP_STREET.srt 	21_JUMP_STREET_DVS505 	01:19:33,00 --> 01:19:43,50 	someone shifts his frustrated gaze.
BURLESQUE.srt 	BURLESQUE_DVS377 	00:52:10,00 --> 00:52:16,50 	someone shifts her gaze from coco to another dancer, who nods.
BURLESQUE.srt 	BURLESQUE_DVS721 	01:49:01,00 --> 01:49:07,50 	with her head tilted, someone shifts her gaze over his face.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS291 	00:22:27,00 --> 00:22:32,50 	someone shifts his gaze and gulps, then faces him.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS295 	00:22:47,00 --> 00:22:53,50 	beside him, the teen shifts his intimidated gaze
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS381 	00:36:04,00 --> 00:36:08,50 	someone shifts his conflicted gaze.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS391 	00:36:51,00 --> 00:36:57,50 	someone shakes out a cup, then fills it with coffee and shifts his anxious gaze.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS498 	00:48:24,00 --> 00:48:30,50 	someone shifts his weight anxiously and someone stares.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS567 	00:54:49,00 --> 00:54:54,50 	someone's sad eyes shift about as she leaves.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS656 	01:03:48,00 --> 01:03:55,50 	as someone steps away, someone warms his hands under his arms and shifts his thoughtful gaze.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS793 	01:18:37,00 --> 01:18:42,50 	the teen shifts his pensive gaze then lies down beside his mother.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS804 	01:19:30,00 --> 01:19:35,50 	someone shifts his bewildered gaze.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS825 	01:21:30,00 --> 01:21:35,50 	someone shifts his bewildered gaze.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1035 	01:40:08,00 --> 01:40:13,50 	someone shifts her weight, lips parted.
CHRONICLE.srt 	CHRONICLE_DVS419 	01:02:02,00 --> 01:02:10,50 	he puts it in his backpack, heaves a deflated sigh, and shifts his thoughtful gaze.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS82 	00:15:12,00 --> 00:15:19,50 	the boxer looks around, shifting on his feet.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS95 	00:18:04,00 --> 00:18:08,50 	with a solemn look, someone shifts his draw.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS109 	00:25:15,00 --> 00:25:32,50 	shifting on his feet, he works his jaw then swaggers past someone.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS185 	00:39:25,00 --> 00:39:30,50 	he shifts his eyes uneasily.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS215 	00:44:26,00 --> 00:44:36,50 	he shifts his attention to someone playing with a doll.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS287 	01:08:55,00 --> 01:09:01,50 	mrs. gould bites her lip and shifts her gaze.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS291 	01:09:47,00 --> 01:09:54,50 	her gaze shifts uneasily and settles on mrs. braddock.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS386 	01:33:47,00 --> 01:34:20,50 	someone shifts his jaw as the giant slugger nails his opponent with a series of hooks.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS437 	01:45:15,00 --> 01:45:23,50 	his shoulders shift beneath his crisp blue suit as he takes a few steps toward her and kisses her pale cheek.
COLOMBIANA.srt 	COLOMBIANA_DVS126 	00:10:30,00 --> 00:10:38,50 	he shifts his gaze to someone who continues to stare straight ahead with a stoic expression.
COLOMBIANA.srt 	COLOMBIANA_DVS218 	00:18:40,00 --> 00:18:47,50 	his mouth hanging agape, he shifts his astonished gaze to someone.
COLOMBIANA.srt 	COLOMBIANA_DVS297 	00:25:13,00 --> 00:25:19,50 	someone shifts his gaze and turns over his paper.
COLOMBIANA.srt 	COLOMBIANA_DVS534 	00:48:12,00 --> 00:48:19,50 	she briskly soaps up her flawless skin and shifts her weary gaze.
COLOMBIANA.srt 	COLOMBIANA_DVS945 	01:31:08,00 --> 01:31:14,50 	someone shifts her gaze then looks back at the dogs.
COLOMBIANA.srt 	COLOMBIANA_DVS955 	01:32:21,00 --> 01:32:28,50 	someone shifts his gaze to an open door straight away and sees a rocket flying right at him.
COLOMBIANA.srt 	COLOMBIANA_DVS1058 	01:39:09,00 --> 01:39:16,50 	meanwhile, someone shifts his panicked eyes, then opens the compartment's panel.
DEAR_JOHN.srt 	DEAR_JOHN_DVS357 	00:55:57,00 --> 00:56:02,50 	she flinches and shifts away from him.
DEAR_JOHN.srt 	DEAR_JOHN_DVS398 	01:01:18,00 --> 01:01:23,50 	someone shifts his gaze uneasily.
DEAR_JOHN.srt 	DEAR_JOHN_DVS512 	01:14:42,00 --> 01:14:48,50 	inside, someone shifts his gaze away from the open side door.
DEAR_JOHN.srt 	DEAR_JOHN_DVS683 	01:32:10,00 --> 01:32:14,50 	she uncomfortably shifts her gaze.
DEAR_JOHN.srt 	DEAR_JOHN_DVS688 	01:33:04,00 --> 01:33:09,50 	someone glares, shifting his jaw.
DEAR_JOHN.srt 	DEAR_JOHN_DVS720 	01:36:33,00 --> 01:36:40,50 	in the hall, someone shifts his weight uneasily, then treads toward the kitchen.
DISTRICT_9.srt 	DISTRICT_9_DVS759 	01:29:43,00 --> 01:29:59,50 	it shifts its shoulders, then tilts its head to look at someone, who kneels in front of him held at gunpoint by a mercenary.
EASY_A.srt 	EASY_A_DVS159 	00:51:35,00 --> 00:51:47,50 	he stares longingly after his wife, then frowns and shifts his gaze.
EASY_A.srt 	EASY_A_DVS265 	01:20:00,00 --> 01:20:05,50 	she shifts her horrified gaze.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS14 	00:08:38,00 --> 00:08:49,50 	a sleazy man with a horseshoe mustache innocently shifts his gaze.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS83 	00:47:38,00 --> 00:47:44,50 	someone woozily shifts his gaze.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS61 	00:10:18,00 --> 00:10:23,50 	he shifts his delighted gaze.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS110 	00:18:08,00 --> 00:18:31,50 	someone's eyes shift upward and his head rolls to follow them.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS175 	00:28:31,00 --> 00:28:37,50 	someone shifts his indignant gaze.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS254 	00:40:19,00 --> 00:40:33,50 	shifting the levers, he raises the wheel high into the air, then smashes it onto a watchtower.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS258 	00:40:58,00 --> 00:41:04,50 	ghost rider shifts the levers and the wheel crashes down.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS314 	00:47:39,00 --> 00:47:48,50 	he shifts his perplexed eyes.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS335 	00:50:43,00 --> 00:50:51,50 	someone shifts his motorcycle onto only its front wheel.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS385 	00:57:01,00 --> 00:57:09,50 	someone shifts his gaze.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS394 	00:58:25,00 --> 00:58:31,50 	he takes a bite then shifts his gaze.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS419 	01:00:38,00 --> 01:00:43,50 	he shifts his gaze.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS452 	01:06:00,00 --> 01:06:07,50 	someone shifts her worried gaze.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS574 	01:22:26,00 --> 01:23:00,50 	shifting gears, someone accelerates and rear ends an suv knocking it off the road.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS577 	01:23:32,00 --> 01:23:58,50 	the gypsy woman shifts gears and accelerates.
GREEN_ZONE.srt 	GREEN_ZONE_DVS76 	00:19:27,00 --> 00:19:33,50 	a staffer shifts her uncomfortable gaze from someone to clark.
GREEN_ZONE.srt 	GREEN_ZONE_DVS199 	00:52:21,00 --> 00:52:27,50 	he shifts his gaze to someone and offers a firm nod.
GREEN_ZONE.srt 	GREEN_ZONE_DVS208 	00:53:50,00 --> 00:54:01,50 	someone shifts his confused gaze and heads to his humvee.
GROWN_UPS.srt 	GROWN_UPS_DVS96 	00:30:48,00 --> 00:30:53,50 	someone shifts her confused gaze.
GROWN_UPS.srt 	GROWN_UPS_DVS293 	01:33:19,00 --> 01:33:35,50 	pressing his lips together, he shifts his gaze to bailey's wife, who watches hopefully.
IN_TIME.srt 	IN_TIME_DVS73 	00:08:29,00 --> 00:08:36,50 	the wealthy man takes a few steps forward, then shifts his uneasy gaze and loosens his tie.
IN_TIME.srt 	IN_TIME_DVS181 	00:19:37,00 --> 00:19:43,50 	the bus driver shifts his regretful gaze away.
IN_TIME.srt 	IN_TIME_DVS195 	00:20:36,00 --> 00:20:45,50 	his thoughtful eyes shift to a truck heading in the opposite direction and he drops his flowers taking off after it.
IN_TIME.srt 	IN_TIME_DVS219 	00:23:24,00 --> 00:23:31,50 	shifting his gaze from the blonde in thigh-highs and miniskirt,
IN_TIME.srt 	IN_TIME_DVS253 	00:26:04,00 --> 00:26:09,50 	he shifts his thoughtful eyes.
IN_TIME.srt 	IN_TIME_DVS293 	00:30:07,00 --> 00:30:14,50 	as the host collects his time, the newcomer shifts his eyes uncertainly.
IN_TIME.srt 	IN_TIME_DVS303 	00:31:12,00 --> 00:31:18,50 	as someone shifts his uncertain eyes, someone gives a knowing smile.
IN_TIME.srt 	IN_TIME_DVS335 	00:34:47,00 --> 00:34:52,50 	he stares at the sales attendant, then shifts his gaze.
IN_TIME.srt 	IN_TIME_DVS381 	00:39:58,00 --> 00:40:07,50 	sea spray forms a light mist over the water's surface as someone shifts her gaze between someone and the mansion.
IN_TIME.srt 	IN_TIME_DVS385 	00:40:23,00 --> 00:40:29,50 	now, someone walks through the party, shifting his agitated gaze.
IN_TIME.srt 	IN_TIME_DVS391 	00:41:05,00 --> 00:41:10,50 	someone's cool blue eyes shift to someone.
IN_TIME.srt 	IN_TIME_DVS574 	01:01:01,00 --> 01:01:08,50 	he glances at someone, who gives him a sidelong look then shifts away her crestfallen eyes.
IN_TIME.srt 	IN_TIME_DVS646 	01:09:18,00 --> 01:09:26,50 	he hangs up, then shifts his gaze to someone, who examines the data tables on the digital map.
IN_TIME.srt 	IN_TIME_DVS770 	01:21:14,00 --> 01:21:20,50 	among them, the lanky traveler shifts his angry gaze.
IN_TIME.srt 	IN_TIME_DVS829 	01:27:57,00 --> 01:28:04,50 	someone shifts his attention to the bystanders gathered in a wide circle around him.
IN_TIME.srt 	IN_TIME_DVS839 	01:29:11,00 --> 01:29:17,50 	she stares off thoughtfully, then shifts her eyes back to him.
IN_TIME.srt 	IN_TIME_DVS938 	01:38:57,00 --> 01:39:04,50 	a look of realization crosses his face and he shifts his worried eyes.
INSIDE_MAN.srt 	INSIDE_MAN_DVS133 	00:40:11,00 --> 00:40:15,50 	someone shifts his eyes.
INSIDE_MAN.srt 	INSIDE_MAN_DVS221 	01:02:30,00 --> 01:02:44,50 	seen from inside, she shifts in her seat.
INSIDE_MAN.srt 	INSIDE_MAN_DVS303 	01:31:53,00 --> 01:31:57,50 	someone shifts his gaze.
INSIDE_MAN.srt 	INSIDE_MAN_DVS368 	01:46:43,00 --> 01:46:59,50 	someone's gaze lingers on the woman, then shifts away.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS25 	00:06:56,00 --> 00:07:28,50 	her eyes shift thoughtfully as she rinses the plate and looks out a window.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS40 	00:10:09,00 --> 00:10:14,50 	someone shifts his eyes.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS207 	01:02:20,00 --> 01:02:25,50 	wide-eyed, someone shifts her confounded gaze.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS357 	01:40:50,00 --> 01:41:00,50 	a tearful someone shifts her gaze.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS395 	01:50:13,00 --> 01:50:19,50 	someone shifts her stare then fixes it on him.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS394 	01:13:06,00 --> 01:13:11,50 	the balding man grabs and shifts her breasts.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS93 	00:14:15,00 --> 00:14:21,50 	someone shifts her eyes thoughtfully as she forks up a piece of sausage.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS122 	00:20:50,00 --> 00:20:54,50 	she shifts her restless gaze.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS123 	00:21:05,00 --> 00:21:12,50 	he shifts his gaze then nods.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS443 	01:27:39,00 --> 01:27:45,50 	he shifts his down-hearted gaze, and someone looks away.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS537 	01:46:20,00 --> 01:46:26,50 	he shifts her feet a smidge on the coffee table and sits facing her.
KARATE_KID.srt 	KARATE_KID_DVS128 	00:11:28,00 --> 00:11:33,50 	the lone man shifts his head.
KARATE_KID.srt 	KARATE_KID_DVS181 	00:15:24,00 --> 00:15:29,50 	someone shifts his conflicted gaze.
KARATE_KID.srt 	KARATE_KID_DVS335 	00:30:32,00 --> 00:30:38,50 	someone's smile fades and she shifts her puzzled gaze.
KARATE_KID.srt 	KARATE_KID_DVS394 	00:35:33,00 --> 00:35:38,50 	someone shifts his weight as he stares uneasily at his mother.
KARATE_KID.srt 	KARATE_KID_DVS418 	00:38:08,00 --> 00:38:14,50 	shifting his eyes, he sees someone and his friends staring at them.
KARATE_KID.srt 	KARATE_KID_DVS456 	00:40:39,00 --> 00:40:46,50 	his eyes shift to a grimy steam vent on the side of a building.
KARATE_KID.srt 	KARATE_KID_DVS542 	00:48:58,00 --> 00:49:03,50 	someone shifts his eyes.
KARATE_KID.srt 	KARATE_KID_DVS550 	00:49:45,00 --> 00:49:53,50 	shifting his sad eyes, mr.
KARATE_KID.srt 	KARATE_KID_DVS565 	00:50:50,00 --> 00:50:58,50 	the square-jawed man rises from his bench and faces the boy, who shifts his eyes nervously.
KARATE_KID.srt 	KARATE_KID_DVS606 	00:52:48,00 --> 00:52:53,50 	someone shifts his eyes.
KARATE_KID.srt 	KARATE_KID_DVS715 	00:59:50,00 --> 00:59:58,50 	as he mopes into his room, someone stares at the hanging jacket and shifts her wide-eyed gaze.
KARATE_KID.srt 	KARATE_KID_DVS917 	01:14:53,00 --> 01:14:57,50 	someone shifts his puzzled gaze.
KARATE_KID.srt 	KARATE_KID_DVS979 	01:20:06,00 --> 01:20:11,50 	he allows a faint smile and shifts his gaze.
KARATE_KID.srt 	KARATE_KID_DVS1104 	01:31:41,00 --> 01:31:48,50 	shifting his worried gaze, someone breaks into a run, and sprints down a tree-lined path.
KARATE_KID.srt 	KARATE_KID_DVS1341 	01:48:26,00 --> 01:48:31,50 	pursing his lips, he shifts his gaze.
KARATE_KID.srt 	KARATE_KID_DVS1545 	02:04:57,00 --> 02:05:02,50 	someone shifts his troubled gaze.
KARATE_KID.srt 	KARATE_KID_DVS1579 	02:08:41,00 --> 02:08:46,50 	the student shifts on his feet and looks up at his opponent.
KARATE_KID.srt 	KARATE_KID_DVS1581 	02:08:48,00 --> 02:08:57,50 	shifting his calculating gaze, master someone returns to the sidelines.
KARATE_KID.srt 	KARATE_KID_DVS1620 	02:11:46,00 --> 02:11:54,50 	lowering his chin, someone stares piercingly at his opponent, who shifts uncertainly.
KARATE_KID.srt 	KARATE_KID_DVS1629 	02:12:29,00 --> 02:12:37,50 	snapping out of his meditative focus, the boy shifts his confused gaze, then looks to mr.
KNOCKED_UP.srt 	KNOCKED_UP_DVS50 	00:32:50,00 --> 00:32:55,50 	someone's eyes shift.
KNOCKED_UP.srt 	KNOCKED_UP_DVS73 	00:43:45,00 --> 00:43:49,50 	shifts his stunned gaze.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS177 	01:04:56,00 --> 01:05:02,50 	someone, he shifts his jaw.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS200 	01:11:03,00 --> 01:11:12,50 	inside the cavern, someone pops up, shifting his eyes side to side.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS85 	00:21:30,00 --> 00:21:38,50 	the other students shift their uneasy gazes to miss someone.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS232 	00:31:51,00 --> 00:31:55,50 	someone shifts his weight.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS262 	00:34:44,00 --> 00:34:49,50 	someone shifts his gaze to the ship's floor.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS681 	01:12:10,00 --> 01:12:15,50 	shifting to all fours on the grid, someone dips a hand into the ocean.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS780 	01:19:55,00 --> 01:20:01,50 	someone's ears perk up as he shifts his gaze away from someone.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1071 	01:47:46,00 --> 01:47:52,50 	the writer lightly tilts his head and shifts his eyes.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1093 	01:53:03,00 --> 01:53:09,50 	the older man shifts his grim, compassionate gaze.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1111 	01:56:49,00 --> 01:56:54,50 	the writer shifts his gaze thoughtfully.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS42 	00:18:40,00 --> 00:18:45,50 	someone shifts his thoughtful gaze.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS48 	00:19:41,00 --> 00:19:48,50 	someone shifts his gaze to his son, someone.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS102 	00:41:02,00 --> 00:41:07,50 	someone's eyes shift.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS122 	00:45:19,00 --> 00:45:25,50 	narrowing his eyes, someone shifts them mischievously.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS245 	01:22:38,00 --> 01:22:42,50 	they shift in another part of the pit.
MORNING_GLORY.srt 	MORNING_GLORY_DVS276 	01:01:15,00 --> 01:01:21,50 	she shifts and looks at him uncertainly.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS160 	00:23:17,00 --> 00:23:22,50 	someone's smile fades and his eyes shift.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS562 	01:06:20,00 --> 01:06:25,50 	the penguin owner shifts his sad eyes.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS115 	00:25:48,00 --> 00:26:02,50 	someone shifts his gaze to a bench seat against a wall.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS211 	00:44:10,00 --> 00:44:16,50 	someone shifts his gaze and hustles off down the road.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS249 	00:51:36,00 --> 00:51:55,50 	someone observes the children, then shifts her thoughtful gaze.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS281 	01:02:03,00 --> 01:02:09,50 	someone bites his lip and shifts his thoughtful gaze.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS306 	01:06:25,00 --> 01:06:31,50 	sergeant jeffreys uneasily shifts his gaze.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS321 	01:11:09,00 --> 01:11:21,50 	someone shifts his gaze from someone to lord someone.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS331 	01:18:39,00 --> 01:18:46,50 	someone's eyes shift to someone and someone and his mouth drops open.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS294 	01:13:50,00 --> 01:13:54,50 	wide eyes shifting.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS343 	01:24:40,00 --> 01:24:48,50 	he shifts his gaze to an ominous mansion, which looms on a column of rock in the middle of the gorge.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS362 	01:29:34,00 --> 01:29:43,50 	someone and someone also watch as the god of the underworld stoops down and shifts the arm strap aside on the shield.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS444 	01:43:44,00 --> 01:43:49,50 	then shifts his proud gaze to his son.
PROMETHEUS.srt 	PROMETHEUS_DVS797 	01:25:34,00 --> 01:25:39,50 	on the bridge, someone's eyes shift nervously.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS114 	00:20:28,00 --> 00:20:37,50 	rubbing the tip of his nose, he shifts his gaze to the dance floor where a brunette in a red dress dances with a man.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS152 	00:27:53,00 --> 00:28:02,50 	someone irritably shifts her gaze, then glares at him and yanks on her coat.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS180 	00:34:01,00 --> 00:34:24,50 	someone allows a subdued smile then shifts boyishly in his seat.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS227 	00:41:52,00 --> 00:41:58,50 	they agent shifts his rueful gaze.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS233 	00:42:50,00 --> 00:42:55,50 	someone shifts his aim.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS236 	00:43:47,00 --> 00:43:53,50 	hoover shifts his resentful gaze and works his jaw.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS237 	00:43:54,00 --> 00:44:01,50 	in chicago, someone grimly lowers the phone and shifts his troubled gaze.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS337 	01:04:41,00 --> 01:04:55,50 	as someone drives through the town, he nervously shifts his eyes back and forth under the tipped down brim of his fedora.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS635 	01:59:33,00 --> 01:59:48,50 	the agent looks away, shifting his anxious gaze.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS649 	02:02:12,00 --> 02:02:37,50 	later, she shifts her sober gaze.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS656 	02:04:04,00 --> 02:04:11,50 	outside, someone shifts his tense, vigilant gaze.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS190 	00:45:58,00 --> 00:46:04,50 	he shifts his gaze to the other men, then turns back to someone.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS210 	00:50:28,00 --> 00:50:43,50 	someone shifts his weight and extends his arm showing someone the oval ring in his hand.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS222 	00:52:46,00 --> 00:52:53,50 	holding someone's sword, someone shifts his eyes thoughtfully, then gives a nod.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS355 	01:28:01,00 --> 01:28:09,50 	he shifts his cagey eyes and nods resolutely.
