21_JUMP_STREET.srt 	21_JUMP_STREET_DVS222 	00:37:48,00 --> 00:37:54,50 	he extends a hand, but someone pinches his face.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS345 	00:42:05,00 --> 00:42:14,50 	he slides a long handles oar out from beneath the canvas cover and extends it over the water toward the life preserver.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS406 	00:47:42,00 --> 00:47:48,50 	someone extends an oar to her and she climbs aboard.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS751 	01:18:01,00 --> 01:18:08,50 	watching the tiger out of the corner of his eye, he extends the spear toward him.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS762 	01:18:40,00 --> 01:18:46,50 	someone someone bares his teeth as someone slowly extends the reward.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS169 	00:24:13,00 --> 00:24:19,50 	with its flippers extended behind it, the penguin hurries over.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS82 	00:17:56,00 --> 00:18:00,50 	someone extends a hand.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS363 	01:17:50,00 --> 01:17:56,50 	the elephant curls its trunk, then extends it.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS488 	01:39:02,00 --> 01:39:09,50 	facing them, rory warmly extends a hand to his nephew.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS336 	01:23:20,00 --> 01:23:26,50 	the ferryman looks at him then extends his hand.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS452 	01:47:23,00 --> 01:47:30,50 	poseidon extends his arm and they shake hands while sharing an amicable stare.
PROMETHEUS.srt 	PROMETHEUS_DVS207 	00:14:49,00 --> 00:14:54,50 	he extends a hand, the mohawked man glares.
PROMETHEUS.srt 	PROMETHEUS_DVS329 	00:31:46,00 --> 00:31:58,50 	the pups split off again as the extending network of tunnels grows more complex.
PROMETHEUS.srt 	PROMETHEUS_DVS499 	00:52:11,00 --> 00:52:18,50 	the android lifts a glass off a shelf with his thumb and middle finger, leaving his index finger extended.
PROMETHEUS.srt 	PROMETHEUS_DVS504 	00:53:36,00 --> 00:53:42,50 	keeping his index finger extended, someone pours a glass of liquor.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS204 	00:49:40,00 --> 00:49:45,50 	the white robed official extends a hand.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS210 	00:50:28,00 --> 00:50:43,50 	someone shifts his weight and extends his arm showing someone the oval ring in his hand.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS421 	01:45:21,00 --> 01:45:25,50 	the man extends his hand.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS438 	01:48:35,00 --> 01:48:40,50 	teen orphan pokes his head through and extends a hand.
SANCTUM.srt 	SANCTUM_DVS355 	01:10:22,00 --> 01:10:28,50 	he extends his left foot to another crag about three feet away.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS214 	00:15:12,00 --> 00:15:16,50 	she extends her hand.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1069 	01:12:16,00 --> 01:12:24,50 	someone gives a showman's smile, extends his arm in a mock shrug, and melts into the embrace.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1403 	01:35:25,00 --> 01:35:32,50 	she extends her trembling fingers and rests them upon her laotong's cheek.
SUPER_8.srt 	SUPER_8_DVS289 	00:51:47,00 --> 00:51:53,50 	from the car, someone watches his father return to the colonel who extends his hand.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS159 	00:24:30,00 --> 00:24:39,50 	as the fire truck behind it skids to a halt its ladder extends out over the van.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS229 	00:35:41,00 --> 00:35:47,50 	someone balances on his knees as he extends his body.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS526 	01:14:17,00 --> 01:14:22,50 	bianca extends her hand and walks toward them.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS229 	00:35:30,00 --> 00:35:36,50 	someone extends a hand.
THE_WATCH.srt 	THE_WATCH_DVS340 	00:59:05,00 --> 00:59:12,50 	extending a hand after someone, someone faces the guys and sits on a cooler.
THE_WATCH.srt 	THE_WATCH_DVS418 	01:15:08,00 --> 01:15:14,50 	someone reaches out and touches someone' extended palm.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS448 	01:43:06,00 --> 01:43:11,50 	he extends a bath-brush.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS518 	01:28:58,00 --> 01:29:05,50 	leaning against the door frame, she steps forward and extends a hand.
THOR.srt 	THOR_DVS101 	00:15:04,00 --> 00:15:11,50 	the road extends over the sea to a domed metal building sitting on an island.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS729 	01:20:27,00 --> 01:20:34,50 	the winged man extends his arms straight by his sides and flies over us.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS829 	01:28:06,00 --> 01:28:10,50 	she extends a hand.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS326 	00:52:58,00 --> 00:53:10,50 	as he activates the device, its tape extends over a 	moat separating someone's enclosure from the guard railing.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS674 	01:38:48,00 --> 01:38:54,50 	now, someone extends his electric measuring tape along a railing.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS682 	01:39:31,00 --> 01:39:37,50 	opening the gate again, she turns the key extending a deadbolt.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS706 	01:42:24,00 --> 01:42:31,50 	with a scowl at someone and someone, he extends it over the moat.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS47 	00:04:01,00 --> 00:04:06,50 	he warmly extends his hand.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS78 	00:05:51,00 --> 00:05:55,50 	someone extends his hands toward it.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS102 	00:06:58,00 --> 00:07:03,50 	someone extends his hands.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS268 	00:20:47,00 --> 00:20:53,50 	someone extends a crimson hand to someone, who stares.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS306 	00:23:38,00 --> 00:23:44,50 	someone extends a cordial arm.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS616 	00:57:37,00 --> 00:57:46,50 	someone extends his arms, drawing the soldiers toward him, then pulls his elbows down, causing them to fall.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS896 	01:21:51,00 --> 01:21:59,50 	he bows his head for a moment, then extends his hand and fingers as if stretching to reach the dish.
ZOMBIELAND.srt 	ZOMBIELAND_DVS109 	00:08:57,00 --> 00:09:05,50 	the narrator lets go of his shotgun's stock and extends a shaky thumb like a hitchhiker.
ZOMBIELAND.srt 	ZOMBIELAND_DVS267 	00:29:34,00 --> 00:29:41,50 	facing someone, he extends the middle finger.
