40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS74 	00:40:18,00 --> 00:40:24,50 	she yawns as she places books on shelves.
FLIGHT.srt 	FLIGHT_DVS202 	00:46:53,00 --> 00:47:00,50 	someone places a bag beside the door, and reaches above one of the wooden posts supporting the veranda roof.
FLIGHT.srt 	FLIGHT_DVS209 	00:47:30,00 --> 00:47:37,50 	someone carries a plastic bag into the kitchen, and places it on a dining table.
FLIGHT.srt 	FLIGHT_DVS229 	00:49:24,00 --> 00:49:31,50 	he places his packet of money, wrapped in white paper labeled veal, and removes the bottle.
FLIGHT.srt 	FLIGHT_DVS388 	01:02:23,00 --> 01:02:29,50 	she lifts his leg, and places the cushion under it.
FLIGHT.srt 	FLIGHT_DVS509 	01:13:28,00 --> 01:13:34,50 	he places a cigarette in his mouth, and picks up her camera.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS353 	00:52:32,00 --> 00:52:42,50 	he places a hand on someone's head.
GROWN_UPS.srt 	GROWN_UPS_DVS114 	00:37:09,00 --> 00:37:17,50 	now sitting outside on the porch, someone places a strip of bacon on the bug zapper.
HUGO.srt 	HUGO_DVS159 	00:21:52,00 --> 00:21:57,50 	claude palms a nearby pocket watch and places it into his coat.
HUGO.srt 	HUGO_DVS213 	00:31:45,00 --> 00:31:52,50 	tightens it on with screws, then places the repaired mouse back onto the counter.
HUGO.srt 	HUGO_DVS290 	00:43:12,00 --> 00:43:18,50 	someone takes off someone's beret and places it over his own head.
HUGO.srt 	HUGO_DVS381 	00:58:14,00 --> 00:58:19,50 	she places her hand on the side of his head.
HUGO.srt 	HUGO_DVS387 	00:58:54,00 --> 00:59:01,50 	someone opens the armoire as someone places her ear against the door.
HUGO.srt 	HUGO_DVS636 	01:32:09,00 --> 01:32:15,50 	someone smiles and places one hand on someone's shoulder.
HUGO.srt 	HUGO_DVS686 	01:39:21,00 --> 01:39:26,50 	a man places a smoke bomb where they stood.
HUGO.srt 	HUGO_DVS794 	01:56:11,00 --> 01:56:15,50 	someone places one hand on his heart
HUGO.srt 	HUGO_DVS797 	01:56:53,00 --> 01:57:04,50 	he puts on a top hat and places a cigarette in his mouth, then ducks off stage.
IN_TIME.srt 	IN_TIME_DVS301 	00:31:02,00 --> 00:31:10,50 	checking his cards, he finds a pair of queens and places his wrist under a scanner.
IN_TIME.srt 	IN_TIME_DVS583 	01:02:27,00 --> 01:02:33,50 	he takes the gun hidden at his back and places her hand around it.
IN_TIME.srt 	IN_TIME_DVS586 	01:02:40,00 --> 01:02:47,50 	turning back, she places her hand against someone's neck and pulls him into a kiss.
INSIDE_MAN.srt 	INSIDE_MAN_DVS188 	00:54:01,00 --> 00:54:10,50 	as our view pulls back from the vault, someone places the handheld device on the floor.
INSIDE_MAN.srt 	INSIDE_MAN_DVS412 	01:58:55,00 --> 01:59:02,50 	someone shows off the diamond ring placed prominently on his middle finger.
INSIDE_MAN.srt 	INSIDE_MAN_DVS430 	02:01:49,00 --> 02:02:01,50 	he takes off his pistol, unloads it and places it in a lock box.
IRON_MAN_2.srt 	IRON_MAN_2_DVS174 	00:32:37,00 --> 00:32:46,50 	upside down, with his right shoulder touching the ground, someone places his left hand on the road as he tries to wiggle free.
IRON_MAN_2.srt 	IRON_MAN_2_DVS214 	00:40:49,00 --> 00:40:54,50 	he places the tray and silverware on a counter by the jet's windows.
IRON_MAN_2.srt 	IRON_MAN_2_DVS219 	00:42:13,00 --> 00:42:19,50 	staring at someone, the guard places the tray on a shelf attached to the cell door and leaves.
IRON_MAN_2.srt 	IRON_MAN_2_DVS232 	00:43:03,00 --> 00:43:08,50 	the guard passes and places a key on the shelf.
IRON_MAN_2.srt 	IRON_MAN_2_DVS236 	00:43:27,00 --> 00:43:36,50 	the guard places one hand on someone's shoulder.
IRON_MAN_2.srt 	IRON_MAN_2_DVS278 	00:51:50,00 --> 00:51:55,50 	someone places a black box on a counter, then pours a martini.
IRON_MAN_2.srt 	IRON_MAN_2_DVS353 	01:04:08,00 --> 01:04:16,50 	someone places a covered cage on a table.
IRON_MAN_2.srt 	IRON_MAN_2_DVS369 	01:10:17,00 --> 01:10:22,50 	someone places the reactor in a pouch.
IRON_MAN_2.srt 	IRON_MAN_2_DVS382 	01:12:33,00 --> 01:12:38,50 	someone places the missile back in the box.
IRON_MAN_2.srt 	IRON_MAN_2_DVS386 	01:13:00,00 --> 01:13:10,50 	he unrolls the blueprint and places it behind himself.
IRON_MAN_2.srt 	IRON_MAN_2_DVS394 	01:14:11,00 --> 01:14:15,50 	young someone places the piece on the table.
IRON_MAN_2.srt 	IRON_MAN_2_DVS408 	01:16:20,00 --> 01:16:26,50 	the man places a basket of strawberries on someone's passenger seat.
IRON_MAN_2.srt 	IRON_MAN_2_DVS426 	01:20:27,00 --> 01:20:36,50 	with his free hand, he places items from atop the desk on the toy's tripod-like base.
IRON_MAN_2.srt 	IRON_MAN_2_DVS466 	01:25:05,00 --> 01:25:11,50 	someone places a level atop the section of tubing propped up by the shield.
IRON_MAN_2.srt 	IRON_MAN_2_DVS486 	01:27:10,00 --> 01:27:17,50 	someone places the triangle inside an arc reactor.
IRON_MAN_2.srt 	IRON_MAN_2_DVS685 	01:53:21,00 --> 01:53:28,50 	pepper places her left hand on someone's chest.
IRON_MAN_2.srt 	IRON_MAN_2_DVS706 	01:56:47,00 --> 01:57:00,50 	someone stands between the two men and places his hands on their shoulders.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS329 	01:33:27,00 --> 01:33:36,50 	as she places it in her shallow vegetable basket someone strolls into the garden.
KARATE_KID.srt 	KARATE_KID_DVS414 	00:37:50,00 --> 00:37:57,50 	she places one of his hands on a golden cap.
KARATE_KID.srt 	KARATE_KID_DVS516 	00:46:55,00 --> 00:47:04,50 	grabbing another, he briefly holds the flame inside it, then places it on someone's skin, next to the first bulb-shaped cup.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS334 	01:17:32,00 --> 01:17:39,50 	furrowing her brow she places one hand over her face then brushes back her hair and blinks away tears.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS18 	00:07:01,00 --> 00:07:08,50 	he flips open the top and places it in the indentation, a perfect fit.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS109 	00:34:50,00 --> 00:34:56,50 	he places both palms on the transparent structure.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS150 	00:32:50,00 --> 00:32:57,50 	someone closes his cell and places it in the professor's hand.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS285 	01:08:00,00 --> 01:08:23,50 	he places a checkmark on the last line of a list.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS344 	01:19:36,00 --> 01:19:41,50 	driver side door opens someone places her heels on the ground
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS735 	01:16:30,00 --> 01:16:37,50 	the vegetarian warily places a piece of fish in his mouth.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS934 	01:32:59,00 --> 01:33:06,50 	he places the yellow contain aside and slides closer to the tiger.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS27 	00:11:27,00 --> 00:11:33,50 	he places two fingers alongside his carotid.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS70 	00:25:30,00 --> 00:25:37,50 	someone places his other one over it.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS36 	00:05:18,00 --> 00:05:23,50 	he places the hat on his client's bald head.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS173 	00:24:34,00 --> 00:24:39,50 	he places his penguin in the crate.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS542 	01:04:48,00 --> 01:04:55,50 	he places the egg underneath, in a rock nest snuggled within a blanket.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS115 	00:25:48,00 --> 00:26:02,50 	toting the cricket bat, he heads over and places the letters on the sill above the seat back.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS184 	00:32:05,00 --> 00:32:12,50 	someone looks at his phone a message from someone reads, "youre placed in 30."
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS358 	01:26:42,00 --> 01:26:49,50 	someone takes the box and hands it to someone, who places it in the hole.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS374 	01:33:08,00 --> 01:33:15,50 	he, someone and someone place their pearls on the floor, then crush them under their feet.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS130 	00:24:10,00 --> 00:24:18,50 	he takes her hand and she places her other hand on his shoulder.
SALT.srt 	SALT_DVS42 	00:08:27,00 --> 00:08:34,50 	she places the ashtray and cigarettes on the table beside the defector then takes a seat opposite.
SALT.srt 	SALT_DVS541 	01:33:11,00 --> 01:33:28,50 	it reads, urgent message - fingerprints place someone on barge where someone was killed.
SANCTUM.srt 	SANCTUM_DVS237 	00:50:43,00 --> 00:51:01,50 	his father takes his hand, places it on the guide line, and gives the okay signal.
SANCTUM.srt 	SANCTUM_DVS385 	01:16:30,00 --> 01:16:38,50 	he places a hand on someone's shoulder.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS254 	00:17:28,00 --> 00:17:34,50 	a servant places the privileged girl in a seat beside her new laotong.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS492 	00:32:06,00 --> 00:32:11,50 	she places someone's hands around it.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1468 	01:39:11,00 --> 01:39:16,50 	she places the fan in the young woman's palm,
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS114 	00:22:19,00 --> 00:22:24,50 	he places his open hand on its back.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS417 	01:28:31,00 --> 01:28:43,50 	the spouting water ceases and he places the someone on the highest tier.
SUPER_8.srt 	SUPER_8_DVS212 	00:36:28,00 --> 00:36:33,50 	he places his hands on his hips as glances back into the darkness.
SUPER_8.srt 	SUPER_8_DVS214 	00:36:48,00 --> 00:36:55,50 	placing one hand on his gun he creeps toward it.
SUPER_8.srt 	SUPER_8_DVS285 	00:51:15,00 --> 00:51:25,50 	someone places someone in his cruiser's backseat and tosses the camera onto the front seat.
SUPER_8.srt 	SUPER_8_DVS422 	01:15:34,00 --> 01:15:40,50 	someone places a cassette labeled april 8th in a tape player.
SUPER_8.srt 	SUPER_8_DVS616 	01:40:20,00 --> 01:40:27,50 	someone hurries up to someone, places his hands on the sides of his son's face.
SUPER_8.srt 	SUPER_8_DVS628 	01:41:45,00 --> 01:41:50,50 	someone places one hand on someone's shoulder.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS59 	00:08:40,00 --> 00:08:45,50 	he places the ship onto a counter.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS195 	00:28:56,00 --> 00:29:02,50 	the burly thug places a bundle of dynamite against the door.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS359 	00:54:34,00 --> 00:54:39,50 	he places his mouth over the gas tank spout.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS708 	01:34:19,00 --> 01:34:26,50 	he places the three pieces of parchment together and holds them up to the light.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS339 	01:06:17,00 --> 01:06:53,50 	back at home he rubs his eye then places a completed assignment atop a stack and grabs the next piece of homework.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS81 	00:15:53,00 --> 00:16:20,50 	in the bathroom, he drops someone's toothbrush in the toilet, then places it back in its holder.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS583 	01:45:35,00 --> 01:45:47,50 	the officers place the couple in side-by-side cells.
THE_CALL.srt 	THE_CALL_DVS224 	00:18:49,00 --> 00:18:56,50 	later, she places the pill bottle beside several others at a locker.
THE_CALL.srt 	THE_CALL_DVS590 	00:45:48,00 --> 00:45:55,50 	he places a hand on the driver's face and yanks the screw driver from his flesh.
THE_CALL.srt 	THE_CALL_DVS1016 	01:17:41,00 --> 01:17:49,50 	someone takes it out of his mouth and places it on the finger of a white mannequin hand sitting on the vanity.
THE_CALL.srt 	THE_CALL_DVS1078 	01:20:59,00 --> 01:21:05,50 	he places his hands on either side of someone's head.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS667 	01:33:47,00 --> 01:33:56,50 	one of the king cousins breaks off from the socializing to place a folded slip of paper in a large wooden bowl,
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS376 	00:45:55,00 --> 00:46:02,50 	her resigned eyes remain averted as she places her hand in his.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS812 	01:33:08,00 --> 01:33:17,50 	someone places the borrowed photo on a scanner then watches his laptop screen as the image uploads.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS861 	01:36:24,00 --> 01:36:31,50 	elsewhere on the cottage's exterior she places another hidden camera.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS60 	00:16:54,00 --> 00:16:59,50 	he places a call.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS133 	00:47:40,00 --> 00:47:46,50 	she places the bottles in her open suitcase lying on her twin bed.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS138 	00:48:09,00 --> 00:48:17,50 	she edges past someone, and places the water bottle on a table beside him, then backs away.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS255 	01:25:00,00 --> 01:25:06,50 	she turns aside and someone places a hand on her shoulder.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS180 	00:45:00,00 --> 00:45:08,50 	inside, someone places a red x beside another on a monthly calendar.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS395 	01:34:16,00 --> 01:34:20,50 	placing a hand on her shoulder,
THOR.srt 	THOR_DVS295 	00:41:55,00 --> 00:42:01,50 	he places his hand over his father's hand.
THOR.srt 	THOR_DVS325 	00:48:29,00 --> 00:48:35,50 	placing one hand on his own chest, someone stands.
THOR.srt 	THOR_DVS449 	01:12:37,00 --> 01:12:42,50 	someone retrieves the bowl and places it in her sink.
TRUE_GRIT.srt 	TRUE_GRIT_DVS35 	00:05:16,00 --> 00:05:21,50 	the man who spoke has a black bag placed over his head.
TRUE_GRIT.srt 	TRUE_GRIT_DVS38 	00:05:39,00 --> 00:05:45,50 	a bag's placed over his head.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS293 	00:46:44,00 --> 00:46:49,50 	he places someone's hand over her heart.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS657 	01:00:12,00 --> 01:00:19,50 	the focus shifts as someone places a magnet of a missile on top of cuba.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS764 	01:08:43,00 --> 01:08:48,50 	now they have their missiles placed in turkey.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS57 	00:07:55,00 --> 00:07:59,50 	then places the dog into a hand bag.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS84 	00:12:29,00 --> 00:12:36,50 	she takes out her laptop computer, places it on a desk, then plugs it into an outlet.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS86 	00:12:40,00 --> 00:12:45,50 	she places her jacket and several dresses onto hangers.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS104 	00:16:42,00 --> 00:16:49,50 	at his home, someone fills several baby bottles and places them into a refrigerator.
ZOOKEEPER.srt 	ZOOKEEPER_DVS35 	00:05:24,00 --> 00:05:31,50 	long haired woman places an eagle in a cage.
ZOOKEEPER.srt 	ZOOKEEPER_DVS257 	00:56:28,00 --> 00:56:34,50 	she places.
