21_JUMP_STREET.srt 	21_JUMP_STREET_DVS218 	00:36:47,00 --> 00:36:57,50 	he pushes an auditioning kid off stage.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS550 	00:59:21,00 --> 00:59:27,50 	the teen lowers the flap, then pushes the boat off.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS569 	01:03:14,00 --> 01:03:21,50 	someone pushes himself up on the boat's canvas cover.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS588 	01:04:50,00 --> 01:04:55,50 	someone pushes off as someone approaches the bucket.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS675 	01:11:40,00 --> 01:11:47,50 	someone plants both hands on the painted metal, then gently pushes off.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS706 	01:13:45,00 --> 01:13:53,50 	he pushes himself along the hull, standing on a new triangular version of the raft.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS905 	01:30:55,00 --> 01:31:01,50 	pushing more canvas back, someone squints as bright sun blankets his face.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1005 	01:38:44,00 --> 01:38:48,50 	he pushes them away.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS241 	01:22:18,00 --> 01:22:27,50 	to push him away.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS268 	01:26:36,00 --> 01:26:43,50 	pushing the cat's stomach like the heimlich maneuver, he forces the lizard out.
MORNING_GLORY.srt 	MORNING_GLORY_DVS68 	00:12:31,00 --> 00:12:35,50 	then turns to the lift buttons and push it.
MORNING_GLORY.srt 	MORNING_GLORY_DVS70 	00:12:52,00 --> 00:12:58,50 	as the lift doors are closing, a man jams his arms in the doors and pushes them open.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS493 	00:59:52,00 --> 01:00:01,50 	using his phone, someone films as someone fills someone's hood with snow, then pushes it over her head.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS519 	01:02:02,00 --> 01:02:09,50 	he pushes her back with his stick.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS529 	01:03:17,00 --> 01:03:22,50 	yates pushes his way inside.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS377 	01:19:55,00 --> 01:20:00,50 	he puts the pen in her hand and she pushes him away.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS137 	00:32:10,00 --> 00:32:20,50 	someone pushes him out of the way and sweeps out a warrior's leg.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS171 	00:37:22,00 --> 00:37:30,50 	someone holds up someone's arm like a boxing champion as they push through the crowd toward a refreshment table.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS272 	01:09:14,00 --> 01:09:35,50 	as it pushes the creature back, someone creeps out, snatches the pearl and joins his friends.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS338 	01:23:36,00 --> 01:23:43,50 	as the teens take their seats the ferryman pushes away from the dock.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS366 	01:30:46,00 --> 01:30:51,50 	pushing the group to within a few feet of the fire.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS409 	01:38:21,00 --> 01:38:26,50 	then weakly pushes himself up on all fours.
PROMETHEUS.srt 	PROMETHEUS_DVS175 	00:12:12,00 --> 00:12:17,50 	someone strides to one and pushes a button.
PROMETHEUS.srt 	PROMETHEUS_DVS1076 	01:57:34,00 --> 01:57:46,50 	the new alien specimen pushes itself up on all fours.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS78 	00:13:23,00 --> 00:13:29,50 	someone pushes the president forward to a metal gate.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS86 	00:14:25,00 --> 00:14:31,50 	inside, someone pushes the president forward.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS258 	00:48:44,00 --> 00:49:19,50 	pushing one open, he peeks into a bathroom.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS547 	01:42:39,00 --> 01:42:52,50 	burly agent pushes someone into the backseat and gets in next to her.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS327 	00:52:58,00 --> 00:53:08,50 	someone's mom points to her breasts then pushes away the men and grabs her behind.
SANCTUM.srt 	SANCTUM_DVS113 	00:23:33,00 --> 00:23:39,50 	someone unclips his extra oxygen tank and pushes it away.
SANCTUM.srt 	SANCTUM_DVS121 	00:24:39,00 --> 00:24:45,50 	as she pushes her rebreather, its pack snags on a rock.
SANCTUM.srt 	SANCTUM_DVS223 	00:48:19,00 --> 00:48:27,50 	then pushes against his throat.
SANCTUM.srt 	SANCTUM_DVS251 	00:52:31,00 --> 00:52:36,50 	effort, she pushes her gear into the restriction.
SANCTUM.srt 	SANCTUM_DVS255 	00:52:51,00 --> 00:53:02,50 	up ahead, someone pushes himself through the exit.
SANCTUM.srt 	SANCTUM_DVS420 	01:21:00,00 --> 01:21:12,50 	pushing out his jaw, he gives a thoughtful look, then abruptly shifts his gaze to a section of the cave's wall near someone.
SANCTUM.srt 	SANCTUM_DVS428 	01:22:09,00 --> 01:22:14,50 	someone straightens, pushing himself higher.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS218 	00:15:22,00 --> 00:15:26,50 	someone pushes on.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS235 	00:16:20,00 --> 00:16:29,50 	a plump woman dressed in a colorful someone robe pushes aside the curtain on the enclosed litter and steps out.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1053 	01:09:58,00 --> 01:10:04,50 	someone gently pushes her friend's head away.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS460 	01:37:29,00 --> 01:37:33,50 	someone cowers as their burst impacts push him backward.
SOUL_SURFER.srt 	SOUL_SURFER_DVS282 	01:20:37,00 --> 01:20:42,50 	pushing out a tired breath, someone paddles on.
SPARKLE_2012.srt 	SPARKLE_2012_DVS496 	01:20:05,00 --> 01:20:12,50 	someone pushes her out of the room.
SUPER_8.srt 	SUPER_8_DVS339 	01:01:19,00 --> 01:01:25,50 	someone's mother pushes him on a swing as the screen turns white
SUPER_8.srt 	SUPER_8_DVS485 	01:23:35,00 --> 01:23:44,50 	someone and someone pushed someone up through the window and on the top of the bus.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS52 	00:06:35,00 --> 00:06:41,50 	a beefy man with a moustache pushes through the crowd as the young man pays for the ship.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS61 	00:08:57,00 --> 00:09:03,50 	behind him a cat pushes open a window and drops inside.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS98 	00:13:59,00 --> 00:14:06,50 	he pushes open the window and jumps into a large dark room filled with disused furniture.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS188 	00:27:56,00 --> 00:28:02,50 	he runs to a wooden crate in the middle of room and pushes it.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS273 	00:40:03,00 --> 00:40:09,50 	someone pushes snowy in the lifeboat over the side of the ship.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS636 	01:24:53,00 --> 01:24:59,50 	the thugs push someone and snowy into the canal.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS645 	01:26:30,00 --> 01:26:35,50 	someone pushes someone into a chair.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS201 	00:38:36,00 --> 00:38:44,50 	she pushes her chair out and strides away.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS298 	00:57:32,00 --> 00:57:38,50 	she pushes him back and frowns uncomfortably.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS300 	00:57:42,00 --> 00:57:51,50 	she pushes the door open a crack and someone takes a look inside.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS511 	01:32:06,00 --> 01:32:12,50 	someone pushes people from the pool table.
THE_CALL.srt 	THE_CALL_DVS573 	00:43:56,00 --> 00:44:05,50 	turning her head, she pushes his face off her shoulder and moves an arm from her torso then quickly retrieves the phone.
THE_CALL.srt 	THE_CALL_DVS901 	01:09:36,00 --> 01:09:43,50 	now, someone slowly pushes the front door open and shines a flashlight inside.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS129 	00:21:25,00 --> 00:21:29,50 	she pushes the plate away.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS602 	01:28:14,00 --> 01:28:20,50 	someone pushes out a breath and shifts her attention to her mother.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS634 	01:32:04,00 --> 01:32:09,50 	he pushes his chair back from the desk and rises.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS643 	01:32:36,00 --> 01:32:42,50 	as he pushes open the curtains on the front windows,
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS699 	01:17:17,00 --> 01:17:24,50 	someone's gaze lingers on him as she returns to her bedroom and pushes the door most of the way shut.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS851 	01:35:55,00 --> 01:36:02,50 	he races through the woods pushing tree branches aside as he goes.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS887 	01:39:01,00 --> 01:39:07,50 	pushing him back onto the bed she straddles him.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1038 	01:51:20,00 --> 01:51:27,50 	at the archives someone pushes through heavy doors and approaches some vending machines.
