21_JUMP_STREET.srt 	21_JUMP_STREET_DVS185 	00:31:24,00 --> 00:31:32,50 	moving further inside the two undercover cops find the handsome, sensitive teen
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS611 	00:58:45,00 --> 00:58:52,50 	she moves to the kitchen and finds someone and someone renovating the cabinets.
CHRONICLE.srt 	CHRONICLE_DVS115 	00:16:00,00 --> 00:16:07,50 	moving his hands, someone levitates two lego pieces which bounce off each other.
CHRONICLE.srt 	CHRONICLE_DVS175 	00:26:28,00 --> 00:26:33,50 	the truck starts to move.
CHRONICLE.srt 	CHRONICLE_DVS176 	00:26:36,00 --> 00:26:43,50 	someone moves to the riverbank.
CHRONICLE.srt 	CHRONICLE_DVS414 	01:01:41,00 --> 01:01:46,50 	we lift high overhead as he moves on to the other,
CHRONICLE.srt 	CHRONICLE_DVS531 	01:15:19,00 --> 01:15:28,50 	as the authorities move in, someone's eyes snap open.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS34 	00:07:53,00 --> 00:08:08,50 	as our view moves across the flower print wallpaper, the picture goes dark.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS34 	00:07:53,00 --> 00:08:08,50 	now our view keeps moving to a white washed dresser top lined with a simple lace runner.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS136 	00:29:46,00 --> 00:29:51,50 	they move another sack.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS340 	01:25:39,00 --> 01:25:44,50 	he moves through an array of crowded shacks.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS501 	01:55:43,00 --> 01:55:52,50 	the fighters move to the center and shuffle around each other.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS546 	02:08:24,00 --> 02:08:34,50 	the fighters move to the center of the ring.
COLOMBIANA.srt 	COLOMBIANA_DVS94 	00:07:24,00 --> 00:07:32,50 	moving past them, someone opens a back door.
COLOMBIANA.srt 	COLOMBIANA_DVS245 	00:20:36,00 --> 00:20:45,50 	now hazy sunlight glimmers off the mirrored panels of chicago's skyscrapers as we move over the downtown area.
COLOMBIANA.srt 	COLOMBIANA_DVS423 	00:37:13,00 --> 00:37:20,50 	she stands, holding the weapon pointed at the floor, and moves to someone's cell.
COLOMBIANA.srt 	COLOMBIANA_DVS577 	00:52:30,00 --> 00:52:37,50 	looking around, he moves to a coin operated washing machine and starts a load.
COLOMBIANA.srt 	COLOMBIANA_DVS649 	01:00:53,00 --> 01:01:01,50 	his bare legs tremble slightly as he moves down a dark corridor past another dead bodyguard.
COLOMBIANA.srt 	COLOMBIANA_DVS896 	01:24:33,00 --> 01:24:39,50 	she moves closer, she sinks down before her murdered uncle, and sobs against his shoulder.
DEAR_JOHN.srt 	DEAR_JOHN_DVS612 	01:24:03,00 --> 01:24:08,50 	he moves across the corral.
DEAR_JOHN.srt 	DEAR_JOHN_DVS616 	01:24:17,00 --> 01:24:22,50 	someone moves faster.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS366 	01:28:17,00 --> 01:28:21,50 	someone looks moved.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS437 	01:47:08,00 --> 01:47:20,50 	they move from shoulder to cheek then forehead, then tap each other's chins with their fists.
DISTRICT_9.srt 	DISTRICT_9_DVS659 	01:17:16,00 --> 01:17:32,50 	someone sits in the chair and pulls down a harness, which engages the seat to move forward to a control station.
DISTRICT_9.srt 	DISTRICT_9_DVS758 	01:29:40,00 --> 01:29:45,50 	someone moves closer.
FLIGHT.srt 	FLIGHT_DVS60 	00:12:21,00 --> 00:12:26,50 	he moves the side stick forward.
FLIGHT.srt 	FLIGHT_DVS226 	00:49:13,00 --> 00:49:18,50 	he continues his chore with determination, as he moves from cabinet to cabinet, removing and tossing bottles and cans.
FLIGHT.srt 	FLIGHT_DVS344 	00:57:40,00 --> 00:57:46,50 	someone sits at the bar and moves a cocktail napkin back and forth, as he studies the glass of vodka.
FLIGHT.srt 	FLIGHT_DVS391 	01:02:46,00 --> 01:02:52,50 	someone is laid back in the armchair, watching as someone's hands move up to cover his hand.
FLIGHT.srt 	FLIGHT_DVS495 	01:11:22,00 --> 01:11:27,50 	someone has not moved since she walked in.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS57 	00:15:36,00 --> 00:15:40,50 	they move through a crowd.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS60 	00:15:54,00 --> 00:16:10,50 	as they move into a broadway style dance number, young people approach from all over the crowd.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS191 	00:52:06,00 --> 00:52:14,50 	he moves in for another kiss.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS198 	00:52:59,00 --> 00:53:08,50 	moving his sleeve aside she sniffs deeply.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS82 	00:13:10,00 --> 00:13:33,50 	now he runs towards someone's garage to find a blazing light moving within.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS140 	00:22:31,00 --> 00:22:39,50 	on the left, we watch the mysterious man's moving lips.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS153 	00:23:48,00 --> 00:24:12,50 	peeking around the corner, he finds someone moving through a parking lot with affected nonchalance.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS153 	00:23:48,00 --> 00:24:12,50 	moving on to the car beside it, she turns.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS154 	00:24:09,00 --> 00:24:14,50 	someone moves on then pauses warily.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS230 	00:37:10,00 --> 00:37:18,50 	they move to the edge of the quarry.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS362 	00:53:20,00 --> 00:53:25,50 	he moves to someone's side.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS404 	00:59:26,00 --> 00:59:35,50 	as he grimaces, his memories move in reverse.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS522 	01:14:23,00 --> 01:14:33,50 	someone's lips move.
GREEN_ZONE.srt 	GREEN_ZONE_DVS323 	01:12:25,00 --> 01:12:38,50 	a bar highlights the words, met-delta on a list and a satellite map shows a moving icon.
HUGO.srt 	HUGO_DVS246 	00:35:09,00 --> 00:35:14,50 	the pen in its hand never moving.
HUGO.srt 	HUGO_DVS327 	00:50:35,00 --> 00:50:43,50 	holding a pen above a blank page, the automaton's right arm moves slightly then stops.
HUGO.srt 	HUGO_DVS332 	00:51:00,00 --> 00:51:08,50 	the automaton moves its hand across the length of the page then makes a small someone, resembling the letter "j."
HUGO.srt 	HUGO_DVS333 	00:51:08,00 --> 00:51:14,50 	the automaton's head moves up and down and side to side as it writes.
HUGO.srt 	HUGO_DVS336 	00:51:19,00 --> 00:51:26,50 	the automaton moves its hand and makes another scribble, then another, seemingly at random.
HUGO.srt 	HUGO_DVS347 	00:53:20,00 --> 00:53:27,50 	moving its hand, it begins connecting the various shapes and scribbles together with lines.
HUGO.srt 	HUGO_DVS351 	00:53:46,00 --> 00:53:52,50 	its metal hands move quicker and quicker across the page.
HUGO.srt 	HUGO_DVS587 	01:25:05,00 --> 01:25:15,50 	pulling his shirt open with both hands, someone looks down at his torso, which is now a metallic framework filled with pistons and moving parts.
HUGO.srt 	HUGO_DVS741 	01:48:52,00 --> 01:48:59,50 	standing beside him, the inspector peers up at the clockwork's giant moving gears.
IN_TIME.srt 	IN_TIME_DVS33 	00:03:58,00 --> 00:04:02,50 	her clock doesn't move.
IN_TIME.srt 	IN_TIME_DVS44 	00:05:02,00 --> 00:05:10,50 	as someone moves on, someone lingers, holding the thin man's gaze with narrowed eyes.
IN_TIME.srt 	IN_TIME_DVS56 	00:06:15,00 --> 00:06:24,50 	he moves off down the length of the bar, passing a chiseled well-dressed man flanked by beautiful women.
IN_TIME.srt 	IN_TIME_DVS348 	00:36:14,00 --> 00:36:19,50 	someone's guard eyes her uncertainly, then moves off.
IN_TIME.srt 	IN_TIME_DVS512 	00:55:07,00 --> 00:55:12,50 	shaking his head, someone moves away from someone.
IN_TIME.srt 	IN_TIME_DVS579 	01:01:41,00 --> 01:01:45,50 	they move from the window.
IN_TIME.srt 	IN_TIME_DVS629 	01:07:10,00 --> 01:07:18,50 	he moves to someone, who keeps her gun aimed at the blond and sets the earrings in her palm.
IN_TIME.srt 	IN_TIME_DVS707 	01:15:47,00 --> 01:15:52,50 	as the man moves on, the car halts and backs up.
IN_TIME.srt 	IN_TIME_DVS861 	01:30:54,00 --> 01:31:01,50 	reaching a vault in an adjacent room, he releases someone and moves to the metal door.
INSIDE_MAN.srt 	INSIDE_MAN_DVS79 	00:19:39,00 --> 00:19:52,50 	someone moves pass the females, some of whom cover their bodies demurely.
INSIDE_MAN.srt 	INSIDE_MAN_DVS99 	00:26:19,00 --> 00:26:32,50 	someone moves to her desk and sets down her date book.
INSIDE_MAN.srt 	INSIDE_MAN_DVS170 	00:48:29,00 --> 00:48:35,50 	then moves the woman down the hall.
INSIDE_MAN.srt 	INSIDE_MAN_DVS175 	00:50:16,00 --> 00:50:37,50 	she moves a tile into a trash bag lined box, gets to her feet and removes a pair of rubber gloves.
INSIDE_MAN.srt 	INSIDE_MAN_DVS258 	01:19:28,00 --> 01:19:41,50 	the first robber moves past someone and climbs the steps ahead of him.
INSIDE_MAN.srt 	INSIDE_MAN_DVS330 	01:36:51,00 --> 01:36:57,50 	more esu officers move in behind the counter.
INSIDE_MAN.srt 	INSIDE_MAN_DVS370 	01:47:14,00 --> 01:47:24,50 	she moves past a man in the urinal and continues on to a back room.
INSIDE_MAN.srt 	INSIDE_MAN_DVS388 	01:52:08,00 --> 01:52:13,50 	then moves a duffel bag into the supply room.
IRON_MAN_2.srt 	IRON_MAN_2_DVS337 	01:00:22,00 --> 01:00:30,50 	the men move their heads from left to right as someone speeds past the tower.
IRON_MAN_2.srt 	IRON_MAN_2_DVS444 	01:22:10,00 --> 01:22:18,50 	as he moves his hands apart, the unisphere expands.
IRON_MAN_2.srt 	IRON_MAN_2_DVS448 	01:22:47,00 --> 01:22:53,50 	moving his hands, someone expands the unisphere again.
IRON_MAN_2.srt 	IRON_MAN_2_DVS583 	01:40:44,00 --> 01:40:56,50 	on the screen, three triangles representing air force drones move off together.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS29 	00:08:07,00 --> 00:08:12,50 	moving down the counter she pauses at a server.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS190 	01:00:07,00 --> 01:00:16,50 	he fidgety hands move to untie her bathrobe
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS220 	01:04:54,00 --> 01:05:08,50 	she moves her tray.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS396 	01:50:38,00 --> 01:50:43,50 	she moves to lean on one arm.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS82 	00:18:34,00 --> 00:18:39,50 	he holds his hands out and stops moving.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS176 	00:34:49,00 --> 00:34:53,50 	she moves toward a closed stall.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS173 	00:32:03,00 --> 00:32:16,50 	later, we move down a long table, watching masculine hands rapidly chop onions.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS472 	01:31:43,00 --> 01:31:51,50 	she moves the cursor to the publish button on screen and clicks it, then turns off the desk lamp.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS75 	00:25:50,00 --> 00:25:56,50 	moving in slow motion, someone blows a kiss to a stranger.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS106 	00:39:00,00 --> 00:39:08,50 	everyone still moving in slow motion, someone, someone, and the kids watch the furious woman chase after her
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS253 	01:26:45,00 --> 01:26:49,50 	he moves on to someone.
KARATE_KID.srt 	KARATE_KID_DVS107 	00:09:57,00 --> 00:10:05,50 	later, someone moves a suitcase into the apartment, then ambles over to the windows lining the hallway.
KARATE_KID.srt 	KARATE_KID_DVS447 	00:40:06,00 --> 00:40:14,50 	using the cab as a moving shield to hide from the boys, someone walks at a crouch alongside it.
KARATE_KID.srt 	KARATE_KID_DVS450 	00:40:20,00 --> 00:40:27,50 	across the street, a vendor shoos the unruly boys away and they move on.
KARATE_KID.srt 	KARATE_KID_DVS451 	00:40:24,00 --> 00:40:34,50 	now, someone creeps beside the car, his eyes moving from window to window, watching someone and the boys pass.
KARATE_KID.srt 	KARATE_KID_DVS458 	00:40:47,00 --> 00:40:58,50 	on the stoop, someone demonstrates kung fu moves to his friends.
KARATE_KID.srt 	KARATE_KID_DVS518 	00:47:09,00 --> 00:47:16,50 	he rubs his hands together, then moves them over someone's chest.
KARATE_KID.srt 	KARATE_KID_DVS836 	01:09:18,00 --> 01:09:22,50 	the spotlight silhouettes them as they move closer and touch foreheads, then press their lips together in a gentle steady kiss.
KARATE_KID.srt 	KARATE_KID_DVS1016 	01:22:53,00 --> 01:22:59,50 	he moves someone's hand to his head.
KARATE_KID.srt 	KARATE_KID_DVS1105 	01:31:45,00 --> 01:31:57,50 	in the school auditorium, a pre-teen boy plays the piano, his fingers moving nimbly over the keys.
KARATE_KID.srt 	KARATE_KID_DVS1250 	01:41:52,00 --> 01:41:57,50 	they descend from someone's patio and move into the center of the courtyard.
KARATE_KID.srt 	KARATE_KID_DVS1268 	01:42:42,00 --> 01:42:48,50 	someone whips the poles around and moves the boy into another stance.
KARATE_KID.srt 	KARATE_KID_DVS1451 	01:58:13,00 --> 01:58:23,50 	moving through the crowd with someone, someone stares worriedly.
KARATE_KID.srt 	KARATE_KID_DVS1550 	02:05:18,00 --> 02:05:23,50 	the rival teachers move to vantage points nearby.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS280 	01:04:36,00 --> 01:04:41,50 	elsewhere, a mass of people moves through a parking lot.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS60 	00:19:26,00 --> 00:19:30,50 	she moves the primate's hand and touches his knee.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS79 	00:26:47,00 --> 00:26:54,50 	the group cautiously follows the music, moving deeper into the cave.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS135 	00:48:06,00 --> 00:48:16,50 	the allosaurus moves on.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS200 	01:11:03,00 --> 01:11:12,50 	he attempts to move stealthily amid the crystals.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS127 	00:29:41,00 --> 00:29:52,50 	as he moves behind the lectern the dean smiles excitedly.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS267 	01:03:57,00 --> 01:04:05,50 	pressing her hands to the door the teacher peers through a peep hole and sees someone as he joyfully move around.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS384 	01:30:58,00 --> 01:31:04,50 	displays an arrow moving along the map as she drives.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS43 	00:02:51,00 --> 00:02:59,50 	two black aardvarks wade through water up to their heads, flapping their long snouts as they move along.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS122 	00:13:56,00 --> 00:14:03,50 	as we peer closely at the universe between krishna's lips, it moves.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS145 	00:18:29,00 --> 00:18:36,50 	someone watches from outside the gate, then slowly moves towards to courtyard congregation.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS212 	00:27:58,00 --> 00:28:10,50 	as someone and her friends move on, someone attempts to follow them with the drum satchel draped over his shoulder.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS279 	00:37:07,00 --> 00:37:13,50 	he staggers and steadies himself on a railing as he moves along.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS298 	00:38:33,00 --> 00:38:40,50 	someone watches two sailors moving frantically below with flashlights.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS776 	01:19:33,00 --> 01:19:37,50 	the tiger moves to it.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS795 	01:21:37,00 --> 01:21:45,50 	someone quickly stands and moves around the raft gazing at a massive school of dolphins.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS800 	01:21:56,00 --> 01:22:04,50 	someone waves his arms and stares ahead then quickly moves to the other side of the raft.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS807 	01:22:28,00 --> 01:22:36,50 	later, the ship resembles a speck on the horizon moving toward the massive setting sun.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS830 	01:24:28,00 --> 01:24:36,50 	several more follow as we move through the tiger's image and below the surface.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS843 	01:25:21,00 --> 01:25:31,50 	we move through a glowing orange trail and dissipating blue particles into an array of teal and purple bubbles.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS203 	01:12:31,00 --> 01:12:38,50 	as someone moves through the shadows outside, someone takes off her blouse.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS244 	01:22:35,00 --> 01:22:39,50 	behind him move then stop as he whip
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS223 	00:32:01,00 --> 00:32:09,50 	as the penguins move closer, someone follows and sees someone someone walking like a penguin.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS565 	01:06:28,00 --> 01:06:34,50 	as he crouches in front of the penguins, they move a few steps away.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS660 	01:21:45,00 --> 01:21:52,50 	as they move toward the sardine, captain glances uneasily at mr.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS105 	00:24:36,00 --> 00:24:41,50 	the bird moves to the floor in front of her.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS260 	00:56:40,00 --> 00:56:45,50 	he move his hands like wings and pretends to fly.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS413 	01:26:22,00 --> 01:26:34,50 	he dips a finger in for a taste, then moves a pan onto a burner and pours the eggs in.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS452 	01:33:44,00 --> 01:33:50,50 	in a circle, moving up and down like carousel horses.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS234 	00:39:40,00 --> 00:39:51,50 	someone's lying on the couch holding his hands and feet in the air and slowly moving them back and forth.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS130 	00:33:41,00 --> 00:33:46,50 	the boy moves off with a wounded pout.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS141 	00:32:52,00 --> 00:32:58,50 	which splashes at his knees as he moves across the stream.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS152 	00:35:00,00 --> 00:35:04,50 	then moves to his shoulder.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS292 	01:13:08,00 --> 01:13:15,50 	as they move on a waitress intercepts them with a tray of pink hors d'oeuvre.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS303 	01:15:52,00 --> 01:15:57,50 	as he moves through the casino a waitress intercepts him.
PROMETHEUS.srt 	PROMETHEUS_DVS96 	00:05:39,00 --> 00:05:46,50 	now, a figure moves down a steep verdant slope in the mountains.
PROMETHEUS.srt 	PROMETHEUS_DVS110 	00:06:39,00 --> 00:06:47,50 	his colleague moves to the edge of the cavernous space, then watches him with a girlish smile.
