A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS240 	00:19:48,00 --> 00:19:53,50 	he backs toward the van.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS280 	00:52:21,00 --> 00:52:40,50 	someone drives up close behind her then backs off.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS283 	00:52:54,00 --> 00:52:58,50 	someone backs up.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS303 	00:54:50,00 --> 00:54:57,50 	he backs the car away from the pedicab, steers around it, and drives off.
THE_CALL.srt 	THE_CALL_DVS264 	00:22:35,00 --> 00:22:41,50 	a sedan almost backs into her.
THE_CALL.srt 	THE_CALL_DVS539 	00:41:39,00 --> 00:41:44,50 	backing away, he drops the shovel and turns.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS275 	00:43:26,00 --> 00:43:30,50 	the car backs up.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS622 	01:08:31,00 --> 01:08:37,50 	she lays a hand on a friend's shoulder and backs away from the group.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1082 	01:53:40,00 --> 01:53:45,50 	from outside, we watch someone backing across the bedroom.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1196 	02:07:13,00 --> 02:07:21,50 	outside, someone's range rover backs out.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS138 	00:48:09,00 --> 00:48:17,50 	she edges past someone, and places the water bottle on a table beside him, then backs away.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS116 	00:37:11,00 --> 00:37:17,50 	someone backs away, scratching his brow.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS277 	01:44:42,00 --> 01:44:46,50 	someone backs away.
THE_WATCH.srt 	THE_WATCH_DVS51 	00:06:40,00 --> 00:06:45,50 	firing wild, he backs away.
THE_WATCH.srt 	THE_WATCH_DVS147 	00:28:34,00 --> 00:28:38,50 	the cop car backs up.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS134 	00:37:01,00 --> 00:37:06,50 	the car backs up, returning to the curb in front of her.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS360 	01:28:24,00 --> 01:28:30,50 	kissing her, he backs her up against a dresser and knocks over a lamp.
THOR.srt 	THOR_DVS258 	00:35:22,00 --> 00:35:28,50 	someone starts the truck, puts it into reverse, and backs into someone.
THOR.srt 	THOR_DVS266 	00:35:54,00 --> 00:36:01,50 	a white pickup truck backs up to the lip of the crater, as men wrap a chain around someone.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS209 	00:36:06,00 --> 00:36:13,50 	an approaching porcupine startles the rookie and he backs away, fumbling a few posts.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS472 	01:06:14,00 --> 01:06:19,50 	she backs into her bedroom and they fall on her bed.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS480 	00:43:06,00 --> 00:43:12,50 	someone backs away a few feet, then turns and heads toward the building.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1218 	01:48:52,00 --> 01:49:00,50 	he calmly backs the mutant against a wall.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS168 	00:32:11,00 --> 00:32:16,50 	someone stares at him as she slowly backs away.
ZOMBIELAND.srt 	ZOMBIELAND_DVS165 	00:16:33,00 --> 00:16:39,50 	he backs off of the couch and she leaps after him.
ZOMBIELAND.srt 	ZOMBIELAND_DVS276 	00:30:17,00 --> 00:30:25,50 	as the wide bodied vehicle backs away from the house, it takes out a beam supporting an overhang.
ZOMBIELAND.srt 	ZOMBIELAND_DVS536 	01:02:56,00 --> 01:03:02,50 	cloth lies draped over several high backed chairs.
ZOOKEEPER.srt 	ZOOKEEPER_DVS332 	01:14:15,00 --> 01:14:25,50 	he hits his rear on the horn as he attempts to back into the seat.
