21_JUMP_STREET.srt 	21_JUMP_STREET_DVS70 	00:07:48,00 --> 00:07:55,50 	pulling out in front of the bearded bikers, someone gets off his bike and draws his gun.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS649 	01:37:50,00 --> 01:37:55,50 	as someone draws, someone pulls his trigger.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS692 	01:43:26,00 --> 01:43:35,50 	at a desk, a writer types rapidly then pulls the paper from his typewriter.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS29 	00:06:13,00 --> 00:06:22,50 	he pulls up another watermelon.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS83 	00:21:16,00 --> 00:21:25,50 	the delivery guy checks it against his order ticket then pulls the rest of the way through and drives down a long dirt lot.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS113 	00:29:33,00 --> 00:29:41,50 	now a sleek black car pulls around the strip club where the brunette dancer waits by a backdoor.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS133 	00:37:21,00 --> 00:37:26,50 	pulling back out, someone almost hits a passing truck.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS174 	00:46:00,00 --> 00:46:06,50 	they pull down their masks and barge inside.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS192 	00:49:54,00 --> 00:49:59,50 	now the getaway car pulls out, making a u-turn.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS200 	00:50:52,00 --> 00:50:57,50 	reaching an intersection, he pulls the emergency break.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS211 	00:52:02,00 --> 00:52:07,50 	someone pulls out the bloody shard.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS216 	00:52:22,00 --> 00:52:28,50 	as the bus pulls out two police officers exit the alley.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS243 	00:58:11,00 --> 00:58:17,50 	someone pulls her down and slams her into someone's car, then grabs the bag.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS251 	00:59:43,00 --> 00:59:49,50 	the mustang pulls over and someone runs a safe distance away.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS254 	01:00:16,00 --> 01:00:21,50 	he pulls off his barber cape and upends the table.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS267 	01:03:51,00 --> 01:03:57,50 	someone tries to pull the bomb vest up over someone's head.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS307 	01:10:11,00 --> 01:10:30,50 	the mustang pulls out of the empty lot and drives off past a few warehouses.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS326 	01:13:23,00 --> 01:13:27,50 	someone pulls off his mask.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS349 	01:17:08,00 --> 01:17:15,50 	he pulls up alongside the mustang, someone eyes someone through their open windows.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS131 	01:06:45,00 --> 01:06:53,50 	as someone pulls the condom of his toe, the teenage boy watches.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS133 	01:07:02,00 --> 01:07:07,50 	bathroom he pulls down his shorts and sits
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS152 	01:18:44,00 --> 01:18:50,50 	as she pulls away, someone's brow lifts slightly.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS172 	01:23:39,00 --> 01:23:45,50 	he pulls into someone's driveway on his bike.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS220 	01:47:54,00 --> 01:48:01,50 	she pulls herself into his arms and they kiss eagerly.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS460 	01:18:15,00 --> 01:18:18,50 	but she pulls away.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS213 	00:18:17,00 --> 00:18:25,50 	as someone starts away, someone pulls him toward the blue van.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS280 	00:24:04,00 --> 00:24:14,50 	someone pulls the emergency brake and as he spins, the rocket soars over his flatbed and strikes a garbage truck.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS330 	00:29:20,00 --> 00:29:33,50 	he struggles to pull himself out and on to his feet.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS336 	00:30:00,00 --> 00:30:07,50 	his son pulls up beside him.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS338 	00:30:13,00 --> 00:30:21,50 	someone pulls away, leaving someone behind and darts through traffic.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS466 	00:45:21,00 --> 00:45:28,50 	as someone pulls out the small bundle, someone drives into view.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS543 	00:52:48,00 --> 00:52:58,50 	the copter pulls left to follow the fleeing men.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS577 	00:58:57,00 --> 00:59:02,50 	someone pulls out rebar and examines.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS732 	01:13:42,00 --> 01:13:49,50 	he quickly searches someone's pockets and pulls a cellphone from his pants, eyeing it closely.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS787 	01:19:17,00 --> 01:19:23,50 	someone head-butts someone, then quickly pulls him back in.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS820 	01:21:43,00 --> 01:21:52,50 	someone rips off his jacket and pulls a pistol from his waistband.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS823 	01:22:14,00 --> 01:22:20,50 	the aging detective struggles to pull himself up.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS77 	00:21:13,00 --> 00:21:19,50 	someone pulls a pamphlet from his shirt pocket.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS96 	00:25:11,00 --> 00:25:22,50 	lying on the ground someone pulls down his waistband, revealing a dark bruise.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS107 	00:27:09,00 --> 00:27:14,50 	someone gets up, steps to a window, and pulls aside a curtain.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS206 	00:39:52,00 --> 00:39:59,50 	smiling, someone pulls someone toward the patio doors and gestures outside.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS262 	00:49:15,00 --> 00:49:19,50 	she pulls down his pants.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS321 	00:57:51,00 --> 00:57:56,50 	someone pulls someone into the backyard.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS433 	01:14:29,00 --> 01:14:36,50 	the valet hugs someone as another valet pulls up in his car, which is covered in bird droppings.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS44 	00:04:24,00 --> 00:04:32,50 	he pulls back the rug and peeks through a hole in the floorboards for a partial view of the floor below.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS185 	00:25:14,00 --> 00:25:29,50 	we pull back to find someone in a room full of victims, each suspended upside down.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS199 	00:27:06,00 --> 00:27:11,50 	someone pulls out dress pants.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS336 	00:47:54,00 --> 00:47:59,50 	pulling his ax from his jacket, he turns to strike.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS413 	00:59:17,00 --> 00:59:23,50 	he and someone pull the raft up on shore then follow the woman with someone.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS592 	01:21:50,00 --> 01:21:59,50 	someone falls back and the vampire starts to pull him out.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS602 	01:23:09,00 --> 01:23:40,50 	he pulls the weapon out then ducks past another lapping off his head.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS619 	01:27:21,00 --> 01:27:25,50 	he pulls out a common rock.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS624 	01:27:51,00 --> 01:28:07,50 	he pulls back a lever, uses a piece of wood to keep it in place then leaves the controls.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS639 	01:30:10,00 --> 01:30:21,50 	he drives his fist through the vampire's chest then pulls it out awash with blood.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS665 	01:34:02,00 --> 01:34:18,50 	amid the chaos of battle, a soldier stabs the top of a vampire's head, then pulls his blade out and runs on.
BAD_TEACHER.srt 	BAD_TEACHER_DVS6 	00:04:29,00 --> 00:04:36,50 	now she pulls up outside a modern home and parks.
BAD_TEACHER.srt 	BAD_TEACHER_DVS316 	01:24:38,00 --> 01:24:43,50 	she pulls out a thin hardcover book.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS40 	00:03:37,00 --> 00:03:44,50 	he pulls out his own duke university diploma, then makes a call on his cell.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS71 	00:11:02,00 --> 00:11:07,50 	another suv pulls into the lot.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS75 	00:11:21,00 --> 00:11:28,50 	digging into a pocket, he pulls out a flash drive and hands it over.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS165 	00:27:27,00 --> 00:27:33,50 	someone pulls out a chair at the head of their long table.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS218 	00:36:31,00 --> 00:36:39,50 	turning on the light, he pulls the door shut, then hikes up his skirt to find his padded girdle in the way.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS224 	00:37:13,00 --> 00:37:18,50 	someone struggles to pull up his girdle.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS327 	00:54:59,00 --> 00:55:04,50 	someone pulls a fire alarm.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS346 	00:57:12,00 --> 00:57:19,50 	meanwhile in a clothing store, someone pulls a sweater off a rack,
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS350 	00:57:25,00 --> 00:57:31,50 	grabbing someone's hand, she pulls him into a dressing room.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS352 	00:57:37,00 --> 00:57:42,50 	she pulls the curtains closed.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS353 	00:57:39,00 --> 00:57:46,50 	facing a full-length mirror, someone gawks at someone's reflection as she pulls off her pants.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS584 	01:32:13,00 --> 01:32:20,50 	as someone glances back at the stage, someone pulls off someone's wig.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS603 	01:34:43,00 --> 01:34:55,50 	unzipping it, he pulls out his regular clothes.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS661 	01:40:56,00 --> 01:41:01,50 	with a smile, he pulls someone's papers from his pocket.
BLINDDATING.srt 	BLINDDATING_DVS35 	00:12:00,00 --> 00:12:06,50 	a little girl pulls papers off the reception desk.
BLINDDATING.srt 	BLINDDATING_DVS77 	00:23:59,00 --> 00:24:03,50 	someone pulls away.
BLINDDATING.srt 	BLINDDATING_DVS210 	00:52:41,00 --> 00:52:46,50 	someone pulls out the other chair.
BLINDDATING.srt 	BLINDDATING_DVS342 	01:22:03,00 --> 01:22:11,50 	reaching the sidewalk, he takes a few steps to his right and pulls out a phone.
BLINDDATING.srt 	BLINDDATING_DVS356 	01:27:35,00 --> 01:27:53,50 	someone's big brown eyes brim with tears and she pulls someone into a passionate kiss.
BLINDDATING.srt 	BLINDDATING_DVS358 	01:28:11,00 --> 01:28:29,50 	someone's mother pulls someone close and they step over to a waiting area.
BLINDDATING.srt 	BLINDDATING_DVS363 	01:29:13,00 --> 01:29:20,50 	someone's mother takes someone's hand in hers, then pulls her into
BRUNO.srt 	BRUNO_DVS114 	00:25:16,00 --> 00:25:41,50 	he imitates pulling down the zipper, parting the flaps on someone's pants, and removing them.
BRUNO.srt 	BRUNO_DVS156 	00:43:22,00 --> 00:43:26,50 	four men pull him off the stage.
BRUNO.srt 	BRUNO_DVS183 	00:48:47,00 --> 00:48:57,50 	he pulls his blanket tighter.
BRUNO.srt 	BRUNO_DVS188 	00:49:16,00 --> 00:49:29,50 	it's pulling a train of wheeled clothing racks, with the exercise bike as the caboose.
BURLESQUE.srt 	BURLESQUE_DVS100 	00:11:18,00 --> 00:11:27,50 	the blonde sees another dancer pulling on a sparkling garter over black stockings.
BURLESQUE.srt 	BURLESQUE_DVS186 	00:27:59,00 --> 00:28:04,50 	she nestles in and pulls her blanket close.
BURLESQUE.srt 	BURLESQUE_DVS338 	00:46:31,00 --> 00:46:38,50 	as the red spotlight fixes on someone for her turn to lip-sync, someone pulls a plug.
BURLESQUE.srt 	BURLESQUE_DVS347 	00:47:32,00 --> 00:47:38,50 	the stagehand pulls a rope and the curtain rises back to the ceiling.
BURLESQUE.srt 	BURLESQUE_DVS354 	00:49:01,00 --> 00:49:07,50 	someone grabs a musician out of the band and pulls him onstage.
BURLESQUE.srt 	BURLESQUE_DVS456 	01:02:41,00 --> 01:02:47,50 	later it pulls up outside a glamorous party.
BURLESQUE.srt 	BURLESQUE_DVS471 	01:04:57,00 --> 01:05:05,50 	as the other girls look on, she opens the present and pulls out a pair of louboutin shoes just like someone's.
BURLESQUE.srt 	BURLESQUE_DVS555 	01:20:10,00 --> 01:20:15,50 	someone rolls her eyes resentfully and pulls the doors shut.
BURLESQUE.srt 	BURLESQUE_DVS618 	01:30:56,00 --> 01:31:02,50 	someone lies in bed with a camera as someone pulls a black stocking over her knee.
BURLESQUE.srt 	BURLESQUE_DVS619 	01:31:05,00 --> 01:31:11,50 	she pulls the stocking back down her leg, then bites her bottom lip.
BURLESQUE.srt 	BURLESQUE_DVS638 	01:36:59,00 --> 01:37:04,50 	someone pulls into the driveway on his motorcycle.
BURLESQUE.srt 	BURLESQUE_DVS680 	01:45:21,00 --> 01:45:25,50 	pulling away, she eyes him.
BURLESQUE.srt 	BURLESQUE_DVS731 	01:50:04,00 --> 01:50:10,50 	he moves in to kiss her again, then pulls back with a smile.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS32 	00:04:21,00 --> 00:04:28,50 	outside, a large tank backs up as a long, black convertible car pulls to a stop.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS71 	00:10:20,00 --> 00:10:30,50 	a dark-haired man wearing an army uniform pulls the thug away.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS87 	00:13:16,00 --> 00:13:25,50 	as a woman pulls the man away, someone steps up, only his eyes and forehead are reflected above the soldier's collar.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS132 	00:22:41,00 --> 00:22:49,50 	she turns and smiles at him as they pull away.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS136 	00:23:44,00 --> 00:23:50,50 	he pulls the pin and rolls the grenade onto the field full of recruits.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS164 	00:30:36,00 --> 00:30:43,50 	their car pulls up to a curb.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS189 	00:35:04,00 --> 00:35:09,50 	standing nearby, someone stark pulls a switch.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS244 	00:42:28,00 --> 00:42:36,50 	someone pulls out a knife and swings it at someone who kicks him on the face.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS281 	00:53:11,00 --> 00:53:18,50 	they both turn as a military ambulance pulls to a stop beside a medical tent.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS341 	01:03:22,00 --> 01:03:39,50 	someone scans his surroundings, then pulls out his pistol as he continues on.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS364 	01:06:11,00 --> 01:06:23,50 	someone pulls a lever and the catwalk slides apart, leaving someone and someone on opposite sides.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS380 	01:08:26,00 --> 01:08:32,50 	he pulls himself up onto the catwalk and looks back at someone on the opposite side.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS424 	01:17:04,00 --> 01:17:09,50 	she grabs his tie and pulls him behind a bookcase.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS425 	01:17:06,00 --> 01:17:14,50 	she pulls him closer and kisses him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS437 	01:19:08,00 --> 01:19:24,50 	someone pulls a piece of paper from his pocket and hands it to him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS452 	01:20:47,00 --> 01:21:01,50 	someone pulls out the masked driver and hurls him through the air.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS514 	01:32:23,00 --> 01:32:44,50 	he speeds up and pulls the pin out of one of their as he passes.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS531 	01:35:05,00 --> 01:35:14,50 	someone pulls out a blue energy pistol.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS532 	01:35:12,00 --> 01:35:27,50 	someone pulls a trooper in front of himself as someone fires, incinerating the trooper.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS556 	01:37:13,00 --> 01:37:20,50 	someone runs to his shield and pulls it free, then dashes through the doors as they close.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS563 	01:38:15,00 --> 01:38:20,50 	the plane pulls ahead.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS564 	01:38:19,00 --> 01:38:26,50 	as someone stops, someone and someone pull up in someone's convertible.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS568 	01:38:49,00 --> 01:38:56,50 	as the car pulls closer to the plane, someone stands and glances at someone.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS569 	01:38:59,00 --> 01:39:04,50 	someone grabs someone, pulls him close, and kisses him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS590 	01:41:18,00 --> 01:41:24,50 	pulling back on the joystick, the pilot flies straight up.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS593 	01:41:28,00 --> 01:41:35,50 	someone forces open the cockpit hatch and pulls the eject handle.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS611 	01:43:42,00 --> 01:43:51,50 	as the plane dives through a layer of clouds, someone pulls himself to the controls and re-engages the autopilot.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS614 	01:43:55,00 --> 01:44:02,50 	someone turns and pulls out a pistol blaster as he scans the room.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS44 	00:03:04,00 --> 00:03:10,50 	as a yellow shape floats overhead, a hand reaches down and pulls him up by the scruff of his collar.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS58 	00:04:50,00 --> 00:04:55,50 	the van pulls up beside a small house.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS64 	00:05:35,00 --> 00:05:40,50 	the man nods and pulls away.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS180 	00:14:10,00 --> 00:14:15,50 	a grin pulls at someone's lip.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS209 	00:16:48,00 --> 00:16:54,50 	blond tries to pull someone off as a police car rounds the corner.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS225 	00:17:58,00 --> 00:18:03,50 	as someone's van pulls away,
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS292 	00:22:39,00 --> 00:22:44,50 	later, the van pulls up in front of someone's house.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS410 	00:38:51,00 --> 00:38:57,50 	he pulls his wetsuit hood over his blonde curls.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS425 	00:40:25,00 --> 00:40:29,50 	someone pulls up his hood.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS451 	00:43:50,00 --> 00:43:56,50 	swimming underwater, he grabs her ankle and pulls her back.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS471 	00:45:32,00 --> 00:45:38,50 	someone pulls the essay from his sweatshirt and hands it to someone.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS547 	00:53:03,00 --> 00:53:09,50 	at his desk, the young surfer pulls out the cigar box and turns on a lamp.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS562 	00:54:31,00 --> 00:54:37,50 	he pulls the cigar box from the drawer and grabs his wad of cash.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS622 	00:59:59,00 --> 01:00:05,50 	someone struggles to pull him off and raises a fist.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS675 	01:05:33,00 --> 01:05:39,50 	now someone's van pulls up outside him home,
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS678 	01:06:02,00 --> 01:06:06,50 	he pulls out books.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS939 	01:32:04,00 --> 01:32:10,50 	as the van pulls over on the shoulder, someone rushes out.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS965 	01:34:44,00 --> 01:34:48,50 	glancing at someone, he pulls up his scalp fitted hood.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1086 	01:43:29,00 --> 01:43:34,50 	a grin pulls at the corner of his mouth.
CHRONICLE.srt 	CHRONICLE_DVS23 	00:03:18,00 --> 00:03:23,50 	they pull into a bustling high school parking lot.
CHRONICLE.srt 	CHRONICLE_DVS321 	00:49:15,00 --> 00:49:20,50 	someone quickly pulls up his pants.
CHRONICLE.srt 	CHRONICLE_DVS326 	00:49:47,00 --> 00:49:55,50 	as he holds it in suspension, the spider's legs all helplessly splay outward, pulled taut.
CHRONICLE.srt 	CHRONICLE_DVS340 	00:51:35,00 --> 00:51:42,50 	he pulls the boy to his feet, but someone forces him up against the wall.
CHRONICLE.srt 	CHRONICLE_DVS395 	01:00:07,00 --> 01:00:14,50 	next, he pulls out a pair of fireproof and waterproof suspender pants.
CHRONICLE.srt 	CHRONICLE_DVS474 	01:08:39,00 --> 01:08:44,50 	someone flies down and pulls us out.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS24 	00:05:41,00 --> 00:05:46,50 	someone leans forward and pulls his wife closer.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS42 	00:09:00,00 --> 00:09:08,50 	as she holds them out to the groggy boxer, he grabs her arm and pulls her in for a kiss.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS159 	00:34:43,00 --> 00:34:48,50 	someone and the children pull lattice boards off its base.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS180 	00:38:37,00 --> 00:38:47,50 	outside, someone pulls his coat tight and walks off.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS485 	01:51:44,00 --> 01:51:50,50 	she gently strokes his face then pulls back with a weak smile.
COLOMBIANA.srt 	COLOMBIANA_DVS81 	00:05:48,00 --> 00:05:52,50 	he pulls out a business card.
COLOMBIANA.srt 	COLOMBIANA_DVS105 	00:08:35,00 --> 00:08:42,50 	someone pulls his wife away, leaving someone alone at the table.
COLOMBIANA.srt 	COLOMBIANA_DVS236 	00:19:57,00 --> 00:20:02,50 	she steps inside and pulls the door shut.
