21_JUMP_STREET.srt 	21_JUMP_STREET_DVS85 	00:11:34,00 --> 00:11:39,50 	he leads his partner through the front gate.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS653 	01:07:13,00 --> 01:07:18,50 	scanning the mezzanine level, someone leads them forward.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS684 	01:10:16,00 --> 01:10:23,50 	someone takes a few steps, then leads them up a vertical ladder on the wall.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS27 	00:06:48,00 --> 00:06:52,50 	someone leads a business meeting.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS35 	00:09:12,00 --> 00:09:19,50 	someone watches him passively as two men help up someone and lead him away.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS287 	00:53:06,00 --> 00:53:12,50 	staring at him, a nearby woman grabs a young girls hand and leads her away.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS118 	00:12:47,00 --> 00:12:52,50 	someone leads him down a staircase.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS130 	00:15:42,00 --> 00:15:49,50 	now he carries the ax over his shoulder as someone leads him through the woods.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS438 	01:03:05,00 --> 01:03:25,50 	a bearded union general leads a charge.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS503 	01:11:01,00 --> 01:11:08,50 	on someone's plantation, we zoom up the path leading to his door.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS338 	00:56:05,00 --> 00:56:12,50 	in the dorm, the girls lead someone down a hall.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS377 	00:59:52,00 --> 00:59:56,50 	someone leads someone away.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS481 	01:14:24,00 --> 01:14:30,50 	outside, someone leads someone onto campus.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS552 	01:25:38,00 --> 01:25:46,50 	inside, someone leads her friends to a 10 x 3 foot painting of someone.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS622 	01:36:31,00 --> 01:36:38,50 	he leads her by the hand.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS628 	01:37:14,00 --> 01:37:19,50 	he leads someone down a flight of stairs.
BLINDDATING.srt 	BLINDDATING_DVS16 	00:05:03,00 --> 00:05:16,50 	someone's mother gravely leads them into the living room, and sits on her red sofa by the arm chair.
BLINDDATING.srt 	BLINDDATING_DVS270 	01:06:03,00 --> 01:06:21,50 	he watches someone lead the way with someone on his elbow.
BURLESQUE.srt 	BURLESQUE_DVS121 	00:16:46,00 --> 00:16:51,50 	someone leads four dancers downstage.
BURLESQUE.srt 	BURLESQUE_DVS400 	00:55:34,00 --> 00:55:39,50 	two others lead someone across.
BURLESQUE.srt 	BURLESQUE_DVS461 	01:03:08,00 --> 01:03:13,50 	leading her downstairs, he meets two guests.,
BURLESQUE.srt 	BURLESQUE_DVS462 	01:03:21,00 --> 01:03:25,50 	someone leads someone onward.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS174 	00:31:58,00 --> 00:32:07,50 	he glances at someone who turns and leads him to dr.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS273 	00:50:08,00 --> 00:50:27,50 	in the finished movie, someone blocks bullets with his arrowhead-shaped shield, then fires a machine gun as he leads a squad of soldiers into battle.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS303 	00:58:00,00 --> 00:58:06,50 	meanwhile, hydra guards lead prisoners into a cell.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS525 	01:33:48,00 --> 01:33:55,50 	later, troopers lead someone, now handcuffed, into a large room inside the base.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS877 	01:25:37,00 --> 01:25:41,50 	he leads them down a corridor.
CHRONICLE.srt 	CHRONICLE_DVS81 	00:10:45,00 --> 00:10:50,50 	someone leads him through the woods.
CHRONICLE.srt 	CHRONICLE_DVS236 	00:33:40,00 --> 00:33:47,50 	as someone leads them toward the camera, someone checks on someone who dabs his nose.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS155 	00:34:05,00 --> 00:34:13,50 	someone frowns then someone leads them in prayer.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS235 	00:51:52,00 --> 00:52:05,50 	now, someone and someone walk side by side down a hallway leading to the arena.
COLOMBIANA.srt 	COLOMBIANA_DVS48 	00:02:45,00 --> 00:02:54,50 	our view crests an overcrowded hillside slum with narrow stairways leading upwards between the dilapidated buildings.
COLOMBIANA.srt 	COLOMBIANA_DVS107 	00:08:43,00 --> 00:08:49,50 	someone leads alicia to the staircase, firing a shotgun.
COLOMBIANA.srt 	COLOMBIANA_DVS232 	00:19:43,00 --> 00:19:49,50 	now a security guard leads her and her escort down a corridor.
COLOMBIANA.srt 	COLOMBIANA_DVS269 	00:22:26,00 --> 00:22:35,50 	now someone's associate leads someone into a small waiting area within a network of offices.
COLOMBIANA.srt 	COLOMBIANA_DVS293 	00:24:31,00 --> 00:24:37,50 	mama leads her to the kitchen table then returns to the stove.
COLOMBIANA.srt 	COLOMBIANA_DVS306 	00:26:13,00 --> 00:26:19,50 	now someone leads someone up the steps to a school's entrance.
COLOMBIANA.srt 	COLOMBIANA_DVS312 	00:26:53,00 --> 00:27:02,50 	as someone leads her out, the principal sinks back down in her chair and lets out a nervous sigh.
COLOMBIANA.srt 	COLOMBIANA_DVS350 	00:31:34,00 --> 00:31:40,50 	a bald mustached someone leads a team escorting a hooded prisoner.
COLOMBIANA.srt 	COLOMBIANA_DVS431 	00:38:00,00 --> 00:38:07,50 	someone leads the charge as cops converge on the cell block from all over the station.
COLOMBIANA.srt 	COLOMBIANA_DVS436 	00:38:34,00 --> 00:38:40,50 	someone leads his men through a sweep of the station.
COLOMBIANA.srt 	COLOMBIANA_DVS437 	00:38:38,00 --> 00:38:45,50 	meanwhile, someone kicks open a grated vent cover leading her outside.
COLOMBIANA.srt 	COLOMBIANA_DVS459 	00:40:21,00 --> 00:40:26,50 	he leads the local police out of the cell block.
COLOMBIANA.srt 	COLOMBIANA_DVS974 	01:33:41,00 --> 01:33:46,50 	someone leads his boss away.
COLOMBIANA.srt 	COLOMBIANA_DVS1064 	01:39:37,00 --> 01:39:46,50 	with a frantic look, he pulls onto the main road leading out of his estate, passes through the front gate and swerves onto a street.
DEAR_JOHN.srt 	DEAR_JOHN_DVS126 	00:20:07,00 --> 00:20:13,50 	later, she leads him through the house's framework.
DEAR_JOHN.srt 	DEAR_JOHN_DVS128 	00:20:40,00 --> 00:20:45,50 	she leads him under a cluster of boards supported by a beam.
DEAR_JOHN.srt 	DEAR_JOHN_DVS366 	00:58:30,00 --> 00:58:41,50 	leading him by the hand, someone takes someone to her family's stables.
DEAR_JOHN.srt 	DEAR_JOHN_DVS473 	01:09:29,00 --> 01:09:38,50 	a humvee passes a man leading a camel and maneuvers unto a busier road.
DEAR_JOHN.srt 	DEAR_JOHN_DVS516 	01:14:59,00 --> 01:15:05,50 	someone leads a group of soldiers down a rocky hill.
DEAR_JOHN.srt 	DEAR_JOHN_DVS759 	01:39:49,00 --> 01:39:54,50 	as someone leads the group, a soldier approaches him.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS50 	00:05:21,00 --> 00:05:27,50 	someone leads the other workers into the boardroom.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS150 	00:36:33,00 --> 00:36:40,50 	a fire escape leads up to it.
DISTRICT_9.srt 	DISTRICT_9_DVS212 	00:24:04,00 --> 00:24:11,50 	now someone leads someone into a room of weapons.
DISTRICT_9.srt 	DISTRICT_9_DVS422 	00:46:38,00 --> 00:46:44,50 	the tall grass behind him, a german shepherd leads a group of soldiers.
DISTRICT_9.srt 	DISTRICT_9_DVS487 	00:57:03,00 --> 00:57:14,50 	someone stares through a hatch in the ceiling, which leads to the hole in the shack's floor.
DISTRICT_9.srt 	DISTRICT_9_DVS588 	01:09:15,00 --> 01:09:31,50 	on the ground, someone leads the way into the building, armed with an alien blaster.
DISTRICT_9.srt 	DISTRICT_9_DVS627 	01:13:27,00 --> 01:13:36,50 	someone pieces together various weapons parts at a table, then leads someone through another chamber.
EASY_A.srt 	EASY_A_DVS73 	00:25:58,00 --> 00:26:03,50 	she leads someone upstairs.
EASY_A.srt 	EASY_A_DVS222 	01:10:32,00 --> 01:10:38,50 	wearing a plush lobster on his head, someone leads fellow servers to a table.
EASY_A.srt 	EASY_A_DVS305 	01:27:16,00 --> 01:27:22,50 	someone takes someone's hand, then leads her to the lawnmower.
FLIGHT.srt 	FLIGHT_DVS36 	00:04:25,00 --> 00:04:33,50 	he trots to the mobile stairway leading to the passenger walkway, and slips on the first step.
FLIGHT.srt 	FLIGHT_DVS898 	01:46:22,00 --> 01:46:30,50 	the extended lock on a door leading to an adjoining room, bumps repeatedly against a door jam.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS48 	00:13:12,00 --> 00:13:19,50 	now someone leads him up a stairwell.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS49 	00:13:17,00 --> 00:13:34,50 	now someone leads him through a door.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS96 	00:24:58,00 --> 00:25:03,50 	in the movie, the leading man runs with flowers.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS383 	01:40:39,00 --> 01:40:47,50 	he takes her hand and leads her to a balcony, overlooking the ballroom dancing flash mob.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS348 	00:52:01,00 --> 00:52:12,50 	later, in the desert, someone leads someone, someone, and someone along a path between jutting cliffs and barren mountains with cave-like openings.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS418 	01:00:34,00 --> 01:00:39,50 	the path leads him to bluff overlooking the region.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS464 	01:07:19,00 --> 01:07:25,50 	now someone leads someone and someone through a passage.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS505 	01:12:55,00 --> 01:13:03,50 	now someone leads someone past a wall.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS558 	01:19:36,00 --> 01:19:58,50 	his father regards him with a bitter scowl as he leads the convoy at high speed away from ruins.
GREEN_ZONE.srt 	GREEN_ZONE_DVS17 	00:06:14,00 --> 00:06:19,50 	someone leads four men down the alley
GREEN_ZONE.srt 	GREEN_ZONE_DVS79 	00:21:10,00 --> 00:21:51,50 	the bystander gets in his dusty car, keeping an eye on the group as general someone leads them through a gate.
GREEN_ZONE.srt 	GREEN_ZONE_DVS161 	00:42:46,00 --> 00:42:50,50 	it shows a road leading to an archway.
GREEN_ZONE.srt 	GREEN_ZONE_DVS165 	00:43:34,00 --> 00:43:49,50 	now someone dons his sunglasses as he leads his men onto a patio surrounds a luxurious pool.
GREEN_ZONE.srt 	GREEN_ZONE_DVS268 	01:02:40,00 --> 01:02:45,50 	she hangs up and leads him in.
GREEN_ZONE.srt 	GREEN_ZONE_DVS331 	01:14:49,00 --> 01:14:57,50 	as an armed soldier mounts the roof of the humvee, someone leads someone on foot to the mouth of the alley.
GROWN_UPS.srt 	GROWN_UPS_DVS191 	00:53:18,00 --> 00:53:32,50 	the string leads to a chair where mama ronzoni sits knitting.
GROWN_UPS.srt 	GROWN_UPS_DVS197 	00:54:28,00 --> 00:54:40,50 	it leads to a pump on someone's breast.
HUGO.srt 	HUGO_DVS112 	00:14:46,00 --> 00:14:56,50 	they approach a gate leading to a cemetery filled with snow dusted statues of hooded figures standing with their hands clasped and their heads bowed.
HUGO.srt 	HUGO_DVS161 	00:22:05,00 --> 00:22:11,50 	claude takes a swig from a flask, as he leads someone to the station.
HUGO.srt 	HUGO_DVS261 	00:37:46,00 --> 00:37:51,50 	someone watches the boy being lead to a policeman's paddy wagon.
HUGO.srt 	HUGO_DVS310 	00:47:36,00 --> 00:47:43,50 	someone leads her through a back corridor filled with steam and dripping pipes.
HUGO.srt 	HUGO_DVS619 	01:30:24,00 --> 01:30:30,50 	she leads them into the sitting room where someone sets up a projector.
HUGO.srt 	HUGO_DVS652 	01:33:27,00 --> 01:33:34,50 	someone takes someone's other hand and the women lead him to a sofa.
IN_TIME.srt 	IN_TIME_DVS65 	00:07:28,00 --> 00:07:34,50 	a blonde man with a gun leads the thugs.
IN_TIME.srt 	IN_TIME_DVS66 	00:07:35,00 --> 00:07:42,50 	someone leads someone to a back hall.
IN_TIME.srt 	IN_TIME_DVS82 	00:09:17,00 --> 00:09:24,50 	he leads the wealthy man down the alley and out onto a street.
IN_TIME.srt 	IN_TIME_DVS94 	00:10:25,00 --> 00:10:30,50 	someone leads the rich stranger away.
IN_TIME.srt 	IN_TIME_DVS95 	00:10:27,00 --> 00:10:35,50 	as someone angrily scans the alley, someone leads his companion up an abandoned stairway.
IN_TIME.srt 	IN_TIME_DVS361 	00:38:00,00 --> 00:38:06,50 	as he leads her out, someone looks on with a seething glare.
IN_TIME.srt 	IN_TIME_DVS362 	00:38:03,00 --> 00:38:10,50 	someone glances over her shoulder as someone leads her out and across a back porch.
IN_TIME.srt 	IN_TIME_DVS365 	00:38:21,00 --> 00:38:26,50 	someone leads his men out at a march.
IN_TIME.srt 	IN_TIME_DVS366 	00:38:23,00 --> 00:38:31,50 	now, someone leads someone down marble steps to a sandy beach enclosed within rock formations.
IN_TIME.srt 	IN_TIME_DVS379 	00:39:52,00 --> 00:39:57,50 	she leads someone toward the rock formations.
IN_TIME.srt 	IN_TIME_DVS485 	00:52:47,00 --> 00:52:58,50 	he grabs her hand and leads her down the steps.
IN_TIME.srt 	IN_TIME_DVS794 	01:23:41,00 --> 01:23:50,50 	led by the fedora-wearing man, the thugs back someone up to a wall at gunpoint.
IN_TIME.srt 	IN_TIME_DVS832 	01:28:14,00 --> 01:28:19,50 	someone leads someone by the hand across a roof.
IN_TIME.srt 	IN_TIME_DVS860 	01:30:49,00 --> 01:30:57,50 	he glances at the digital map and data tables as someone leads them past.
IN_TIME.srt 	IN_TIME_DVS976 	01:42:27,00 --> 01:42:34,50 	someone gazes up the wide steps leading to a stately building.
INSIDE_MAN.srt 	INSIDE_MAN_DVS50 	00:15:07,00 --> 00:15:12,50 	the female member of someone's crew leads down stairs into the basement.
INSIDE_MAN.srt 	INSIDE_MAN_DVS88 	00:23:07,00 --> 00:23:15,50 	the criminal leads the old man out.
INSIDE_MAN.srt 	INSIDE_MAN_DVS95 	00:24:36,00 --> 00:24:47,50 	he leads his three accomplices through a suite of offices, each containing a number of captives.
INSIDE_MAN.srt 	INSIDE_MAN_DVS123 	00:35:47,00 --> 00:35:53,50 	now, two robbers lead another hostage outside.
INSIDE_MAN.srt 	INSIDE_MAN_DVS161 	00:47:29,00 --> 00:47:40,50 	he leads them into the hallway in a line.
INSIDE_MAN.srt 	INSIDE_MAN_DVS168 	00:48:16,00 --> 00:48:23,50 	the criminal leads her around the vault to another office.
IRON_MAN_2.srt 	IRON_MAN_2_DVS57 	00:09:50,00 --> 00:09:56,50 	brown-haired bodyguard, happy hogan, leads someone outside.
IRON_MAN_2.srt 	IRON_MAN_2_DVS239 	00:43:46,00 --> 00:43:52,50 	they lead him outdoors, then throw him into the back of a van, and closes its doors.
IRON_MAN_2.srt 	IRON_MAN_2_DVS240 	00:43:54,00 --> 00:44:04,50 	the dark-haired guard pulls the bag from someone's head and leads him out of the van.
IRON_MAN_2.srt 	IRON_MAN_2_DVS261 	00:48:30,00 --> 00:48:34,50 	someone leads someone to his desk.
IRON_MAN_2.srt 	IRON_MAN_2_DVS290 	00:53:55,00 --> 00:54:00,50 	pepper leads someone toward the stage.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS386 	01:14:01,00 --> 01:14:06,50 	now a maid leads them into a sitting room.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS55 	00:18:51,00 --> 00:19:02,50 	now at a private school, someone leads a student through a crowded hallway.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS147 	00:56:59,00 --> 00:57:09,50 	hiking through bamboo stalks, she leads the group up another incline.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS232 	01:20:19,00 --> 01:20:25,50 	the local girl leads them around back.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS248 	01:25:52,00 --> 01:25:59,50 	someone leads a group of ladies in bra tops and grass skirts.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS344 	01:49:18,00 --> 01:49:27,50 	someone leads him to the dance floor.
KARATE_KID.srt 	KARATE_KID_DVS260 	00:23:17,00 --> 00:23:27,50 	with a shy grin, someone leads him to a counter protected by a glass barrier.
KARATE_KID.srt 	KARATE_KID_DVS407 	00:36:57,00 --> 00:37:06,50 	now, outside a sprawling ancient complex, a teacher speaks into a megaphone and leads a group of students.
KARATE_KID.srt 	KARATE_KID_DVS423 	00:38:31,00 --> 00:38:39,50 	now, the teacher leads the group along a stone-railed walkway overlooking the courtyard.
KARATE_KID.srt 	KARATE_KID_DVS719 	01:00:14,00 --> 01:00:24,50 	an instructor leads them in simple calisthenics.
KARATE_KID.srt 	KARATE_KID_DVS928 	01:15:59,00 --> 01:16:14,50 	someone leads someone off the train and hails a motorcycle taxi.
KARATE_KID.srt 	KARATE_KID_DVS930 	01:16:19,00 --> 01:16:28,50 	later, they arrive at a stairway leading down to a footbridge.
KARATE_KID.srt 	KARATE_KID_DVS953 	01:18:02,00 --> 01:18:10,50 	someone leads his pupil up onto a small balcony, then along a shadowy corridor.
KARATE_KID.srt 	KARATE_KID_DVS955 	01:18:12,00 --> 01:18:20,50 	it leads them into a stone courtyard where dozens of male and female monks, in snowy tunics, perform tai chi.
KARATE_KID.srt 	KARATE_KID_DVS957 	01:18:22,00 --> 01:18:34,50 	someone leads someone past, the monk crouches on one foot,
KARATE_KID.srt 	KARATE_KID_DVS965 	01:18:54,00 --> 01:19:05,50 	someone leads someone inside, glancing out the windows as he marches along.
KARATE_KID.srt 	KARATE_KID_DVS1077 	01:28:16,00 --> 01:28:25,50 	he leads someone around a pillar.
KARATE_KID.srt 	KARATE_KID_DVS1077 	01:28:16,00 --> 01:28:25,50 	he peeks around, signals for someone to be quiet, then leads her at a sprint down the sidewalk.
KARATE_KID.srt 	KARATE_KID_DVS1084 	01:29:08,00 --> 01:29:20,50 	in an arcade, someone leads someone to a digital dance game, faces its touch screen, and makes a selection from a list.
KARATE_KID.srt 	KARATE_KID_DVS1640 	02:13:13,00 --> 02:13:25,50 	master someone leads his students away and someone faces the crowd.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS189 	00:50:56,00 --> 00:51:05,50 	a hallway leads to a large arena.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS314 	01:11:43,00 --> 01:11:48,50 	bradford leads someone away by the hand.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS129 	00:44:38,00 --> 00:44:45,50 	now, someone leads the humans out of the jungle and into a vast desert.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS159 	00:21:29,00 --> 00:21:35,50 	at the zoo, young someone leads someone into a shadowy back room.
MORNING_GLORY.srt 	MORNING_GLORY_DVS316 	01:09:25,00 --> 01:09:31,50 	someone struggles with the door that leads to someone's office.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS102 	00:15:00,00 --> 00:15:07,50 	in a dining room with crystal chandeliers, she leads him past four staff members.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS104 	00:15:29,00 --> 00:15:34,50 	she leads him to a corner table.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS302 	00:38:58,00 --> 00:39:06,50 	he leads her to the penguins who watch someone.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS332 	00:42:18,00 --> 00:42:26,50 	outside, captain sniffs around, leading the group down a sidewalk en route to the guggenheim.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS339 	00:43:31,00 --> 00:43:46,50 	as captain leads the group back down the spiral, he collides with a server's white barrel, spilling water onto the smooth floor.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS421 	00:49:00,00 --> 00:49:05,50 	now someone leads his penguins across a footbridge.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS458 	00:54:08,00 --> 00:54:16,50 	now at tavern on the green, a hostess leads someone and someone to the corner table.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS598 	01:11:09,00 --> 01:11:15,50 	now he leads someone and someone to the limo.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS673 	01:23:40,00 --> 01:23:56,50 	a someone, reader, yates and someone subsidiary," and leads the guests into the dining area.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS308 	01:06:50,00 --> 01:07:21,50 	sergeant jeffreys leads someone and someone down a corridor to an elevator where they ride to the 100th floor.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS476 	01:37:27,00 --> 01:37:33,50 	up the wooded road, someone leads the chase after her.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS482 	01:38:26,00 --> 01:38:40,50 	leading the others, someone flings his arms around his father who scoops him up and spins him around.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS23 	00:04:56,00 --> 00:05:03,50 	an instructor leads her and three other middle-aged women on their own poles.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS215 	00:52:31,00 --> 00:52:37,50 	later at a station, someone leads her family off an escalator.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS65 	00:18:15,00 --> 00:18:20,50 	someone leads someone and someone over a fence.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS112 	00:25:43,00 --> 00:25:50,50 	a lofty breezeway at its center leads from the shore onto the water.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS272 	01:09:14,00 --> 01:09:35,50 	grabbing his backpack he leads them to the exit.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS312 	01:18:24,00 --> 01:18:32,50 	someone leads someone off.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS333 	01:22:14,00 --> 01:22:18,50 	someone leads his friends over.
PROMETHEUS.srt 	PROMETHEUS_DVS290 	00:28:39,00 --> 00:28:47,50 	the transport leads the two atvs to an opening in a wall surrounding the structure.
PROMETHEUS.srt 	PROMETHEUS_DVS295 	00:29:10,00 --> 00:29:17,50 	a side hatch in the transport rises and someone leads the others out.
PROMETHEUS.srt 	PROMETHEUS_DVS332 	00:32:07,00 --> 00:32:15,50 	as he leads them on, someone curiously shines her flashlight at the etched stone walls.
PROMETHEUS.srt 	PROMETHEUS_DVS419 	00:42:26,00 --> 00:42:34,50 	on the road leading towards someone, the atvs travel in the dusty wake of a transport.
PROMETHEUS.srt 	PROMETHEUS_DVS647 	01:10:36,00 --> 01:10:41,50 	leading the team out, someone supports holloway.
PROMETHEUS.srt 	PROMETHEUS_DVS868 	01:35:22,00 --> 01:35:30,50 	later, in the network of tunnels, a flashlight shines through the darkness, leading the team.
