21_JUMP_STREET.srt 	21_JUMP_STREET_DVS84 	00:11:25,00 --> 00:11:34,50 	getting out with him, someone reads a sign at the entrance printed in korean and english.
EASY_A.srt 	EASY_A_DVS16 	00:04:34,00 --> 00:04:45,50 	friday afternoon, someone opens a greeting card that reads, "to my granddaughter, you're my pocket full of sunshine."
EASY_A.srt 	EASY_A_DVS35 	00:08:50,00 --> 00:09:04,50 	we zip into a classroom where a few students read a text message.
EASY_A.srt 	EASY_A_DVS148 	00:45:52,00 --> 00:46:08,50 	a dance team reads a text, as they rehearse a can-can.
EASY_A.srt 	EASY_A_DVS176 	00:56:07,00 --> 00:56:17,50 	someone reads her text.
EASY_A.srt 	EASY_A_DVS196 	01:00:56,00 --> 01:01:05,50 	later someone steps outside, to find the fundamentalists holding signs reading variations of, "olive is a slut."
EASY_A.srt 	EASY_A_DVS260 	01:18:48,00 --> 01:18:53,50 	micah scratches himself as he reads a bible.
EASY_A.srt 	EASY_A_DVS299 	01:26:40,00 --> 01:26:48,50 	someone sits at a fountain, staring at a text that reads, "ri, sorry i lied to you."
FLIGHT.srt 	FLIGHT_DVS65 	00:13:05,00 --> 00:13:12,50 	a car speeds past a sign that reads georgian gardens, and stops.
FLIGHT.srt 	FLIGHT_DVS140 	00:26:29,00 --> 00:26:37,50 	the tagline reads, breaking news.
FLIGHT.srt 	FLIGHT_DVS197 	00:46:31,00 --> 00:46:38,50 	a car turns onto a dirt driveway and passes a sign that reads, whitaker crop dusting company.
FLIGHT.srt 	FLIGHT_DVS688 	01:32:59,00 --> 01:33:05,50 	he reads the letter, using the light from a nearby window.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS17 	00:04:48,00 --> 00:04:58,50 	behind someone and her friend a flyer reads friends with benefits.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS188 	00:51:24,00 --> 00:51:33,50 	it reads, how's it going with stares at trees?
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS218 	00:57:55,00 --> 00:58:15,50 	it reads, someone, sorry, back to cleveland with lombard victor, xoxo, love mom.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS237 	01:03:55,00 --> 01:04:01,50 	later, someone checks on someone who reads in bed.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS309 	01:22:13,00 --> 01:22:20,50 	in another office, someone reads up on chelsie shallenburger on her laptop.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS8 	00:04:26,00 --> 00:04:30,50 	a caption reads
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS43 	00:27:24,00 --> 00:27:32,50 	a clock reads 6 oclock..
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS163 	01:29:13,00 --> 01:29:17,50 	someone reads a text.
GREEN_ZONE.srt 	GREEN_ZONE_DVS183 	00:47:10,00 --> 00:47:42,50 	focusing intently on the screen, someone reads an article entitled, news source confirms iraq wmd program.
GREEN_ZONE.srt 	GREEN_ZONE_DVS224 	00:56:02,00 --> 00:56:11,50 	a sign reads, camp cropper, theater internment facility.
GREEN_ZONE.srt 	GREEN_ZONE_DVS473 	01:43:47,00 --> 01:44:30,50 	she opens the email which reads, let's get this story right this time.
GREEN_ZONE.srt 	GREEN_ZONE_DVS473 	01:43:47,00 --> 01:44:30,50 	a signature reads, respectfully, roy r. someone, chief warrant officer, us army.
HUGO.srt 	HUGO_DVS255 	00:36:04,00 --> 00:36:12,50 	a businessman reading a newspaper vacates a bench, leaving behind a crumpled paper bag.
HUGO.srt 	HUGO_DVS470 	01:08:29,00 --> 01:08:38,50 	elsewhere, in a cavernous library lined with long tables and reading lamps, sunlight filters in through tall arched windows.
HUGO.srt 	HUGO_DVS554 	01:22:09,00 --> 01:22:15,50 	lying down, someone stares at his watch, which reads five until ten.
IN_TIME.srt 	IN_TIME_DVS52 	00:05:45,00 --> 00:05:53,50 	now, he arrives at a harshly lit doorway where a sign overhead reads beer/wine.
IN_TIME.srt 	IN_TIME_DVS109 	00:11:55,00 --> 00:12:00,50 	it reads 18 hours 58 minutes.
IN_TIME.srt 	IN_TIME_DVS143 	00:15:50,00 --> 00:15:56,50 	it reads over 116 years.
IN_TIME.srt 	IN_TIME_DVS146 	00:16:02,00 --> 00:16:07,50 	letters written in the grime of a glass pane read:
IN_TIME.srt 	IN_TIME_DVS177 	00:18:59,00 --> 00:19:11,50 	a sign on the building that reads weis time lenders flashes off as she heads away.
IN_TIME.srt 	IN_TIME_DVS382 	00:40:09,00 --> 00:40:19,50 	beneath the water's surface, someone's body clock read over a thousand years.
IN_TIME.srt 	IN_TIME_DVS485 	00:52:47,00 --> 00:52:58,50 	they race down a deserted road and approach a building with a sign over the entrance reading simply pawn.
IN_TIME.srt 	IN_TIME_DVS488 	00:53:06,00 --> 00:53:12,50 	someone's clock reads less than a minute.
IN_TIME.srt 	IN_TIME_DVS511 	00:54:57,00 --> 00:55:04,50 	someone gazes at a building's neon sign which reads mission out of time.
IN_TIME.srt 	IN_TIME_DVS530 	00:57:11,00 --> 00:57:17,50 	its status still reads out of time.
IN_TIME.srt 	IN_TIME_DVS685 	01:14:11,00 --> 01:14:17,50 	as she reads the display, her breath quickens and her brow furrows.
IN_TIME.srt 	IN_TIME_DVS717 	01:16:37,00 --> 01:16:41,50 	now, a sign reads no tell hotel.
IN_TIME.srt 	IN_TIME_DVS718 	01:16:44,00 --> 01:16:52,50 	now, a sign reads no tell hotel.
IN_TIME.srt 	IN_TIME_DVS785 	01:22:37,00 --> 01:22:45,50 	now, on a billboard featuring someone and someone, a flickering footer reads reward: ten years.
IN_TIME.srt 	IN_TIME_DVS954 	01:40:23,00 --> 01:40:32,50 	he reads the balance, then races back down the hill.
IN_TIME.srt 	IN_TIME_DVS971 	01:42:12,00 --> 01:42:23,50 	a captions under the photos reads 100 years reward.
INSIDE_MAN.srt 	INSIDE_MAN_DVS134 	00:40:17,00 --> 00:40:24,50 	meanwhile, someone reads writing on the drawer.
INSIDE_MAN.srt 	INSIDE_MAN_DVS362 	01:44:53,00 --> 01:45:05,50 	one holds scrolls that read lex scripta and lex tradita.
INSIDE_MAN.srt 	INSIDE_MAN_DVS430 	02:01:49,00 --> 02:02:01,50 	it reads awarded to keith someone, detective first grade.
IRON_MAN_2.srt 	IRON_MAN_2_DVS221 	00:42:25,00 --> 00:42:32,50 	sitting on the bed, someone reads the note, which is written in a foreign language.
IRON_MAN_2.srt 	IRON_MAN_2_DVS431 	01:20:49,00 --> 01:20:55,50 	he approaches the object and reads a plaque on its side.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS19 	00:06:08,00 --> 00:06:12,50 	she reads a text.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS180 	00:57:38,00 --> 00:57:57,50 	now at the fertility center, a middle-aged man sits on a waiting room couch texting while a younger woman at his side reads a magazine.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS230 	01:07:33,00 --> 01:07:52,50 	in someones room a bedside alarm clock reads 8:46.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS42 	00:05:49,00 --> 00:05:54,50 	now, an alarm clock reads 3:30.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS64 	00:07:49,00 --> 00:07:56,50 	instructions on a cubicle wall read, "do not become emotionally involved."
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS88 	00:13:01,00 --> 00:13:06,50 	she points her knife at someone, who reads on the couch.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS101 	00:16:23,00 --> 00:16:28,50 	later, someone sits in bed reading someone's cookbook.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS145 	00:25:04,00 --> 00:25:11,50 	now an alarm clock reads 5:30.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS168 	00:30:38,00 --> 00:30:47,50 	the comment reads, "julie, it's your mother.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS332 	01:04:20,00 --> 01:04:24,50 	she reads.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS361 	01:09:25,00 --> 01:09:36,50 	as someone sleeps in bed, a clock on the nightstand reads 1:30.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS395 	01:16:55,00 --> 01:16:59,50 	someone reads more.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS481 	01:32:36,00 --> 01:32:45,50 	as he reads her latest entry, he swallows hard.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS503 	01:38:00,00 --> 01:38:07,50 	someone reads the cookbook.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS517 	01:42:19,00 --> 01:42:28,50 	now a man reads a newspaper article entitled, a race to master the art of french cooking, with someone's picture.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS545 	01:48:27,00 --> 01:48:34,50 	now, a sign outside an office reads, alfred a. knopf, new york.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS546 	01:48:43,00 --> 01:48:48,50 	a preppy editor reads the title page.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS547 	01:48:50,00 --> 01:49:02,50 	as she reads, a smile spreads across her face.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS550 	01:49:12,00 --> 01:49:18,50 	a recipe at her side reads - boeuf bourguignon.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS560 	01:50:14,00 --> 01:50:18,50 	the envelope reads -
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS566 	01:51:43,00 --> 01:51:49,50 	someone rearranges some of the cards on the bulletin board and reads the result.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS596 	01:56:19,00 --> 01:56:27,50 	now in a smithsonian, a wall display reads - someone child's kitchen.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS222 	01:17:09,00 --> 01:17:19,50 	she receives a text from him reading, i think they took one of your yellow bombers.
KARATE_KID.srt 	KARATE_KID_DVS82 	00:07:06,00 --> 00:07:12,50 	a golden sign reads, "beverly hills luxury apartment."
KARATE_KID.srt 	KARATE_KID_DVS786 	01:06:27,00 --> 01:06:38,50 	the cover shows a photo of someone on a hand-drawn background that reads, "play along.
KARATE_KID.srt 	KARATE_KID_DVS1159 	01:35:46,00 --> 01:35:53,50 	someone pushes a button and the display reads, message deleted.
KARATE_KID.srt 	KARATE_KID_DVS1400 	01:52:44,00 --> 01:52:50,50 	the score reads, "someone 1, someone 0."
KARATE_KID.srt 	KARATE_KID_DVS1407 	01:53:19,00 --> 01:53:38,50 	now, the scoreboard reads, the fighting someones, the reigning champions.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS94 	00:19:43,00 --> 00:19:48,50 	in a video, young someone reads.
KNOCKED_UP.srt 	KNOCKED_UP_DVS111 	01:09:41,00 --> 01:09:47,50 	it reads $117.13.
KNOCKED_UP.srt 	KNOCKED_UP_DVS161 	01:43:18,00 --> 01:43:23,50 	someone reads what to expect when you're expecting.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS111 	00:35:54,00 --> 00:35:59,50 	nearby graffiti reads, "beware of sleestak."
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS34 	00:12:05,00 --> 00:12:09,50 	entrance reads east valley community.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS58 	00:16:28,00 --> 00:16:33,50 	she enters her in her cluttered office reading the document.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS192 	00:44:37,00 --> 00:44:42,50 	i read the course pad.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS228 	00:51:42,00 --> 00:51:50,50 	someone looks up at a clock, which reads two minutes to eight.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS295 	01:10:47,00 --> 01:10:52,50 	someone draws a topic and reads it.
