30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS146 	00:38:37,00 --> 00:38:43,50 	someone peers out a window and spots an older man exiting the house.
DISTRICT_9.srt 	DISTRICT_9_DVS387 	00:43:01,00 --> 00:43:14,50 	someone glances down at his son-in-law's extended arm, then exits as well.
DISTRICT_9.srt 	DISTRICT_9_DVS448 	00:50:18,00 --> 00:50:40,50 	now, he exits the shack, his left arm hidden inside his coat.
FLIGHT.srt 	FLIGHT_DVS77 	00:15:33,00 --> 00:15:39,50 	he takes a long drink as someone exits the toilet, and he goes in.
FLIGHT.srt 	FLIGHT_DVS384 	01:01:44,00 --> 01:01:52,50 	someone fresh from taking a shower, exits the bathroom.
FLIGHT.srt 	FLIGHT_DVS595 	01:22:46,00 --> 01:22:51,50 	someone exits the bar.
FLIGHT.srt 	FLIGHT_DVS692 	01:33:29,00 --> 01:33:34,50 	he exits the car, and enters a large hangar.
FLIGHT.srt 	FLIGHT_DVS915 	01:48:54,00 --> 01:49:00,50 	someone exits an elevator, carrying three coffees.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS308 	01:21:13,00 --> 01:21:28,50 	she exits the screen and puts down the phone.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS157 	01:27:51,00 --> 01:27:58,50 	someone exits the bathroom wearing her scrubs.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS216 	00:35:00,00 --> 00:35:40,50 	a bearded man exits an suv and his men carry out two military crates.
GREEN_ZONE.srt 	GREEN_ZONE_DVS51 	00:10:45,00 --> 00:10:49,50 	an arabic man exits a plane.
GREEN_ZONE.srt 	GREEN_ZONE_DVS204 	00:53:29,00 --> 00:53:34,50 	as someone exits the building, the white jeep
GREEN_ZONE.srt 	GREEN_ZONE_DVS234 	00:57:46,00 --> 00:57:51,50 	he exits.
GREEN_ZONE.srt 	GREEN_ZONE_DVS324 	01:12:40,00 --> 01:12:45,50 	someone exits the palace.
GROWN_UPS.srt 	GROWN_UPS_DVS15 	00:05:26,00 --> 00:05:32,50 	a young girl exits the car.
HUGO.srt 	HUGO_DVS756 	01:50:15,00 --> 01:50:27,50 	clutching the automaton to his chest, someone wades through a river of people exiting a train platform.
HUGO.srt 	HUGO_DVS761 	01:50:45,00 --> 01:50:51,50 	someone exits onto the opposite platform but is cornered by someone.
IN_TIME.srt 	IN_TIME_DVS159 	00:17:15,00 --> 00:17:20,50 	exiting an apartment, he appears at her side.
IN_TIME.srt 	IN_TIME_DVS870 	01:31:40,00 --> 01:31:47,50 	someone watches as he exits the vault with the capsule and shakes his head.
INSIDE_MAN.srt 	INSIDE_MAN_DVS89 	00:23:14,00 --> 00:23:25,50 	now, one of the young criminals exits the bank.
INSIDE_MAN.srt 	INSIDE_MAN_DVS177 	00:51:07,00 --> 00:51:11,50 	someone exits the truck.
INSIDE_MAN.srt 	INSIDE_MAN_DVS220 	01:02:18,00 --> 01:02:32,50 	two detectives exit the coffee shop.
INSIDE_MAN.srt 	INSIDE_MAN_DVS253 	01:18:21,00 --> 01:18:31,50 	in manhattan trust, someone exits the supply room, then closes the door.
INSIDE_MAN.srt 	INSIDE_MAN_DVS279 	01:26:09,00 --> 01:26:15,50 	someone exits the white sack and the hostage drops to the floor.
INSIDE_MAN.srt 	INSIDE_MAN_DVS280 	01:26:13,00 --> 01:26:17,50 	someone exits the truck.
INSIDE_MAN.srt 	INSIDE_MAN_DVS378 	01:50:39,00 --> 01:50:56,50 	ms. white turns and exits wearing a satisfied smile as she buttons her black jacket.
INSIDE_MAN.srt 	INSIDE_MAN_DVS398 	01:53:37,00 --> 01:53:50,50 	as someone approaches the basement stairs, the man exits the secured office and strides toward the vault.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS86 	00:19:49,00 --> 00:19:57,50 	now, someone and someone exits a shop called my tiny me dressed in costumes.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS352 	01:06:42,00 --> 01:06:52,50 	now dressed as someone, someone exits the stall.
KARATE_KID.srt 	KARATE_KID_DVS440 	00:39:30,00 --> 00:39:42,50 	now, someone and his friends exit the bus and join a group of older students.
KARATE_KID.srt 	KARATE_KID_DVS777 	01:05:33,00 --> 01:05:39,50 	a crowd of adults and children exit the terrace courtyard.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS104 	00:25:06,00 --> 00:25:17,50 	the students watch as the professor exits.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS285 	01:08:00,00 --> 01:08:23,50 	sitting motionless, the teacher gazes after him, then bows her head as he exits.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS327 	01:15:45,00 --> 01:16:00,50 	he looks at the now empty house, then exits, shutting the door beside him.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS213 	00:28:07,00 --> 00:28:20,50 	he exits the market and stops, searching in both directions.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS172 	00:24:30,00 --> 00:24:34,50 	two penguins exit the crate.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS367 	00:46:13,00 --> 00:46:17,50 	they exit into the lobby.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS67 	00:16:01,00 --> 00:16:07,50 	he exits with a jar marked dad's jam.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS342 	01:14:50,00 --> 01:15:01,50 	lord someone watches the boy shoot him a final glance, then exit the room.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS24 	00:05:12,00 --> 00:05:17,50 	someone exits his car and approaches the front door.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS339 	01:23:49,00 --> 01:23:57,50 	the boat exits through a freestanding letter h in a towering hillside sign that reads hell.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS91 	00:14:57,00 --> 00:15:13,50 	in his car as the robbers exit with four hostages.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS109 	00:18:33,00 --> 00:18:44,50 	as hoover exits a nearby office, someone stands.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS225 	00:41:39,00 --> 00:41:46,50 	outside, two agents pull their car up as their superior exits the building.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS391 	01:15:08,00 --> 01:15:23,50 	as they exit the theater, someone moves closer to someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS396 	01:16:14,00 --> 01:16:24,50 	gangster shield themselves with the hostages as they exit the bank.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS439 	01:24:39,00 --> 01:24:55,50 	as he stalks closer, the three working-class men exit the lodge.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS541 	01:42:03,00 --> 01:42:09,50 	more armed agents exit a building directly in front of him.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS661 	02:04:31,00 --> 02:04:50,50 	near the cinema door, someone watches movie patrons exiting the lobby.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS337 	00:22:56,00 --> 00:23:07,50 	now, in the daytime, a procession of women with their faces hidden behind red scarves exit someone's home through a doorway adorned on each side with a red banner.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS410 	00:27:30,00 --> 00:27:35,50 	she exits the room and sees someone.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS412 	00:27:35,00 --> 00:27:40,50 	she exits past her shy daughter-in-law.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS502 	00:32:40,00 --> 00:32:50,50 	hurrying to a sedan chair, she takes someone's arm as the woman exits the litter.
SPARKLE_2012.srt 	SPARKLE_2012_DVS548 	01:30:20,00 --> 01:30:25,50 	now on another floor, she exits the elevator.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS38 	00:08:50,00 --> 00:09:02,50 	now, someone exits the building.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS208 	00:39:17,00 --> 00:39:37,50 	later someone exits an elevator in an office building.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS39 	00:06:47,00 --> 00:06:53,50 	as she bursts out of the stall, someone exits a different one.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS63 	00:12:02,00 --> 00:12:12,50 	now, in another neighborhood a portly man exits the front door of a house with an adjoining storefront.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS104 	00:20:33,00 --> 00:20:38,50 	someone exits an evidence locker while on his cell.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS106 	00:21:11,00 --> 00:21:22,50 	now, a bird's-eye view shows someone's car exiting a tunnel and approaching a toll plaza.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS528 	01:36:36,00 --> 01:36:41,50 	inside, someone exits a freight elevator.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS535 	01:37:21,00 --> 01:37:33,50 	later, they exit the stairwell.
THE_CALL.srt 	THE_CALL_DVS936 	01:11:49,00 --> 01:11:57,50 	now, someone exits the cottage and stares out into the darkness with the flashlight at her side.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS572 	01:25:16,00 --> 01:25:20,50 	he exits the cottage.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS635 	01:32:09,00 --> 01:32:15,50 	he exits past the portraits of his great great grandparents.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS208 	00:25:43,00 --> 00:25:49,50 	someone exits a train with his bags and reacts to the cold.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS398 	00:47:24,00 --> 00:47:30,50 	she wipes her mouth as she exits into her guardian's office.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS660 	01:12:31,00 --> 01:12:37,50 	someone exits the phone booth and heads for the bridge.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS795 	01:31:29,00 --> 01:31:35,50 	meanwhile, someone exits a freeway in stockholm.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS879 	01:37:52,00 --> 01:37:57,50 	exiting the room she sets it on a table.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1393 	02:29:03,00 --> 02:29:08,50 	someone looks out a window then exits.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS4 	00:05:26,00 --> 00:05:35,50 	now, someone exits the thirsty scholar pub into the night.
THE_VOW.srt 	THE_VOW_DVS96 	00:08:53,00 --> 00:09:02,50 	in a flashback, someone exits an apartment and finds her in an alley.
THE_VOW.srt 	THE_VOW_DVS161 	00:16:41,00 --> 00:16:45,50 	now he exits to the hall.
THE_VOW.srt 	THE_VOW_DVS284 	00:37:30,00 --> 00:37:36,50 	now she exits with her purchase.
THE_VOW.srt 	THE_VOW_DVS407 	00:56:17,00 --> 00:56:22,50 	her father someone exits the bathroom.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS114 	00:33:19,00 --> 00:33:25,50 	exiting a room, a well-dressed man almost collides with him.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS343 	01:24:37,00 --> 01:24:45,50 	a gentle breeze lifts someone's hair as she watches a tall, handsome man exit the porsche.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS80 	00:13:24,00 --> 00:13:32,50 	as they exit the dojo together, an suv pulls up and a pretty brunette waves from the driver seat.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS326 	00:59:25,00 --> 00:59:32,50 	as they both try to exit at the same time, they get log-jammed.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS449 	01:19:58,00 --> 01:20:02,50 	now they exit to the sidewalk.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS252 	00:23:53,00 --> 00:24:00,50 	she spots a well-built man through a pair of open balcony doors as he exits a shower.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS474 	00:42:13,00 --> 00:42:16,50 	later he exits
ZOMBIELAND.srt 	ZOMBIELAND_DVS684 	01:15:37,00 --> 01:15:44,50 	meanwhile, as someone exits the roller coaster, he shoots an approaching zombie.
ZOOKEEPER.srt 	ZOOKEEPER_DVS113 	00:23:28,00 --> 00:23:34,50 	exiting through a gate, he finds someone the lion waiting for him.
ZOOKEEPER.srt 	ZOOKEEPER_DVS145 	00:32:19,00 --> 00:32:24,50 	he exits and slides the metal door shut.
ZOOKEEPER.srt 	ZOOKEEPER_DVS309 	01:08:56,00 --> 01:09:00,50 	someone exits the car.
