21_JUMP_STREET.srt 	21_JUMP_STREET_DVS254 	00:43:31,00 --> 00:43:39,50 	now in his old room, someone nervously taps a cordless phone against his palm, then makes a call.
BURLESQUE.srt 	BURLESQUE_DVS73 	00:06:32,00 --> 00:06:38,50 	entering the building, the blonde makes her way down a dim wood-paneled hall.
BURLESQUE.srt 	BURLESQUE_DVS390 	00:54:10,00 --> 00:54:20,50 	someone makes her way up some stairs, toward a platform.
BURLESQUE.srt 	BURLESQUE_DVS428 	00:58:56,00 --> 00:59:04,50 	now feather fans lift away to reveal someone reclined on the lounge piano, in a skimpy two-piece outfit made of pearls.
BURLESQUE.srt 	BURLESQUE_DVS455 	01:02:39,00 --> 01:02:44,50 	the speedster makes a turn.
BURLESQUE.srt 	BURLESQUE_DVS634 	01:36:12,00 --> 01:36:17,50 	in the kitchen, someone makes coffee.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS19 	00:02:45,00 --> 00:02:51,50 	slowly, the two men make their way toward the nose of the plane.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS267 	00:48:56,00 --> 00:49:04,50 	later, he makes a film with american troops.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS370 	00:34:52,00 --> 00:34:57,50 	now at home, someone makes a poster charting his training goals.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS376 	00:35:21,00 --> 00:35:25,50 	someone makes a sandwich.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS544 	00:52:55,00 --> 00:53:00,50 	they make brief eye contact, then someone rides away.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS662 	01:04:18,00 --> 01:04:24,50 	with a pencil, he makes a third someone on his notepaper.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS792 	01:18:35,00 --> 01:18:39,50 	she scoots over to make room for him.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS842 	01:23:10,00 --> 01:23:16,50 	going to the kitchen, he finds someone making breakfast.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS942 	01:32:25,00 --> 01:32:32,50 	from a makeshift parking area, countless surfers and spectators make their way toward the beach.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1021 	01:39:10,00 --> 01:39:17,50 	it makes it over, nearly capsizing as it slams down behind the fishing boat.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1062 	01:41:49,00 --> 01:41:54,50 	the fishing boat makes it way over to the board.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1084 	01:43:25,00 --> 01:43:30,50 	someone makes his way over another swell.
CHRONICLE.srt 	CHRONICLE_DVS149 	00:22:53,00 --> 00:23:01,50 	he directs her cart down another aisle and makes stuffed animals flip inside it.
CHRONICLE.srt 	CHRONICLE_DVS222 	00:32:12,00 --> 00:32:17,50 	someone makes the two-handed catch above his shoulder.
CHRONICLE.srt 	CHRONICLE_DVS229 	00:32:51,00 --> 00:33:01,50 	sharing his point-of-view, we peer out from the rippling folds of someone's coat while making a controlled descent toward the landscape below.
CHRONICLE.srt 	CHRONICLE_DVS282 	00:43:18,00 --> 00:43:36,50 	someone makes exasperated gestures at someone who stands and worriedly eyes the cards.
CHRONICLE.srt 	CHRONICLE_DVS370 	00:56:41,00 --> 00:56:47,50 	further along, the bully makes a face at him.
CHRONICLE.srt 	CHRONICLE_DVS372 	00:56:54,00 --> 00:57:01,50 	someone makes a pulling motion and the bully lurches, his mouth spurting blood.
CHRONICLE.srt 	CHRONICLE_DVS380 	00:58:10,00 --> 00:58:18,50 	as he slowly makes a fist, a rusty car behind him implodes.
CHRONICLE.srt 	CHRONICLE_DVS530 	01:15:10,00 --> 01:15:22,50 	from the helicopter's view, searchlights illuminate the two unmoving boys as the uniformed officers and swat members cautiously make their way to the center of the plaza.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS190 	00:40:02,00 --> 00:40:08,50 	the unemployed boxer makes his way past them, his gaze fixed.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS193 	00:40:26,00 --> 00:40:39,50 	someone passes businessmen at tables and makes his way to the front of the room by a bar.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS454 	01:47:15,00 --> 01:47:19,50 	makes the sign of the cross and
COLOMBIANA.srt 	COLOMBIANA_DVS149 	00:13:31,00 --> 00:13:39,50 	as she acrobatically makes her way down to a terrace, the brawny gunman spots her from the rooftop.
COLOMBIANA.srt 	COLOMBIANA_DVS515 	00:46:51,00 --> 00:46:55,50 	two walls of frosted glass make a small foyer.
COLOMBIANA.srt 	COLOMBIANA_DVS602 	00:56:50,00 --> 00:56:59,50 	someone touches a wind chime made from tire rims as she enters the garage.
COLOMBIANA.srt 	COLOMBIANA_DVS760 	01:13:32,00 --> 01:13:39,50 	his friend grabs his left behind phone off the table and makes a call with it.
COLOMBIANA.srt 	COLOMBIANA_DVS768 	01:14:44,00 --> 01:14:48,50 	he makes a phone call.
COLOMBIANA.srt 	COLOMBIANA_DVS772 	01:15:01,00 --> 01:15:06,50 	agent someone makes another phone call.
COLOMBIANA.srt 	COLOMBIANA_DVS930 	01:29:33,00 --> 01:29:41,50 	listening to the caller, he looks out the windows as he makes his way back to someone's desk.
DEAR_JOHN.srt 	DEAR_JOHN_DVS137 	00:22:09,00 --> 00:22:21,50 	someone drapes her arms around his neck, as they passionately make out.
DEAR_JOHN.srt 	DEAR_JOHN_DVS376 	00:59:37,00 --> 00:59:43,50 	the muscles in his shoulders ripple as he and someone make love.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS104 	00:27:34,00 --> 00:27:40,50 	someone makes a call and someone's phone rings on the table.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS166 	00:38:35,00 --> 00:38:40,50 	someone is on all fours, making noises at the cat.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS179 	00:39:49,00 --> 00:39:59,50 	they're on a set of a forest with dry ice, making it seem misty.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS290 	01:11:18,00 --> 01:11:22,50 	someone makes a call.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS291 	01:11:38,00 --> 01:11:49,50 	the battered porsche, which still has the barrier pole sticking through its roof and trails a rear light, makes its way towards someone's ranch.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS355 	01:26:04,00 --> 01:26:09,50 	now two mice making a massive sandwich.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS393 	01:36:22,00 --> 01:36:31,50 	someone zaps him back, making his fingers like a gun.
DISTRICT_9.srt 	DISTRICT_9_DVS157 	00:18:17,00 --> 00:18:31,50 	some of the guns are small, but if it shoot you, it make a big mess.
DISTRICT_9.srt 	DISTRICT_9_DVS418 	00:46:01,00 --> 00:46:06,50 	he makes a call.
DISTRICT_9.srt 	DISTRICT_9_DVS627 	01:13:27,00 --> 01:13:36,50 	making a bomb.
DISTRICT_9.srt 	DISTRICT_9_DVS710 	01:23:24,00 --> 01:23:38,50 	a metal stripe projects a paper-thin panel made of light.
DISTRICT_9.srt 	DISTRICT_9_DVS741 	01:27:27,00 --> 01:27:47,50 	he watches as the mother ship makes its way across the sky.
DISTRICT_9.srt 	DISTRICT_9_DVS848 	01:40:26,00 --> 01:40:45,50 	someone makes selections from the blue graph, and the map hones in on a galaxy.
EASY_A.srt 	EASY_A_DVS103 	00:34:06,00 --> 00:34:20,50 	as someone makes her way through the hallway, other teens clear a path and stare at her.
EASY_A.srt 	EASY_A_DVS124 	00:39:36,00 --> 00:39:40,50 	she makes a kissy face.
FLIGHT.srt 	FLIGHT_DVS46 	00:06:54,00 --> 00:07:00,50 	she smokes as she makes a call from the drivers seat.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS112 	00:30:29,00 --> 00:30:35,50 	now they fall back onto the bed, making out.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS119 	00:32:32,00 --> 00:32:36,50 	he makes an oh-face.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS136 	00:36:36,00 --> 00:36:41,50 	now they make out on a couch.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS190 	00:51:55,00 --> 00:52:02,50 	now someone makes out with someone on her couch.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS370 	01:37:42,00 --> 01:37:47,50 	someone makes a phone call on his cell.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS11 	00:06:44,00 --> 00:06:48,50 	she makes a spurting motion.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS149 	01:25:49,00 --> 01:26:01,50 	as they make out, her arm lies on someone's face.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS105 	00:16:21,00 --> 00:16:59,50 	the goateed thug shoots, his bullets making glowing holes in the rider's scorched leather jacket.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS161 	00:25:05,00 --> 00:25:16,50 	the mother regards him disgustedly but makes no move to leave him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS200 	00:32:20,00 --> 00:32:28,50 	it makes my balls hurt."
GREEN_ZONE.srt 	GREEN_ZONE_DVS167 	00:44:02,00 --> 00:44:15,50 	as someone makes his way around the pool, two guys in board shorts amble past, both casually toting semi-automatics.
GREEN_ZONE.srt 	GREEN_ZONE_DVS210 	00:54:12,00 --> 00:54:16,50 	a colleague makes a call.
GROWN_UPS.srt 	GROWN_UPS_DVS54 	00:16:13,00 --> 00:16:25,50 	he makes his way down the aisle of packed pews, then steps up in front of the flower-adorned casket.
HUGO.srt 	HUGO_DVS332 	00:51:00,00 --> 00:51:08,50 	the automaton moves its hand across the length of the page then makes a small someone, resembling the letter "j."
HUGO.srt 	HUGO_DVS336 	00:51:19,00 --> 00:51:26,50 	the automaton moves its hand and makes another scribble, then another, seemingly at random.
HUGO.srt 	HUGO_DVS753 	01:49:57,00 --> 01:50:03,50 	he makes his way back to the center of the clock,
IN_TIME.srt 	IN_TIME_DVS437 	00:47:00,00 --> 00:47:08,50 	as someone makes his escape with someone, the timekeeper catches his breath and glares after them with gritted teeth.
INSIDE_MAN.srt 	INSIDE_MAN_DVS12 	00:04:21,00 --> 00:04:26,50 	now, the van rolls past pedestrians making their way
INSIDE_MAN.srt 	INSIDE_MAN_DVS191 	00:54:49,00 --> 00:55:09,50 	as we make a second orbit and halt at his face, he tugs the white mask down off his nose and mouth.
INSIDE_MAN.srt 	INSIDE_MAN_DVS272 	01:24:33,00 --> 01:24:46,50 	he nervously makes his way past the barrel of the gun and walks out.
IRON_MAN_2.srt 	IRON_MAN_2_DVS552 	01:38:07,00 --> 01:38:13,50 	pepper makes a phone call.
IRON_MAN_2.srt 	IRON_MAN_2_DVS577 	01:40:05,00 --> 01:40:14,50 	below, someone makes a sharp turn onto a city street.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS188 	00:59:50,00 --> 00:59:55,50 	boarding an elevator someone and someone make out.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS407 	01:16:34,00 --> 01:16:38,50 	someone makes a call.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS415 	01:17:41,00 --> 01:17:47,50 	she makes her way toward a modest house in a working class neighborhood.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS421 	01:18:05,00 --> 01:18:10,50 	at the wheel, someone wears a tiara and subtle make up.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS506 	01:39:23,00 --> 01:39:43,50 	someone's laptop screen shows her write, "so last night i made floating."
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS195 	01:09:25,00 --> 01:09:36,50 	slowly making his way towards the pool's edge.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS313 	01:39:27,00 --> 01:39:36,50 	surrounded by tropical plants and lit candles, he makes a call on a portable phone.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS347 	01:49:39,00 --> 01:49:47,50 	he makes the gesture again.
KARATE_KID.srt 	KARATE_KID_DVS727 	01:01:44,00 --> 01:01:52,50 	now wearing casual clothes, the boy makes his way down the winding alley, and steps into someone's house.
KARATE_KID.srt 	KARATE_KID_DVS960 	01:18:36,00 --> 01:18:44,50 	where two railings make a corner, a monk does a split from one to the other, and snaps open a large fan.
KARATE_KID.srt 	KARATE_KID_DVS1081 	01:28:42,00 --> 01:29:00,50 	from overhead, we watch numerous umbrellas part to make way for them.
KARATE_KID.srt 	KARATE_KID_DVS1084 	01:29:08,00 --> 01:29:20,50 	in an arcade, someone leads someone to a digital dance game, faces its touch screen, and makes a selection from a list.
KARATE_KID.srt 	KARATE_KID_DVS1087 	01:29:27,00 --> 01:29:37,50 	as he quivers his body side to side, he twirls his arms in front of his chest, then waggles his legs, making them look like rubber.
KARATE_KID.srt 	KARATE_KID_DVS1109 	01:32:11,00 --> 01:32:19,50 	back in the auditorium, the house lights blink on, and the judges make notes.
KARATE_KID.srt 	KARATE_KID_DVS1571 	02:07:47,00 --> 02:08:11,50 	he makes an x with his flags, then gestures toward master someone, who beckons someone.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS227 	00:56:27,00 --> 00:56:33,50 	later someone wearing glasses and headgear makes two peace signs with her hands.
KNOCKED_UP.srt 	KNOCKED_UP_DVS61 	00:37:53,00 --> 00:38:00,50 	now at home and wearing pajamas someone makes a phone call.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS121 	00:41:15,00 --> 00:41:20,50 	he fills a mini hot air balloon made out of a blowfish.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS169 	00:39:19,00 --> 00:39:24,50 	someone eyes the made over room.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS175 	00:40:21,00 --> 00:40:25,50 	someone makes eye contact.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS277 	01:06:21,00 --> 01:06:34,50 	the middle-aged student gathers his things and makes his way towards someone's table at the back of the room.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS356 	01:25:27,00 --> 01:25:48,50 	he collects his bag and papers and makes his way to the professor's desk.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS353 	00:42:54,00 --> 00:43:02,50 	staying under, someone swims past a shark as he makes his way beyond the lifeboat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS362 	00:43:38,00 --> 00:43:45,50 	the tempestuous waters swirl over someone as he makes his way back to the surface.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS400 	00:47:01,00 --> 00:47:14,50 	the beast makes it only half way up, its hind legs staggering with the rocking of the boat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS428 	00:49:32,00 --> 00:49:40,50 	licking his chops, he makes another try for someone but slumps weakly against the canvas.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS530 	00:57:57,00 --> 00:58:02,50 	he presses the tip to the paper making a period.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS546 	00:59:06,00 --> 00:59:13,50 	nestled inside, someone snarls up at him but makes no move to rise.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS653 	01:09:33,00 --> 01:09:42,50 	our view surfaces to find someone seated at one end making notes as he overlooks his stock of supplies.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS655 	01:09:49,00 --> 01:09:54,50 	later, as he makes modifications to the raft,
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS699 	01:13:10,00 --> 01:13:16,50 	he quickly makes his way back to the raft and climbs on board.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS715 	01:14:31,00 --> 01:14:41,50 	the flying fish makes a sharp turn and glides along the ocean.
MORNING_GLORY.srt 	MORNING_GLORY_DVS195 	00:44:07,00 --> 00:44:14,50 	she makes her way through a large, open-plan office.
MORNING_GLORY.srt 	MORNING_GLORY_DVS203 	00:46:40,00 --> 00:46:48,50 	in a large, plush apartment, someone and someone make out.
MORNING_GLORY.srt 	MORNING_GLORY_DVS238 	00:52:29,00 --> 00:52:36,50 	someone stands over her with a rain stick which makes the sound reminiscent of rain.
MORNING_GLORY.srt 	MORNING_GLORY_DVS266 	00:59:48,00 --> 00:59:53,50 	she wraps her arms around his neck and they make out.
MORNING_GLORY.srt 	MORNING_GLORY_DVS305 	01:07:06,00 --> 01:07:10,50 	he makes a call.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS112 	00:17:58,00 --> 00:18:04,50 	later, someone arrives at home and makes a call.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS122 	00:19:38,00 --> 00:19:42,50 	later he makes a call.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS202 	00:29:29,00 --> 00:29:35,50 	as someone heads back inside, someone makes a call.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS219 	00:31:38,00 --> 00:31:43,50 	now in the kitchen, someone makes espresso.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS440 	00:51:43,00 --> 00:51:48,50 	someone steps aside and makes a phone call.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS513 	01:01:31,00 --> 01:01:36,50 	one penguin makes a snow angel.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS587 	01:09:55,00 --> 01:10:00,50 	riding in a limo, someone makes a call.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS46 	00:11:06,00 --> 00:11:11,50 	someone makes a wild face at her.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS77 	00:17:31,00 --> 00:17:37,50 	makes a mechanical wood carved man pump up and down.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS199 	00:42:40,00 --> 00:42:44,50 	they lie on their sides and then roll and place making a turning shapes.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS253 	00:52:54,00 --> 00:54:08,50 	in the driver's seat, a handsome man in a black jacket and a boutonniere made of barley sprigs beams at his bride, someone.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS106 	00:16:48,00 --> 00:16:52,50 	in a bar someone makes some calls.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS147 	00:24:12,00 --> 00:24:16,50 	they make love.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS245 	00:42:37,00 --> 00:42:42,50 	at home, someone has made herbal teas.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS495 	01:31:11,00 --> 01:31:18,50 	she makes the call.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS518 	01:36:05,00 --> 01:36:10,50 	he makes a phone call.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS554 	01:41:48,00 --> 01:41:58,50 	she looks decidedly uncomfortable and makes a bid for freedom.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS50 	00:09:50,00 --> 00:09:57,50 	someone accompanies his buddy who makes his way up the front steps on his crutches.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS166 	00:36:40,00 --> 00:36:46,50 	he makes his way through a crowd of red soldiers who part to let him by.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS230 	01:01:40,00 --> 01:01:47,50 	now children play around a man making giant soap bubbles on the park lawn.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS326 	01:21:23,00 --> 01:21:29,50 	where the earth grumbles away to make a door sized fissure.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS357 	01:28:48,00 --> 01:28:56,50 	he picks up a globe made of bones and smashes it on the ground.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS379 	01:33:45,00 --> 01:33:54,50 	a smoking trail zooms through the night sky making its way past the pointed art deco crown of the chrysler building.
PROMETHEUS.srt 	PROMETHEUS_DVS72 	00:04:06,00 --> 00:04:13,50 	one makes a seam down the side of his face and he stares at his transforming arm.
PROMETHEUS.srt 	PROMETHEUS_DVS220 	00:17:48,00 --> 00:17:55,50 	holloway presses a few squares that make up the cube and it projects a series of images.
PROMETHEUS.srt 	PROMETHEUS_DVS284 	00:28:11,00 --> 00:28:16,50 	the hanger hatch lowers making an exit ramp.
PROMETHEUS.srt 	PROMETHEUS_DVS422 	00:42:49,00 --> 00:42:58,50 	the transport makes it into the hanger.
