21_JUMP_STREET.srt 	21_JUMP_STREET_DVS495 	01:18:52,00 --> 01:18:58,50 	someone hangs up, sitting alone on a weightlifting bench.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS255 	01:01:36,00 --> 01:01:44,50 	he stands up, still hanging onto the chair, and scuttles crablike over to the door.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS337 	01:20:10,00 --> 01:20:19,50 	someone hangs up and looks thoughtful.
DISTRICT_9.srt 	DISTRICT_9_DVS437 	00:48:17,00 --> 00:48:22,50 	he hangs up with a frustrated look.
DISTRICT_9.srt 	DISTRICT_9_DVS511 	00:59:42,00 --> 00:59:48,50 	he hangs his head and massages his temple with his thumb.
DISTRICT_9.srt 	DISTRICT_9_DVS521 	01:00:48,00 --> 01:00:58,50 	he pulls hard on a bloody flap of human skin on his love handle, then lets it hang loose.
DISTRICT_9.srt 	DISTRICT_9_DVS521 	01:00:48,00 --> 01:00:58,50 	someone sits and hangs his head over his fist.
EASY_A.srt 	EASY_A_DVS15 	00:04:07,00 --> 00:04:12,50 	she reaches for it, letting her breasts hang out.
EASY_A.srt 	EASY_A_DVS29 	00:07:42,00 --> 00:07:56,50 	launching off a trampoline, he flips and dunks a basketball then hangs from the hoop.
EASY_A.srt 	EASY_A_DVS83 	00:30:53,00 --> 00:30:58,50 	she hangs them on the doorknob, blocking the keyhole.
EASY_A.srt 	EASY_A_DVS187 	00:58:11,00 --> 00:58:15,50 	someone hangs up.
FLIGHT.srt 	FLIGHT_DVS165 	00:34:36,00 --> 00:34:47,50 	a heavy man with a goatee walks into the hospital, wearing bermuda shorts and dark glasses, with earphone wires hanging on each side of his head.
FLIGHT.srt 	FLIGHT_DVS189 	00:43:54,00 --> 00:44:01,50 	cigarette hanging out of his mouth, the man picks up the iv pole and walks downstairs.
FLIGHT.srt 	FLIGHT_DVS236 	00:50:06,00 --> 00:50:13,50 	he looks at a group of photos hanging above a workstation off to one side of the hanger,
FLIGHT.srt 	FLIGHT_DVS689 	01:33:02,00 --> 01:33:08,50 	it explodes against a hanging photo of his son.
FLIGHT.srt 	FLIGHT_DVS892 	01:45:21,00 --> 01:45:27,50 	the clock shows 2:08 a.m. as he hangs a suit in a wardrobe.
FLIGHT.srt 	FLIGHT_DVS941 	01:52:06,00 --> 01:52:13,50 	a torn piece of toilet paper, with a spot of blood, hangs over his eye.
FLIGHT.srt 	FLIGHT_DVS1226 	02:09:28,00 --> 02:09:33,50 	a board hangs above the desk, covered in photographs and cards.
FLIGHT.srt 	FLIGHT_DVS1237 	02:10:04,00 --> 02:10:08,50 	in between the photos, hangs a copy of the serenity prayer.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS330 	01:27:25,00 --> 01:27:30,50 	she hangs up and speed dials a number
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS331 	01:27:32,00 --> 01:27:42,50 	she hangs up and strides out of the lady's room.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS351 	01:33:24,00 --> 01:33:39,50 	he finds his father hanging his trousers over a railing, then sitting down at an empty table in his shirt, jacket, and boxers.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS360 	01:35:35,00 --> 01:35:42,50 	his son hangs his head.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS27 	00:04:10,00 --> 00:04:29,50 	the wavy haired man hangs out the passenger window with his revolver in hand.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS354 	00:52:42,00 --> 00:52:48,50 	someone's fingers caress the cross hanging around his neck.
GREEN_ZONE.srt 	GREEN_ZONE_DVS155 	00:41:02,00 --> 00:41:06,50 	someone hangs up.
GREEN_ZONE.srt 	GREEN_ZONE_DVS229 	00:56:50,00 --> 00:57:05,50 	a man hangs his hands into the hall through a slot at the bottom of his door.
GREEN_ZONE.srt 	GREEN_ZONE_DVS268 	01:02:40,00 --> 01:02:45,50 	she hangs up and leads him in.
GREEN_ZONE.srt 	GREEN_ZONE_DVS328 	01:14:15,00 --> 01:14:20,50 	he hangs up and strides into someone's cubicle.
HUGO.srt 	HUGO_DVS92 	00:11:56,00 --> 00:12:11,50 	inching around some stray pigeons, the boy climbs a stepladder beside the mechanism and switches on a lightbulb hanging from a chain.
HUGO.srt 	HUGO_DVS281 	00:40:45,00 --> 00:40:51,50 	someone's legs kick wildly as he hangs by only a few springs.
HUGO.srt 	HUGO_DVS551 	01:21:57,00 --> 01:22:04,50 	in the attic, he winds a pocket watch then hangs it from a post near his bed.
HUGO.srt 	HUGO_DVS601 	01:26:46,00 --> 01:26:52,50 	the inspector hangs up the phone then stares intently at someone.
IN_TIME.srt 	IN_TIME_DVS59 	00:06:43,00 --> 00:06:49,50 	nearby, a man starring at his exposed body clock hangs up a phone.
IN_TIME.srt 	IN_TIME_DVS513 	00:55:33,00 --> 00:55:39,50 	with a puzzled look, someone lowers the receiver and hangs it up.
IN_TIME.srt 	IN_TIME_DVS646 	01:09:18,00 --> 01:09:26,50 	he hangs up, then shifts his gaze to someone, who examines the data tables on the digital map.
INSIDE_MAN.srt 	INSIDE_MAN_DVS100 	00:27:25,00 --> 00:27:33,50 	someone hangs up, then rises from his chair with the aid of a cane.
INSIDE_MAN.srt 	INSIDE_MAN_DVS157 	00:46:44,00 --> 00:46:51,50 	as someone hangs his head, someone holds his brow wrinkled.
INSIDE_MAN.srt 	INSIDE_MAN_DVS200 	00:57:16,00 --> 00:57:43,50 	scotch tape holds snapshots to a window and keys hang on a dirty pegboard.
INSIDE_MAN.srt 	INSIDE_MAN_DVS256 	01:19:00,00 --> 01:19:09,50 	someone swaps looks with his partner, then hangs up the receiver.
IRON_MAN_2.srt 	IRON_MAN_2_DVS105 	00:20:43,00 --> 00:20:50,50 	someone hops onto a counter, removes a painting from a wall, and hangs the iron man poster.
IRON_MAN_2.srt 	IRON_MAN_2_DVS359 	01:06:09,00 --> 01:06:18,50 	standing beside someone, short-haired general someone studies the silver someone ii suit hanging inside.
IRON_MAN_2.srt 	IRON_MAN_2_DVS503 	01:30:46,00 --> 01:30:53,50 	in his room, someone talks on the phone while the two dead guards hang from the ceiling behind him.
IRON_MAN_2.srt 	IRON_MAN_2_DVS603 	01:43:47,00 --> 01:44:08,50 	inside, the two guards hang by their necks from the ceiling.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS70 	00:21:45,00 --> 00:21:53,50 	someone flops on to a bed his shirt hanging open.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS381 	01:46:54,00 --> 01:46:58,50 	he hangs up and musters a faint smile.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS327 	01:03:27,00 --> 01:03:31,50 	a nervous someone hangs up.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS387 	01:12:44,00 --> 01:12:49,50 	crying, someone lowers her cellphone and hangs her head.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS51 	00:05:52,00 --> 00:05:57,50 	her feet hang off the end.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS75 	00:09:46,00 --> 00:09:50,50 	the high-nose brunette hangs up.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS199 	00:37:57,00 --> 00:38:01,50 	she whacks hanging pots.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS407 	01:18:44,00 --> 01:18:50,50 	someone watches as someone poutily hangs up.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS476 	01:32:20,00 --> 01:32:24,50 	in the apartment, someone hangs up.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS480 	01:32:35,00 --> 01:32:38,50 	she hangs up.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS483 	01:33:34,00 --> 01:33:39,50 	someone hangs up and glares at the phone.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS532 	01:45:55,00 --> 01:46:01,50 	someone hangs up and looks at someone sitting up attentively.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS123 	00:44:07,00 --> 00:44:13,50 	someone grins at him, then hangs his head and cries.
KARATE_KID.srt 	KARATE_KID_DVS104 	00:09:41,00 --> 00:09:46,50 	she hangs it on a coat rack.
KARATE_KID.srt 	KARATE_KID_DVS551 	00:49:52,00 --> 00:50:01,50 	someone and someone pass through the gates to the kung fu school, where the throngs of red-clad students hang out.
KARATE_KID.srt 	KARATE_KID_DVS662 	00:56:10,00 --> 00:56:19,50 	scanning the space, the boy finds an antique curio cabinet and several chinese paintings hanging on a wall.
KARATE_KID.srt 	KARATE_KID_DVS676 	00:57:57,00 --> 00:58:02,50 	someone hangs his jacket on the peg.
KARATE_KID.srt 	KARATE_KID_DVS685 	00:58:32,00 --> 00:58:40,50 	arching his brow indulgently, he hangs the jacket on the makeshift coat rack.
KARATE_KID.srt 	KARATE_KID_DVS690 	00:58:48,00 --> 00:58:52,50 	he hangs it on the peg.
KARATE_KID.srt 	KARATE_KID_DVS705 	00:59:23,00 --> 00:59:28,50 	he watches coolly as someone hangs his jacket on the peg, then takes it back off.
KARATE_KID.srt 	KARATE_KID_DVS710 	00:59:39,00 --> 00:59:44,50 	then hangs it off the utility pole.
KARATE_KID.srt 	KARATE_KID_DVS714 	00:59:48,00 --> 00:59:52,50 	he hangs up his jacket.
KARATE_KID.srt 	KARATE_KID_DVS715 	00:59:50,00 --> 00:59:58,50 	as he mopes into his room, someone stares at the hanging jacket and shifts her wide-eyed gaze.
KARATE_KID.srt 	KARATE_KID_DVS717 	01:00:01,00 --> 01:00:06,50 	drops it on the ground, picks it up, and hangs it.
KARATE_KID.srt 	KARATE_KID_DVS741 	01:02:41,00 --> 01:02:46,50 	drops it on the ground, and hangs it up.
KARATE_KID.srt 	KARATE_KID_DVS743 	01:02:52,00 --> 01:02:57,50 	someone glumly hangs up his jacket.
KARATE_KID.srt 	KARATE_KID_DVS755 	01:03:40,00 --> 01:03:46,50 	someone hangs his jacket with a sarcastic sneer.
KARATE_KID.srt 	KARATE_KID_DVS763 	01:04:33,00 --> 01:04:45,50 	now at the shi shi festival, delicate lanterns shaped like birds and flowers hang from trees above the throngs of guests.
KARATE_KID.srt 	KARATE_KID_DVS852 	01:10:19,00 --> 01:10:25,50 	someone stands facing the utility pole, hanging his jacket on the peg.
KARATE_KID.srt 	KARATE_KID_DVS1047 	01:24:57,00 --> 01:25:21,50 	someone hangs a bell high above someone's head.
KARATE_KID.srt 	KARATE_KID_DVS1277 	01:43:16,00 --> 01:43:21,50 	her jaw hangs slack.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS150 	00:41:21,00 --> 00:41:27,50 	someone points to large cloud props hanging over an outdoor stage.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS241 	00:58:04,00 --> 00:58:10,50 	another tweet, just hanging at the cat cafe in tokyo with my besties.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS313 	01:11:40,00 --> 01:11:44,50 	someone hangs her head and sobs.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS143 	00:51:28,00 --> 00:51:44,50 	hanging his head, the scientist sulks off.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS183 	01:05:42,00 --> 01:05:52,50 	now, clumps of vines hang from the rough-hewn walls of the cavern.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS248 	01:28:54,00 --> 01:29:00,50 	the two scientists face each other, their jaws hanging slack.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS24 	00:07:19,00 --> 00:07:38,50 	standing in a closet of mostly empty hangers, someone hangs up his red u-mart polo shirt.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS90 	00:22:14,00 --> 00:22:23,50 	he hangs up.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS207 	00:48:28,00 --> 00:48:33,50 	someone hangs his head, someone wipes her brow.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS238 	00:56:28,00 --> 00:56:34,50 	someone stares ahead, her jaw hanging open.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS191 	00:25:13,00 --> 00:25:20,50 	someone slowly turns the corner and eyes the goat with his mouth hanging open.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS207 	00:27:33,00 --> 00:27:44,50 	his mouth hanging open slightly.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS212 	00:27:58,00 --> 00:28:10,50 	a girl spots him and he quickly ducks behind colorful hanging items.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS311 	00:39:23,00 --> 00:39:31,50 	someone hangs onto the door frame and tries futilely to pull himself into his family's quarters.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS322 	00:40:10,00 --> 00:40:21,50 	someone tumbles across the canvas cover and hangs off the edge.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS442 	00:50:35,00 --> 00:50:42,50 	he falls back into the water, hanging by his knees from the life preserver.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS568 	01:03:09,00 --> 01:03:16,50 	blinking his amber eyes, the tiger hangs his head and convulses nauseously.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS616 	01:07:05,00 --> 01:07:16,50 	the tiger hangs off the far spokes, adding to its weight then drops into the water.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS621 	01:07:32,00 --> 01:07:40,50 	the tiger hangs on by ropes draped around the hull.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1008 	01:38:57,00 --> 01:39:04,50 	at night, a meerkat yawns with his hind legs hanging over a branch.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1095 	01:53:45,00 --> 01:53:54,50 	as the young survivor hangs his head, the older insurance investigator faces his partner with a softened gaze.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS136 	00:50:09,00 --> 00:50:14,50 	someone hangs up his coat.
MORNING_GLORY.srt 	MORNING_GLORY_DVS80 	00:14:16,00 --> 00:14:20,50 	she hangs up the phone.
MORNING_GLORY.srt 	MORNING_GLORY_DVS428 	01:33:22,00 --> 01:33:29,50 	he hangs his head, glances up briefly, then walks away, putting on his sunglasses.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS456 	00:54:02,00 --> 00:54:05,50 	he hangs up.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS693 	01:25:50,00 --> 01:25:56,50 	the lone penguin flaps her flippers, then hangs her head.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS106 	00:24:47,00 --> 00:24:53,50 	hanging his head, the bird trudges away.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS159 	00:36:23,00 --> 00:36:33,50 	she rifles through floral sundresses hanging inside.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS236 	00:49:13,00 --> 00:49:19,50 	as someone stares at it, someone remorsefully hangs her head.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS246 	00:51:14,00 --> 00:51:22,50 	under someone's compassionate gaze, someone hangs her head then steps away.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS253 	00:52:54,00 --> 00:54:08,50 	back in the present, someone hangs the tattered veil on a clothesline.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS332 	01:12:58,00 --> 01:13:02,50 	someone hangs his head.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS454 	01:23:04,00 --> 01:23:11,50 	someone hangs up and sits on a bench.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS488 	01:30:14,00 --> 01:30:18,50 	someone stands with her shirt hanging off and clicks her fingers.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS78 	00:20:20,00 --> 00:20:27,50 	with his eyes closed, someone's head hangs to the side.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS140 	00:32:41,00 --> 00:32:49,50 	palms to his face he notices a red flag hanging from a pole on the opposite bank.
PROMETHEUS.srt 	PROMETHEUS_DVS792 	01:24:52,00 --> 01:25:00,50 	inside the med pod blood drips from the alien's long egg-shaped head as it hangs motionless.
PROMETHEUS.srt 	PROMETHEUS_DVS965 	01:46:22,00 --> 01:46:33,50 	someone and someone stare at the towering vessel, their jaws hanging slack.
PROMETHEUS.srt 	PROMETHEUS_DVS1010 	01:50:16,00 --> 01:50:25,50 	someone backs away, her mouth hanging open in a terrified stare.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS252 	00:47:02,00 --> 00:47:10,50 	she hangs her head.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS317 	01:00:51,00 --> 01:01:18,50 	later, he hangs up his coat.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS365 	01:09:46,00 --> 01:10:04,50 	small overhead lights with green lampshades hang from above next to dangling clusters of phone wires.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS622 	01:56:58,00 --> 01:57:06,50 	he turns to a bulletin board where multiple mugshots of familiar criminals hang posted.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS112 	00:28:46,00 --> 00:28:56,50 	someone notices a small rectangular case hanging from someone's shoulder.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS196 	00:46:47,00 --> 00:46:53,50 	his crown, hangs it at the back of his throne and sits.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS248 	00:56:54,00 --> 00:56:58,50 	hunter's jaw hangs slack.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS313 	01:15:42,00 --> 01:15:46,50 	hanging from a tree, someone
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS355 	01:28:01,00 --> 01:28:09,50 	someone's jaw hangs slack.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS375 	01:33:03,00 --> 01:33:11,50 	he hangs his head.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS449 	01:51:49,00 --> 01:52:04,50 	she holds up the sword and hangs her head.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS76 	00:12:52,00 --> 00:12:57,50 	his eyes open wide and his jaw hanging slack.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS575 	01:26:38,00 --> 01:26:44,50 	someone watches her, his mouth hanging open.
