500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS294 	00:53:46,00 --> 00:53:50,50 	it floats up into the air.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS340 	01:23:59,00 --> 01:24:05,50 	someone points at a trail of floating objects.
PROMETHEUS.srt 	PROMETHEUS_DVS123 	00:07:31,00 --> 00:07:37,50 	the beam lingers on the six floating discs.
PROMETHEUS.srt 	PROMETHEUS_DVS176 	00:12:14,00 --> 00:12:24,50 	from the nose, outer panels part giving view through the glass windows to a pale gray planet floating amidst a sea of stars.
PROMETHEUS.srt 	PROMETHEUS_DVS694 	01:13:59,00 --> 01:14:07,50 	he releases the model of earth, letting it float back up again and gazes after it ardently.
SANCTUM.srt 	SANCTUM_DVS19 	00:05:13,00 --> 00:05:18,50 	inside the cave, a fair-haired man floats in shallow water.
SANCTUM.srt 	SANCTUM_DVS138 	00:29:13,00 --> 00:29:19,50 	now, someone' body floats against the decompression chamber outer wall.
SANCTUM.srt 	SANCTUM_DVS200 	00:44:54,00 --> 00:45:05,50 	someone rushes to a floating body bag and gently pulls it open to reveal someone' lifeless face.
SANCTUM.srt 	SANCTUM_DVS226 	00:48:45,00 --> 00:48:51,50 	now we float up toward the lazily kicking legs.
SANCTUM.srt 	SANCTUM_DVS534 	01:38:55,00 --> 01:39:03,50 	he rises, drawing his arms back and allows his father's body to float away.
SUPER_8.srt 	SUPER_8_DVS641 	01:43:13,00 --> 01:43:21,50 	above, the ship's spotlight shine through clouds of smoke floating in the night sky.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS289 	00:41:35,00 --> 00:41:40,50 	liquor bottles float up and someone amongst the someone.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS341 	00:52:38,00 --> 00:52:45,50 	one of the tied up pilots floats out of his seat.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS342 	00:52:42,00 --> 00:52:49,50 	a globule of clear alcohol floats out of the bottle and hovers in front of someone's face.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS343 	00:52:55,00 --> 00:53:01,50 	floating upside down, snowy sniffs the alcohol and ingests it.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS459 	01:07:06,00 --> 01:07:13,50 	sharks converge around the bound sailors, bubbles float to the surface.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS489 	01:10:30,00 --> 01:10:35,50 	sir someone surfaces then swims to a piece of floating mast.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS559 	01:17:59,00 --> 01:18:03,50 	the scroll floats out.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS630 	01:24:08,00 --> 01:24:14,50 	holding the bird, someone lands on a floating dock near the karaboudjan.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS145 	00:25:13,00 --> 00:25:19,50 	surrounding by dead floating leaves, the teen looks away.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS782 	01:46:30,00 --> 01:46:36,50 	they float about a mile from the urban coastline.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS800 	01:47:40,00 --> 01:47:47,50 	they watch their leis floating beside the boat, bobbing on the surface.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS803 	01:47:51,00 --> 01:47:57,50 	they take on amoeba-like shapes as they float beside the canoe.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS32 	00:09:14,00 --> 00:09:22,50 	we float down an aisle between seated college girls.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS553 	01:01:02,00 --> 01:01:12,50 	a peppermint embossed with a dog bone floats through midair and flies into someone's mouth.
TRUE_GRIT.srt 	TRUE_GRIT_DVS398 	01:19:25,00 --> 01:19:31,50 	someone drops the bucket and it floats away on the water.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS655 	01:30:52,00 --> 01:30:58,50 	the pilot turns away and the balloon floats off.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS816 	01:54:38,00 --> 01:54:53,50 	now, kites float high in the sky.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS148 	00:09:28,00 --> 00:09:34,50 	now the coin floats around the spread fingers of a grown man's hand.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS334 	00:25:18,00 --> 00:25:24,50 	the gun floats to his hand and he aims at the farmer.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1135 	01:41:39,00 --> 01:41:46,50 	the submarine floats past the russian ship, where several sailors watch from the deck.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1235 	01:51:26,00 --> 01:51:31,50 	the coin floats from his hand.
