21_JUMP_STREET.srt 	21_JUMP_STREET_DVS632 	01:35:21,00 --> 01:35:26,50 	someone ducks back down.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS231 	00:35:48,00 --> 00:35:57,50 	someone ducks out into the hall.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS269 	00:39:43,00 --> 00:39:51,50 	someone leaps over a railing then ducks between crates as a thug opens fire with a machine gun.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS371 	00:55:34,00 --> 00:55:40,50 	and ducks down as the plane bounces over a sand dune, flips and crashes.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS667 	01:30:09,00 --> 01:30:15,50 	someone and the policemen duck as the cranes smash and twist above their heads.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS345 	01:04:08,00 --> 01:04:31,50 	he leaps over one then ducks another.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS554 	01:39:22,00 --> 01:39:28,50 	elsewhere, someone ducks low then skulks forward.
THE_CALL.srt 	THE_CALL_DVS911 	01:10:05,00 --> 01:10:12,50 	our view lingers on the operator, then ducks back as she turns toward us.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS267 	00:42:37,00 --> 00:42:47,50 	someone and someone duck down in their seats and discreetly cover their faces.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS849 	01:35:47,00 --> 01:35:52,50 	he ducks, glances at the pole's chipped wood
THE_VOW.srt 	THE_VOW_DVS367 	00:52:09,00 --> 00:52:14,50 	he ducks into their bedroom.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS212 	00:40:31,00 --> 00:40:39,50 	someone ducks around a doorway and hides as someone comes out and eyes an open laptop.
THOR.srt 	THOR_DVS374 	00:56:21,00 --> 00:56:28,50 	someone leaps down and kicks one agent, then ducks into a side tunnel as more agents give chase.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS365 	00:40:10,00 --> 00:40:15,50 	he ducks.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS619 	01:08:03,00 --> 01:08:09,50 	he ducks down and checks an arrow then hurls the player on his back.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS347 	00:41:00,00 --> 00:41:05,50 	as she answers the door, he ducks down.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS356 	00:52:13,00 --> 00:52:18,50 	someone ducks into an alcove, then peers back out at him.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS358 	00:52:32,00 --> 00:52:38,50 	pressing her lips together, someone ducks back into the alcove.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS246 	00:18:58,00 --> 00:19:04,50 	the agent ducks out of sight, then cautiously ventures in.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS265 	00:20:23,00 --> 00:20:30,50 	the agent fearfully ducks out of sight, then steels herself and peers back in.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS711 	01:04:09,00 --> 01:04:15,50 	in the hallway, the recruits and soldiers duck.
