A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS446 	00:42:59,00 --> 00:43:05,50 	he caresses her cheek.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS258 	00:48:44,00 --> 00:49:19,50 	as he opens the door all the way, she seductively slides her hands up the porcelain, out of the water, then lifts one shapely leg and caresses the tub's rim with her foot.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS198 	00:33:33,00 --> 00:33:38,50 	he caresses her lips with his thumb.
SALT.srt 	SALT_DVS556 	01:35:52,00 --> 01:36:15,50 	the river's edge, hands caress at a snow blanket of rock as slim figure wades through the knee-deep water.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS394 	00:26:12,00 --> 00:26:17,50 	closing his eyes, he gently kisses and caresses her foot.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS846 	00:56:03,00 --> 00:56:09,50 	someone's hand gently caresses her husband's back.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS859 	00:56:57,00 --> 00:57:02,50 	and gently caresses the backs of her toes.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS910 	00:59:22,00 --> 00:59:30,50 	he briskly caresses his mother's face, then aces someone with a grave expression.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1071 	01:12:26,00 --> 01:12:31,50 	he caresses her shapely bottom.
SOUL_SURFER.srt 	SOUL_SURFER_DVS312 	01:33:47,00 --> 01:33:57,50 	she caresses the ocean's surface with her hand.
SPARKLE_2012.srt 	SPARKLE_2012_DVS326 	00:53:29,00 --> 00:53:37,50 	as he reads a book in a burgundy robe, she serves him coffee and caresses his shoulders.
SPARKLE_2012.srt 	SPARKLE_2012_DVS498 	01:20:21,00 --> 01:20:26,50 	she caresses his lifeless face.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS693 	01:32:46,00 --> 01:32:52,50 	someone caresses one of the nearby bottles, then stares at someone.
THE_CALL.srt 	THE_CALL_DVS151 	00:12:30,00 --> 00:12:38,50 	a bare hand caresses a lock of hair pressed against her neck.
THE_CALL.srt 	THE_CALL_DVS1024 	01:18:12,00 --> 01:18:18,50 	he caresses the hair tenderly, then pulls it off of the head.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS598 	01:28:02,00 --> 01:28:09,50 	he caresses her hair, then tilts her face up to meet his gaze.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS625 	01:31:27,00 --> 01:31:33,50 	he continues caressing his daughter's hair.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS737 	01:43:40,00 --> 01:43:46,50 	his fingers caress the pale woman's hair just above her forehead.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1316 	02:19:54,00 --> 02:20:01,50 	holding her uncle's gaze, someone caresses the lapel of her coat self-soothingly.
THE_VOW.srt 	THE_VOW_DVS141 	00:14:34,00 --> 00:14:40,50 	someone stirs and caresses his wifes arm with his thumb.
THE_VOW.srt 	THE_VOW_DVS499 	01:10:04,00 --> 01:10:10,50 	someones hand finds his cheek and caresses it softly.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS490 	01:25:27,00 --> 01:25:34,50 	someone tenderly caresses her hair and someone peers longingly at him.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS53 	00:06:47,00 --> 00:06:52,50 	she caresses his cheek with her thumb.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS343 	00:40:14,00 --> 00:40:19,50 	she leans in coyly and caresses his chest.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS81 	00:13:03,00 --> 00:13:17,50 	someone sets 	the sketchbook aside and caresses his son's shaggy brown bangs.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS574 	01:19:06,00 --> 01:19:10,50 	she caresses their faces.
ZOMBIELAND.srt 	ZOMBIELAND_DVS531 	01:02:26,00 --> 01:02:31,50 	someone caresses his neck and their lips hover less than an inch apart.
