21_JUMP_STREET.srt 	21_JUMP_STREET_DVS539 	01:23:25,00 --> 01:23:38,50 	now, in slow motion the door of a white limousine opens, releasing doves.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS152 	00:39:42,00 --> 00:39:47,50 	someone releases a stream of it as well.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS26 	00:03:35,00 --> 00:03:46,50 	a parachute releases from his backpack.
THOR.srt 	THOR_DVS85 	00:11:02,00 --> 00:11:08,50 	a spiked grid dissolves and releases a faceless guardian made of ribbed armor.
THOR.srt 	THOR_DVS209 	00:28:45,00 --> 00:28:51,50 	someone slams down his spear, releasing bolts of white lightning.
THOR.srt 	THOR_DVS398 	00:59:42,00 --> 00:59:48,50 	someone releases the tension on his bow and lowers it.
THOR.srt 	THOR_DVS416 	01:05:00,00 --> 01:05:08,50 	someone releases his grip and stares skyward, then adjusts his jacket as he turns and walks away.
THOR.srt 	THOR_DVS676 	01:40:44,00 --> 01:40:51,50 	releasing his grip, someone falls into outer space toward a swirling cloud of flashing gas.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS608 	01:21:09,00 --> 01:21:14,50 	she released two hidden clips at the back of her hair,
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS533 	01:21:18,00 --> 01:21:25,50 	he releases her hand and they both sit quietly, staring into the darkness.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS540 	01:23:05,00 --> 01:23:12,50 	frowning, someone releases a deep breath and leans forward in her seat.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS578 	01:28:57,00 --> 01:29:01,50 	the teen releases a deep pent-up breath, then swallows.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS256 	00:19:47,00 --> 00:19:51,50 	he releases it.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS406 	00:34:19,00 --> 00:34:27,50 	our view sinks beneath the water to find a hatch in the yacht's underside releasing a submarine.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS544 	00:51:04,00 --> 00:51:10,50 	someone smiles, then releases a gust of sound.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS652 	00:59:49,00 --> 00:59:56,50 	as someone releases the bar strangling her, the captive morphs back into her human form.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS690 	01:02:30,00 --> 01:02:37,50 	the recruits watch through the window as someone releases the man in black, then disappear
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS748 	01:07:49,00 --> 01:07:56,50 	he forces a compact mass of the energy between someone's lips, then releases him.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS851 	01:17:54,00 --> 01:17:59,50 	he releases the barbell.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS56 	00:07:51,00 --> 00:07:57,50 	she unzips a pet carrier and releases her small white dog,
ZOMBIELAND.srt 	ZOMBIELAND_DVS693 	01:16:17,00 --> 01:16:29,50 	in slow motion, he releases the clips from his guns, turns to the counter behind him, and pounds the handles over new ammo clips.
