21_JUMP_STREET.srt 	21_JUMP_STREET_DVS67 	00:07:35,00 --> 00:07:40,50 	a fat bearded biker crosses the bridge.
FLIGHT.srt 	FLIGHT_DVS591 	01:21:22,00 --> 01:21:27,50 	someone does not raise his hand, crosses his arms.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS217 	00:57:48,00 --> 00:57:54,50 	she sets it down and crosses her home.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS324 	01:26:30,00 --> 01:26:35,50 	at night, someone cries as she crosses a street.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS391 	01:42:39,00 --> 01:42:46,50 	someone and someone cross the street to pershing square central cafe and have their date.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS41 	00:07:08,00 --> 00:07:14,50 	someone lets him go then crosses the grungy room.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS55 	00:09:50,00 --> 00:09:56,50 	now pedestrians cross a bustling town square.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS109 	00:17:47,00 --> 00:18:11,50 	our vision doubles as the thug's eyes cross and he sinks down.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS594 	01:25:29,00 --> 01:25:47,50 	in the light of a high bright sun, ghost rider crosses his arms over his chest.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS618 	01:27:42,00 --> 01:27:48,50 	someone crosses a protective arm over her son.
GREEN_ZONE.srt 	GREEN_ZONE_DVS25 	00:07:10,00 --> 00:07:14,50 	the warehouse and cross over to the alley.
GREEN_ZONE.srt 	GREEN_ZONE_DVS118 	00:28:27,00 --> 00:28:31,50 	the pickup crosses to a dirty
GREEN_ZONE.srt 	GREEN_ZONE_DVS133 	00:30:39,00 --> 00:30:47,50 	they cross into a kitchen where the dead gunman lies on his back.
GREEN_ZONE.srt 	GREEN_ZONE_DVS348 	01:18:48,00 --> 01:19:14,50 	someone crosses another intersection, his gaze searching for a visual on the stranger.
GREEN_ZONE.srt 	GREEN_ZONE_DVS416 	01:32:14,00 --> 01:32:23,50 	the general and his aide cross a dim alcove and disappear through a bead curtain doorway.
GROWN_UPS.srt 	GROWN_UPS_DVS76 	00:22:15,00 --> 00:22:21,50 	she crosses the porch.
GROWN_UPS.srt 	GROWN_UPS_DVS206 	00:56:33,00 --> 00:56:39,50 	someone crosses to his beaming wife.
HUGO.srt 	HUGO_DVS79 	00:10:27,00 --> 00:10:34,50 	the boy crosses to a small area in front of three large windows which has been swept clean.
HUGO.srt 	HUGO_DVS107 	00:14:19,00 --> 00:14:27,50 	shivering against the cold, someone follows several paces behind the shopkeeper as he crosses a wide brick street.
HUGO.srt 	HUGO_DVS124 	00:16:20,00 --> 00:16:25,50 	the girl stares at someone with her arms crossed.
HUGO.srt 	HUGO_DVS437 	01:03:43,00 --> 01:03:49,50 	later, he crosses a cobble-stoned street near a statue of a lion.
HUGO.srt 	HUGO_DVS604 	01:27:15,00 --> 01:27:22,50 	he steps through the arched gate and crosses a narrow street, where he meets rene someone.
IN_TIME.srt 	IN_TIME_DVS99 	00:10:48,00 --> 00:10:58,50 	now, in a large abandoned space, someone shoves the stranger onto a leather bench, then crosses to a wall of dirty broken windows.
IN_TIME.srt 	IN_TIME_DVS938 	01:38:57,00 --> 01:39:04,50 	a look of realization crosses his face and he shifts his worried eyes.
INSIDE_MAN.srt 	INSIDE_MAN_DVS48 	00:13:06,00 --> 00:13:19,50 	a brunette woman clad in pastels acknowledges a valet as she crosses toward a lone figure at a full-length window.
INSIDE_MAN.srt 	INSIDE_MAN_DVS336 	01:37:35,00 --> 01:37:41,50 	cross the alcove to the safety deposit room.
INSIDE_MAN.srt 	INSIDE_MAN_DVS368 	01:46:43,00 --> 01:46:59,50 	now, he descends a half moon spiral staircase, crossing a floors elevator lobby to another flight.
INSIDE_MAN.srt 	INSIDE_MAN_DVS398 	01:53:37,00 --> 01:53:50,50 	someone heads up toward the first floor, crossing paths with the woman.
IRON_MAN_2.srt 	IRON_MAN_2_DVS635 	01:47:48,00 --> 01:47:56,50 	someone crosses his wrists and fires a repulsor beam which swivels, hits the remaining drones, and slices a tree in half.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS41 	00:10:22,00 --> 00:10:30,50 	in a doctor's examining room, someone crosses her jittery legs.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS55 	00:16:08,00 --> 00:16:12,50 	later, they cross the hotel lobby.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS204 	01:01:23,00 --> 01:01:30,50 	he dashes away, hiding his face with his hand he crosses toward the reception desk.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS239 	01:08:51,00 --> 01:09:05,50 	her legs crossed, she idly bounces her foot, and stares off.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS366 	01:42:48,00 --> 01:43:02,50 	she stares up at the night sky with her hands crossed protectively over her chest.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS379 	01:46:28,00 --> 01:46:38,50 	now at someone's architecture firm, someone enters and crosses the bustling floor to someone's office.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS393 	01:50:01,00 --> 01:50:07,50 	someone crosses the walkway, sets down her purse,
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS344 	01:06:13,00 --> 01:06:19,50 	crossing the room, someone looks again at the balding man twice.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS488 	01:34:10,00 --> 01:34:18,50 	she slows down as she approaches the apartment, and notices someone crossing the street toward her.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS495 	01:34:46,00 --> 01:34:52,50 	now, someone and someone cross a train station.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS499 	01:36:23,00 --> 01:36:29,50 	with open arms, the two cross the floor and embrace.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS103 	00:38:37,00 --> 00:38:45,50 	in slow motion, someone, someone and the kids try to cross the parking lot.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS134 	00:47:56,00 --> 00:48:15,50 	someone and someone check her out as they cross the sand.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS150 	00:57:22,00 --> 00:57:29,50 	now as all six of them cross a rope bridge, a family of four spots them from below.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS291 	01:34:54,00 --> 01:35:02,50 	now someone steps off of an elevator and crosses a hallway, with his hand shoved in his pockets.
KARATE_KID.srt 	KARATE_KID_DVS322 	00:28:55,00 --> 00:29:02,50 	someone crosses to a window separating the lobby from the house, pulls a curtain aside, and peers through.
KARATE_KID.srt 	KARATE_KID_DVS503 	00:45:04,00 --> 00:45:10,50 	someone waits in a fighting stance, his wrists crossed in an x shape.
KARATE_KID.srt 	KARATE_KID_DVS929 	01:16:11,00 --> 01:16:22,50 	the taxi crosses a lofty stone bridge spanning the tranquil river.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS148 	00:53:44,00 --> 00:53:53,50 	someone crosses to someone, who sits forlornly on his own.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS226 	00:51:22,00 --> 00:51:31,50 	she puts down a box then crosses to her desk at the back of the room.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS149 	00:19:05,00 --> 00:19:11,50 	someone crosses himself and prays as his family begins dining.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS187 	00:24:56,00 --> 00:25:04,50 	someone crosses his arms and stares ahead as selvam spins the metal wheel.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS640 	01:08:51,00 --> 01:08:59,50 	he keeps hold of it with a rope as he crosses back to someone's side and puts the whistle to his lips.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS71 	00:11:04,00 --> 00:11:09,50 	someone sits and crosses his legs.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS305 	00:39:19,00 --> 00:39:27,50 	crossing a row of street vendors he notices a five foot tall stuffed penguin standing at the end.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS313 	00:40:28,00 --> 00:40:35,50 	outside the penguins cross a wet sidewalk bordered by mounds of snow.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS415 	00:48:21,00 --> 00:48:27,50 	as someone crosses the room, the penguins follow.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS433 	00:51:02,00 --> 00:51:10,50 	someone crosses to the living room where the penguins gather around a scattering of stones from a hearth.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS530 	01:03:30,00 --> 01:03:37,50 	he brushes some snow off a couch and sits, crossing his legs casually.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS676 	01:24:01,00 --> 01:24:07,50 	someone gins as he crosses his path with a pitcher of water.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS313 	01:08:38,00 --> 01:08:51,50 	with his arms crossed at his back, he regards the boys frankly.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS403 	01:24:41,00 --> 01:24:51,50 	in the house without a chair, someone balances on one foot, crosses the other over as if sitting, and props an elbow on his crooked knee.
PROMETHEUS.srt 	PROMETHEUS_DVS303 	00:29:53,00 --> 00:29:58,50 	crossing the threshold, they head down the slope.
PROMETHEUS.srt 	PROMETHEUS_DVS620 	01:08:07,00 --> 01:08:12,50 	crossing the mist enshrouded floor, someone arrives at another code panel.
PROMETHEUS.srt 	PROMETHEUS_DVS866 	01:35:14,00 --> 01:35:18,50 	someone crosses the room.
PROMETHEUS.srt 	PROMETHEUS_DVS881 	01:37:45,00 --> 01:37:48,50 	crosses the disc.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS19 	00:02:46,00 --> 00:03:13,50 	crossing between two rows of workbenches, the sandy-haired man drops a load of shirts.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS28 	00:04:36,00 --> 00:04:46,50 	outside, someone leaves the metal gate behind and crosses the open ground toward the sedan.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS70 	00:11:57,00 --> 00:12:08,50 	as he crosses to the house, someone tosses a set of keys to someone who joins someone to see the new car.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS110 	00:18:52,00 --> 00:18:56,50 	they cross an fbi bullpen.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS318 	01:01:17,00 --> 01:01:27,50 	carrying a mop and bucket, he crosses a hallway and waits for another guard to open the door.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS434 	01:22:56,00 --> 01:23:09,50 	armed with their rifles and sub machine guns, the g-men cross the shadowy woods.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS508 	01:36:19,00 --> 01:36:47,50 	someone crosses the roomy rundown apartment then doubles back to a door.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS559 	01:44:35,00 --> 01:44:40,50 	he crosses to her and grabs her chin again.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS604 	01:53:37,00 --> 01:53:45,50 	he crosses the room.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS609 	01:54:36,00 --> 01:54:43,50 	now, someone crosses the field office to someone who sits on a desk.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS620 	01:56:33,00 --> 01:56:50,50 	on another floor, someone crosses a hall to a door bearing the words detective bureau someone squad.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS623 	01:57:05,00 --> 01:57:12,50 	he crosses to a desk and halts briefly by a secretary busy typing.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS625 	01:57:18,00 --> 01:58:13,50 	a smile crosses someone's lips as he passes through a brilliant shot of sunlight.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS625 	01:57:18,00 --> 01:58:13,50 	now, he crosses to a bulletin board showing mugshots of someone.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS391 	01:36:55,00 --> 01:37:10,50 	the intricately carved stone cross stands unharmed in the deserted village center.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS46 	00:07:50,00 --> 00:07:59,50 	as a crowd crosses the other end, he turns back and walks in the opposite direction.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS429 	01:06:06,00 --> 01:06:13,50 	crossing the street, someone lets go of someone's hand to answer his phone.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS513 	01:20:31,00 --> 01:20:40,50 	she watches him cross the upper floor then lowers her frustrated gaze and feels her brow with both hands.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS531 	01:22:18,00 --> 01:22:27,50 	someone glances aside then crosses to the desk and takes the page from his hand.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS547 	01:24:45,00 --> 01:24:50,50 	someone crosses to the desk and looks at the page.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS589 	01:27:48,00 --> 01:27:54,50 	finding her ankles crossed over the hardwood floor.
SALT.srt 	SALT_DVS170 	00:29:08,00 --> 00:29:16,50 	she grabs an air conditioning unit and crosses to its other side.
SALT.srt 	SALT_DVS254 	00:43:39,00 --> 00:44:13,50 	someone crosses to a window, pulls the drapes aside a few inches and peers out.
SALT.srt 	SALT_DVS310 	00:54:38,00 --> 00:54:53,50 	later, it crosses the 59th street bridge.
SANCTUM.srt 	SANCTUM_DVS292 	00:59:03,00 --> 00:59:13,50 	now, we drift over a rippling subterranean pond as the group crosses a cavern as big as a covered stadium.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS107 	00:07:24,00 --> 00:07:31,50 	leaving the turntable, she starts to cross the tastefully decorated room.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS675 	00:44:11,00 --> 00:44:19,50 	she crosses to him, shuffling past a mantle adorned with framed pictures and an ornamental clock.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS708 	00:46:22,00 --> 00:46:29,50 	now at school, they cross the hallway with other students.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS767 	00:51:13,00 --> 00:51:20,50 	now, someone crosses a courtyard to a wooden mailbox on a wall.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS853 	00:56:40,00 --> 00:56:45,50 	her other arm crosses her chest, she gathers the blanket up close to her chin.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1021 	01:06:43,00 --> 01:06:49,50 	someone crosses to someone's door, opens it, and passes through.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1057 	01:10:53,00 --> 01:11:01,50 	as an amused someone and sebastian watch from their distant table, someone crosses the dance floor.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1307 	01:30:17,00 --> 01:30:23,50 	she crosses a waiting area and approaches a front desk.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS174 	00:34:08,00 --> 00:34:21,50 	meanwhile, someone crosses the curio shop.
