21_JUMP_STREET.srt 	21_JUMP_STREET_DVS61 	00:06:17,00 --> 00:06:24,50 	reaching their destination, they climb off their bikes and lower their kickstands.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS642 	01:38:39,00 --> 01:38:44,50 	someone reaches back and undoes his dress.
BLINDDATING.srt 	BLINDDATING_DVS153 	00:40:46,00 --> 00:40:51,50 	someone reaches for his folded cane.
BLINDDATING.srt 	BLINDDATING_DVS196 	00:49:40,00 --> 00:49:45,50 	he reaches under him, pushes
BLINDDATING.srt 	BLINDDATING_DVS228 	00:56:03,00 --> 00:56:12,50 	someone reaches to his right and finds an arm.
BLINDDATING.srt 	BLINDDATING_DVS254 	01:01:14,00 --> 01:01:21,50 	she prowls toward someone, reaches for his crotch.
BLINDDATING.srt 	BLINDDATING_DVS284 	01:11:03,00 --> 01:11:20,50 	a gloved hand in the or reaches for a syringe, then a clamp, then discards bloody gauze.
BLINDDATING.srt 	BLINDDATING_DVS298 	01:13:49,00 --> 01:13:55,50 	someone reaches for it.
BLINDDATING.srt 	BLINDDATING_DVS306 	01:15:14,00 --> 01:15:27,50 	as someone's hand reaches out, his father's curious face cranes in to his view.
BLINDDATING.srt 	BLINDDATING_DVS310 	01:15:51,00 --> 01:16:02,50 	someone eagerly reaches for someone to approach.
BLINDDATING.srt 	BLINDDATING_DVS317 	01:16:48,00 --> 01:16:54,50 	bedroom and reaches for the remote control.
BLINDDATING.srt 	BLINDDATING_DVS342 	01:22:03,00 --> 01:22:11,50 	reaching the sidewalk, he takes a few steps to his right and pulls out a phone.
BRUNO.srt 	BRUNO_DVS115 	00:25:43,00 --> 00:26:13,50 	someone flutters his tongue in the invisible opening, then uses one hand to reach forward and stroke someone's penis again.
BURLESQUE.srt 	BURLESQUE_DVS298 	00:40:43,00 --> 00:40:50,50 	now someone reaches out of the shower and finds bras and stockings hanging on a hook.
BURLESQUE.srt 	BURLESQUE_DVS499 	01:09:24,00 --> 01:09:31,50 	back in the lounge, the dancers advance downstage, reaching their hands toward the audience.
BURLESQUE.srt 	BURLESQUE_DVS602 	01:28:40,00 --> 01:28:45,50 	reaching behind her back, she goes to unzip her dress.
BURLESQUE.srt 	BURLESQUE_DVS711 	01:48:00,00 --> 01:48:06,50 	as she stares off dreamily, another dancer reaches for her makeup.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS352 	01:05:03,00 --> 01:05:10,50 	in the control room, one of the timers reaches zero.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS365 	01:06:38,00 --> 01:06:44,50 	someone reaches one hand under his own chin.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS373 	01:07:32,00 --> 01:07:39,50 	meanwhile, someone and someone reach the upper catwalk.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS426 	01:17:17,00 --> 01:17:21,50 	someone stares with her hands on her hips as the woman reaches her arms around someone' neck.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS483 	01:25:02,00 --> 01:25:08,50 	someone climbs outside the train and reaches for someone.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS605 	01:43:01,00 --> 01:43:13,50 	someone reaches for the blaster, but someone throws a box and knocks it away.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS646 	01:48:38,00 --> 01:48:44,50 	a broken wing reaches skyward as snow blows over it.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS44 	00:03:04,00 --> 00:03:10,50 	as a yellow shape floats overhead, a hand reaches down and pulls him up by the scruff of his collar.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS88 	00:06:55,00 --> 00:06:59,50 	as he turns to go, she reaches for his hand.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS283 	00:21:34,00 --> 00:21:44,50 	someone reaches the foot of the wave, briefly vanishing from view within the rolling tides before he emerges to take more of the face.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS558 	00:53:46,00 --> 00:53:51,50 	as she reaches for the faucet, someone bursts out.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS695 	01:07:37,00 --> 01:07:42,50 	someone surfs his board close to hers and reaches out.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS972 	01:35:28,00 --> 01:35:34,50 	reaching into his supply bag, someone produces a letter.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1078 	01:42:59,00 --> 01:43:04,50 	the photographer reaches down from the stern.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1105 	01:46:05,00 --> 01:46:11,50 	as he reaches the bottom, it breaks right behind him.
CHRONICLE.srt 	CHRONICLE_DVS58 	00:06:50,00 --> 00:06:59,50 	he reaches to the camera, switches off the light attachment, then lowers his defeated gaze and licks his lips.
CHRONICLE.srt 	CHRONICLE_DVS60 	00:07:03,00 --> 00:07:08,50 	he reaches to shut off the camera.
CHRONICLE.srt 	CHRONICLE_DVS284 	00:43:45,00 --> 00:43:54,50 	as his friend reaches for it, the balls drop on his head.
CHRONICLE.srt 	CHRONICLE_DVS336 	00:50:25,00 --> 00:50:33,50 	he reaches for it.
CHRONICLE.srt 	CHRONICLE_DVS348 	00:52:35,00 --> 00:52:43,50 	he playfully reaches for her camera.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS19 	00:04:03,00 --> 00:04:15,50 	reaching the front steps, someone bobs his head soberly.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS35 	00:08:06,00 --> 00:08:15,50 	a man's fingers reach for a folded straight razor near the braddock's unframed wedding photo.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS137 	00:30:02,00 --> 00:30:10,50 	as someone reaches for another sack, someone joins him.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS202 	00:42:10,00 --> 00:42:19,50 	he reaches into his pocket and signals for someone to step forward.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS205 	00:42:37,00 --> 00:42:57,50 	the promoter reaches into his pocket then lets a handful of coins slide into the hat.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS205 	00:42:37,00 --> 00:42:57,50 	as someone lowers his gaze, a seated patron reaches out.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS207 	00:43:09,00 --> 00:43:19,50 	passing framed pictures and a mirror, he reaches his old manager at the desk.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS212 	00:43:55,00 --> 00:44:00,50 	someone reaches into his pocket.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS248 	01:01:56,00 --> 01:02:05,50 	he reaches into his vest pocket, takes something out, and palms it.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS433 	01:45:01,00 --> 01:45:05,50 	as the fighter reaches for a car door stops.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS489 	01:52:14,00 --> 01:52:29,50 	reaching the aisle, someone wears a silky blue robe, his name printed across the back arcs above a bulldog emblem.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS529 	02:03:57,00 --> 02:04:04,50 	reaching the basement doorway, she eyes her huddled children, then someone.
COLOMBIANA.srt 	COLOMBIANA_DVS61 	00:03:57,00 --> 00:04:01,50 	he reaches into his pocket.
COLOMBIANA.srt 	COLOMBIANA_DVS108 	00:08:48,00 --> 00:08:58,50 	just as alicia reaches the doorway, two bullets tear through her.
COLOMBIANA.srt 	COLOMBIANA_DVS201 	00:17:21,00 --> 00:17:28,50 	later, she reaches a building surrounded by a tall wrought iron fence.
COLOMBIANA.srt 	COLOMBIANA_DVS362 	00:32:54,00 --> 00:33:01,50 	reaching into her shaggy black locks, she pulls out a small hairpin.
COLOMBIANA.srt 	COLOMBIANA_DVS377 	00:33:56,00 --> 00:34:02,50 	creeping stealthily down a hallway, she reaches a break area.
COLOMBIANA.srt 	COLOMBIANA_DVS392 	00:35:03,00 --> 00:35:09,50 	reaching a grated cover, she peers down at a male prisoner asleep in his cell.
COLOMBIANA.srt 	COLOMBIANA_DVS394 	00:35:09,00 --> 00:35:15,50 	someone reaches a large ventilation fan and checks her watch.
COLOMBIANA.srt 	COLOMBIANA_DVS439 	00:38:59,00 --> 00:39:03,50 	she reaches the top ledge.
COLOMBIANA.srt 	COLOMBIANA_DVS446 	00:39:23,00 --> 00:39:30,50 	she starts to reach up but withdraws her hand as an officer arrives above her.
COLOMBIANA.srt 	COLOMBIANA_DVS476 	00:42:12,00 --> 00:42:20,50 	the station doors shut as she reaches the sidewalk and peels a rubbery substance off her right hand.
COLOMBIANA.srt 	COLOMBIANA_DVS571 	00:52:04,00 --> 00:52:09,50 	he reaches an arm behind him.
COLOMBIANA.srt 	COLOMBIANA_DVS587 	00:55:19,00 --> 00:55:26,50 	she reaches out a dainty hand and affectionately wraps it around one of his fingers.
COLOMBIANA.srt 	COLOMBIANA_DVS650 	01:00:58,00 --> 01:01:06,50 	he creeps down a flight of stairs, then presses his back to a wall as he reaches the bottom.
COLOMBIANA.srt 	COLOMBIANA_DVS819 	01:19:14,00 --> 01:19:21,50 	someone reaches a stairwell and descends just as the elevator arrives.
COLOMBIANA.srt 	COLOMBIANA_DVS822 	01:19:25,00 --> 01:19:31,50 	meanwhile, the swat team accompanying someone reaches her apartment door.
COLOMBIANA.srt 	COLOMBIANA_DVS885 	01:23:50,00 --> 01:23:55,50 	reaching the kitchen, she bursts into tears.
COLOMBIANA.srt 	COLOMBIANA_DVS889 	01:24:13,00 --> 01:24:19,50 	reaching a doorway, she stops and slumps against the frame.
DEAR_JOHN.srt 	DEAR_JOHN_DVS119 	00:18:03,00 --> 00:18:17,50 	later, he paddles with a flow of a swelling wave, as its foaming crest reaches his board, he gets to his feet and surfs it until it breaks.
DEAR_JOHN.srt 	DEAR_JOHN_DVS177 	00:28:45,00 --> 00:28:50,50 	reaching the party, he heads up a boardwalk.
DEAR_JOHN.srt 	DEAR_JOHN_DVS295 	00:45:36,00 --> 00:45:52,50 	at the bottom of a staircase, she reaches a walkway where frantic peers gather and talk on cellphones.
DEAR_JOHN.srt 	DEAR_JOHN_DVS296 	00:45:55,00 --> 00:46:24,50 	reaching the entrance, someone joins his dark-haired buddy to watch television news coverage.
DEAR_JOHN.srt 	DEAR_JOHN_DVS324 	00:50:18,00 --> 00:50:30,50 	someone reaches back.
DEAR_JOHN.srt 	DEAR_JOHN_DVS379 	00:59:53,00 --> 01:00:02,50 	he lies beside her, his arm reaching across her body, to stroke her corn silk tresses with his fingertips.
DEAR_JOHN.srt 	DEAR_JOHN_DVS449 	01:05:49,00 --> 01:05:59,50 	he finds a cellphone on a desk, and reaches for it.
DEAR_JOHN.srt 	DEAR_JOHN_DVS463 	01:07:58,00 --> 01:08:03,50 	reaching under his cot,
DEAR_JOHN.srt 	DEAR_JOHN_DVS707 	01:35:36,00 --> 01:35:43,50 	as she reaches for the stack of letters, she knocks over a glass of wine.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS154 	00:36:54,00 --> 00:37:02,50 	he stops when he reaches a platform outside the large window of the upper floor apartment.
DISTRICT_9.srt 	DISTRICT_9_DVS443 	00:49:29,00 --> 00:49:57,50 	he reaches a run-downed shack, peers through the window, then removes orange and white caution tape from across the door.
DISTRICT_9.srt 	DISTRICT_9_DVS456 	00:51:36,00 --> 00:51:45,50 	reaching into the back of his mouth, he rips out something else.
DISTRICT_9.srt 	DISTRICT_9_DVS834 	01:38:16,00 --> 01:38:22,50 	above, the command module reaches the mothership.
EASY_A.srt 	EASY_A_DVS15 	00:04:07,00 --> 00:04:12,50 	she reaches for it, letting her breasts hang out.
FLIGHT.srt 	FLIGHT_DVS62 	00:12:41,00 --> 00:12:48,50 	they reach a clearing, through clouds and bright sunlight, as someone levels out.
FLIGHT.srt 	FLIGHT_DVS67 	00:13:23,00 --> 00:13:30,50 	she pulls out a key as she reaches the door, only to discover it is slightly open.
FLIGHT.srt 	FLIGHT_DVS94 	00:16:47,00 --> 00:16:51,50 	her fingers reach out, but only push it away.
FLIGHT.srt 	FLIGHT_DVS159 	00:33:23,00 --> 00:33:27,50 	he reaches for a plastic bag.
FLIGHT.srt 	FLIGHT_DVS202 	00:46:53,00 --> 00:47:00,50 	someone places a bag beside the door, and reaches above one of the wooden posts supporting the veranda roof.
FLIGHT.srt 	FLIGHT_DVS528 	01:16:06,00 --> 01:16:12,50 	someone reaches for her son, and pulls him close.
FLIGHT.srt 	FLIGHT_DVS606 	01:26:33,00 --> 01:26:37,50 	someone reaches for someone's hand.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS29 	00:06:37,00 --> 00:06:42,50 	she and someone both reach for her sign.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS45 	00:13:01,00 --> 00:13:05,50 	they reach a gyros stand.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS176 	00:48:28,00 --> 00:48:34,50 	she pauses to shoot someone a glare before reaching the stranger.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS51 	00:08:19,00 --> 00:08:27,50 	he stands upright then reaches into his jacket pocket and takes out a photo of someone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS76 	00:12:15,00 --> 00:12:31,50 	reaching out, she strokes his cheek with her finger then ruffles his hair.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS111 	00:18:32,00 --> 00:18:37,50 	lying in the dirt, someone reaches out desperately.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS116 	00:18:59,00 --> 00:19:11,50 	as it pulls away, someone reaches out for it then slumps breathlessly.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS247 	00:39:17,00 --> 00:39:28,50 	ghost rider's smoldering hand reaches out of the fiery crater left behind.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS284 	00:43:50,00 --> 00:43:57,50 	he glances at the family then reaches out and touches someone's hair.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS338 	00:51:09,00 --> 00:51:16,50 	driving it, someone reaches into a lunch box on the seat beside him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS364 	00:53:37,00 --> 00:53:42,50 	a monk reaches for him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS399 	00:58:55,00 --> 00:59:04,50 	he reaches the end of the passage and a huge slab blocks him from turning back.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS416 	01:00:27,00 --> 01:00:32,50 	he reaches the mouth of a cavern.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS511 	01:13:38,00 --> 01:13:47,50 	now someone reaches an entryway and chugs his wine.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS528 	01:15:10,00 --> 01:15:21,50 	someone reaches a gloved hand out to someone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS530 	01:15:21,00 --> 01:15:37,50 	someone tries again to reach for him but stops, his neck crooking convulsively.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS566 	01:21:18,00 --> 01:21:51,50 	behind him, someone reaches a hand toward someone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS603 	01:26:24,00 --> 01:26:36,50 	his gloved hands reach out uncertainly and he lowers out of view.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS619 	01:27:45,00 --> 01:27:51,50 	reaching past it, someone caresses the boy's cheek.
GREEN_ZONE.srt 	GREEN_ZONE_DVS74 	00:18:34,00 --> 00:18:47,50 	as we reach a palatial building, words appear - coalition provisional authority
GREEN_ZONE.srt 	GREEN_ZONE_DVS179 	00:46:26,00 --> 00:46:32,50 	she holds someone's gaze then reaches into her bag.
GREEN_ZONE.srt 	GREEN_ZONE_DVS229 	00:56:50,00 --> 00:57:05,50 	he reaches out as someone passes.
GREEN_ZONE.srt 	GREEN_ZONE_DVS340 	01:16:29,00 --> 01:17:03,50 	someone reaches the end of a bus and peeks around it.
GREEN_ZONE.srt 	GREEN_ZONE_DVS400 	01:30:25,00 --> 01:30:33,50 	now, someone reaches the same junction and starts for the hall.
GREEN_ZONE.srt 	GREEN_ZONE_DVS402 	01:30:37,00 --> 01:30:42,50 	now, someone and his attachment reach the sitting room.
GREEN_ZONE.srt 	GREEN_ZONE_DVS456 	01:40:26,00 --> 01:40:34,50 	as he and others reach a meeting room, someone welcomes them.
GREEN_ZONE.srt 	GREEN_ZONE_DVS461 	01:41:00,00 --> 01:41:12,50 	he reaches a landing where a giant american flag covers one of the walls.
HUGO.srt 	HUGO_DVS25 	00:03:13,00 --> 00:03:23,50 	turning down another narrow hallway with steam rising through the grating, the boy reaches another clock powered by a complex mechanism of spinning gears.
HUGO.srt 	HUGO_DVS43 	00:04:50,00 --> 00:04:59,50 	as the boy reaches the toy shop, he reaches one hand toward the wind-up mouse.
HUGO.srt 	HUGO_DVS43 	00:04:50,00 --> 00:04:59,50 	as the boy reaches the toy shop, he reaches one hand toward the wind-up mouse.
HUGO.srt 	HUGO_DVS46 	00:05:19,00 --> 00:05:31,50 	the boy reaches into his coat pocket then sets items onto the counter: a pocketknife, bundle of string, and a piece of cloth filled with small sprockets, gears, and springs.
HUGO.srt 	HUGO_DVS47 	00:05:39,00 --> 00:05:49,50 	the boy glances over his shoulder then reaches into his other pocket.
HUGO.srt 	HUGO_DVS68 	00:09:00,00 --> 00:09:06,50 	the inspector reaches the end of the platform and gazes around himself.
