21_JUMP_STREET.srt 	21_JUMP_STREET_DVS57 	00:06:00,00 --> 00:06:04,50 	they pass a joint around.
BLINDDATING.srt 	BLINDDATING_DVS270 	01:06:03,00 --> 01:06:21,50 	he gives a faint bobble of his head, and they pass just in front of someone who waits by his limo.
BLINDDATING.srt 	BLINDDATING_DVS278 	01:09:41,00 --> 01:10:00,50 	as he passes, his head rolls to the side in her direction.
BURLESQUE.srt 	BURLESQUE_DVS130 	00:17:44,00 --> 00:17:51,50 	she passes her stole to someone, who pitches it and competitively joins someone.
BURLESQUE.srt 	BURLESQUE_DVS369 	00:51:10,00 --> 00:51:17,50 	he heads away, passing someone, who stares at someone, her arms crossed.
BURLESQUE.srt 	BURLESQUE_DVS520 	01:11:43,00 --> 01:11:54,50 	one of the contortionists passes the doorman a banana between her legs.
BURLESQUE.srt 	BURLESQUE_DVS639 	01:37:05,00 --> 01:37:10,50 	someone passes the deejay on his way upstairs.
BURLESQUE.srt 	BURLESQUE_DVS664 	01:43:01,00 --> 01:43:08,50 	now someone chats with someone as they exit the lounge, passing under its unlit archway.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS218 	00:38:50,00 --> 00:39:08,50 	someone cuts down the agents with machine gun fire as he passes, then grabs his wounded shoulder.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS307 	00:58:34,00 --> 00:58:41,50 	someone ducks as a convoy of vehicles passes nearby.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS440 	01:19:40,00 --> 01:19:46,50 	in the strategy room, an assistant uses a long stick to remove a flag from the war map and pass it to someone.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS514 	01:32:23,00 --> 01:32:44,50 	he speeds up and pulls the pin out of one of their as he passes.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS579 	01:40:20,00 --> 01:40:27,50 	someone jumps down and kicks the last trooper over the railing as he passes.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS600 	01:42:32,00 --> 01:42:39,50 	passing the mechanism containing the glowing blue energy source, he creeps toward the back of the chair.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS71 	00:06:04,00 --> 00:06:09,50 	the man passes through a white picket fence and pauses.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS94 	00:07:24,00 --> 00:07:32,50 	taking off his shirt, someone passes a couch and a divider that separates the living room from his bed.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS137 	00:11:20,00 --> 00:11:25,50 	he takes a rundown path, passing graffiti that reads, "surf where you live."
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS230 	00:18:22,00 --> 00:18:28,50 	the van passes a sign marking california highway 1n.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS239 	00:18:58,00 --> 00:19:03,50 	as the van passes between two posts,
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS344 	00:32:12,00 --> 00:32:19,50 	in the window glass, a reflection shows blond passing something off to two of thuggish bullies.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS452 	00:43:54,00 --> 00:44:00,50 	someone passes the lively blonde and beats her to the edge.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS663 	01:04:27,00 --> 01:04:32,50 	someone passes out, landing in a heap beside his desk.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS763 	01:16:18,00 --> 01:16:23,50 	passing arriving mourners, the teen spots his mentor across the street.
CHRONICLE.srt 	CHRONICLE_DVS218 	00:31:32,00 --> 00:31:38,50 	we pass him by, then he overtakes us again.
CHRONICLE.srt 	CHRONICLE_DVS223 	00:32:25,00 --> 00:32:30,50 	a passenger jet passes between the teens.
CHRONICLE.srt 	CHRONICLE_DVS352 	00:53:44,00 --> 00:53:50,50 	walking legs pass clad in black.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS188 	00:39:50,00 --> 00:39:56,50 	street, someone passes two children collecting water from a hydrant.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS193 	00:40:26,00 --> 00:40:39,50 	someone passes businessmen at tables and makes his way to the front of the room by a bar.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS207 	00:43:09,00 --> 00:43:19,50 	passing framed pictures and a mirror, he reaches his old manager at the desk.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS276 	01:06:50,00 --> 01:07:20,50 	the square roofed automobiles that pass have chromy grills and bug eyed headlights.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS450 	01:46:26,00 --> 01:46:38,50 	now, someone jostles slightly in a taxi's back seat as it passes a sign advertising the fight.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS489 	01:52:14,00 --> 01:52:29,50 	with someone just behind him, the fighter passes two guards and looks around the packed arena.
COLOMBIANA.srt 	COLOMBIANA_DVS157 	00:14:02,00 --> 00:14:08,50 	then passes a row of women doing laundry in plastic tubs.
COLOMBIANA.srt 	COLOMBIANA_DVS233 	00:19:46,00 --> 00:19:52,50 	as they pass a restroom, someone tugs on the woman's wrist.
COLOMBIANA.srt 	COLOMBIANA_DVS247 	00:20:47,00 --> 00:20:54,50 	inside, someone rests her arm against a window and stares out at the passing city.
COLOMBIANA.srt 	COLOMBIANA_DVS288 	00:24:03,00 --> 00:24:08,50 	she touches one of her mother as she passes.
COLOMBIANA.srt 	COLOMBIANA_DVS315 	00:27:27,00 --> 00:27:35,50 	he thrusts someone's backpack at her, draws a huge handgun and opens fire on a passing car.
COLOMBIANA.srt 	COLOMBIANA_DVS477 	00:42:18,00 --> 00:42:23,50 	passing between two parked press vans,
COLOMBIANA.srt 	COLOMBIANA_DVS550 	00:50:21,00 --> 00:50:28,50 	the man steps further in, passing an electric fan and a jar of paintbrushes.
COLOMBIANA.srt 	COLOMBIANA_DVS679 	01:04:25,00 --> 01:04:31,50 	as a man passes, she bows her head, letting her hair shield her face.
COLOMBIANA.srt 	COLOMBIANA_DVS852 	01:21:28,00 --> 01:21:35,50 	someone slides down a cluster of pipes in the shaft, passing several stories.
COLOMBIANA.srt 	COLOMBIANA_DVS902 	01:25:03,00 --> 01:25:08,50 	later, he passes a neighbor walking his dog.
COLOMBIANA.srt 	COLOMBIANA_DVS950 	01:31:32,00 --> 01:31:37,50 	he arrives at a door and passes through.
COLOMBIANA.srt 	COLOMBIANA_DVS1064 	01:39:37,00 --> 01:39:46,50 	with a frantic look, he pulls onto the main road leading out of his estate, passes through the front gate and swerves onto a street.
COLOMBIANA.srt 	COLOMBIANA_DVS1097 	01:43:49,00 --> 01:43:57,50 	a woman sitting on a bench stares off with disinterested eyes as someone passes by then boards the bus.
DEAR_JOHN.srt 	DEAR_JOHN_DVS235 	00:36:39,00 --> 00:36:43,50 	he gazes at passing trees.
DEAR_JOHN.srt 	DEAR_JOHN_DVS295 	00:45:36,00 --> 00:45:52,50 	on campus, a passing student bumps into someone as she reads.
DEAR_JOHN.srt 	DEAR_JOHN_DVS337 	00:51:37,00 --> 00:51:47,50 	a stylish brunette woman in a white dress, crosses the front porch of a colonial plantation home, and greets arriving guests as she passes.
DEAR_JOHN.srt 	DEAR_JOHN_DVS446 	01:05:33,00 --> 01:05:40,50 	in afghanistan, someone's dark-haired buddy, passes him with a mailbag.
DEAR_JOHN.srt 	DEAR_JOHN_DVS452 	01:06:23,00 --> 01:06:32,50 	passing a group of soldiers playing football, he approaches other lounging on picnic tables outside a tent.
DEAR_JOHN.srt 	DEAR_JOHN_DVS473 	01:09:29,00 --> 01:09:38,50 	a humvee passes a man leading a camel and maneuvers unto a busier road.
DEAR_JOHN.srt 	DEAR_JOHN_DVS603 	01:23:23,00 --> 01:23:29,50 	the images of passing trees reflect faintly on his windshield.
DISTRICT_9.srt 	DISTRICT_9_DVS285 	00:31:53,00 --> 00:32:13,50 	he passes a co-worker at a water cooler and enters the bathroom.
DISTRICT_9.srt 	DISTRICT_9_DVS352 	00:39:01,00 --> 00:39:08,50 	they pass a tech stretching an alien
DISTRICT_9.srt 	DISTRICT_9_DVS527 	01:02:40,00 --> 01:02:47,50 	now a helicopter passes in the distance beyond someone johnson's shack.
DISTRICT_9.srt 	DISTRICT_9_DVS615 	01:12:09,00 --> 01:12:17,50 	electronic doors open, and the focused soldiers pass through the chamber.
DISTRICT_9.srt 	DISTRICT_9_DVS689 	01:20:50,00 --> 01:21:00,50 	still unnoticed, the little alien watches them pass.
EASY_A.srt 	EASY_A_DVS27 	00:07:32,00 --> 00:07:37,50 	someone passes out flyers.
FLIGHT.srt 	FLIGHT_DVS125 	00:25:04,00 --> 00:25:12,50 	someone flies past the cockpit, as someone bangs his head and passes out.
FLIGHT.srt 	FLIGHT_DVS193 	00:45:42,00 --> 00:45:51,50 	a black cadillac lurches out of the hospital parking structure, and passes the news crews parked outside.
FLIGHT.srt 	FLIGHT_DVS197 	00:46:31,00 --> 00:46:38,50 	a car turns onto a dirt driveway and passes a sign that reads, whitaker crop dusting company.
FLIGHT.srt 	FLIGHT_DVS200 	00:46:42,00 --> 00:46:49,50 	the car passes a dilapidated shed on the right, and pulls up to a large, older farmhouse.
FLIGHT.srt 	FLIGHT_DVS358 	00:58:33,00 --> 00:58:38,50 	he passes a dead-end street, and stops.
FLIGHT.srt 	FLIGHT_DVS367 	00:59:11,00 --> 00:59:17,50 	he passes the car with someone's things, and glances through a few enlarged photographs in a basket.
FLIGHT.srt 	FLIGHT_DVS499 	01:11:47,00 --> 01:11:51,50 	someone has passed out.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS90 	00:23:24,00 --> 00:23:52,50 	someone swigs beer, then passes out.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS91 	00:23:57,00 --> 00:24:06,50 	someone passes out.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS156 	00:41:29,00 --> 00:41:36,50 	he passes the ball high and someone jams it into the hoop for a slam-dunk.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS157 	00:41:49,00 --> 00:41:56,50 	later he dribbles and passes to someone who shoots and scores.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS373 	01:38:18,00 --> 01:38:23,50 	he passes a guy in the kitchen.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS59 	00:33:10,00 --> 00:33:21,50 	someone exhales and passes it to him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS216 	00:35:00,00 --> 00:35:40,50 	as the last truck passes under, a man climbs a ladder to the excavator's control cab which sits just behind the cutting wheel.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS323 	00:48:54,00 --> 00:49:02,50 	someone glances at the passing landscape, his face becoming somber.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS332 	00:50:20,00 --> 00:50:32,50 	it pulls up beside then passes someone who shakes his head at someone.
GREEN_ZONE.srt 	GREEN_ZONE_DVS154 	00:40:35,00 --> 00:40:43,50 	inside, someone answers his phone while passing through a metal detector.
GREEN_ZONE.srt 	GREEN_ZONE_DVS187 	00:47:56,00 --> 00:48:03,50 	while driving onto a compound, passes a departing military convoy.
GREEN_ZONE.srt 	GREEN_ZONE_DVS214 	00:54:38,00 --> 00:54:45,50 	a pentagon agent hurries over with the black book in hand and passes it to someone.
GREEN_ZONE.srt 	GREEN_ZONE_DVS229 	00:56:50,00 --> 00:57:05,50 	he reaches out as someone passes.
GREEN_ZONE.srt 	GREEN_ZONE_DVS265 	01:02:15,00 --> 01:02:31,50 	someone passes a room with an open door.
GREEN_ZONE.srt 	GREEN_ZONE_DVS333 	01:15:15,00 --> 01:15:27,50 	scanning his desolate surroundings, he passes an abandoned hatchback.
GREEN_ZONE.srt 	GREEN_ZONE_DVS357 	01:22:11,00 --> 01:22:19,50 	outside, the helicopters pass overhead.
GREEN_ZONE.srt 	GREEN_ZONE_DVS419 	01:33:03,00 --> 01:33:09,50 	in a doorway and peers up at the passing surveillance chopper.
GREEN_ZONE.srt 	GREEN_ZONE_DVS451 	01:38:46,00 --> 01:39:07,50 	as our view drifts above the surrounding buildings, a passing humvee's headlights sweep over a nearby wall.
HUGO.srt 	HUGO_DVS113 	00:14:57,00 --> 00:15:02,50 	someone stares up at the statues as he passes.
HUGO.srt 	HUGO_DVS116 	00:15:16,00 --> 00:15:23,50 	he steps back and stares up at the building as a train passes along an elevated track nearby.
HUGO.srt 	HUGO_DVS150 	00:20:36,00 --> 00:20:42,50 	passing a sarcophagus adorned with the figure of a pope.
HUGO.srt 	HUGO_DVS254 	00:36:01,00 --> 00:36:07,50 	someone ducks behind the toyshop counter until they pass.
HUGO.srt 	HUGO_DVS291 	00:43:22,00 --> 00:43:28,50 	the station inspector passes them then pauses and turns.
HUGO.srt 	HUGO_DVS557 	01:22:27,00 --> 01:22:34,50 	someone steals an apple from a passing cart and slips it into his pocket.
HUGO.srt 	HUGO_DVS707 	01:43:46,00 --> 01:43:51,50 	someone glances at them as he passes.
IN_TIME.srt 	IN_TIME_DVS54 	00:05:55,00 --> 00:06:04,50 	one paws at someone as he passes.
IN_TIME.srt 	IN_TIME_DVS56 	00:06:15,00 --> 00:06:24,50 	he moves off down the length of the bar, passing a chiseled well-dressed man flanked by beautiful women.
IN_TIME.srt 	IN_TIME_DVS226 	00:23:51,00 --> 00:23:58,50 	as the sedan glides away, he peers out his widow at the passing city.
IN_TIME.srt 	IN_TIME_DVS234 	00:24:28,00 --> 00:24:35,50 	and the concrete barricade lowers into the ground, allowing the sedan to pass.
IN_TIME.srt 	IN_TIME_DVS255 	00:26:12,00 --> 00:26:20,50 	standing at a car's open door, she turns as he passes and stares after him.
IN_TIME.srt 	IN_TIME_DVS341 	00:35:15,00 --> 00:35:23,50 	at night, the roadster turns, pulls through an open gate, and passes a marble statue.
IN_TIME.srt 	IN_TIME_DVS364 	00:38:16,00 --> 00:38:21,50 	the roadster passes through the open gate.
IN_TIME.srt 	IN_TIME_DVS422 	00:45:23,00 --> 00:45:34,50 	the roadster passes several timekeeper cars as the authorities rush out through the front door.
IN_TIME.srt 	IN_TIME_DVS426 	00:45:49,00 --> 00:45:54,50 	the others pass it in their pursuit.
IN_TIME.srt 	IN_TIME_DVS500 	00:54:00,00 --> 00:54:04,50 	they pass a weis time lenders.
IN_TIME.srt 	IN_TIME_DVS739 	01:18:24,00 --> 01:18:31,50 	someone and someone reach a more populated area where they pass men in jumpsuits heading to the factory.
INSIDE_MAN.srt 	INSIDE_MAN_DVS23 	00:05:38,00 --> 00:05:52,50 	a potbellied security guard watches him pass.
INSIDE_MAN.srt 	INSIDE_MAN_DVS35 	00:07:56,00 --> 00:08:02,50 	two pass a policeman.
INSIDE_MAN.srt 	INSIDE_MAN_DVS77 	00:19:28,00 --> 00:19:35,50 	our view passes along the rows of men and women
INSIDE_MAN.srt 	INSIDE_MAN_DVS79 	00:19:39,00 --> 00:19:52,50 	someone moves pass the females, some of whom cover their bodies demurely.
INSIDE_MAN.srt 	INSIDE_MAN_DVS142 	00:42:18,00 --> 00:42:23,50 	one of the policemen steps forward, takes the paper and passes it back to someone.
INSIDE_MAN.srt 	INSIDE_MAN_DVS267 	01:22:45,00 --> 01:22:55,50 	the mastermind passes one of his armed accomplices and climbs the stairs after the detective.
INSIDE_MAN.srt 	INSIDE_MAN_DVS335 	01:37:33,00 --> 01:37:37,50 	troopers pass the money vault.
INSIDE_MAN.srt 	INSIDE_MAN_DVS369 	01:47:06,00 --> 01:47:12,50 	now, at a social club, ms. white enters a men's room and marches pass the attendant.
INSIDE_MAN.srt 	INSIDE_MAN_DVS402 	01:54:17,00 --> 01:54:27,50 	he opens the front passenger door and hands his duffel bag to someone who passes it someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS164 	00:30:53,00 --> 00:31:11,50 	the racecars speed through the city, passing through a tunnel and by tall buildings.
IRON_MAN_2.srt 	IRON_MAN_2_DVS232 	00:43:03,00 --> 00:43:08,50 	the guard passes and places a key on the shelf.
IRON_MAN_2.srt 	IRON_MAN_2_DVS234 	00:43:11,00 --> 00:43:22,50 	as someone walks down a hallway, he passes another guard who turns toward him.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS348 	01:38:37,00 --> 01:38:47,50 	her shadow passes over the curtains covering the window in the bathroom door.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS364 	01:42:28,00 --> 01:42:41,50 	she watches as someone's sports car drives away passing a three-rail horse fence that lines the road.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS60 	00:06:32,00 --> 00:06:40,50 	as she passes ground zero, she glances at people gathered by a fence adorned with flowers and flags.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS111 	00:18:56,00 --> 00:19:08,50 	as someone passes two butchers, one holds up a hare, still with its fur.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS116 	00:19:41,00 --> 00:19:47,50 	they pass a baby carriage, and someone's smile fades.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS360 	01:09:24,00 --> 01:09:28,50 	he passes out.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS584 	01:54:53,00 --> 01:55:00,50 	on a roof, someone passes someone flowers and plates through a window.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS615 	01:57:58,00 --> 01:58:09,50 	a shadow passes over the door.
KARATE_KID.srt 	KARATE_KID_DVS60 	00:05:11,00 --> 00:05:25,50 	as time passes, someone's sleeping form fades in and out of multiple contortions in his seat.
KARATE_KID.srt 	KARATE_KID_DVS76 	00:06:28,00 --> 00:06:44,50 	they pass a courtyard featuring a mao statue.
KARATE_KID.srt 	KARATE_KID_DVS113 	00:10:27,00 --> 00:10:39,50 	in the busy street outside, someone hikes around the corner of the building, passing a shabby office.
KARATE_KID.srt 	KARATE_KID_DVS114 	00:10:39,00 --> 00:10:48,50 	passing a row of empty chairs, he finds a small break room, where a group of grubby maintenance men lounge around a table.
KARATE_KID.srt 	KARATE_KID_DVS161 	00:13:27,00 --> 00:13:38,50 	someone passes to someone and the pixie-faced girl looks up.
KARATE_KID.srt 	KARATE_KID_DVS165 	00:13:39,00 --> 00:13:49,50 	someone's teammate passes to him and he launches the ball into the air.
KARATE_KID.srt 	KARATE_KID_DVS269 	00:24:35,00 --> 00:24:42,50 	turning, he passes a man in a gray uniform, standing guard beneath a red flag.
KARATE_KID.srt 	KARATE_KID_DVS271 	00:24:41,00 --> 00:24:47,50 	someone mopes down the sidewalk, passing between two cramped rows of parked bicycles.
KARATE_KID.srt 	KARATE_KID_DVS430 	00:39:01,00 --> 00:39:08,50 	later, a student-filled bus passes the gate bordering tiananmen square and the forbidden city.
KARATE_KID.srt 	KARATE_KID_DVS448 	00:40:11,00 --> 00:40:19,50 	he nervously peers through a window as he passes the rowdy group undetected.
KARATE_KID.srt 	KARATE_KID_DVS451 	00:40:24,00 --> 00:40:34,50 	now, someone creeps beside the car, his eyes moving from window to window, watching someone and the boys pass.
KARATE_KID.srt 	KARATE_KID_DVS464 	00:41:09,00 --> 00:41:29,50 	someone sprints down the street, passing vendors with their carts.
KARATE_KID.srt 	KARATE_KID_DVS647 	00:54:52,00 --> 00:55:03,50 	he passes his mother as she collects their mail in the lobby.
KARATE_KID.srt 	KARATE_KID_DVS661 	00:56:03,00 --> 00:56:12,50 	someone passes into a living room where soft light filters through ornate geometric screens covering the windows.
KARATE_KID.srt 	KARATE_KID_DVS725 	01:01:08,00 --> 01:01:14,50 	someone greets a couple of passing friends, then beams at someone.
KARATE_KID.srt 	KARATE_KID_DVS1308 	01:45:34,00 --> 01:45:40,50 	later at school, someone passes someone by.
KARATE_KID.srt 	KARATE_KID_DVS1470 	01:59:39,00 --> 01:59:44,50 	members of the press snap his photo as he passes.
KNOCKED_UP.srt 	KNOCKED_UP_DVS89 	00:53:01,00 --> 00:53:05,50 	a female executive passes by.
KNOCKED_UP.srt 	KNOCKED_UP_DVS109 	01:09:26,00 --> 01:09:30,50 	someone shrugs at the passing cruiser.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS44 	00:14:10,00 --> 00:14:15,50 	someones total passes $70.00.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS319 	01:14:54,00 --> 01:14:58,50 	he passes the neighbor walking a dog, then
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS125 	00:15:00,00 --> 00:15:06,50 	a barge carrying a depiction of vishnu floats passed someone's mother.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS200 	00:26:01,00 --> 00:26:08,50 	later outside their school, young students rush passed someone through the rain.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS304 	00:38:56,00 --> 00:39:04,50 	he passes a panicking zebra.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS308 	00:39:09,00 --> 00:39:16,50 	the teen passes through a dark section lit only by the pulsing red emergency lights.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS313 	00:39:32,00 --> 00:39:36,50 	an animal leaps passed him.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS352 	00:42:46,00 --> 00:42:54,50 	the wave briefly rolls him as it passes by.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS383 	00:45:43,00 --> 00:45:48,50 	a shark passes beneath him.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS426 	00:49:14,00 --> 00:49:28,50 	orange juice scoots back on the bench and shrieks as someone bounds passed her and runs in circles.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS482 	00:54:04,00 --> 00:54:09,50 	a shark swims passed as he works, spotting it.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS732 	01:16:11,00 --> 01:16:18,50 	a few fish continue passing by and they skip along the calming surface.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS817 	01:23:17,00 --> 01:23:22,50 	a massive whale shark slowly passes.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS968 	01:35:42,00 --> 01:35:48,50 	branches intertwine over ahead creating shade as he passes.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS217 	01:18:18,00 --> 01:18:24,50 	passing a valet stand, someone pauses to dance.
