21_JUMP_STREET.srt 	21_JUMP_STREET_DVS32 	00:03:46,00 --> 00:03:50,50 	someone lifts the former nerd.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS315 	00:45:52,00 --> 00:45:59,50 	sinking his teeth into her neck, he spins her around lifting her off her feet.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS343 	00:48:58,00 --> 00:49:04,50 	the tall, young man lifts his fiance into his arms.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS478 	01:07:31,00 --> 01:07:36,50 	he lifts his stunned gaze.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS493 	01:08:39,00 --> 01:08:46,50 	the president lifts his head staring off as he rubs his thumbs together.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS550 	01:17:20,00 --> 01:17:26,50 	unlocking it, he lifts the lid and gazes in.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS608 	01:24:36,00 --> 01:25:32,50 	as someone fends off the attacker, someone lifts his ax, twirls it, releasing a spray of blood, then slashes off the vampire's head.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS618 	01:27:15,00 --> 01:27:23,50 	someone lifts the laughing vampire from the box then shoves him aside and peeks in the hole himself.
BAD_TEACHER.srt 	BAD_TEACHER_DVS129 	00:34:35,00 --> 00:34:46,50 	with uncertain eyes the matronly teacher takes the joint, pinching it between two fingers she lifts it to her lips, inhales, then holds her breath.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS221 	00:36:47,00 --> 00:36:53,50 	he lifts the toilet seat, then holds up the front of his dress.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS467 	01:13:01,00 --> 01:13:08,50 	he lifts his rear, revealing two green dots under his widespread crotch.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS665 	01:41:13,00 --> 01:41:18,50 	someone lifts his serious gaze from the contract,
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS671 	01:42:28,00 --> 01:42:34,50 	as the suv drives off, our view lifts to the atlanta skyline.
BLINDDATING.srt 	BLINDDATING_DVS143 	00:39:02,00 --> 00:39:08,50 	someone lifts his other hand to her thick shiny hair, and rubs
BLINDDATING.srt 	BLINDDATING_DVS197 	00:49:57,00 --> 00:50:02,50 	she lifts her cell phone.
BRUNO.srt 	BRUNO_DVS151 	00:37:53,00 --> 00:37:58,50 	he lifts the baby's headphone.
BRUNO.srt 	BRUNO_DVS261 	01:15:00,00 --> 01:15:07,50 	someone lifts it over his head, revealing someone's masculine features.
BURLESQUE.srt 	BURLESQUE_DVS38 	00:04:09,00 --> 00:04:19,50 	in the bathroom, she lifts the lid off the toilet tank and carefully sets the bag inside, leaving its top edge over the back rim.
BURLESQUE.srt 	BURLESQUE_DVS50 	00:05:00,00 --> 00:05:08,50 	she lifts her gaze from an issue of back stage magazine in her hand and finds a sign for hollywood boulevard.
BURLESQUE.srt 	BURLESQUE_DVS90 	00:09:52,00 --> 00:10:01,50 	one lifts a leg higher than the singer's head.
BURLESQUE.srt 	BURLESQUE_DVS279 	00:38:29,00 --> 00:38:35,50 	returns her gaze to the mirror and lifts the brush to her lashes again.
BURLESQUE.srt 	BURLESQUE_DVS323 	00:44:38,00 --> 00:44:42,50 	someone lifts his chin.
BURLESQUE.srt 	BURLESQUE_DVS428 	00:58:56,00 --> 00:59:04,50 	now feather fans lift away to reveal someone reclined on the lounge piano, in a skimpy two-piece outfit made of pearls.
BURLESQUE.srt 	BURLESQUE_DVS495 	01:09:05,00 --> 01:09:13,50 	someone lifts her knee in a sexy pose with one of her backup dancers.
BURLESQUE.srt 	BURLESQUE_DVS689 	01:46:00,00 --> 01:46:06,50 	someone hangs her head, then lifts her tearful gaze.
BURLESQUE.srt 	BURLESQUE_DVS704 	01:47:33,00 --> 01:47:40,50 	someone lifts a brush to her eyes then spots her rival in the reflection of her mirror.
BURLESQUE.srt 	BURLESQUE_DVS719 	01:48:49,00 --> 01:48:53,50 	he gently lifts her chin.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS31 	00:04:16,00 --> 00:04:23,50 	as the dust settles, the bearded man lifts a stone block off the goateed man who lies motionless.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS38 	00:05:14,00 --> 00:05:18,50 	soldiers lift the bearded man to his feet.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS152 	00:27:38,00 --> 00:27:44,50 	someone clinks his glass against erskine's, then lifts it to his lips.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS502 	01:29:03,00 --> 01:29:08,50 	someone lifts a glass of wine.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS402 	00:37:33,00 --> 00:37:38,50 	as he looks it over, he lifts his brow and nods.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS641 	01:02:14,00 --> 01:02:19,50 	lifting his contented gaze, the teen does a double take.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS724 	01:12:15,00 --> 01:12:20,50 	he lifts his hand in a wave.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS924 	01:30:26,00 --> 01:30:31,50 	the teen lifts his disillusioned gaze and swallows.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1121 	01:47:33,00 --> 01:47:38,50 	one lifts his hands and claps.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1139 	01:48:56,00 --> 01:49:00,50 	he lifts his hand to the back of his neck
CHRONICLE.srt 	CHRONICLE_DVS53 	00:06:25,00 --> 00:06:32,50 	he smacks someone upside the head, lifts him from his chair, and throws him down.
CHRONICLE.srt 	CHRONICLE_DVS137 	00:20:17,00 --> 00:20:24,50 	he gives a bashful smile, then lifts his heavy-lidded eyes and stares directly at us.
CHRONICLE.srt 	CHRONICLE_DVS138 	00:20:24,00 --> 00:20:32,50 	now at a park, someone telekinetically lifts a rock off the grass and skips it across the lake.
CHRONICLE.srt 	CHRONICLE_DVS184 	00:27:23,00 --> 00:27:31,50 	kneeling with his arms around the injured man, someone lifts his gaze to someone's viewfinder.
CHRONICLE.srt 	CHRONICLE_DVS294 	00:44:32,00 --> 00:44:41,50 	juggling, someone lifts one leg behind him and catches a ball on his heel.
CHRONICLE.srt 	CHRONICLE_DVS394 	01:00:03,00 --> 01:00:10,50 	he opens it up and lifts out a firefighter's helmet and eye guard.
CHRONICLE.srt 	CHRONICLE_DVS414 	01:01:41,00 --> 01:01:46,50 	we lift high overhead as he moves on to the other,
CHRONICLE.srt 	CHRONICLE_DVS495 	01:11:14,00 --> 01:11:21,50 	someone lifts his hand and the cruiser rises over the boys, landing on its roof.
CHRONICLE.srt 	CHRONICLE_DVS503 	01:12:16,00 --> 01:12:24,50 	someone lifts his arms.
CHRONICLE.srt 	CHRONICLE_DVS505 	01:12:33,00 --> 01:12:38,50 	someone wakes and tries to lift his head.
CHRONICLE.srt 	CHRONICLE_DVS517 	01:13:42,00 --> 01:13:47,50 	someone's leg twitches and he lifts his head.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS45 	00:09:23,00 --> 00:09:30,50 	as he lifts someone onto his lap, his wife brings over a meat slice on a plate.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS156 	00:34:20,00 --> 00:34:25,50 	someone lifts her gaze to his.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS246 	01:01:44,00 --> 01:01:48,50 	they quickly lift their heads.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS253 	01:02:43,00 --> 01:02:58,50 	as someone nods and smiles, someone lifts his lips to hers.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS271 	01:06:13,00 --> 01:06:18,50 	someone lifts someone up.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS274 	01:06:34,00 --> 01:06:41,50 	someone sadly lowers her gaze then lifts it.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS277 	01:07:22,00 --> 01:07:27,50 	someone lifts her knuckles to the wood again.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS280 	01:07:34,00 --> 01:07:40,50 	as a woman inside approaches, someone lifts a shushing finger.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS461 	01:47:58,00 --> 01:48:13,50 	our view lifts over the rim of the stadium to the rows of sparsely filled seats surrounding the brightly lit boxing ring.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS467 	01:48:40,00 --> 01:48:46,50 	someone briefly lifts his head off a bunch of towels serving as a pillow
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS543 	02:07:53,00 --> 02:08:01,50 	he lifts his gaze to someone.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS574 	02:14:38,00 --> 02:14:45,50 	the announcer removes his hat and lifts his face toward the mic.
COLOMBIANA.srt 	COLOMBIANA_DVS58 	00:03:42,00 --> 00:03:46,50 	the younger man lifts his drink.
COLOMBIANA.srt 	COLOMBIANA_DVS119 	00:09:36,00 --> 00:09:44,50 	he lifts a trembling hand toward his face, then drops to the floor beside his dying wife.
COLOMBIANA.srt 	COLOMBIANA_DVS198 	00:17:04,00 --> 00:17:11,50 	sliding it aside, someone lifts her face to the bright sunlight and squints.
COLOMBIANA.srt 	COLOMBIANA_DVS209 	00:18:01,00 --> 00:18:08,50 	she lifts her eyes to his then glances at an older man at a desk nearby.
COLOMBIANA.srt 	COLOMBIANA_DVS500 	00:44:38,00 --> 00:44:45,50 	a cigarette smolders between a bodyguard's fingers as he turns and lifts his chin.
COLOMBIANA.srt 	COLOMBIANA_DVS561 	00:51:28,00 --> 00:51:32,50 	and he lifts her up.
COLOMBIANA.srt 	COLOMBIANA_DVS564 	00:51:35,00 --> 00:51:44,50 	she lifts her head ecstatically and tilts it side to side as the handsome artist nibbles her neck and kisses her chest.
COLOMBIANA.srt 	COLOMBIANA_DVS656 	01:01:34,00 --> 01:01:41,50 	he lifts the flower to his nose, closes his eyes, and takes a sniff.
COLOMBIANA.srt 	COLOMBIANA_DVS657 	01:01:45,00 --> 01:01:51,50 	opening his eyes, he smirks as he lifts his face from the flower.
COLOMBIANA.srt 	COLOMBIANA_DVS690 	01:05:13,00 --> 01:05:18,50 	lifting it to her face, she smells it
COLOMBIANA.srt 	COLOMBIANA_DVS727 	01:09:01,00 --> 01:09:11,50 	she raises her arms letting him lift off her shirt.
COLOMBIANA.srt 	COLOMBIANA_DVS829 	01:19:53,00 --> 01:19:58,50 	climbs up on the rim of the tub and lifts a ceiling tile.
COLOMBIANA.srt 	COLOMBIANA_DVS864 	01:22:15,00 --> 01:22:21,50 	then lifts the grate and feeds her rifle inside.
COLOMBIANA.srt 	COLOMBIANA_DVS963 	01:32:50,00 --> 01:32:55,50 	he hurries over and starts to lift him.
COLOMBIANA.srt 	COLOMBIANA_DVS1003 	01:35:35,00 --> 01:35:45,50 	her shots rip side by side paths of holes in the wood then lift to three gunmen in the adjacent room, killing one after another.
DEAR_JOHN.srt 	DEAR_JOHN_DVS82 	00:12:36,00 --> 00:12:50,50 	someone lifts the edge of a window shade covering the room's french door, and peeks inside at his father.
DEAR_JOHN.srt 	DEAR_JOHN_DVS135 	00:22:01,00 --> 00:22:07,50 	she lifts her chin and her nose brushes against his.
DEAR_JOHN.srt 	DEAR_JOHN_DVS137 	00:22:09,00 --> 00:22:21,50 	he lifts her up, and she wraps her legs around him.
DEAR_JOHN.srt 	DEAR_JOHN_DVS404 	01:02:02,00 --> 01:02:07,50 	he lifts his lips and kisses the top of her head.
DEAR_JOHN.srt 	DEAR_JOHN_DVS449 	01:05:49,00 --> 01:05:59,50 	sitting down, he dials, then lifts the phone to his ear.
DEAR_JOHN.srt 	DEAR_JOHN_DVS462 	01:07:50,00 --> 01:07:56,50 	someone lifts his head into the sunlight, and bites his lip resolutely.
DEAR_JOHN.srt 	DEAR_JOHN_DVS498 	01:12:39,00 --> 01:12:50,50 	struggling, he manages to lift the strap over his head.
DEAR_JOHN.srt 	DEAR_JOHN_DVS542 	01:17:05,00 --> 01:17:11,50 	he lifts his head and gazes out a window.
DEAR_JOHN.srt 	DEAR_JOHN_DVS556 	01:18:15,00 --> 01:18:20,50 	someone lifts the flap.
DEAR_JOHN.srt 	DEAR_JOHN_DVS576 	01:21:38,00 --> 01:21:42,50 	the soldier lifts his head.
DEAR_JOHN.srt 	DEAR_JOHN_DVS661 	01:29:27,00 --> 01:29:31,50 	someone earnestly lifts his brow.
DEAR_JOHN.srt 	DEAR_JOHN_DVS671 	01:30:44,00 --> 01:30:50,50 	he lifts his head and glances at someone, blinking pensively.
DEAR_JOHN.srt 	DEAR_JOHN_DVS736 	01:37:36,00 --> 01:37:44,50 	as someone turns, she lifts her brow expectantly and offers a faint smile.
DISTRICT_9.srt 	DISTRICT_9_DVS448 	00:50:18,00 --> 00:50:40,50 	with his human arm, he lifts his collar to shield his face from nearby aliens.
DISTRICT_9.srt 	DISTRICT_9_DVS687 	01:20:37,00 --> 01:20:45,50 	grabbing someone's shirt, someone lifts his captive to his feet.
DISTRICT_9.srt 	DISTRICT_9_DVS811 	01:35:37,00 --> 01:35:46,50 	yards away, the command module lifts off the ground.
FLIGHT.srt 	FLIGHT_DVS232 	00:49:36,00 --> 00:49:44,50 	he lifts the balding plastic trash bag out of the trash can, and carries it outside.
FLIGHT.srt 	FLIGHT_DVS388 	01:02:23,00 --> 01:02:29,50 	she lifts his leg, and places the cushion under it.
FLIGHT.srt 	FLIGHT_DVS590 	01:21:19,00 --> 01:21:25,50 	the majority in the room lift their hands, including someone.
FLIGHT.srt 	FLIGHT_DVS850 	01:41:53,00 --> 01:41:57,50 	someone lifts his arm.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS36 	00:10:18,00 --> 00:10:23,50 	she pouts and lifts her brow.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS196 	00:52:37,00 --> 00:52:48,50 	as someone picks up his cell phone, his date lifts his arm, smells his armpit and licks his tricep.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS230 	01:00:56,00 --> 01:01:01,50 	she lifts him in a hug.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS296 	01:19:08,00 --> 01:19:20,50 	left alone, someone lifts away a top panel of the box and climbs out.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS387 	01:41:36,00 --> 01:41:49,50 	he cuts her off with a deep, passionate kiss and lifts her off her feet while the performers remain perfectly still below them.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS129 	01:16:38,00 --> 01:16:43,50 	lifting his brow he nods earnestly.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS103 	00:16:02,00 --> 00:16:18,50 	he raises his fist to his opposite shoulder, then lifts his other hand and at angle.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS119 	00:19:15,00 --> 00:19:23,50 	someone looks around, notices an iv in his hand and lifts up his hospital gown.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS226 	00:36:49,00 --> 00:36:55,50 	all three of them lift their eyes skyward.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS231 	00:37:23,00 --> 00:37:39,50 	lifting it onto his shoulder, the wavy haired criminal peers through its thermal sight and finds ghost rider's glowing image as he speeds along the cliff above the quarry.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS254 	00:40:19,00 --> 00:40:33,50 	he lifts the flaming wheel again, then heaves both levers forward with a maniacal grin.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS261 	00:41:12,00 --> 00:41:28,50 	ghost rider lifts him off the ground.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS278 	00:43:21,00 --> 00:43:25,50 	he lifts his gaze to a boy.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS306 	00:46:35,00 --> 00:46:40,50 	grabbing the slab, someone lifts it.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS357 	00:53:03,00 --> 00:53:10,50 	the tattoo faced monk shifts his intense gaze to someone who lifts his chin.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS576 	01:23:07,00 --> 01:23:32,50 	his flames reignite in a wild blaze as he lifts his skull.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS594 	01:25:29,00 --> 01:25:47,50 	he spreads them wide, lifting his palms and skeleton face exultingly toward the heavens.
GREEN_ZONE.srt 	GREEN_ZONE_DVS171 	00:45:03,00 --> 00:45:08,50 	he lifts his gaze to the soldier's face.
GREEN_ZONE.srt 	GREEN_ZONE_DVS211 	00:54:17,00 --> 00:54:27,50 	he lifts his eyes to someone's.
GREEN_ZONE.srt 	GREEN_ZONE_DVS323 	01:12:25,00 --> 01:12:38,50 	someone sneers and lifts his phone.
GREEN_ZONE.srt 	GREEN_ZONE_DVS465 	01:41:32,00 --> 01:41:45,50 	looking up from the file, he glances around then lifts his brow.
GROWN_UPS.srt 	GROWN_UPS_DVS45 	00:13:51,00 --> 00:13:56,50 	wind lifts someone's poufy toupee.
HUGO.srt 	HUGO_DVS54 	00:07:06,00 --> 00:07:11,50 	across the station, the station inspector lifts his head.
HUGO.srt 	HUGO_DVS481 	01:10:27,00 --> 01:10:42,50 	as the train moves forward, the rod lifts keaton's body in a circular motion.
IN_TIME.srt 	IN_TIME_DVS173 	00:18:43,00 --> 00:18:48,50 	someone lifts his brow in an encouraging expression,
IN_TIME.srt 	IN_TIME_DVS202 	00:21:11,00 --> 00:21:19,50 	rounding a corner, she lifts her arm and finds her clock counting down from ten seconds.
IN_TIME.srt 	IN_TIME_DVS307 	00:31:41,00 --> 00:31:50,50 	both players lift their gazes as the auburn-haired young woman approaches with her dark-haired guard right behind her.
IN_TIME.srt 	IN_TIME_DVS543 	00:58:36,00 --> 00:58:41,50 	lifting her gaze to someone's, she holds
IN_TIME.srt 	IN_TIME_DVS555 	00:59:39,00 --> 00:59:47,50 	as her clock begins to count down, someone lifts her head off the pillow and gazes at it.
IN_TIME.srt 	IN_TIME_DVS639 	01:08:34,00 --> 01:08:41,50 	as he gazes at her, she lifts her eyes to his with a meaningful look.
IN_TIME.srt 	IN_TIME_DVS661 	01:11:58,00 --> 01:12:03,50 	someone lifts her gaze to meet his.
IN_TIME.srt 	IN_TIME_DVS814 	01:26:25,00 --> 01:26:33,50 	someone lifts his chin, smirking triumphantly as he maintains eye contact with his rival.
IN_TIME.srt 	IN_TIME_DVS948 	01:39:46,00 --> 01:39:53,50 	pulling away, he lifts his thoughtful gaze to the cruiser atop the hill.
IN_TIME.srt 	IN_TIME_DVS954 	01:40:23,00 --> 01:40:32,50 	lifting her arm, someone finds six seconds left on her clock.
INSIDE_MAN.srt 	INSIDE_MAN_DVS203 	00:58:12,00 --> 00:58:32,50 	someone lifts the lid holding a lit cigarette between two of his latex gloved fingers.
INSIDE_MAN.srt 	INSIDE_MAN_DVS344 	01:39:13,00 --> 01:39:32,50 	someone lifts a large white hood off the sink.
IRON_MAN_2.srt 	IRON_MAN_2_DVS28 	00:03:10,00 --> 00:03:37,50 	someone stops welding and lifts the goggles above his forehead.
IRON_MAN_2.srt 	IRON_MAN_2_DVS79 	00:15:32,00 --> 00:15:39,50 	as someone lifts his computer, images on its touch screen appear on the large screen.
IRON_MAN_2.srt 	IRON_MAN_2_DVS193 	00:35:35,00 --> 00:36:10,50 	iron man lifts his right hand and fires two blasts at someone, who ducks.
IRON_MAN_2.srt 	IRON_MAN_2_DVS199 	00:36:51,00 --> 00:37:01,50 	as they lift him and drag him away, someone spits blood at iron man.
IRON_MAN_2.srt 	IRON_MAN_2_DVS304 	00:56:10,00 --> 00:56:16,50 	at the party, another blond woman lifts a watermelon overhead.
IRON_MAN_2.srt 	IRON_MAN_2_DVS316 	00:57:31,00 --> 00:57:43,50 	lifting the post, someone throws someone through the ceiling and into his bedroom.
IRON_MAN_2.srt 	IRON_MAN_2_DVS397 	01:14:28,00 --> 01:14:34,50 	while drinking, someone lifts one index finger.
IRON_MAN_2.srt 	IRON_MAN_2_DVS440 	01:21:37,00 --> 01:21:42,50 	someone lifts the holograph with both hands and turns.
IRON_MAN_2.srt 	IRON_MAN_2_DVS464 	01:24:44,00 --> 01:24:49,50 	someone lifts a red, white, and blue shield from a crate.
IRON_MAN_2.srt 	IRON_MAN_2_DVS465 	01:25:01,00 --> 01:25:07,50 	as someone lifts a section of the tubing, someone slides the shield underneath.
IRON_MAN_2.srt 	IRON_MAN_2_DVS596 	01:42:43,00 --> 01:43:17,50 	she lifts a can of mace and sprays a twelfth guard in the eyes as he steps out of a doorway.
IRON_MAN_2.srt 	IRON_MAN_2_DVS706 	01:56:47,00 --> 01:57:00,50 	as a photographer approaches and snaps a photo, someone lifts his right arm and forms a v with his index and middle fingers.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS52 	00:15:30,00 --> 00:15:35,50 	someone thoughtfully lifts her wineglass.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS84 	00:25:16,00 --> 00:25:20,50 	he lifts his glass.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS87 	00:26:28,00 --> 00:26:32,50 	someone lifts his glass,
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS171 	00:54:30,00 --> 00:54:37,50 	shaking her head she lifts her hands.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS178 	00:56:56,00 --> 00:57:02,50 	lifting her brow someone gives a wide-eyed nod.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS185 	00:58:39,00 --> 00:58:44,50 	while someone lifts his brow and smiles.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS196 	01:00:35,00 --> 01:00:39,50 	she lifts a hand to her chest.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS308 	01:29:26,00 --> 01:29:34,50 	someone strokes her hand then lifts it and examines her palm.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS280 	00:53:09,00 --> 00:53:16,50 	lifting it over an opposing player.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS282 	00:53:23,00 --> 00:53:29,50 	two relatives lift someone onto their shoulders, and she gives the crowd high fives.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS316 	01:01:41,00 --> 01:02:00,50 	someone blows someone a kiss, then lifts her arm and pivots beneath it.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS617 	01:58:08,00 --> 01:58:17,50 	she lifts the lid of a dutch oven on the stove, and steam billows out.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS134 	00:47:56,00 --> 00:48:15,50 	ogling her, someone lifts his round glasses.
