21_JUMP_STREET.srt 	21_JUMP_STREET_DVS73 	00:08:08,00 --> 00:08:13,50 	the biker knocks him over and runs off.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS610 	01:25:46,00 --> 01:25:57,50 	someone charges someone, but gets knocked off his feet.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS596 	01:33:40,00 --> 01:33:47,50 	someone pushes back and someone's guys knock him down.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS625 	01:37:04,00 --> 01:37:11,50 	as the thugs swap a look, someone grabs a world atlas and knocks them unconscious with it.
BLINDDATING.srt 	BLINDDATING_DVS54 	00:16:26,00 --> 00:16:44,50 	he trips over a student's knees, knocking a laptop over as he falls.
BLINDDATING.srt 	BLINDDATING_DVS104 	00:28:33,00 --> 00:28:38,50 	his date knocks back a shot.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS30 	00:04:11,00 --> 00:04:17,50 	the front wall collapses, knocking the goateed man down.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS303 	00:58:00,00 --> 00:58:06,50 	one guard knocks off a mustached man's bowler hat with a nightstick.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS312 	00:59:25,00 --> 00:59:33,50 	the shield bashes the guard in the faces, knocking him backward.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS317 	00:59:57,00 --> 01:00:05,50 	someone knocks the guard unconscious and drags out his body, then closes the door behind himself as he enters.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS338 	01:03:10,00 --> 01:03:20,50 	on another catwalk above the factory floor, someone kicks a guard on the chest, knocking him over a railing.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS363 	01:05:55,00 --> 01:06:05,50 	someone loses his pistol as a second punch knocks him down.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS522 	01:33:20,00 --> 01:33:35,50 	as more hydra soldiers converge on him, someone throws his shield which bounces off an armored vehicle and knocks a trooper in the head.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS560 	01:37:47,00 --> 01:38:04,50 	he sprints through the fray, knocking troopers down with his shield.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS585 	01:40:58,00 --> 01:41:07,50 	someone leaps on to the bomb and raises his shield, but a trooper dives onto someone from behind, knocking his shield to the floor.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS605 	01:43:01,00 --> 01:43:13,50 	someone reaches for the blaster, but someone throws a box and knocks it away.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS419 	00:39:27,00 --> 00:39:34,50 	standing in chest high water, a small wave knocks him over and someone smiles.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS624 	01:00:16,00 --> 01:00:21,50 	he knocks a bell off the counter.
CHRONICLE.srt 	CHRONICLE_DVS153 	00:23:24,00 --> 00:23:33,50 	he flies forward, knocking a shelf over.
CHRONICLE.srt 	CHRONICLE_DVS423 	01:02:22,00 --> 01:02:28,50 	he punches the air, knocking the clerk back against the cigarette case.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS379 	01:32:55,00 --> 01:33:02,50 	in the film, baer hits campbell repeatedly in the head, knocking him to a corner.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS381 	01:33:11,00 --> 01:33:16,50 	baer knocks his opponent down.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS386 	01:33:47,00 --> 01:34:20,50 	baer hits campbell repeatedly in the head, knocking him to a corner.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS386 	01:33:47,00 --> 01:34:20,50 	as campbell leans over against the ropes, baer winds up his right arm and knocks the fighter down with a haymaker.
COLOMBIANA.srt 	COLOMBIANA_DVS316 	00:27:33,00 --> 00:27:39,50 	it swerves off the road and hits a fire hydrant, knocking it from it base.
COLOMBIANA.srt 	COLOMBIANA_DVS415 	00:36:44,00 --> 00:36:49,50 	she kicks him as he turns, knocking him out cold.
COLOMBIANA.srt 	COLOMBIANA_DVS803 	01:17:56,00 --> 01:18:00,50 	he knocks on a wall.
COLOMBIANA.srt 	COLOMBIANA_DVS827 	01:19:47,00 --> 01:19:53,50 	she slams his head against a coffee table, knocking him out.
COLOMBIANA.srt 	COLOMBIANA_DVS1030 	01:37:33,00 --> 01:37:39,50 	she whips the towel at his hand and knocks the gun into the tub.
COLOMBIANA.srt 	COLOMBIANA_DVS1038 	01:37:55,00 --> 01:38:02,50 	as he grabs the gun from the tub, she knocks it to the floor.
DEAR_JOHN.srt 	DEAR_JOHN_DVS188 	00:29:45,00 --> 00:29:52,50 	daytime, someone stands on someone's porch, knocking on the screen door.
DEAR_JOHN.srt 	DEAR_JOHN_DVS707 	01:35:36,00 --> 01:35:43,50 	as she reaches for the stack of letters, she knocks over a glass of wine.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS62 	00:09:46,00 --> 00:09:52,50 	the guy masseuse knocked over by a log.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS167 	00:38:52,00 --> 00:38:58,50 	someone knocks a pot plant off the fire escape.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS192 	00:46:39,00 --> 00:46:44,50 	they knock chairs over.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS402 	01:40:38,00 --> 01:40:44,50 	the blind fencer storms out, knocking over a tray of drinks.
DISTRICT_9.srt 	DISTRICT_9_DVS223 	00:25:02,00 --> 00:25:09,50 	the alien knocks someone's gun hits someone with it.
DISTRICT_9.srt 	DISTRICT_9_DVS784 	01:32:46,00 --> 01:32:51,50 	it knocks it off balance.
DISTRICT_9.srt 	DISTRICT_9_DVS820 	01:36:38,00 --> 01:36:43,50 	he looks its remaining arm, knocking it over.
EASY_A.srt 	EASY_A_DVS152 	00:48:14,00 --> 00:48:19,50 	now she knocks on mr.
EASY_A.srt 	EASY_A_DVS210 	01:04:25,00 --> 01:04:34,50 	she leaves the confessional and rushes past a pew, knocking a bible from the seat.
EASY_A.srt 	EASY_A_DVS213 	01:05:27,00 --> 01:05:34,50 	she knocks over a family photo.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS174 	00:47:59,00 --> 00:48:05,50 	he knocks the sandwich out of her hand.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS166 	00:25:53,00 --> 00:25:58,50 	he knocks back some pills.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS244 	00:39:01,00 --> 00:39:08,50 	as the flaming skeleton knocks him onto his back.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS427 	01:01:37,00 --> 01:01:47,50 	he runs the backs of his fingers down her cheek then jams his thumb just below her chin, knocking her unconscious.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS566 	01:21:18,00 --> 01:21:51,50 	the flaming vehicle knocks it off the road.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS569 	01:22:08,00 --> 01:22:13,50 	the rider elbows him then knocks him back.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS574 	01:22:26,00 --> 01:23:00,50 	shifting gears, someone accelerates and rear ends an suv knocking it off the road.
GREEN_ZONE.srt 	GREEN_ZONE_DVS309 	01:10:19,00 --> 01:10:25,50 	now, in a safe house, he runs upstairs and knocks at a door.
HUGO.srt 	HUGO_DVS576 	01:24:11,00 --> 01:24:18,50 	one man knocks another man out of the train's path as it crashes through a newsstand.
IN_TIME.srt 	IN_TIME_DVS78 	00:08:58,00 --> 00:09:04,50 	from hiding, someone swings a stall door, knocking out the thug.
IN_TIME.srt 	IN_TIME_DVS420 	00:45:14,00 --> 00:45:19,50 	he obeys and someone knocks him out.
IRON_MAN_2.srt 	IRON_MAN_2_DVS180 	00:33:44,00 --> 00:34:06,50 	someone turns and knocks the metal from someone's hand with a whip.
IRON_MAN_2.srt 	IRON_MAN_2_DVS454 	01:23:41,00 --> 01:23:46,50 	someone swings a sledgehammer and knocks holes in a concrete wall.
IRON_MAN_2.srt 	IRON_MAN_2_DVS594 	01:41:47,00 --> 01:42:29,50 	someone leaps over a cart and kicks him in the face, knocking him unconscious.
IRON_MAN_2.srt 	IRON_MAN_2_DVS596 	01:42:43,00 --> 01:43:17,50 	someone kicks the guards and knocks them out.
IRON_MAN_2.srt 	IRON_MAN_2_DVS596 	01:42:43,00 --> 01:43:17,50 	still holding the cord, someone knocks one guard out and releases the cord.
IRON_MAN_2.srt 	IRON_MAN_2_DVS596 	01:42:43,00 --> 01:43:17,50 	someone breaks his right arm and knocks him out with a kick.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS271 	00:52:41,00 --> 00:52:48,50 	it hits someone's grandma, knocking her out.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS397 	01:13:12,00 --> 01:13:20,50 	someone delivers a right hook that knocks him clear through a door onto the floor of the adjacent restroom.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS409 	01:17:00,00 --> 01:17:04,50 	half in costume, he knocks on a door.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS145 	00:56:46,00 --> 00:56:54,50 	someone knocks someone down, and the pig steps on his back.
KARATE_KID.srt 	KARATE_KID_DVS201 	00:17:21,00 --> 00:17:31,50 	the boy knocks it out of his hands.
KARATE_KID.srt 	KARATE_KID_DVS220 	00:18:55,00 --> 00:19:13,50 	it knocks the bully down, but he does an instant kick-up to his feet.
KARATE_KID.srt 	KARATE_KID_DVS264 	00:24:03,00 --> 00:24:08,50 	someone knocks the tray out of his hands.
KARATE_KID.srt 	KARATE_KID_DVS464 	00:41:09,00 --> 00:41:29,50 	someone topples a stack of boxes, knocking them in front of his pursuers.
KARATE_KID.srt 	KARATE_KID_DVS483 	00:43:37,00 --> 00:43:42,50 	he knocks someone to the ground.
KARATE_KID.srt 	KARATE_KID_DVS673 	00:57:32,00 --> 00:57:40,50 	someone dances from side to side, knocking over a ceramic vase.
KARATE_KID.srt 	KARATE_KID_DVS1407 	01:53:19,00 --> 01:53:38,50 	as he leaps toward the american fighter, someone kicks him in the side, and knocks him to the floor.
KARATE_KID.srt 	KARATE_KID_DVS1408 	01:53:35,00 --> 01:53:52,50 	on a mat, someone's teammate with close-cropped hair jumps, and boots his opponent in the chest, knocking him flat, and scoring a point.
KARATE_KID.srt 	KARATE_KID_DVS1413 	01:54:05,00 --> 01:54:13,50 	with a single powerful kick, he knocks the boy off his feet, and sends him crashing to the mat.
KARATE_KID.srt 	KARATE_KID_DVS1430 	01:55:56,00 --> 01:56:15,50 	someone knocks the boy to his knees, then kicks him in the head.
KARATE_KID.srt 	KARATE_KID_DVS1624 	02:12:06,00 --> 02:12:17,50 	his descending foot kicks someone, knocking him to the mat.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS126 	00:31:11,00 --> 00:31:15,50 	she knocks over a stool.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS501 	00:55:32,00 --> 00:55:40,50 	his enormous mass knocks someone onto his back on the canvas and the rat scurries along the cover.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS881 	01:29:06,00 --> 01:29:12,50 	a wall of water crashes down knocking someone off the boat.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS206 	01:13:46,00 --> 01:13:51,50 	inside, lands - they knock heads - cut to black.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS116 	00:19:11,00 --> 00:19:17,50 	as he opens it, water gushes out, knocking someone down.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS630 	01:16:25,00 --> 01:16:35,50 	a basketball tumbles from the shelf and knocks her to the floor.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS632 	01:16:36,00 --> 01:16:47,50 	captain flees with a colorful kite strapped to her back which knocks toys off display shelves as she runs past.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS353 	01:16:27,00 --> 01:16:34,50 	he knocks a piece to the floor.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS303 	01:11:32,00 --> 01:11:43,50 	as someone kicks at the can, he slips in the mud and knocks his wife down beside him.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS132 	00:31:26,00 --> 00:31:37,50 	a blue soldier jumps off a boulder and knocks a red opponent to the ground.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS209 	00:53:35,00 --> 00:53:45,50 	she shoves the statue, which knocks into another, creating a domino effect that topples an entire row.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS386 	01:35:29,00 --> 01:35:36,50 	someone kicks him, knocking him to the ground.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS396 	01:36:58,00 --> 01:37:05,50 	a flying someone knocks him from the ledge, and they plummet past the observation deck,
PROMETHEUS.srt 	PROMETHEUS_DVS424 	00:43:01,00 --> 00:43:11,50 	as someone grabs it, the silica storm knocks her 50 yards into one of the ships towering landing struts.
PROMETHEUS.srt 	PROMETHEUS_DVS507 	00:53:49,00 --> 00:53:54,50 	he takes a sip, then knocks the whole thing back.
PROMETHEUS.srt 	PROMETHEUS_DVS900 	01:39:46,00 --> 01:39:53,50 	the engineer turns someone around and palms her chest, knocking her off the platform.
PROMETHEUS.srt 	PROMETHEUS_DVS926 	01:41:55,00 --> 01:42:01,50 	a torrent of smoke shoots through the tunnel, knocking someone off her feet.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS83 	00:13:54,00 --> 00:14:07,50 	he knocks with the butt of his rifle.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS418 	01:44:33,00 --> 01:44:38,50 	he knocks someone down causing the bald thug from behind.
SALT.srt 	SALT_DVS169 	00:29:01,00 --> 00:29:09,50 	using a bust statuette, he knocks away the remaining glass.
SALT.srt 	SALT_DVS455 	01:18:12,00 --> 01:18:27,50 	he knocks down the other agent as well.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS624 	00:41:26,00 --> 00:41:29,50 	she knocks.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS48 	00:10:21,00 --> 00:10:38,50 	as he makes a light knocking motion, a wall buckles.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS130 	00:24:44,00 --> 00:24:51,50 	as someone shifts his eyes, a giant talon knocks him
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS220 	00:42:12,00 --> 00:42:18,50 	the recoil from another knocks him over.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS232 	00:44:34,00 --> 00:44:39,50 	someone, knocking him onto his back.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS282 	00:57:43,00 --> 00:57:47,50 	he knocks on the surface causing it to ripple.
SOUL_SURFER.srt 	SOUL_SURFER_DVS130 	00:41:56,00 --> 00:42:02,50 	knocking a price marker down and upsetting some loose apples.
SPARKLE_2012.srt 	SPARKLE_2012_DVS279 	00:43:43,00 --> 00:43:47,50 	heading off, someone shrugs, then knocks a box off a stool.
SUPER_8.srt 	SUPER_8_DVS38 	00:05:07,00 --> 00:05:17,50 	the first boy takes out a pistol, but the blond boy knocks it away.
SUPER_8.srt 	SUPER_8_DVS116 	00:18:28,00 --> 00:18:34,50 	someone turns to run but a massive explosion knocks him to the ground.
SUPER_8.srt 	SUPER_8_DVS400 	01:12:30,00 --> 01:12:37,50 	someone turns and elbows the soldier in the face, he grabs the soldier's rifle, and knocks him out with its butt.
SUPER_8.srt 	SUPER_8_DVS463 	01:21:31,00 --> 01:21:37,50 	the creature grabs someone and knocks him from one side of the bus to the other.
SUPER_8.srt 	SUPER_8_DVS468 	01:22:02,00 --> 01:22:09,50 	the driver pumps the gas pedal, the creature slams against the bus, and knocks it over onto one side.
SUPER_8.srt 	SUPER_8_DVS516 	01:27:41,00 --> 01:27:47,50 	a blast takes out the wall next to the boys and knocks them to the floor.
SUPER_8.srt 	SUPER_8_DVS664 	01:45:55,00 --> 01:46:00,50 	someone takes out a gun but someone knocks it away.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS69 	00:09:29,00 --> 00:09:43,50 	the cat jumps onto a table, climbs up a curtain, and knocks over a vase as it runs along a shelf.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS70 	00:09:40,00 --> 00:09:47,50 	chasing the cat across the counter, snowy knocks the model ship to the floor.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS245 	00:37:10,00 --> 00:37:16,50 	someone swings down his empty fist knocking the thug to the deck.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS423 	01:01:06,00 --> 01:01:14,50 	sir someone picks up a piece of burning wood and lights a cannon, causing it to shoot backward and knock several pirates overboard.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS443 	01:04:40,00 --> 01:04:46,50 	someone bursts out, knocks down two men, then grabs a soldier's sword.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS669 	01:30:22,00 --> 01:30:28,50 	the tip of someone's crane smashes into someone's cab, knocking him to the floor.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS694 	01:32:54,00 --> 01:33:03,50 	someone throws more bottles, one of which knocks the sword out of someone's hand.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS135 	00:30:02,00 --> 00:30:16,50 	now he knocks on a door.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS184 	00:38:24,00 --> 00:38:28,50 	he knocks on the trunk.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS519 	01:33:33,00 --> 01:33:37,50 	she knocks him out.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS107 	00:18:54,00 --> 00:19:00,50 	someone hurries ahead and knocks eagerly on a door.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS729 	01:20:52,00 --> 01:21:00,50 	grabbing a can from the top of the refrigerator he accidentally knocks over a bottled water.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1183 	02:06:21,00 --> 02:06:27,50 	he turns and she strikes him in the face knocking him to the tile floor.
THE_WATCH.srt 	THE_WATCH_DVS52 	00:06:42,00 --> 00:06:49,50 	he runs out of ammo and ditches his gun, then knocks over a display of plastic bottles.
THE_WATCH.srt 	THE_WATCH_DVS301 	00:53:55,00 --> 00:54:00,50 	the alien knocks the sofa across the room.
THE_WATCH.srt 	THE_WATCH_DVS523 	01:31:38,00 --> 01:31:46,50 	the aliens scramble out of the basement, then race across the store, knocking over lawn furniture.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS66 	00:17:31,00 --> 00:17:36,50 	she knocks over a giant toy robot.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS222 	00:55:11,00 --> 00:55:22,50 	as he turns to leave, he knocks over another server.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS360 	01:28:24,00 --> 01:28:30,50 	kissing her, he backs her up against a dresser and knocks over a lamp.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS21 	00:03:02,00 --> 00:03:08,50 	he slides on his knees into a guard, knocking him over.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS237 	00:43:23,00 --> 00:43:37,50 	as someone reaches the dancer stage, someone knocks him down and falls away.
THOR.srt 	THOR_DVS152 	00:21:53,00 --> 00:22:06,50 	one someone punctures the ground creating a shockwave that thrusts a shard of ice up out of the rock and knocks someone off his feet.
THOR.srt 	THOR_DVS167 	00:23:12,00 --> 00:23:17,50 	the giant knocks someone's sword out of his hand.
THOR.srt 	THOR_DVS202 	00:27:06,00 --> 00:27:15,50 	bright light engulfs someone, knocking someone backward.
THOR.srt 	THOR_DVS217 	00:29:27,00 --> 00:29:36,50 	someone thrusts out someone, knocking someone backward into the bifrost transport tunnel.
THOR.srt 	THOR_DVS630 	01:35:22,00 --> 01:35:28,50 	someone raises someone, but someone knocks him to the floor with a blast from his spear.
THOR.srt 	THOR_DVS634 	01:36:19,00 --> 01:36:24,50 	swinging his spear, someone knocks someone to the floor.
THOR.srt 	THOR_DVS637 	01:37:02,00 --> 01:37:07,50 	someone tackles someone, who knocks someone away.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS119 	00:13:36,00 --> 00:13:41,50 	someone bolts, knocking other fairies down on his way.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS223 	00:28:29,00 --> 00:28:34,50 	as he turns away, he knocks over a lamp.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS285 	00:34:57,00 --> 00:35:03,50 	the boy rolls in his sleep, knocking someone off the bed.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS622 	01:08:51,00 --> 01:08:56,50 	an arrow bashes him away from the puck, knocking him down.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS671 	01:15:05,00 --> 01:15:10,50 	an opposing team member knocks him down.
TRUE_GRIT.srt 	TRUE_GRIT_DVS481 	01:32:14,00 --> 01:32:20,50 	someone bashes someone on the head with a boulder, knocking him unconscious.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS660 	01:32:19,00 --> 01:32:24,50 	he knocks a glass off a tray.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS258 	00:19:51,00 --> 00:19:58,50 	the cyclone-maker flicks his hand and the whirlwind knocks the colonel into a wall.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS397 	00:33:26,00 --> 00:33:31,50 	the whirlwind knocks the boats high in the air.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS857 	01:18:31,00 --> 01:18:36,50 	he tries again and the blast knocks him over.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1183 	01:45:40,00 --> 01:45:48,50 	she spits fireballs, knocking him off of his feet, and scorching the disc on his chest.
ZOMBIELAND.srt 	ZOMBIELAND_DVS25 	00:02:47,00 --> 00:02:52,50 	bumps and turns knock them off.
ZOMBIELAND.srt 	ZOMBIELAND_DVS58 	00:04:40,00 --> 00:04:47,50 	a flying zombie drips blood onto a windshield before crashing into it and knocking away the title.
