21_JUMP_STREET.srt 	21_JUMP_STREET_DVS537 	01:22:58,00 --> 01:23:02,50 	someone regards his partner
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS161 	00:25:05,00 --> 00:25:16,50 	the mother regards him disgustedly but makes no move to leave him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS543 	01:17:32,00 --> 01:17:37,50 	the boy regards him with a knitted brow.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS558 	01:19:36,00 --> 01:19:58,50 	his father regards him with a bitter scowl as he leads the convoy at high speed away from ruins.
GREEN_ZONE.srt 	GREEN_ZONE_DVS451 	01:38:46,00 --> 01:39:07,50 	someone grimly regards the fallen general, lowers his rifle, and heads back through the marketplace.
IN_TIME.srt 	IN_TIME_DVS357 	00:37:34,00 --> 00:37:39,50 	someone regards her incredulously.
IN_TIME.srt 	IN_TIME_DVS399 	00:41:47,00 --> 00:41:53,50 	someone twiddles his thumbs and regards the suspect impassively.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS260 	00:49:48,00 --> 00:49:54,50 	a surprised someone regards her new friends.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS204 	01:11:56,00 --> 01:12:04,50 	beside her, someone takes off her shades and regards him with a fond gaze.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS328 	01:45:07,00 --> 01:45:13,50 	someone regards her with a sober frown.
KARATE_KID.srt 	KARATE_KID_DVS361 	00:32:14,00 --> 00:32:21,50 	someone heaves a sigh as she regards her son, then smiles affectionately.
KARATE_KID.srt 	KARATE_KID_DVS1002 	01:21:44,00 --> 01:21:51,50 	he regards someone with a thoughtful nod, then points at the water.
KARATE_KID.srt 	KARATE_KID_DVS1187 	01:37:21,00 --> 01:37:28,50 	someone regards the front end of someone's car and finds it similarly damaged.
KARATE_KID.srt 	KARATE_KID_DVS1517 	02:03:05,00 --> 02:03:11,50 	someone regards the boy with a furrowed brow.
KARATE_KID.srt 	KARATE_KID_DVS1563 	02:06:39,00 --> 02:06:48,50 	someone limps to his starting position as someone regards him wearily.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS187 	00:43:42,00 --> 00:43:47,50 	she regards someone.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS234 	00:54:48,00 --> 00:54:54,50 	someone regards him uneasily.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS309 	01:13:00,00 --> 01:13:07,50 	he regards his sober students with wide eyes.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS139 	00:16:42,00 --> 00:16:50,50 	he glances at the priest then holds out a hand and regards the painting of jesus being crucified.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS519 	00:56:58,00 --> 00:57:03,50 	someone regards the tiger woefully.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1110 	01:56:45,00 --> 01:56:51,50 	someone regards the younger man with a calm, sad expression.
MORNING_GLORY.srt 	MORNING_GLORY_DVS193 	00:43:58,00 --> 00:44:04,50 	she stops and turns to regard herself in the mirror.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS91 	00:20:23,00 --> 00:20:31,50 	the someone regards someone frankly.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS253 	00:52:54,00 --> 00:54:08,50 	someone lays it aside and regards the velveteen.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS313 	01:08:38,00 --> 01:08:51,50 	with his arms crossed at his back, he regards the boys frankly.
PROMETHEUS.srt 	PROMETHEUS_DVS146 	00:09:21,00 --> 00:09:26,50 	the young someone regards the local priest.
PROMETHEUS.srt 	PROMETHEUS_DVS304 	00:29:55,00 --> 00:30:01,50 	someone regards the space with a calm expression.
PROMETHEUS.srt 	PROMETHEUS_DVS589 	01:05:54,00 --> 01:05:59,50 	holloway regards him suspiciously.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS106 	00:27:01,00 --> 00:27:13,50 	the bright sun halos someone as he regards the knight.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS454 	01:52:56,00 --> 01:53:02,50 	someone regards her squarely.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS460 	01:10:47,00 --> 01:10:53,50 	regarding her with a sad worried gaze.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS973 	01:03:20,00 --> 01:03:25,50 	she regards her friend compassionately, her eyes glistening.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1051 	01:08:50,00 --> 01:08:55,50 	someone regards her with a smile.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1247 	01:23:47,00 --> 01:23:52,50 	the contemporary woman regards her sadly.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS259 	00:52:16,00 --> 00:52:22,50 	someone regards her tenderly, then types in a new command.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS286 	00:59:42,00 --> 00:59:48,50 	someone regards someone's ring on his finger.
SOUL_SURFER.srt 	SOUL_SURFER_DVS126 	00:40:59,00 --> 00:41:04,50 	her mother regards her with wide eyes.
SOUL_SURFER.srt 	SOUL_SURFER_DVS212 	01:08:48,00 --> 01:08:52,50 	she regards him.
SOUL_SURFER.srt 	SOUL_SURFER_DVS290 	01:22:41,00 --> 01:22:46,50 	someone regards her friend thoughtfully.
SPARKLE_2012.srt 	SPARKLE_2012_DVS589 	01:36:16,00 --> 01:36:20,50 	someone regards her.
SPARKLE_2012.srt 	SPARKLE_2012_DVS617 	01:40:01,00 --> 01:40:09,50 	her daughter regards her gravely, then picks up the telephone handset on her side of the glass.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS396 	01:16:13,00 --> 01:16:40,50 	someone regards him proudly.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS404 	01:17:49,00 --> 01:18:02,50 	she offers a little smile and he regards her with shining eyes.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS408 	01:18:21,00 --> 01:18:30,50 	approaching the young artist, she regards the portrait appraisingly then tilts her head and smiles.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS383 	01:12:53,00 --> 01:12:58,50 	someone regards him thoughtfully.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS132 	00:21:42,00 --> 00:21:47,50 	someone regards her with a disapproving smirk.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS440 	01:07:20,00 --> 01:07:26,50 	someone gives a thoughtful nod and regards the teen.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS520 	01:16:35,00 --> 01:16:43,50 	someone regards his cousin with a flinty stare.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS67 	00:05:15,00 --> 00:05:27,50 	inside, a lovely blonde in her 40s steps away from her desk and regards him sympathetically.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS92 	00:09:28,00 --> 00:09:36,50 	someone, are you available for an interview regarding the wennerstrom verdict?
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS222 	01:14:00,00 --> 01:14:06,50 	someone regards her son, then fetches her handbag from the hallway.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS156 	00:54:44,00 --> 00:54:50,50 	then regards him sympathetically.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS320 	01:53:37,00 --> 01:53:42,50 	someone regards him sympathetically.
THE_VOW.srt 	THE_VOW_DVS450 	01:04:52,00 --> 01:04:57,50 	her husband regards her with a tender gaze.
THE_VOW.srt 	THE_VOW_DVS470 	01:07:37,00 --> 01:07:44,50 	he sets a small wetsuit beside her and regards her with a subdued, wily smile.
THE_VOW.srt 	THE_VOW_DVS578 	01:20:27,00 --> 01:20:34,50 	someone regards her longingly, then turns away and walks back inside.
THE_VOW.srt 	THE_VOW_DVS650 	01:30:31,00 --> 01:30:38,50 	as someone regards her, she sucks in a breath and gazes off thoughtfully.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS502 	01:27:04,00 --> 01:27:09,50 	someone regards his friend with a concerned frown.
TRUE_GRIT.srt 	TRUE_GRIT_DVS76 	00:22:27,00 --> 00:22:32,50 	he regards her through his one narrowed eye.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS270 	00:43:46,00 --> 00:43:51,50 	the little girl regards her father tenderly.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS544 	01:23:45,00 --> 01:23:52,50 	she regards him compassionately, then gets up, pats his leg, and looks him in the eye.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS581 	01:29:12,00 --> 01:29:18,50 	someone regards his father with a faint understanding smile.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS711 	01:42:41,00 --> 01:42:47,50 	a smirk plays on ferris' lips as he regards the staff.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS417 	00:36:04,00 --> 00:36:10,50 	the haunted man regards him with a furrowed brow.
