21_JUMP_STREET.srt 	21_JUMP_STREET_DVS120 	00:17:54,00 --> 00:18:02,50 	the captain opens his office window.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS251 	00:48:01,00 --> 00:48:08,50 	as the door opens, someone frowns.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS346 	01:00:25,00 --> 01:00:31,50 	he opens a family photo album and pages through the pictures.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS468 	01:20:50,00 --> 01:20:57,50 	back at the cemetery someone opens his eyes and stares at his father's headstone.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS39 	00:04:05,00 --> 00:04:09,50 	as the door opens wider.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS86 	00:09:47,00 --> 00:09:59,50 	someone kicks open the door and someone fires the retrieved bullet at pointblank range.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS109 	00:11:44,00 --> 00:11:49,50 	he opens it then turns his attention to a window.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS138 	00:17:08,00 --> 00:17:14,50 	now, light pours into a dark room as someone opens its door.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS190 	00:25:42,00 --> 00:26:00,50 	as the trapped hunter looks on, the vampire opens a gleaming straight razor, turns it over and touches the blade.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS259 	00:38:00,00 --> 00:38:06,50 	someone opens a carriage door and the man hands him his card.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS355 	00:50:47,00 --> 00:50:52,50 	someone opens the casket revealing someone inside.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS387 	00:54:10,00 --> 00:54:22,50 	someone kicks open the door and races in as a few survivors flee.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS435 	01:02:27,00 --> 01:02:36,50 	now, our view spirals from sideways to upright as a door opens and a tall, silhouetted figure strides through.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS477 	01:07:24,00 --> 01:07:31,50 	someone picks it up and opens it revealing someone's personalized inscription.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS504 	01:11:05,00 --> 01:11:11,50 	it opens as he walks out a man with a bearded chin.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS591 	01:21:44,00 --> 01:21:53,50 	he takes aim and reaches out to open it.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS596 	01:22:12,00 --> 01:22:46,50 	he opens a door behind the monster letting him fall away.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS650 	01:32:21,00 --> 01:32:29,50 	in the daytime, at a bustling military camp, someone opens a box filled with silver blades.
BAD_TEACHER.srt 	BAD_TEACHER_DVS103 	00:28:28,00 --> 00:28:33,50 	she opens her wallet and writes out a check.
BAD_TEACHER.srt 	BAD_TEACHER_DVS254 	01:08:49,00 --> 01:08:59,50 	she opens his mouth to receive his approaching lips but he detours upwards and plants a kiss on her forehead
BAD_TEACHER.srt 	BAD_TEACHER_DVS297 	01:19:25,00 --> 01:19:34,50 	secretary opens the door and someone enters.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS96 	00:13:59,00 --> 00:14:03,50 	someone opens the door.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS226 	00:37:32,00 --> 00:37:37,50 	he opens the door and sees her in her nightgown.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS240 	00:39:05,00 --> 00:39:08,50 	he opens the door.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS276 	00:47:51,00 --> 00:47:56,50 	he opens his magazine and gives it a shake.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS284 	00:48:21,00 --> 00:48:27,50 	he opens a cd case, takes out a disc, and puts it in a stereo.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS513 	01:20:54,00 --> 01:21:01,50 	someone opens the door and they rush into the small utility room.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS608 	01:35:05,00 --> 01:35:10,50 	someone opens a window and climbs out.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS614 	01:35:41,00 --> 01:35:47,50 	as someone opens the box, someone enters and hides behind a bookshelf.
BLINDDATING.srt 	BLINDDATING_DVS23 	00:07:18,00 --> 00:07:26,50 	someone opens his window.
BLINDDATING.srt 	BLINDDATING_DVS83 	00:25:08,00 --> 00:25:12,50 	then opens it.
BLINDDATING.srt 	BLINDDATING_DVS144 	00:39:06,00 --> 00:39:19,50 	as they slowly withdraw, someone opens his eyes and lets down his hands.
BLINDDATING.srt 	BLINDDATING_DVS220 	00:54:55,00 --> 00:55:02,50 	someone opens the limo door.
BLINDDATING.srt 	BLINDDATING_DVS339 	01:21:22,00 --> 01:21:40,50 	someone opens the box revealing a large diamond ring.
BURLESQUE.srt 	BURLESQUE_DVS35 	00:03:48,00 --> 00:03:58,50 	on the bus, the sleepy blonde opens her eyes just as the sign's reflection skates across her window.
BURLESQUE.srt 	BURLESQUE_DVS36 	00:03:55,00 --> 00:04:08,50 	later in a run-down room at the old redbrick hotel rosslyn, she opens her suitcase.
BURLESQUE.srt 	BURLESQUE_DVS78 	00:07:25,00 --> 00:07:33,50 	the blonde opens her wallet and hesitates.
BURLESQUE.srt 	BURLESQUE_DVS138 	00:19:01,00 --> 00:19:05,50 	she opens her arms to the crowd.
BURLESQUE.srt 	BURLESQUE_DVS190 	00:28:05,00 --> 00:28:12,50 	then opens his bedroom's french doors and steps out in jeans and a white tank.
BURLESQUE.srt 	BURLESQUE_DVS343 	00:47:05,00 --> 00:47:11,50 	as the curtain continues to drop, she opens her mouth.
BURLESQUE.srt 	BURLESQUE_DVS393 	00:54:24,00 --> 00:54:36,50 	she dances up the rest of the stairs to the platform where another curtain opens, revealing more dancers.
BURLESQUE.srt 	BURLESQUE_DVS471 	01:04:57,00 --> 01:05:05,50 	as the other girls look on, she opens the present and pulls out a pair of louboutin shoes just like someone's.
BURLESQUE.srt 	BURLESQUE_DVS553 	01:20:02,00 --> 01:20:09,50 	eyeing the daybed, she pauses briefly, then crosses to the french doors and opens them.
BURLESQUE.srt 	BURLESQUE_DVS630 	01:34:43,00 --> 01:34:48,50 	now someone's wedding deejay opens a front door.
BURLESQUE.srt 	BURLESQUE_DVS675 	01:44:59,00 --> 01:45:06,50 	he opens it and finds a check for $500,000.
BURLESQUE.srt 	BURLESQUE_DVS723 	01:49:05,00 --> 01:49:09,50 	he opens his mouth to speak,
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS53 	00:07:11,00 --> 00:07:21,50 	the bearded man's bottom lip quivers as the nazi officer opens the box and peers inside, his face illuminated by a bright blue light.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS101 	00:15:45,00 --> 00:15:51,50 	someone shakes rogers' hands then opens a folder.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS107 	00:17:54,00 --> 00:18:06,50 	as the officer opens the box and releases bright blue light, dr.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS138 	00:23:55,00 --> 00:24:03,50 	slowly, someone opens his eyes and sits up.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS209 	00:37:56,00 --> 00:38:02,50 	someone glances toward someone as he takes out a zippo lighter and opens it.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS254 	00:45:11,00 --> 00:45:21,50 	the futuristic weapon vaporizes two of the officers with beams of blue light, then swivels toward the last officer as he scrambles to open a locked door.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS316 	00:59:52,00 --> 00:59:59,50 	a nearby guard opens the door and peeks out.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS371 	01:07:17,00 --> 01:07:24,50 	the elevator opens revealing a single-person aircraft.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS468 	01:23:37,00 --> 01:23:47,50 	a hydra trooper wearing an armored suit and helmet enters someone' compartment and opens fire with a blaster.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS593 	01:41:28,00 --> 01:41:35,50 	someone forces open the cockpit hatch and pulls the eject handle.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS598 	01:42:13,00 --> 01:42:20,50 	someone opens the hatch and climbs out.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS599 	01:42:23,00 --> 01:42:32,50 	someone slowly opens a door and peers into the plane's spacious cockpit where a high-backed chair sits in front of a bank of windows.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS656 	01:49:52,00 --> 01:49:58,50 	she opens the folder, revealing a half-hidden photo.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS102 	00:07:53,00 --> 00:07:59,50 	he opens a blue cabinet and the top hinge breaks loose.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS113 	00:09:10,00 --> 00:09:16,50 	he opens the doors of a shed and pads inside barefoot.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS130 	00:10:45,00 --> 00:10:51,50 	the woman opens the doors of a well-stocked surf shed and walks to the back.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS388 	00:36:42,00 --> 00:36:47,50 	someone opens her door then turns on a shower.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS401 	00:37:29,00 --> 00:37:35,50 	someone takes a folded page from the teen and opens it.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS608 	00:58:36,00 --> 00:58:41,50 	opening it, she pauses and listens.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS672 	01:05:24,00 --> 01:05:29,50 	he opens it and flips through the pages.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS733 	01:12:55,00 --> 01:13:00,50 	sneering, he opens it and reads.
CHRONICLE.srt 	CHRONICLE_DVS248 	00:36:55,00 --> 00:37:02,50 	now from an angle over someone's shoulder, we see her open her front door.
CHRONICLE.srt 	CHRONICLE_DVS394 	01:00:03,00 --> 01:00:10,50 	he opens it up and lifts out a firefighter's helmet and eye guard.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS60 	00:11:33,00 --> 00:11:45,50 	as one of its doors opens, someone crosses a dingy lot nearby where a crude tent sits near campfires.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS155 	00:34:05,00 --> 00:34:13,50 	as she bows her head, someone opens his eyes and shifts restlessly.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS244 	00:59:47,00 --> 00:59:52,50 	someone opens the door to a crush of reporters.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS389 	01:34:57,00 --> 01:35:01,50 	he opens the drapes.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS452 	01:46:48,00 --> 01:46:55,50 	elsewhere, a woman opens a door for someone and her children.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS494 	01:53:44,00 --> 01:53:51,50 	now inside her dark house, someone heads down a hallway and opens a door.
COLOMBIANA.srt 	COLOMBIANA_DVS68 	00:04:35,00 --> 00:04:42,50 	one opens a door for him.
COLOMBIANA.srt 	COLOMBIANA_DVS80 	00:05:41,00 --> 00:05:50,50 	someone turns over a framed family photo, removes a computer chip from under a piece of tape, then opens a drawer and rifles through it.
COLOMBIANA.srt 	COLOMBIANA_DVS89 	00:06:57,00 --> 00:07:04,50 	he closes his eyes as he clutches his daughter, then opens them with a fearful look.
COLOMBIANA.srt 	COLOMBIANA_DVS94 	00:07:24,00 --> 00:07:32,50 	moving past them, someone opens a back door.
COLOMBIANA.srt 	COLOMBIANA_DVS239 	00:20:13,00 --> 00:20:17,50 	she opens it and finds it empty.
COLOMBIANA.srt 	COLOMBIANA_DVS260 	00:21:42,00 --> 00:21:47,50 	it opens and he steps inside.
COLOMBIANA.srt 	COLOMBIANA_DVS307 	00:26:17,00 --> 00:26:25,50 	later in a principal's office, an elegant woman with blonde curls opens a stuffed yellow envelope.
COLOMBIANA.srt 	COLOMBIANA_DVS315 	00:27:27,00 --> 00:27:35,50 	he thrusts someone's backpack at her, draws a huge handgun and opens fire on a passing car.
COLOMBIANA.srt 	COLOMBIANA_DVS376 	00:33:53,00 --> 00:33:59,50 	she slowly opens a door, slips out and shuts it behind her.
COLOMBIANA.srt 	COLOMBIANA_DVS381 	00:34:21,00 --> 00:34:27,50 	she slips in and opens a cabinet revealing circuit breakers.
COLOMBIANA.srt 	COLOMBIANA_DVS382 	00:34:26,00 --> 00:34:33,50 	she sets the water on top then climbs a table and opens an air duct on the ceiling.
COLOMBIANA.srt 	COLOMBIANA_DVS402 	00:35:51,00 --> 00:35:57,50 	doyle opens the cabinet as she works her shoulders through the fan.
COLOMBIANA.srt 	COLOMBIANA_DVS419 	00:36:56,00 --> 00:37:03,50 	as the door opens, the unconscious someone sinks to his knees then falls face down.
COLOMBIANA.srt 	COLOMBIANA_DVS429 	00:37:41,00 --> 00:37:47,50 	the hatchet faced criminal hastily opens his gaudy shirt.
COLOMBIANA.srt 	COLOMBIANA_DVS437 	00:38:38,00 --> 00:38:45,50 	meanwhile, someone kicks open a grated vent cover leading her outside.
COLOMBIANA.srt 	COLOMBIANA_DVS466 	00:40:54,00 --> 00:41:00,50 	agent someone opens it, revealing someone's chest.
COLOMBIANA.srt 	COLOMBIANA_DVS488 	00:43:11,00 --> 00:43:17,50 	she opens a locker, and pulls out a purse and a travel bag.
COLOMBIANA.srt 	COLOMBIANA_DVS521 	00:47:07,00 --> 00:47:14,50 	brushing back her long hair, she opens a brown paper bag.
COLOMBIANA.srt 	COLOMBIANA_DVS545 	00:50:01,00 --> 00:50:09,50 	now an elevator opens and he steps out, toting a portfolio and a sack full of canvases.
COLOMBIANA.srt 	COLOMBIANA_DVS604 	00:57:05,00 --> 00:57:11,50 	she opens a tall safe standing against a wall.
COLOMBIANA.srt 	COLOMBIANA_DVS657 	01:01:45,00 --> 01:01:51,50 	opening his eyes, he smirks as he lifts his face from the flower.
COLOMBIANA.srt 	COLOMBIANA_DVS714 	01:08:10,00 --> 01:08:16,50 	blinking her woeful eyes, she opens her mouth to speak
COLOMBIANA.srt 	COLOMBIANA_DVS751 	01:12:16,00 --> 01:12:23,50 	as he leaves, she opens the paper and sees it's an old photo of herself with her parents.
COLOMBIANA.srt 	COLOMBIANA_DVS813 	01:18:50,00 --> 01:18:55,50 	she turns on the shower then opens the birdcage.
COLOMBIANA.srt 	COLOMBIANA_DVS874 	01:23:08,00 --> 01:23:13,50 	she finds one unlocked and opens it.
COLOMBIANA.srt 	COLOMBIANA_DVS1058 	01:39:09,00 --> 01:39:16,50 	meanwhile, someone shifts his panicked eyes, then opens the compartment's panel.
DEAR_JOHN.srt 	DEAR_JOHN_DVS81 	00:12:30,00 --> 00:12:36,50 	now, someone opens the front door and enters a room veiled in shadow.
DEAR_JOHN.srt 	DEAR_JOHN_DVS136 	00:22:04,00 --> 00:22:09,50 	opening her mouth, she kisses him hungrily.
DEAR_JOHN.srt 	DEAR_JOHN_DVS212 	00:33:23,00 --> 00:33:29,50 	she gives him an envelope and he starts to open it.
DEAR_JOHN.srt 	DEAR_JOHN_DVS290 	00:45:08,00 --> 00:45:14,50 	his father opens the door and stands the carton upright.
DEAR_JOHN.srt 	DEAR_JOHN_DVS316 	00:48:50,00 --> 00:48:56,50 	behind him, the front door opens, and the couple enters.
DEAR_JOHN.srt 	DEAR_JOHN_DVS428 	01:04:01,00 --> 01:04:08,50 	back in afghanistan, a pallet drops from a plane, and a parachute opens above it.
DEAR_JOHN.srt 	DEAR_JOHN_DVS450 	01:06:08,00 --> 01:06:18,50 	later, a soldier opens a mailbag and searches its contents.
DEAR_JOHN.srt 	DEAR_JOHN_DVS532 	01:16:28,00 --> 01:16:34,50 	he sets one bag down, opens the screen door and heads inside.
DEAR_JOHN.srt 	DEAR_JOHN_DVS539 	01:16:57,00 --> 01:17:02,50 	he takes out a blue velvet box and opens it.
DEAR_JOHN.srt 	DEAR_JOHN_DVS689 	01:33:06,00 --> 01:33:10,50 	his mouth opens as if to speak.
DEAR_JOHN.srt 	DEAR_JOHN_DVS739 	01:37:46,00 --> 01:37:51,50 	he opens the screen door and steps outside.
DEAR_JOHN.srt 	DEAR_JOHN_DVS756 	01:39:13,00 --> 01:39:19,50 	outside, someone opens his trunk to reveal the collection.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS143 	00:33:01,00 --> 00:33:06,50 	someone opens the door.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS147 	00:36:22,00 --> 00:36:27,50 	he opens someone's door, bashing it against a post.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS188 	00:43:14,00 --> 00:43:19,50 	someone opens the door.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS199 	00:47:48,00 --> 00:47:54,50 	someone opens the door and peeps through the crack.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS202 	00:48:00,00 --> 00:48:05,50 	someone opens his eyes and grins.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS234 	00:58:40,00 --> 00:58:46,50 	someone opens his eyes but doesn't see someone is behind him.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS328 	01:18:54,00 --> 01:19:00,50 	then opens a box containing mouse wedding-wear.
DISTRICT_9.srt 	DISTRICT_9_DVS192 	00:22:04,00 --> 00:22:12,50 	pointing his rifle, someone kicks open the door and the yellow alien steps out
DISTRICT_9.srt 	DISTRICT_9_DVS243 	00:26:54,00 --> 00:27:00,50 	he opens the door for the little one to go out.
DISTRICT_9.srt 	DISTRICT_9_DVS471 	00:54:35,00 --> 00:54:46,50 	as an mnu chopper passes overhead, he opens the door to one shanty and enters.
DISTRICT_9.srt 	DISTRICT_9_DVS557 	01:05:33,00 --> 01:05:44,50 	another thug opens a curtain, and the bald one wheels someone out.
DISTRICT_9.srt 	DISTRICT_9_DVS601 	01:10:38,00 --> 01:10:54,50 	they open an elevator.
DISTRICT_9.srt 	DISTRICT_9_DVS607 	01:11:20,00 --> 01:11:27,50 	now an elevator door opens, and the soldiers enter a bombed out floor.
DISTRICT_9.srt 	DISTRICT_9_DVS628 	01:13:37,00 --> 01:13:45,50 	the breach opens onto a motor pool containing dozens of armored mnu pickups.
DISTRICT_9.srt 	DISTRICT_9_DVS737 	01:27:00,00 --> 01:27:06,50 	the robot's arms lower, and its chest cavity opens before him.
DISTRICT_9.srt 	DISTRICT_9_DVS741 	01:27:27,00 --> 01:27:47,50 	an alien opens its shaft door and joins a group of five others outside.
DISTRICT_9.srt 	DISTRICT_9_DVS824 	01:37:06,00 --> 01:37:17,50 	the truck door opens.
EASY_A.srt 	EASY_A_DVS16 	00:04:34,00 --> 00:04:45,50 	friday afternoon, someone opens a greeting card that reads, "to my granddaughter, you're my pocket full of sunshine."
EASY_A.srt 	EASY_A_DVS17 	00:04:46,00 --> 00:04:51,50 	saturday morning, someone opens the card again.
