21_JUMP_STREET.srt 	21_JUMP_STREET_DVS41 	00:04:38,00 --> 00:04:43,50 	the oddly matched recruits cover each other.
DISTRICT_9.srt 	DISTRICT_9_DVS739 	01:27:07,00 --> 01:27:28,50 	aboard one, a mercenary peers at the elaborate technology covering the sunny hall.
DISTRICT_9.srt 	DISTRICT_9_DVS749 	01:28:39,00 --> 01:28:58,50 	as it releases a burst of smoke, someone crouches and covers his mouth.
FLIGHT.srt 	FLIGHT_DVS99 	00:17:08,00 --> 00:17:15,50 	in the cockpit, someone sleeps with paper covering his eyes, and his sunglasses over the paper.
FLIGHT.srt 	FLIGHT_DVS138 	00:26:18,00 --> 00:26:23,50 	the other eye is covered by a bandage.
FLIGHT.srt 	FLIGHT_DVS207 	00:47:18,00 --> 00:47:23,50 	his eye still covered by a bandage, looks around.
FLIGHT.srt 	FLIGHT_DVS235 	00:49:56,00 --> 00:50:02,50 	someone removes a blanket covering the windshield, and switches on the lights.
FLIGHT.srt 	FLIGHT_DVS391 	01:02:46,00 --> 01:02:52,50 	someone is laid back in the armchair, watching as someone's hands move up to cover his hand.
FLIGHT.srt 	FLIGHT_DVS498 	01:11:33,00 --> 01:11:38,50 	someone covers her mouth with her hand.
FLIGHT.srt 	FLIGHT_DVS501 	01:12:31,00 --> 01:12:36,50 	someone covers someone with a blanket, then turns off the video and switches off the light.
FLIGHT.srt 	FLIGHT_DVS1226 	02:09:28,00 --> 02:09:33,50 	a board hangs above the desk, covered in photographs and cards.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS123 	00:32:58,00 --> 00:33:07,50 	now at the gq offices, someone compares to cover mockups, one featuring someone, the other president obama.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS184 	00:49:52,00 --> 00:49:58,50 	someone covers his eyes with her hands, then removes them.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS128 	01:16:03,00 --> 01:16:08,50 	someone lies back as a blanket covering her midriff rides.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS146 	01:25:19,00 --> 01:25:25,50 	munching chocolate covered strawberries someone watches.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS154 	01:26:45,00 --> 01:26:51,50 	as someone heads off, a stunned someone covers her mouth.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS47 	00:07:43,00 --> 00:07:49,50 	stepping outside, he covers his eyes.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS194 	00:30:37,00 --> 00:30:54,50 	covered in swirling day-glo patterns, the van sputters fumes as it travels up the road.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS353 	00:52:32,00 --> 00:52:42,50 	the one in front removes his hood revealing tattooed writing covering his face and bald scalp.
GREEN_ZONE.srt 	GREEN_ZONE_DVS334 	01:15:26,00 --> 01:15:46,50 	graffiti covers its walls and bars protect its windows.
GREEN_ZONE.srt 	GREEN_ZONE_DVS426 	01:34:01,00 --> 01:34:10,50 	he ducks aside with his rifle and covers someone's advance.
GREEN_ZONE.srt 	GREEN_ZONE_DVS461 	01:41:00,00 --> 01:41:12,50 	he reaches a landing where a giant american flag covers one of the walls.
GROWN_UPS.srt 	GROWN_UPS_DVS69 	00:20:12,00 --> 00:20:17,50 	someone covers someone's eyes.
HUGO.srt 	HUGO_DVS80 	00:10:32,00 --> 00:10:38,50 	he steps to a worktable covered in gears, sprockets, and schematic drawings.
HUGO.srt 	HUGO_DVS303 	00:46:45,00 --> 00:46:51,50 	she curls up and covers her head as people step over and around her.
HUGO.srt 	HUGO_DVS428 	01:02:36,00 --> 01:02:44,50 	someone stares at someone as he draws a deep breath then drops his head and covers his face with his hand.
HUGO.srt 	HUGO_DVS568 	01:23:22,00 --> 01:23:29,50 	the train's engineer, wearing goggles and covered in soot, leans out of the engine car.
HUGO.srt 	HUGO_DVS573 	01:23:59,00 --> 01:24:06,50 	the engineer and stoker cover their faces.
HUGO.srt 	HUGO_DVS750 	01:49:46,00 --> 01:49:53,50 	someone sits on the bottom of the clock with his feet resting on a small ledge covered in snow.
IN_TIME.srt 	IN_TIME_DVS269 	00:27:44,00 --> 00:27:50,50 	his body covered in a downy white comforter.
IN_TIME.srt 	IN_TIME_DVS304 	00:31:31,00 --> 00:31:36,50 	someone covers his clock with his sleeve.
INSIDE_MAN.srt 	INSIDE_MAN_DVS79 	00:19:39,00 --> 00:19:52,50 	someone moves pass the females, some of whom cover their bodies demurely.
INSIDE_MAN.srt 	INSIDE_MAN_DVS383 	01:51:29,00 --> 01:51:34,50 	lanky robber cover a shelving unit.
IRON_MAN_2.srt 	IRON_MAN_2_DVS193 	00:35:35,00 --> 00:36:10,50 	as he stands, the suit expands, covering someone's entire body.
IRON_MAN_2.srt 	IRON_MAN_2_DVS193 	00:35:35,00 --> 00:36:10,50 	other metal plates pop up from behind someone's neck, and cover his head, to form a red helmet and a silver mask with glowing eyes.
IRON_MAN_2.srt 	IRON_MAN_2_DVS429 	01:20:44,00 --> 01:20:50,50 	turning toward a large object covered with a sheet,
IRON_MAN_2.srt 	IRON_MAN_2_DVS595 	01:42:32,00 --> 01:42:46,50 	as dark smoke rises from the pellets, the guards cover their eyes.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS71 	00:21:54,00 --> 00:21:59,50 	as the rumbled sheets covering her crotch.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS107 	00:33:44,00 --> 00:33:52,50 	later in bed, someone lies curled up covering her eyes, beside her someone beams.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS324 	01:32:45,00 --> 01:32:52,50 	he turns away and covers his face with one hand.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS348 	01:38:37,00 --> 01:38:47,50 	her shadow passes over the curtains covering the window in the bathroom door.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS377 	01:46:11,00 --> 01:46:22,50 	someone covers her mother's hand with her own and someone touches his sister's forearm.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS144 	00:29:21,00 --> 00:29:29,50 	her mascara smeared, someone lies asleep cuddling poopsie among a pile of used tissues covering the bed.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS31 	00:03:29,00 --> 00:03:40,50 	the jeep drives past a tall decrepit warehouse and a water tower covered in graffiti.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS219 	00:41:25,00 --> 00:41:38,50 	someone grabs the hot lid from the floor, and covers the pot.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS359 	01:09:13,00 --> 01:09:20,50 	blood covers the actor's white blouse.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS611 	01:57:38,00 --> 01:57:47,50 	celery green paint covers the door and a set of drawers, and seafoam blue covers the cupboards.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS611 	01:57:38,00 --> 01:57:47,50 	celery green paint covers the door and a set of drawers, and seafoam blue covers the cupboards.
KARATE_KID.srt 	KARATE_KID_DVS222 	00:19:14,00 --> 00:19:26,50 	the boy winces painfully and covers the injury with both hands.
KARATE_KID.srt 	KARATE_KID_DVS661 	00:56:03,00 --> 00:56:12,50 	someone passes into a living room where soft light filters through ornate geometric screens covering the windows.
KARATE_KID.srt 	KARATE_KID_DVS1276 	01:43:11,00 --> 01:43:19,50 	she peeks through the ornate screens covering the windows, and studies someone and someone outside.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS81 	00:16:29,00 --> 00:16:36,50 	as the glitter clears, her dress has changed from striped to one covered in flames.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS267 	01:02:48,00 --> 01:02:53,50 	lying in a large bed, someone covers herself.
KNOCKED_UP.srt 	KNOCKED_UP_DVS107 	01:08:43,00 --> 01:08:48,50 	a woman covers her bare breast.
KNOCKED_UP.srt 	KNOCKED_UP_DVS167 	01:45:56,00 --> 01:46:04,50 	someone lounges in the tub covered in bubbles.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS207 	01:12:15,00 --> 01:12:21,50 	someone covers his mouth.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS384 	00:45:46,00 --> 00:45:54,50 	glancing down at it, someone struggles his way to the canvas covered bow and rolls over on top of the beam.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS418 	00:48:39,00 --> 00:48:47,50 	now flies swarm around the injured zebra, a thin white foam covering its lips.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS778 	01:19:40,00 --> 01:19:46,50 	as he points at the canvas covered section at the bow of the boat,
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS878 	01:28:39,00 --> 01:28:53,50 	perched on the bow, someone gazes at the panicked animal as swirling water covers them both.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS892 	01:30:04,00 --> 01:30:10,50 	water rushes along the boat and completely covers him.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS907 	01:31:06,00 --> 01:31:13,50 	sunlight shines on someone who stands atop the canvas covering the lifeboat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS910 	01:31:18,00 --> 01:31:28,50 	viewed from high overhead, the half covered lifeboat resembles a tiny, two-toned capsule adrift in a sea of black.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS958 	01:34:53,00 --> 01:34:59,50 	he anchors the tool firmly around a moss covered root.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS969 	01:35:46,00 --> 01:35:52,50 	a layer of densely interlocked roots covers the ground.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS973 	01:36:08,00 --> 01:36:16,50 	thousands of meerkats stand up straight with their tawny fur covered chests pumped out.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1055 	01:45:13,00 --> 01:45:18,50 	sand covers someone's face as he peers at the beast.
MORNING_GLORY.srt 	MORNING_GLORY_DVS169 	00:40:01,00 --> 00:40:05,50 	someone covers her face.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS179 	00:25:12,00 --> 00:25:17,50 	covering his ears he drops the penguin.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS487 	00:59:16,00 --> 00:59:21,50 	his kids arrive and gape at the snow covered living room.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS511 	01:01:24,00 --> 01:01:30,50 	in the snow covered apartment, someone builds a snowman.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS516 	01:01:41,00 --> 01:01:47,50 	as someone arrives, nimrod tumbles down a slide covering the stairs.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS541 	01:04:43,00 --> 01:04:51,50 	later, on his terrace, he builds a small covering with wooden beams with blankets draped across them.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS258 	00:55:50,00 --> 00:55:56,50 	the bird covers his beak with his wing.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS504 	01:33:00,00 --> 01:33:06,50 	someone covers freckles completely with his cardigan and heads along a corridor.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS218 	00:53:05,00 --> 00:53:10,50 	someone covers the seat with toilet paper.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS287 	01:09:02,00 --> 01:09:07,50 	as someone replays it, someone covers his eyes.
PROMETHEUS.srt 	PROMETHEUS_DVS65 	00:03:39,00 --> 00:03:45,50 	a membrane covering a small cup disintegrates.
PROMETHEUS.srt 	PROMETHEUS_DVS705 	01:14:48,00 --> 01:14:57,50 	he rests motionlessly with his eyes closed and a breathing mask covering his nose and mouth.
PROMETHEUS.srt 	PROMETHEUS_DVS749 	01:21:02,00 --> 01:21:10,50 	as the crewman forces her down, someone presses up on the plastic covering his face.
PROMETHEUS.srt 	PROMETHEUS_DVS835 	01:30:29,00 --> 01:30:34,50 	gazing thoughtfully, she covers her mouth.
PROMETHEUS.srt 	PROMETHEUS_DVS1030 	01:52:02,00 --> 01:52:09,50 	the giant squid-like creature wriggles around completely covering its prey.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS384 	01:14:12,00 --> 01:14:19,50 	someone subtly covers his face.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS608 	01:54:25,00 --> 01:54:38,50 	they leave and our view returns to someone who remains at the table covering her mouth with her hand.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS114 	00:29:07,00 --> 00:29:16,50 	it covers his eyes.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS184 	00:44:17,00 --> 00:44:22,50 	lady someone nervously covers her mouth.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS318 	01:16:43,00 --> 01:16:59,50 	at her feet, someone sleeps on the floor in an undershirt, a blanket covering him from the waist down.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS91 	00:16:09,00 --> 00:16:14,50 	she rides away down a leaf covered path.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS207 	00:34:24,00 --> 00:34:30,50 	later, someone covers a laughing someone's eyes.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS330 	00:53:36,00 --> 00:53:42,50 	after a shower, someone covers herself with a towel.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS470 	01:11:23,00 --> 01:11:30,50 	half-eaten snacks litter the coffee table and a blanket covers her feet.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS502 	01:17:48,00 --> 01:17:53,50 	standing in the pool, someone covers his eyes.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS529 	01:21:59,00 --> 01:22:04,50 	she covers her face with her hands.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS537 	01:23:56,00 --> 01:24:02,50 	someone covers her face with her hands and glances aside.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS543 	01:24:32,00 --> 01:24:36,50 	she covers her mouth.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS587 	01:27:41,00 --> 01:27:48,50 	breathing heavily, someone lies on her side with her arm covering her face.
SALT.srt 	SALT_DVS117 	00:22:06,00 --> 00:22:26,50 	she slides off her panties and uses them to cover its lens.
SALT.srt 	SALT_DVS328 	00:58:53,00 --> 00:58:59,50 	bandages still cover much of her swollen face.
SANCTUM.srt 	SANCTUM_DVS280 	00:56:28,00 --> 00:56:33,50 	and someone covers her with the metal tissue-thin space blanket.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS69 	00:05:10,00 --> 00:05:18,50 	following her gaze, someone finds an unconscious someone covered in casts and bandages.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS428 	00:28:31,00 --> 00:28:38,50 	n the foyer, a well-dressed man sits at a table covered in artwork.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS584 	00:39:00,00 --> 00:39:06,50 	upon seeing them, he covers his mouth and steps back out.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS597 	00:39:41,00 --> 00:39:46,50 	someone covers her mouth in distress.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS601 	00:40:06,00 --> 00:40:12,50 	someone steps into view with her face covered as well.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS937 	01:00:48,00 --> 01:00:55,50 	they share a grave look, then lean over and adjust the blankets covering the children at their feet.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS946 	01:01:28,00 --> 01:01:35,50 	the father dusts snow off the child's clothes and adjusts the blanket to cover him.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1199 	01:20:57,00 --> 01:21:04,50 	several fans covered in writing sit on an open bundle of plain white cloth.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1470 	01:39:16,00 --> 01:39:21,50 	she covers someone's hand with her own.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS163 	00:31:41,00 --> 00:32:07,50 	someone runs his hand over various items, then stops in front of a figurine covered in acupuncture needles.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS319 	01:04:59,00 --> 01:05:05,50 	as he covers his face, both sneaky mops imitate him.
SOUL_SURFER.srt 	SOUL_SURFER_DVS80 	00:26:52,00 --> 00:26:58,50 	he covers his eyes.
SOUL_SURFER.srt 	SOUL_SURFER_DVS254 	01:15:48,00 --> 01:16:01,50 	as someone stares after him, the little boy hurries towards a dune covered with fallen palm fronds.
SUPER_8.srt 	SUPER_8_DVS132 	00:20:06,00 --> 00:20:13,50 	as someone and someone rejoin the others someone glances down at a piece of wreckage covered in blood.
SUPER_8.srt 	SUPER_8_DVS144 	00:21:59,00 --> 00:22:05,50 	a bald man covered in blood sits slumped against the truck's steering wheel.
SUPER_8.srt 	SUPER_8_DVS311 	00:55:24,00 --> 00:55:30,50 	covered in cuts and bandages someone stares up at him.
SUPER_8.srt 	SUPER_8_DVS362 	01:04:06,00 --> 01:04:12,50 	covered in blood her father stirs behind the steering wheel,
SUPER_8.srt 	SUPER_8_DVS595 	01:37:34,00 --> 01:37:40,50 	a covering on the creatures eyes slides upward.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS90 	00:12:51,00 --> 00:13:00,50 	someone shines his flashlight over the house's ivory covered exterior, then onto a fish carved above the front door.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS136 	00:20:38,00 --> 00:20:44,50 	someone picks up the newspaper, which is covered with bloody fingerprints.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS187 	00:27:52,00 --> 00:27:59,50 	now free, someone grabs a crowbar and jams the door, then covers its window.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS292 	00:42:04,00 --> 00:42:14,50 	a series of dots and dashes cover the paper, along with the word beggar.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS453 	01:06:13,00 --> 01:06:19,50 	face covered by a red bandana, red someone raises his sword.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS499 	01:12:13,00 --> 01:12:18,50 	far below stone dwellings cover a hillside.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS555 	01:17:31,00 --> 01:17:36,50 	snowy writhes then covers his ears with his paws.
