21_JUMP_STREET.srt 	21_JUMP_STREET_DVS237 	00:38:59,00 --> 00:39:08,50 	the coach tries to take it away but he keeps his hips
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS297 	00:23:08,00 --> 00:23:14,50 	someone takes a long drink, keeping his back to the laughing patron.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS412 	00:35:01,00 --> 00:35:10,50 	completely submerged, he bares his gritted teeth, and keeps a stubborn hold on the submarine.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS476 	00:42:38,00 --> 00:42:43,50 	someone keeps his back to someone, his gaze vulnerable.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS586 	00:54:58,00 --> 00:55:08,50 	standing among the soldiers with drawn weapons, someone keeps his fingers on his temple.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS947 	01:27:56,00 --> 01:28:02,50 	he removes the syringe and sits up, keeping his eyes fixed on his foot.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1118 	01:40:40,00 --> 01:40:45,50 	someone keeps his palm turned down to the sea.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1236 	01:51:29,00 --> 01:51:34,50 	someone keeps a finger to his temple.
ZOMBIELAND.srt 	ZOMBIELAND_DVS66 	00:05:44,00 --> 00:05:50,50 	the narrator shoots her in the chest but she keeps coming.
ZOMBIELAND.srt 	ZOMBIELAND_DVS82 	00:06:45,00 --> 00:06:54,50 	the narrator turns on his wipers to keep him at bay, then finishes reloading and shoots him in the shoulder.
ZOOKEEPER.srt 	ZOOKEEPER_DVS88 	00:19:25,00 --> 00:19:30,50 	someone keeps his back to him.
ZOOKEEPER.srt 	ZOOKEEPER_DVS107 	00:22:14,00 --> 00:22:41,50 	keeping his eyes on the animal, he walks backward out of view again.
ZOOKEEPER.srt 	ZOOKEEPER_DVS420 	01:31:25,00 --> 01:31:30,50 	someone keeps climbing.
