21_JUMP_STREET.srt 	21_JUMP_STREET_DVS26 	00:03:12,00 --> 00:03:18,50 	he gives the trashcan a kick then grabs his aching leg.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS596 	01:22:12,00 --> 01:22:46,50 	grabbing his guns, someone fires taking him down.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS596 	01:22:12,00 --> 01:22:46,50 	he fights his way free then grabs a huge pistol and blows the monster away.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS608 	01:24:36,00 --> 01:25:32,50 	he grabs his partner's weapon and attacks the new arrival knocking the monster over the edge.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS611 	01:25:54,00 --> 01:26:01,50 	as he slides head first over the edge, someone grabs his ankle.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS657 	01:32:57,00 --> 01:33:03,50 	she grabs a nearby rifle and heads after the vampire.
BAD_TEACHER.srt 	BAD_TEACHER_DVS133 	00:35:16,00 --> 00:35:27,50 	sticking the joint between his lips he jumps up and grabs the rope.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS34 	00:02:52,00 --> 00:03:02,50 	the fbi agent grabs the bulky duke university letter and stands.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS102 	00:14:51,00 --> 00:14:56,50 	he grabs someone and aims his gun at the thug's neck.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS112 	00:15:45,00 --> 00:15:50,50 	he grabs his phone from his pocket and turns it off.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS265 	00:44:55,00 --> 00:45:01,50 	someone and someone grab his arms and urge him to his feet.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS305 	00:49:59,00 --> 00:50:04,50 	out of breath, he grabs a curtain to brace himself.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS318 	00:53:29,00 --> 00:53:35,50 	he quickly grabs his radio.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS347 	00:57:16,00 --> 00:57:24,50 	she grabs another top.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS350 	00:57:25,00 --> 00:57:31,50 	grabbing someone's hand, she pulls him into a dressing room.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS361 	00:58:20,00 --> 00:58:25,50 	someone grabs a product.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS448 	01:11:30,00 --> 01:11:34,50 	he grabs the spinner.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS532 	01:23:08,00 --> 01:23:12,50 	he gets in and grabs her cell.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS632 	01:37:36,00 --> 01:37:42,50 	someone grabs the teens.
BLINDDATING.srt 	BLINDDATING_DVS78 	00:24:02,00 --> 00:24:06,50 	he grabs a pocket knife on a desk.
BRUNO.srt 	BRUNO_DVS142 	00:33:54,00 --> 00:34:07,50 	someone grabs an elephant foot.
BRUNO.srt 	BRUNO_DVS142 	00:33:54,00 --> 00:34:07,50 	his assistant grabs the box, and someone helps him set it down.
BRUNO.srt 	BRUNO_DVS173 	00:47:26,00 --> 00:47:30,50 	someone grabs a man's sign.
BURLESQUE.srt 	BURLESQUE_DVS110 	00:14:39,00 --> 00:14:48,50 	so she doffs her brown-leather jacket and grabs an empty tray from the bar.
BURLESQUE.srt 	BURLESQUE_DVS195 	00:29:24,00 --> 00:29:29,50 	she grabs a newspaper and holds it overhead.
BURLESQUE.srt 	BURLESQUE_DVS303 	00:41:15,00 --> 00:41:20,50 	someone watches as someone grabs his phone off the bed.
BURLESQUE.srt 	BURLESQUE_DVS354 	00:49:01,00 --> 00:49:07,50 	someone grabs a musician out of the band and pulls him onstage.
BURLESQUE.srt 	BURLESQUE_DVS380 	00:52:58,00 --> 00:53:04,50 	as someone grabs her stuff, someone self-consciously looks away.
BURLESQUE.srt 	BURLESQUE_DVS452 	01:01:51,00 --> 01:01:54,50 	he grabs her bag.
BURLESQUE.srt 	BURLESQUE_DVS472 	01:05:09,00 --> 01:05:14,50 	someone marches over and grabs the card.
BURLESQUE.srt 	BURLESQUE_DVS652 	01:40:59,00 --> 01:41:03,50 	she grabs her jacket.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS196 	00:35:40,00 --> 00:35:48,50 	putting on a pair of glasses with dark lenses, he grabs a metal wheel and turns it with both hands.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS218 	00:38:50,00 --> 00:39:08,50 	someone cuts down the agents with machine gun fire as he passes, then grabs his wounded shoulder.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS297 	00:56:46,00 --> 00:56:54,50 	as anti-aircraft shells burst in the sky, someone grabs his shield and moves toward the plane door.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS319 	01:00:22,00 --> 01:00:30,50 	he examines a chest-high cylindrical object studded with glowing blue components, then grabs a small device about the size of a cigarette lighter and slips it into his pants pocket.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS342 	01:03:39,00 --> 01:03:47,50 	someone grabs a grenade from an open crate and hurls it into enemy ranks, exploding several hydra soldiers.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS380 	01:08:26,00 --> 01:08:32,50 	someone runs and leaps, grabbing on to the far railing just before the beam falls.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS424 	01:17:04,00 --> 01:17:09,50 	she grabs his tie and pulls him behind a bookcase.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS459 	01:22:36,00 --> 01:22:41,50 	someone grabs a handle attached to the cable.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS481 	01:24:49,00 --> 01:24:59,50 	someone grabs the shield and hurls it into the trooper.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS519 	01:33:07,00 --> 01:33:14,50 	grabbing his shield, someone leaps off the moving motorcycle and tackles a trooper.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS561 	01:38:01,00 --> 01:38:08,50 	someone leaps and grabs a cable, then swing over the heads of the battling soldiers.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS605 	01:43:01,00 --> 01:43:13,50 	someone grabs his leg and the two men grapple.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS629 	01:45:28,00 --> 01:45:35,50 	grabbing the controls, someone steers out of the vast expanse of clouds.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS205 	00:16:38,00 --> 00:16:42,50 	someone grabs the man.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS223 	00:17:52,00 --> 00:17:58,50 	someone hurriedly grabs his things and rushes out the door.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS405 	00:38:01,00 --> 00:38:07,50 	someone grabs the cupcake from him, eyes it, then tosses it in the back.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS426 	00:40:30,00 --> 00:40:35,50 	he grabs his board and heads to the water.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS451 	00:43:50,00 --> 00:43:56,50 	swimming underwater, he grabs her ankle and pulls her back.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS478 	00:46:00,00 --> 00:46:05,50 	she grabs a pot from the stove as someone continues feasting.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS562 	00:54:31,00 --> 00:54:37,50 	he pulls the cigar box from the drawer and grabs his wad of cash.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS652 	01:02:42,00 --> 01:02:48,50 	as the creature swims away, the mentor grabs the teen and urges him up toward the surface.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS670 	01:05:09,00 --> 01:05:15,50 	someone leans behind the counter and grabs his stuff.
CHRONICLE.srt 	CHRONICLE_DVS32 	00:04:03,00 --> 00:04:08,50 	watching the girls, he grabs a bag of chips.
CHRONICLE.srt 	CHRONICLE_DVS83 	00:11:24,00 --> 00:11:31,50 	someone grabs the cameraman.
CHRONICLE.srt 	CHRONICLE_DVS228 	00:32:48,00 --> 00:32:53,50 	with his free hand, he grabs the camera.
CHRONICLE.srt 	CHRONICLE_DVS235 	00:33:28,00 --> 00:33:34,50 	someone grabs him.
CHRONICLE.srt 	CHRONICLE_DVS389 	00:59:14,00 --> 00:59:20,50 	left alone, someone grabs his backpack and heads out.
CHRONICLE.srt 	CHRONICLE_DVS445 	01:05:26,00 --> 01:05:30,50 	someone grabs his wrist.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS26 	00:06:48,00 --> 00:06:56,50 	letting them back down, she grabs him by the collar and kisses him.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS42 	00:09:00,00 --> 00:09:08,50 	as she holds them out to the groggy boxer, he grabs her arm and pulls her in for a kiss.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS49 	00:09:42,00 --> 00:09:58,50 	wearing suspenders over his t-shirt, he grabs the bottles.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS58 	00:11:26,00 --> 00:11:31,50 	he grabs a coat and heads to the door.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS74 	00:14:24,00 --> 00:14:29,50 	the boy gets up and grabs the salami off the
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS466 	01:48:37,00 --> 01:48:42,50 	he peels off his dress shirt and grabs a coat hanger.
COLOMBIANA.srt 	COLOMBIANA_DVS138 	00:12:44,00 --> 00:12:50,50 	someone grabs the hidden knife and stabs his hand to the table.
COLOMBIANA.srt 	COLOMBIANA_DVS142 	00:13:03,00 --> 00:13:09,50 	someone grabs the gunman.
COLOMBIANA.srt 	COLOMBIANA_DVS175 	00:15:29,00 --> 00:15:35,50 	stepping onto a stack of wooden crates, she grabs the first rung.
COLOMBIANA.srt 	COLOMBIANA_DVS214 	00:18:26,00 --> 00:18:30,50 	he grabs a tissue.
COLOMBIANA.srt 	COLOMBIANA_DVS231 	00:19:40,00 --> 00:19:45,50 	with a frown, she grabs the passport and money.
COLOMBIANA.srt 	COLOMBIANA_DVS351 	00:32:04,00 --> 00:32:09,50 	he grabs a thermos.
COLOMBIANA.srt 	COLOMBIANA_DVS648 	01:00:46,00 --> 01:00:53,50 	staring cautiously, someone grabs a gun resting in one of men's hands.
COLOMBIANA.srt 	COLOMBIANA_DVS665 	01:02:31,00 --> 01:02:38,50 	as the sharks attack, he flails and grabs futily at the glass.
COLOMBIANA.srt 	COLOMBIANA_DVS723 	01:08:48,00 --> 01:08:53,50 	someone grabs her arms and holds her at bay.
COLOMBIANA.srt 	COLOMBIANA_DVS734 	01:09:30,00 --> 01:09:37,50 	grabbing his phone, he heads over and gazes down at the slumbering beauty.
COLOMBIANA.srt 	COLOMBIANA_DVS760 	01:13:32,00 --> 01:13:39,50 	his friend grabs his left behind phone off the table and makes a call with it.
COLOMBIANA.srt 	COLOMBIANA_DVS1024 	01:37:06,00 --> 01:37:13,50 	as she kicks his pistol away, he grabs her wrist and redirects her aim.
COLOMBIANA.srt 	COLOMBIANA_DVS1026 	01:37:14,00 --> 01:37:21,50 	he grabs its barrel and strikes her in the head, snatching it away as she stumbles.
COLOMBIANA.srt 	COLOMBIANA_DVS1027 	01:37:18,00 --> 01:37:25,50 	he raises it and she grabs a glass off a shelf and hurls it at him.
COLOMBIANA.srt 	COLOMBIANA_DVS1032 	01:37:38,00 --> 01:37:43,50 	then grabs the towel's other end.
COLOMBIANA.srt 	COLOMBIANA_DVS1038 	01:37:55,00 --> 01:38:02,50 	as he grabs the gun from the tub, she knocks it to the floor.
COLOMBIANA.srt 	COLOMBIANA_DVS1041 	01:38:14,00 --> 01:38:24,50 	she grabs a toothbrush on the ground and stabs him with it.
COLOMBIANA.srt 	COLOMBIANA_DVS1044 	01:38:27,00 --> 01:38:34,50 	he grabs her wrists, holding her back, but she twists free and slashes at him.
COLOMBIANA.srt 	COLOMBIANA_DVS1046 	01:38:34,00 --> 01:38:37,50 	he charges, grabbing her around the waist.
COLOMBIANA.srt 	COLOMBIANA_DVS1049 	01:38:40,00 --> 01:38:48,50 	she lands a punch, sending someone crumpling to the floor where he grabs the abandoned gun.
COLOMBIANA.srt 	COLOMBIANA_DVS1084 	01:42:55,00 --> 01:42:59,50 	he grabs the phone.
DEAR_JOHN.srt 	DEAR_JOHN_DVS34 	00:04:47,00 --> 00:04:51,50 	he grabs his surfboard.
DEAR_JOHN.srt 	DEAR_JOHN_DVS164 	00:25:26,00 --> 00:25:36,50 	he playfully grabs her side, startling the live young beauty.
DEAR_JOHN.srt 	DEAR_JOHN_DVS303 	00:47:12,00 --> 00:47:19,50 	later in a conference room, he shakes hands with two soldiers then grabs his bag.
DEAR_JOHN.srt 	DEAR_JOHN_DVS324 	00:50:18,00 --> 00:50:30,50 	grimacing, he grabs at the door.
DEAR_JOHN.srt 	DEAR_JOHN_DVS481 	01:11:03,00 --> 01:11:12,50 	he grabs noodles by the vest and drags him out of harms way.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS396 	01:36:47,00 --> 01:36:59,50 	someone grabs an imaginary weapon from a woman's cleavage and lobs it at someone who catches it, throws it back and it gets someone in the heart.
DISTRICT_9.srt 	DISTRICT_9_DVS327 	00:35:47,00 --> 00:36:00,50 	pale and sickly, he briefly turns away from the surrounding guests, wipes his mouth then grabs a knife.
DISTRICT_9.srt 	DISTRICT_9_DVS331 	00:36:17,00 --> 00:36:28,50 	he grabs a napkin and starts to mop it up, but collapses onto the table and rolls to the floor.
DISTRICT_9.srt 	DISTRICT_9_DVS480 	00:55:45,00 --> 00:55:58,50 	he grabs the refugee with his alien hand, then collapses.
DISTRICT_9.srt 	DISTRICT_9_DVS518 	01:00:25,00 --> 01:00:42,50 	noticing his reddened chest, someone grabs a broken mirror.
DISTRICT_9.srt 	DISTRICT_9_DVS530 	01:02:55,00 --> 01:03:00,50 	he grabs a pamphlet.
DISTRICT_9.srt 	DISTRICT_9_DVS569 	01:07:09,00 --> 01:07:15,50 	powers up, as the thug grabs a machete.
DISTRICT_9.srt 	DISTRICT_9_DVS576 	01:08:04,00 --> 01:08:13,50 	someone grabs the bag.
DISTRICT_9.srt 	DISTRICT_9_DVS609 	01:11:36,00 --> 01:11:41,50 	the glassing grabs the canister.
DISTRICT_9.srt 	DISTRICT_9_DVS687 	01:20:37,00 --> 01:20:45,50 	grabbing someone's shirt, someone lifts his captive to his feet.
EASY_A.srt 	EASY_A_DVS170 	00:54:51,00 --> 00:54:56,50 	someone grabs her.
EASY_A.srt 	EASY_A_DVS234 	01:12:44,00 --> 01:12:48,50 	he grabs her.
FLIGHT.srt 	FLIGHT_DVS75 	00:15:28,00 --> 00:15:34,50 	he tosses three miniature bottles as he grabs the spiked orange juice.
FLIGHT.srt 	FLIGHT_DVS92 	00:16:39,00 --> 00:16:45,50 	she grabs the packet of cocaine that kip gave her, and falls on her side.
FLIGHT.srt 	FLIGHT_DVS203 	00:46:58,00 --> 00:47:02,50 	he grabs a hidden key.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS72 	00:18:15,00 --> 00:18:20,50 	he grabs his bags.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS115 	00:31:31,00 --> 00:31:38,50 	she grabs his head by the hair, pulls his head to hers and pinches his tongue.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS216 	00:57:44,00 --> 00:57:50,50 	he grabs her ankles.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS39 	00:06:46,00 --> 00:06:55,50 	someone grabs him, slams him into a shelving unit, then clutches the collar of his leather jackets and peers into his eyes.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS42 	00:07:14,00 --> 00:07:21,50 	someone grabs a new empty bottle of wine from a table and smells its contents.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS43 	00:07:20,00 --> 00:07:28,50 	he dumps out the remaining alcohol, grabs the bottle by its neck, then chucks it past someone through a window.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS48 	00:07:56,00 --> 00:08:05,50 	he grabs a chain from his bag, hurls it at someone, then wraps it around his neck.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS107 	00:17:17,00 --> 00:17:23,50 	staring, someone grabs his brutish henchmen's shoulder.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS108 	00:17:24,00 --> 00:17:47,50 	ghost rider grabs the mustached thug's face.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS160 	00:24:59,00 --> 00:25:05,50 	grabbing her wrist, he brings the gun to his head.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS181 	00:29:19,00 --> 00:29:25,50 	as he crawls from the wrecked suv, the thug grabs his ankle.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS255 	00:40:32,00 --> 00:40:49,50 	from a balcony, someone and someone watch with wide eyes as the wheel slams a truck and some shipping containers then grabs them with the toothy ridges along its perimeter.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS268 	00:41:57,00 --> 00:42:06,50 	he grabs her.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS306 	00:46:35,00 --> 00:46:40,50 	grabbing the slab, someone lifts it.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS314 	00:47:39,00 --> 00:47:48,50 	someone grabs his head.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS370 	00:54:24,00 --> 00:54:30,50 	someone grabs a bottle from a table in the middle of a rotunda.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS385 	00:57:01,00 --> 00:57:09,50 	someone grabs the possessed man's shoulder and they sit down.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS425 	01:01:15,00 --> 01:01:22,50 	someone swipes at another monk with his free hand but the monk grabs his throat.
