40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS76 	00:40:29,00 --> 00:40:39,50 	he closes his mouth and stuffs his hands in his pockets.
COLOMBIANA.srt 	COLOMBIANA_DVS1002 	01:35:31,00 --> 01:35:38,50 	someone squeezes his eyes closed as her bullets hit the floor near his feet.
COLOMBIANA.srt 	COLOMBIANA_DVS1013 	01:36:22,00 --> 01:36:26,50 	his weapon raised, someone closes himself into a bathroom.
DEAR_JOHN.srt 	DEAR_JOHN_DVS198 	00:31:15,00 --> 00:31:33,50 	his father closes the oven door, crosses to an island counter and watches him.
DEAR_JOHN.srt 	DEAR_JOHN_DVS383 	01:00:09,00 --> 01:00:13,50 	with a wistful look, she closes her eyes.
DEAR_JOHN.srt 	DEAR_JOHN_DVS434 	01:04:33,00 --> 01:04:47,50 	then closes the lid.
DEAR_JOHN.srt 	DEAR_JOHN_DVS445 	01:05:29,00 --> 01:05:36,50 	she closes her eyes regretfully.
DEAR_JOHN.srt 	DEAR_JOHN_DVS496 	01:12:29,00 --> 01:12:37,50 	as helooks at the nurse's kind expression, someone's vision gets blurrier, and he closes his eyes.
DEAR_JOHN.srt 	DEAR_JOHN_DVS559 	01:18:23,00 --> 01:18:32,50 	someone closes the envelopes flap, and tucks the letter against the side of his body.
DEAR_JOHN.srt 	DEAR_JOHN_DVS777 	01:41:51,00 --> 01:41:56,50 	and blissfully closes her eyes.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS198 	00:47:27,00 --> 00:47:38,50 	he backs into a door and slides down to the floor, limp, his eyes closed.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS203 	00:48:25,00 --> 00:48:33,50 	someone jogs over to the table and closes a folder full of slides and finds someone's phone.
FLIGHT.srt 	FLIGHT_DVS70 	00:14:19,00 --> 00:14:24,50 	she kicks the door closed.
FLIGHT.srt 	FLIGHT_DVS88 	00:16:14,00 --> 00:16:18,50 	she leans back, eyes closed.
FLIGHT.srt 	FLIGHT_DVS171 	00:38:16,00 --> 00:38:20,50 	someone closes his eyes.
FLIGHT.srt 	FLIGHT_DVS603 	01:23:29,00 --> 01:23:33,50 	he closes the door.
FLIGHT.srt 	FLIGHT_DVS913 	01:48:32,00 --> 01:48:37,50 	he closes the fridge door, and walks away.
FLIGHT.srt 	FLIGHT_DVS1179 	02:06:04,00 --> 02:06:08,50 	someone closes her file, and slowly walks to her seat.
FLIGHT.srt 	FLIGHT_DVS1228 	02:09:42,00 --> 02:09:48,50 	someone closes a bound book, and tosses his glasses on it.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS173 	00:28:19,00 --> 00:28:27,50 	now in someone's suv, someone sits with his eyes closed.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS177 	00:28:45,00 --> 00:29:12,50 	inside, someone hangs upside down, his eyes half closed in a placid gaze.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS267 	00:41:51,00 --> 00:42:00,50 	in the rearview mirror, she sees ghost rider closing in on his motorcycle.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS411 	01:00:00,00 --> 01:00:08,50 	now on the floor of the empty room, someone lies flat on his back with his eyes closed.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS535 	01:16:04,00 --> 01:16:12,50 	darkness closes in around the priest as someone's grasp decomposes him.
GREEN_ZONE.srt 	GREEN_ZONE_DVS29 	00:07:29,00 --> 00:07:34,50 	another soldier uses a mirror on the top of a closed thick metal door.
GREEN_ZONE.srt 	GREEN_ZONE_DVS192 	00:49:29,00 --> 00:49:41,50 	in a neglected, once luxurious bedroom, someone slings a backpack over his shoulder, closes the laptop, and grabs his gun from the bed.
GREEN_ZONE.srt 	GREEN_ZONE_DVS269 	01:02:43,00 --> 01:02:48,50 	someone closes the door behind them.
GREEN_ZONE.srt 	GREEN_ZONE_DVS448 	01:38:03,00 --> 01:38:15,50 	the battle scarred local presses his lips closed.
GROWN_UPS.srt 	GROWN_UPS_DVS136 	00:42:07,00 --> 00:42:16,50 	someone closes the urn and bows his head.
HUGO.srt 	HUGO_DVS98 	00:12:56,00 --> 00:13:00,50 	the white-haired man pulls down a gate as he closes his shop.
HUGO.srt 	HUGO_DVS382 	00:58:18,00 --> 00:58:24,50 	she opens the door then immediately closes it.
HUGO.srt 	HUGO_DVS392 	00:59:20,00 --> 00:59:28,50 	someone closes the armoire, steps back, then peers at a small panel near the top which juts out slightly.
HUGO.srt 	HUGO_DVS607 	01:27:29,00 --> 01:27:35,50 	someone closes a large book, then walks down the hallway.
IN_TIME.srt 	IN_TIME_DVS183 	00:19:48,00 --> 00:19:55,50 	she hurries off the bus and jogs back towards weis time lenders finding it closed.
IN_TIME.srt 	IN_TIME_DVS193 	00:20:28,00 --> 00:20:34,50 	two passengers climb off and the doors closed behind them.
IN_TIME.srt 	IN_TIME_DVS197 	00:20:53,00 --> 00:20:57,50 	he hurries inside and closes the door.
IN_TIME.srt 	IN_TIME_DVS272 	00:27:56,00 --> 00:28:03,50 	lying back down, he lets his head drop onto the pillow and closes his eyes.
IN_TIME.srt 	IN_TIME_DVS879 	01:33:14,00 --> 01:33:20,50 	as the doors slide shut, closing someone inside,
IN_TIME.srt 	IN_TIME_DVS896 	01:35:00,00 --> 01:35:07,50 	someone glances over her shoulder at someone's cruiser, which closes in.
INSIDE_MAN.srt 	INSIDE_MAN_DVS63 	00:17:17,00 --> 00:17:24,50 	another closes her eyes.
INSIDE_MAN.srt 	INSIDE_MAN_DVS153 	00:46:19,00 --> 00:46:26,50 	someone backs up into the bank and closes the door.
INSIDE_MAN.srt 	INSIDE_MAN_DVS172 	00:48:44,00 --> 00:48:54,50 	he forces her inside, closes the door and walks onward to another office.
INSIDE_MAN.srt 	INSIDE_MAN_DVS253 	01:18:21,00 --> 01:18:31,50 	in manhattan trust, someone exits the supply room, then closes the door.
IRON_MAN_2.srt 	IRON_MAN_2_DVS48 	00:06:31,00 --> 00:06:38,50 	the robotic arms descend into the floor which closes up.
IRON_MAN_2.srt 	IRON_MAN_2_DVS207 	00:37:49,00 --> 00:37:57,50 	the officer closes the door behind someone who walks into the room where a handcuffed someone, wearing only underwear, sits on a bench.
IRON_MAN_2.srt 	IRON_MAN_2_DVS211 	00:40:08,00 --> 00:40:16,50 	the officer closes the door.
IRON_MAN_2.srt 	IRON_MAN_2_DVS227 	00:42:45,00 --> 00:42:50,50 	the guard closes the door, locks it, and leaves.
IRON_MAN_2.srt 	IRON_MAN_2_DVS239 	00:43:46,00 --> 00:43:52,50 	they lead him outdoors, then throw him into the back of a van, and closes its doors.
IRON_MAN_2.srt 	IRON_MAN_2_DVS293 	00:54:20,00 --> 00:54:25,50 	someone closes his eyes, then opens them.
IRON_MAN_2.srt 	IRON_MAN_2_DVS424 	01:20:18,00 --> 01:20:23,50 	someone closes the door as she leaves.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS366 	01:42:48,00 --> 01:43:02,50 	clutching a rumpled tissue in her hands she closes her eyes and falls asleep.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS176 	00:34:49,00 --> 00:34:53,50 	she moves toward a closed stall.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS45 	00:05:23,00 --> 00:05:37,50 	someone opens french doors to a faux balcony, closing her eyes, as a breeze wafts through her curly hair.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS62 	00:06:58,00 --> 00:07:02,50 	someone closes her eyes.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS346 	01:06:20,00 --> 01:06:25,50 	someone beams and closes her eyes.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS487 	01:33:53,00 --> 01:34:07,50 	inside a market, she closes her eyes as she smells a bunch of fresh basil.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS42 	00:11:04,00 --> 00:11:12,50 	as the pair steps outside, adon struggles to close his lips around his straw.
KARATE_KID.srt 	KARATE_KID_DVS37 	00:03:23,00 --> 00:03:32,50 	his mother watches as he struggles to close it.
KARATE_KID.srt 	KARATE_KID_DVS1035 	01:24:01,00 --> 01:24:08,50 	the quickly closing door thins the shaft of light cast on the boy until it's gone.
KARATE_KID.srt 	KARATE_KID_DVS1365 	01:50:17,00 --> 01:50:22,50 	someone beams as her father closes the door.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS259 	01:01:40,00 --> 01:01:44,50 	bradford closes a laptop.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS361 	01:25:04,00 --> 01:25:10,50 	with her eyes closed, someone mouths the words, thank you, god.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS119 	00:27:36,00 --> 00:27:41,50 	closing her eyes, she leans forward.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS123 	00:28:37,00 --> 00:28:46,50 	escaping to a balcony, someone closes the sliding door and sits.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS150 	00:32:50,00 --> 00:32:57,50 	someone closes his cell and places it in the professor's hand.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS219 	00:50:28,00 --> 00:50:35,50 	windshield wipers swish before her view of the duo closing their umbrellas and entering.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS260 	01:02:08,00 --> 01:02:14,50 	she smiles through half closed eyes.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS382 	01:30:45,00 --> 01:30:55,50 	closing her eyes, someone gives a wide
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS101 	00:12:17,00 --> 00:12:24,50 	taking a disc of naan, he notices his host's eyes closed in prayer.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS209 	00:27:47,00 --> 00:27:52,50 	someone closes his lips and glances at someone.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS660 	01:10:07,00 --> 01:10:15,50 	reaching down, someone gingerly scoops up the other sides, closing it off, then yanks the fish out of the water.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS763 	01:18:47,00 --> 01:18:55,50 	closing his mouth, someone someone wiggles his nose and lip at the dangling morsel.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS966 	01:35:32,00 --> 01:35:37,50 	he closes his eyes and eats.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS52 	00:20:04,00 --> 00:20:08,50 	someone closes her mouth.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS73 	00:26:36,00 --> 00:26:43,50 	he squeezes the back of someone's neck and the boy goes limp, his eyes closed.
MORNING_GLORY.srt 	MORNING_GLORY_DVS70 	00:12:52,00 --> 00:12:58,50 	as the lift doors are closing, a man jams his arms in the doors and pushes them open.
MORNING_GLORY.srt 	MORNING_GLORY_DVS83 	00:14:53,00 --> 00:14:59,50 	she carries the last things into the removal truck and closes the door.
MORNING_GLORY.srt 	MORNING_GLORY_DVS198 	00:44:31,00 --> 00:44:35,50 	she pulls the door closed.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS132 	00:20:40,00 --> 00:20:45,50 	someone sleeps with the closed computer still on his lap.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS419 	00:48:38,00 --> 00:48:44,50 	at the dinner table someone closes his eyes.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS520 	01:02:13,00 --> 01:02:19,50 	as the elevator closes with his family inside,
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS251 	00:52:13,00 --> 00:52:33,50 	it bears an ankle strap at the back and a pale pink bow and rhinestone buckle on the closed toe.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS318 	01:10:23,00 --> 01:10:30,50 	lord someone closes the distance between them and glares at someone.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS551 	01:41:38,00 --> 01:41:43,50 	and the door starts to close.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS556 	01:41:56,00 --> 01:42:00,50 	the door closes.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS78 	00:20:20,00 --> 00:20:27,50 	with his eyes closed, someone's head hangs to the side.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS153 	00:35:01,00 --> 00:35:08,50 	water glistens on someone's cheek as the gash on his face closes up.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS181 	00:41:15,00 --> 00:41:23,50 	someone turns away and closes his eyes.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS188 	00:45:04,00 --> 00:45:10,50 	someone drops the shoe in the box and the newcomer quickly closes it.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS337 	01:23:25,00 --> 01:23:31,50 	and the man closes his bony fingers around them.
PROMETHEUS.srt 	PROMETHEUS_DVS249 	00:23:27,00 --> 00:23:35,50 	someone puts up his hood and hugs his jacket closed.
PROMETHEUS.srt 	PROMETHEUS_DVS307 	00:30:07,00 --> 00:30:13,50 	now, holloway's view closes in on a cave opening.
PROMETHEUS.srt 	PROMETHEUS_DVS426 	00:43:17,00 --> 00:43:22,50 	the hatch closes, holloway reaches someone.
PROMETHEUS.srt 	PROMETHEUS_DVS446 	00:46:59,00 --> 00:47:03,50 	it's eyes closed peacefully.
PROMETHEUS.srt 	PROMETHEUS_DVS705 	01:14:48,00 --> 01:14:57,50 	he rests motionlessly with his eyes closed and a breathing mask covering his nose and mouth.
PROMETHEUS.srt 	PROMETHEUS_DVS924 	01:41:38,00 --> 01:41:47,50 	a helmet closes over him.
PROMETHEUS.srt 	PROMETHEUS_DVS1059 	01:56:05,00 --> 01:56:11,50 	someone zips the bag closed over his earnest gaze.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS43 	00:06:57,00 --> 00:07:11,50 	someone closes the sedan's door and sits back in his seat next to the sandy-haired someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS258 	00:48:44,00 --> 00:49:19,50 	the gang leader takes off his suit coat and handgun, then ambles to a set of closed double doors.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS433 	01:22:44,00 --> 01:22:57,50 	someone closes his door most of the way, but leaves it cracked open.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS652 	02:03:16,00 --> 02:03:45,50 	a guard follows, closes a prison door, and locks it.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS701 	02:10:48,00 --> 02:10:55,50 	eyes closed, someone slowly shakes her head and takes a deep breath.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS111 	00:28:29,00 --> 00:28:41,50 	reaching down, he gently closes someone's eyes.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS272 	01:05:13,00 --> 01:05:20,50 	he entered the kitchen and someone closes the door on them.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS336 	01:22:32,00 --> 01:22:49,50 	he closes his hand over hers and stares into her eyes, taking in her earnest gaze.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS69 	00:12:16,00 --> 00:12:21,50 	someone closes his book and gets up.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS596 	01:28:33,00 --> 01:28:39,50 	the young man closes his eyes momentarily.
SALT.srt 	SALT_DVS550 	01:34:47,00 --> 01:35:09,50 	as someone's hand closes into a fist, she lunges for the emergency release.
SANCTUM.srt 	SANCTUM_DVS287 	00:57:34,00 --> 00:57:43,50 	as someone whispers to himself eyes closed, someone sits by him.
SANCTUM.srt 	SANCTUM_DVS313 	01:03:15,00 --> 01:03:21,50 	he closes his eyes and nods.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS278 	00:18:54,00 --> 00:18:59,50 	the matchmaker closes the fan.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS291 	00:19:43,00 --> 00:19:49,50 	then rests her cheek against them and closes her eyes.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS390 	00:25:51,00 --> 00:25:56,50 	closed together tightly.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS394 	00:26:12,00 --> 00:26:17,50 	closing his eyes, he gently kisses and caresses her foot.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS525 	00:34:04,00 --> 00:34:08,50 	now, a door closes someone into a room.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS554 	00:37:04,00 --> 00:37:09,50 	she dreamily closes her eyes.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS844 	00:55:52,00 --> 00:55:57,50 	she clings to him tightly, her eyes closed and her lips parted.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS978 	01:03:45,00 --> 01:03:53,50 	someone closes her eyes and brushes her cheek against her laotong's smooth skin.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1044 	01:08:20,00 --> 01:08:28,50 	someone flips her long hair and sidles closer to her laotong, her eyes closed in sensual pout.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1337 	01:31:51,00 --> 01:31:56,50 	she blinks her sad eyes and closes the fan.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1378 	01:33:57,00 --> 01:34:03,50 	someone blinks, then looks at someone through half closed eyes.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1400 	01:35:11,00 --> 01:35:20,50 	she gazes at someone, who lies peacefully by with her eyes closed and her hands folded on her stomach.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1451 	01:38:23,00 --> 01:38:28,50 	whose eyes are closed.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1458 	01:38:42,00 --> 01:38:48,50 	someone's remain closed.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1467 	01:39:08,00 --> 01:39:13,50 	closing her eyes, someone lifts someone's hand onto her stomach.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1469 	01:39:14,00 --> 01:39:18,50 	then closes her fingers around it.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1476 	01:39:30,00 --> 01:39:35,50 	her eyes still closed, squeezes her sister's hands.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS153 	00:30:23,00 --> 00:30:27,50 	someone closes his eyes.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS181 	00:35:35,00 --> 00:35:40,50 	he closes his eyes.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS423 	01:29:36,00 --> 01:29:43,50 	she closes her dark-lashed eyes and raises both arms.
SOUL_SURFER.srt 	SOUL_SURFER_DVS204 	01:06:46,00 --> 01:06:57,50 	as she closes the door, her brothers pile into the backseat with her.
SOUL_SURFER.srt 	SOUL_SURFER_DVS214 	01:09:06,00 --> 01:09:11,50 	someone closes his eyes.
SOUL_SURFER.srt 	SOUL_SURFER_DVS322 	01:35:20,00 --> 01:35:31,50 	she keeps just ahead of the barrel as it closes behind her.
SPARKLE_2012.srt 	SPARKLE_2012_DVS40 	00:07:10,00 --> 00:07:16,50 	someone carefully closes the door and hurries after them.
SPARKLE_2012.srt 	SPARKLE_2012_DVS75 	00:13:03,00 --> 00:13:09,50 	someone dances and the others close their bibles.
SPARKLE_2012.srt 	SPARKLE_2012_DVS93 	00:14:30,00 --> 00:14:38,50 	unnoticed, someone approaches a doorway and finds the reserved beauty singing with her eyes closed.
SPARKLE_2012.srt 	SPARKLE_2012_DVS131 	00:21:29,00 --> 00:21:33,50 	she closes her eyes as he kisses her.
SPARKLE_2012.srt 	SPARKLE_2012_DVS132 	00:21:35,00 --> 00:21:40,50 	her eyes still closed, he pulls back from the kiss.
