30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS312 	01:10:45,00 --> 01:10:51,50 	someone steps out and the mustang continues on down the dirt road.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS341 	01:03:22,00 --> 01:03:39,50 	someone scans his surroundings, then pulls out his pistol as he continues on.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS342 	01:03:39,00 --> 01:03:47,50 	in the control room, someone picks up a clear canister containing the glowing blue energy source as the timers continue to countdown.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS428 	01:17:42,00 --> 01:17:46,50 	someone stops and stares at someone, and rolls her eyes, and continues on.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS607 	01:43:30,00 --> 01:43:36,50 	now in free fall, the two men continue to fight as they float weightlessly.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS636 	01:46:50,00 --> 01:46:56,50 	someone continues to stare at the photo as the plane descends.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS653 	01:49:39,00 --> 01:49:45,50 	someone walks up to agent someone and sets down a folder, then continues on.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS428 	00:40:38,00 --> 00:40:44,50 	he pushes up over several small waves and continues further out.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS478 	00:46:00,00 --> 00:46:05,50 	she grabs a pot from the stove as someone continues feasting.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS914 	01:29:37,00 --> 01:29:44,50 	now, a wave several stories tall fills our view as it continues to gather mass.
COLOMBIANA.srt 	COLOMBIANA_DVS116 	00:09:25,00 --> 00:09:32,50 	tears continue to well up in her eyes as she watches her father in the doorway.
COLOMBIANA.srt 	COLOMBIANA_DVS126 	00:10:30,00 --> 00:10:38,50 	he shifts his gaze to someone who continues to stare straight ahead with a stoic expression.
COLOMBIANA.srt 	COLOMBIANA_DVS969 	01:33:23,00 --> 01:33:30,50 	it continues to reverse, driving over the mercedes's hood and crushing it.
DEAR_JOHN.srt 	DEAR_JOHN_DVS185 	00:29:29,00 --> 00:29:40,50 	an suv rounds a turn, pulls up beside him, and continues on.
DEAR_JOHN.srt 	DEAR_JOHN_DVS411 	01:02:40,00 --> 01:02:48,50 	outside, she glances over her shoulder and smiles at him, then continues away.
DEAR_JOHN.srt 	DEAR_JOHN_DVS468 	01:08:26,00 --> 01:08:35,50 	clenching his jaw, someone shakes his head, as he continues to toss letters into the flames.
DEAR_JOHN.srt 	DEAR_JOHN_DVS550 	01:17:51,00 --> 01:17:56,50 	a doctor reading a file, continues on her way.
DEAR_JOHN.srt 	DEAR_JOHN_DVS618 	01:24:24,00 --> 01:24:30,50 	someone continues toward her, then stops a few yards away.
DISTRICT_9.srt 	DISTRICT_9_DVS719 	01:25:00,00 --> 01:25:10,50 	someone continues.
DISTRICT_9.srt 	DISTRICT_9_DVS722 	01:25:16,00 --> 01:25:21,50 	the gunfight outside continues.
DISTRICT_9.srt 	DISTRICT_9_DVS792 	01:33:52,00 --> 01:33:56,50 	continuing their assault.
DISTRICT_9.srt 	DISTRICT_9_DVS826 	01:37:23,00 --> 01:37:39,50 	hundreds of feet above, the command module continues its steady ascent.
DISTRICT_9.srt 	DISTRICT_9_DVS833 	01:38:11,00 --> 01:38:18,50 	on his belly, someone continues doggedly through a patch of yellow weeds.
DISTRICT_9.srt 	DISTRICT_9_DVS864 	01:43:37,00 --> 01:43:51,50 	district 10 now houses 2.5 million aliens and continues to grow.
FLIGHT.srt 	FLIGHT_DVS226 	00:49:13,00 --> 00:49:18,50 	he continues his chore with determination, as he moves from cabinet to cabinet, removing and tossing bottles and cans.
FLIGHT.srt 	FLIGHT_DVS660 	01:29:39,00 --> 01:29:45,50 	she ends a call, and continues packing her things in the bedroom.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS39 	00:25:06,00 --> 00:25:12,50 	someone stalks off as someone continues to grin.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS186 	00:29:46,00 --> 00:30:06,50 	someone and someone both stare then continue the chase.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS276 	00:42:42,00 --> 00:43:07,50 	he stumbles back a few steps, then continues toward someone who holds his ground.
IN_TIME.srt 	IN_TIME_DVS281 	00:28:35,00 --> 00:28:41,50 	the auburn-haired young woman continues to watch with intrigued eyes.
IN_TIME.srt 	IN_TIME_DVS731 	01:17:58,00 --> 01:18:06,50 	the run around the corner of a chain link fence and continue behind a solid wall.
INSIDE_MAN.srt 	INSIDE_MAN_DVS262 	01:20:43,00 --> 01:21:07,50 	the detective continues onward.
INSIDE_MAN.srt 	INSIDE_MAN_DVS370 	01:47:14,00 --> 01:47:24,50 	she moves past a man in the urinal and continues on to a back room.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS145 	00:48:01,00 --> 00:48:09,50 	she waves back and someone continues to his car.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS177 	00:55:56,00 --> 00:56:05,50 	she manages a brief tearful smile and continues.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS79 	00:17:42,00 --> 00:17:47,50 	someone continues his call in the kitchen.
KARATE_KID.srt 	KARATE_KID_DVS27 	00:02:43,00 --> 00:02:48,50 	vanishing from view, as the van continues onward.
KARATE_KID.srt 	KARATE_KID_DVS121 	00:11:08,00 --> 00:11:13,50 	the maintenance men continue to stare.
KARATE_KID.srt 	KARATE_KID_DVS285 	00:25:32,00 --> 00:25:39,50 	someone notices the man watching him, but continues the drills.
KARATE_KID.srt 	KARATE_KID_DVS544 	00:49:04,00 --> 00:49:10,50 	someone continues to clean his dingy workroom.
KARATE_KID.srt 	KARATE_KID_DVS575 	00:51:26,00 --> 00:51:32,50 	he stares at them as his instructor continues.
KARATE_KID.srt 	KARATE_KID_DVS856 	01:10:33,00 --> 01:10:38,50 	as he continues the routine, someone strolls outside with a mug.
KARATE_KID.srt 	KARATE_KID_DVS913 	01:14:23,00 --> 01:14:31,50 	he continues sweeping the jacket around his body, practicing as he heads out of the courtyard.
KARATE_KID.srt 	KARATE_KID_DVS951 	01:17:53,00 --> 01:18:02,50 	someone continues up without breaking his stride.
KARATE_KID.srt 	KARATE_KID_DVS1149 	01:35:17,00 --> 01:35:23,50 	her father pats her shoulder and they continue up the aisle as someone helplessly watches them go.
KARATE_KID.srt 	KARATE_KID_DVS1314 	01:46:02,00 --> 01:46:28,50 	back in the courtyard, the pupil and teacher continue to spar.
KARATE_KID.srt 	KARATE_KID_DVS1408 	01:53:35,00 --> 01:53:52,50 	as the match continues, the fighting someone wraps his legs around his opponent's neck, and swings him to the mat.
KARATE_KID.srt 	KARATE_KID_DVS1480 	02:00:21,00 --> 02:00:44,50 	kicking his other leg out from under him, the fighting someone continues to pound on the knee.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS81 	00:27:20,00 --> 00:27:28,50 	continues to turn on the phonograph.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS160 	00:21:37,00 --> 00:21:42,50 	someone continues into a caged area.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS728 	01:15:45,00 --> 01:16:00,50 	he heaves it onto the canvas and turns starting down someone someone as fish continue flying by.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS876 	01:28:29,00 --> 01:28:37,50 	someone continues unhooking the canvas as the boat ramps off surging waves.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS561 	01:06:15,00 --> 01:06:19,50 	someone continues to stare off.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS273 	00:59:48,00 --> 01:00:04,50 	someone continues through the field, leaving the others behind.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS326 	01:12:07,00 --> 01:12:15,50 	someone yanks the pen from someone, then continues reading.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS258 	01:07:22,00 --> 01:07:33,50 	his sneakers lift him into the air where he continues his assault.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS398 	01:37:08,00 --> 01:37:18,50 	the someone's back grinds against the wall as he continues to plunge downward.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS459 	01:50:36,00 --> 01:50:43,50 	as someone continues across the lawn, more students pat his back.
PROMETHEUS.srt 	PROMETHEUS_DVS364 	00:35:37,00 --> 00:35:45,50 	the incorporeal figures continue down the tunnel.
PROMETHEUS.srt 	PROMETHEUS_DVS395 	00:39:50,00 --> 00:39:56,50 	holloway continues on around to a recess behind it.
PROMETHEUS.srt 	PROMETHEUS_DVS461 	00:48:47,00 --> 00:48:55,50 	later, the storm continues to pelt someone.
PROMETHEUS.srt 	PROMETHEUS_DVS664 	01:12:09,00 --> 01:12:14,50 	one continues toward someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS48 	00:08:08,00 --> 00:08:30,50 	as someone turns and walks away from the farmhouse, the woman continues to gaze after him.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS143 	00:25:47,00 --> 00:25:54,50 	and continues down the sidewalk with his jacket and arm around her.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS210 	00:50:28,00 --> 00:50:43,50 	he lifts his brow arrogantly, then continues down the corridor.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS320 	01:17:28,00 --> 01:17:54,50 	she glances back toward someone with parted lips, then continues out.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS371 	01:32:23,00 --> 01:32:32,50 	the flash back continues.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS33 	00:03:58,00 --> 00:04:07,50 	the young man lowers his gaze and continues exercising his arms.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS307 	00:48:58,00 --> 00:49:06,50 	later, they continue up the coast with the pacific ocean just feet from the road.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS417 	01:04:53,00 --> 01:04:59,50 	as he continues reading, someone stares at him intensely.
SALT.srt 	SALT_DVS430 	01:14:28,00 --> 01:14:37,50 	continuing in this manner, she gradually descends floor by floor.
SANCTUM.srt 	SANCTUM_DVS37 	00:08:13,00 --> 00:08:17,50 	he continues on.
SANCTUM.srt 	SANCTUM_DVS79 	00:16:48,00 --> 00:16:56,50 	they each continue their descent.
SANCTUM.srt 	SANCTUM_DVS123 	00:25:10,00 --> 00:25:16,50 	someone continues on and someone follows.
SANCTUM.srt 	SANCTUM_DVS260 	00:53:42,00 --> 00:53:47,50 	the others continue to wait in one line.
SANCTUM.srt 	SANCTUM_DVS304 	01:00:41,00 --> 01:00:46,50 	someone continues up an incline.
SANCTUM.srt 	SANCTUM_DVS314 	01:03:22,00 --> 01:03:29,50 	someone continues on wearing a bulky white rebreather on her back.
SANCTUM.srt 	SANCTUM_DVS543 	01:40:11,00 --> 01:40:17,50 	he takes another hit from the tank, then continues on.
SANCTUM.srt 	SANCTUM_DVS547 	01:40:43,00 --> 01:40:50,50 	kicking his flippers, he continues on along a rocky passage.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS170 	00:12:32,00 --> 00:12:39,50 	someone's brow furrows and she continues sorting through her friend's belongings.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS188 	00:13:38,00 --> 00:13:47,50 	another adult firmly holds the tearful recoiling girl's shoulder as the person continues binding her feet.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS615 	00:40:50,00 --> 00:40:57,50 	she maintains an emotionless expression as the villagers continue to pay their respects.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS969 	01:03:05,00 --> 01:03:11,50 	beyond them, snow continues to fall on the wooded campsite.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1195 	01:20:44,00 --> 01:20:49,50 	now in her apartment, someone continues reading the manuscript.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1241 	01:23:21,00 --> 01:23:27,50 	she continues onward, leaving the party.
SPARKLE_2012.srt 	SPARKLE_2012_DVS314 	00:52:14,00 --> 00:52:21,50 	she glances up at them with a reassuring look, and continues to the bottom.
SPARKLE_2012.srt 	SPARKLE_2012_DVS316 	00:52:23,00 --> 00:52:28,50 	she hands him a suitcase and they continue out the front door.
SPARKLE_2012.srt 	SPARKLE_2012_DVS384 	01:04:27,00 --> 01:04:34,50 	the two sisters stare with disappointed gazes, then continue on their way out.
SUPER_8.srt 	SUPER_8_DVS110 	00:17:57,00 --> 00:18:04,50 	someone, someone, and someone sprint through the burning wreckage as cars continue to pile up.
SUPER_8.srt 	SUPER_8_DVS125 	00:19:18,00 --> 00:19:23,50 	lying on its side the camera continues to run.
SUPER_8.srt 	SUPER_8_DVS220 	00:37:23,00 --> 00:37:32,50 	lights inside the gas station continue to flicker on and off as someone steps outside and walks toward the sheriff's car.
SUPER_8.srt 	SUPER_8_DVS558 	01:33:22,00 --> 01:33:29,50 	from across the chamber, someone keeps an eye on someone who continues to strike the lighter.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS676 	01:30:58,00 --> 01:31:06,50 	overhead someone and someone continue their crane duel.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS100 	00:24:18,00 --> 00:24:25,50 	someone smirks, then shakes her head and continues on alone.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS285 	00:55:20,00 --> 00:55:26,50 	he continues out with a numb expression.
THE_CALL.srt 	THE_CALL_DVS523 	00:40:28,00 --> 00:40:35,50 	he stops and glances back, then continues forward as the kidnapper looks up from the trunk.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS220 	00:34:55,00 --> 00:35:02,50 	keeping his head down, he wipes his eyes and continues across the bridge.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS382 	00:58:17,00 --> 00:58:22,50 	as the group continues up the dirt road, our view turns to follow them.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS412 	01:03:00,00 --> 01:03:09,50 	the sun sets behind the watery horizon as the foursome continues along the shore toward a distant resort,
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS593 	01:27:47,00 --> 01:27:53,50 	as the counselor continues speaking, someone's face crumples in anguish.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS625 	01:31:27,00 --> 01:31:33,50 	he continues caressing his daughter's hair.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS118 	00:11:23,00 --> 00:11:30,50 	as he takes out a cellphone, someone continues down the sidewalk.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS369 	00:45:32,00 --> 00:45:38,50 	as he stares down at her she continues to avoid his gaze.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS410 	00:47:58,00 --> 00:48:06,50 	now on a plane, a flight attendant serves someone then continues down the aisle.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1027 	01:50:32,00 --> 01:50:38,50 	continuing around the house he comes to the kitchen and living room.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1046 	01:51:42,00 --> 01:51:48,50 	meanwhile, someone continues to explore his sleek modern home.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1180 	02:06:07,00 --> 02:06:15,50 	as his prisoner continues to gasp for air, he presses on his midsection with his fingertips.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1218 	02:08:44,00 --> 02:08:52,50 	still about 50 yards away, someone continues her march towards the wreck through a gentle snowfall.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS129 	00:47:18,00 --> 00:47:24,50 	someone grits his teeth, as he continues driving off into the sunset.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS234 	01:16:21,00 --> 01:16:26,50 	where someone is continuing his presentation.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS284 	01:32:03,00 --> 01:32:09,50 	the scene fades to black and credits continue to scroll.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS10 	00:06:10,00 --> 00:06:20,50 	passing other pedestrians, he continues down a campus
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS114 	00:36:00,00 --> 00:36:11,50 	he pauses thoughtfully then continues.
THE_VOW.srt 	THE_VOW_DVS254 	00:31:53,00 --> 00:32:00,50 	someone continues through the kitchen, opening the high cabinets one at a time.
THE_VOW.srt 	THE_VOW_DVS298 	00:38:28,00 --> 00:38:33,50 	someone continues his search.
THE_VOW.srt 	THE_VOW_DVS408 	00:56:42,00 --> 00:56:46,50 	someone continues packing.
THE_WATCH.srt 	THE_WATCH_DVS46 	00:05:57,00 --> 00:06:04,50 	he shines his light on a torn open box, then continues at a weary pace.
THE_WATCH.srt 	THE_WATCH_DVS524 	01:31:43,00 --> 01:31:51,50 	the guys continue their dash to the exit, someone keeping hold of the orb.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS260 	00:48:38,00 --> 00:48:45,50 	the briefings continue.
THOR.srt 	THOR_DVS144 	00:21:11,00 --> 00:21:18,50 	his chest heaving, someone continues to stare at the someone, then turns his back to him.
THOR.srt 	THOR_DVS178 	00:24:00,00 --> 00:24:07,50 	spinning like a whirlwind, someone continues to battle frost giants as his friends flee.
THOR.srt 	THOR_DVS524 	01:23:59,00 --> 01:24:09,50 	nearby, someone crouches behind a parked car as the destroyer continues to advance.
THOR.srt 	THOR_DVS688 	01:42:40,00 --> 01:42:44,50 	then continues on.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS433 	00:46:02,00 --> 00:46:08,50 	as he continues to riff, his head down, she approaches.
TRUE_GRIT.srt 	TRUE_GRIT_DVS240 	00:50:19,00 --> 00:50:26,50 	as they continue to sit and wait,
TRUE_GRIT.srt 	TRUE_GRIT_DVS423 	01:23:16,00 --> 01:23:21,50 	out of sight in the trees, he drags her to her feet and they continue.
TRUE_GRIT.srt 	TRUE_GRIT_DVS532 	01:36:39,00 --> 01:36:46,50 	they continues along the plain passing the slain bodies of someone's gang.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS253 	00:23:59,00 --> 00:24:06,50 	she claps a hand over her cat's mouth, then continues to ogle her neighbor.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS148 	00:25:34,00 --> 00:25:45,50 	she moves along the dingy windows, continuing to wave as she watches them drive on.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS185 	00:32:42,00 --> 00:32:49,50 	someone smiles, then continues up the trail.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS188 	00:33:01,00 --> 00:33:13,50 	he touches his brow as he continues to review the expenses.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS207 	00:35:44,00 --> 00:36:05,50 	he pauses to 	scan his surroundings, then continues on his way.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS346 	00:56:03,00 --> 00:56:10,50 	someone remorsefully rights the barrel, then continues pacing.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS416 	01:06:20,00 --> 01:06:26,50 	he continues to sketch as she sits beside him at a picnic table.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS484 	01:15:11,00 --> 01:15:18,50 	someone hovers the cursor over an arrow icon to continue to the next image.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS597 	01:30:59,00 --> 01:31:07,50 	continuing to the next drawing, he finds a portrait of spar's face.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS428 	01:00:32,00 --> 01:00:36,50 	they continue walking.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS599 	01:21:20,00 --> 01:21:26,50 	as he continues down, someone starts to speak, then stops herself.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS601 	01:21:30,00 --> 01:21:34,50 	he continues down without looking up.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS752 	01:40:18,00 --> 01:40:23,50 	as the kiss continues, someone cradles someone's neck and grabs his shoulder.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS762 	01:41:42,00 --> 01:41:51,50 	our view continues to retract over a neighboring rooftop, until it encompasses several city blocks worth of apartment buildings.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS408 	00:34:32,00 --> 00:34:42,50 	the submarine shakes, but continues through the water as someone and his followers reach an all-white state-of-the-art bridge.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS733 	01:06:37,00 --> 01:06:44,50 	someone reaches out to her, but she turns away and continues out with someone.
ZOOKEEPER.srt 	ZOOKEEPER_DVS421 	01:31:28,00 --> 01:31:34,50 	bridge as they continue up the beam which now slants.
