21_JUMP_STREET.srt 	21_JUMP_STREET_DVS54 	00:05:43,00 --> 00:05:48,50 	a boy defiantly holds out torn bread.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS296 	01:07:20,00 --> 01:07:27,50 	fighting tears he holds a towel to his neck and hurries out.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS112 	00:57:31,00 --> 00:57:36,50 	a pudgy boy holds a pair of boots.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS169 	01:23:24,00 --> 01:23:30,50 	he holds the doll's head up and looks through its bionic eye.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS217 	01:44:06,00 --> 01:44:11,50 	she holds up pornos.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS35 	00:02:55,00 --> 00:03:01,50 	the girl grins, holding a candle.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS65 	00:05:10,00 --> 00:05:15,50 	they walk through an ikea store holding hands.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS128 	00:25:15,00 --> 00:25:19,50 	they hold each other close,
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS414 	01:11:24,00 --> 01:11:30,50 	he wanders out of the shop past another happy couple holding hands.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS430 	01:15:35,00 --> 01:15:40,50 	he's drawn a girl holding a dagger dripping blood.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS437 	01:16:29,00 --> 01:16:33,50 	he remembers holding hands in ikea, laughing in the car.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS176 	00:15:52,00 --> 00:15:57,50 	the dark-haired man holds out his hand.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS338 	00:30:13,00 --> 00:30:21,50 	someone rides in back, holding on to a pole.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS365 	00:33:42,00 --> 00:33:47,50 	someone offers a phone, but holds it back.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS444 	00:42:48,00 --> 00:42:53,50 	embracing, they hold each other tight.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS551 	00:53:30,00 --> 00:53:35,50 	the chopper holds position and hovers overhead.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS557 	00:53:49,00 --> 00:53:55,50 	someone holds his son's shoulder as they step into the street.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS648 	01:06:45,00 --> 01:06:52,50 	someone drops the cloth and paper wrappings, and holds up a dark metal cylinder.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS739 	01:14:16,00 --> 01:14:21,50 	in the vault, someone holds the phone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS880 	01:25:50,00 --> 01:26:00,50 	kicking his legs, someone keeps hold of the bumper.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS75 	00:20:12,00 --> 00:20:16,50 	someone holds up a scepter.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS77 	00:21:13,00 --> 00:21:19,50 	he holds it out to someone.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS128 	00:28:19,00 --> 00:28:24,50 	someone holds up three fingers.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS130 	00:28:29,00 --> 00:28:33,50 	someone holds up three fingers again.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS134 	00:28:52,00 --> 00:28:59,50 	someone holds his hand like a gun, points at his own head, then mimics firing several shots.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS138 	00:29:26,00 --> 00:29:32,50 	holding two cardboard trays filled with tall cups, someone pushes through the coffee shop door.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS147 	00:30:03,00 --> 00:30:08,50 	still holding his trays, someone runs after him.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS167 	00:31:28,00 --> 00:31:35,50 	someone holds up one hand, gives his car keys to the valet, then strides to his office building.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS170 	00:32:16,00 --> 00:32:20,50 	someone holds up his hands.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS176 	00:33:35,00 --> 00:33:40,50 	someone smile at christian and holds up two fingers.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS222 	00:43:22,00 --> 00:43:30,50 	at the coffee shop, someone mimes drinking, holding out his hands while opening his mouth wide, then pretends to pour something.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS233 	00:44:38,00 --> 00:44:43,50 	someone holds an austin powers doll.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS242 	00:47:01,00 --> 00:47:05,50 	sharon holds out a black handbag.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS248 	00:47:44,00 --> 00:47:50,50 	someone holds up the card, smiles, then walks off.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS307 	00:56:10,00 --> 00:56:16,50 	smiling he holds out a breadstick to samantha.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS322 	00:57:56,00 --> 00:58:02,50 	someone steps up to the bodhi tree, then holds up one finger.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS348 	01:00:43,00 --> 01:00:51,50 	later someone holds the photo in his hands and stares at it, as he leans against the base of the bodhi tree.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS362 	01:02:42,00 --> 01:02:49,50 	someone holds up his left hand, points to his wedding band then runs a finger across his own throat.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS364 	01:02:56,00 --> 01:03:02,50 	someone draws something on a placemat then holds it up to someone.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS368 	01:04:25,00 --> 01:04:30,50 	glancing around himself, someone holds out his arms.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS370 	01:05:24,00 --> 01:05:28,50 	someone holds up one palm.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS375 	01:05:55,00 --> 01:06:01,50 	he shuffles to a bar and holds up another bottle as he examines its contents.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS418 	01:12:31,00 --> 01:12:36,50 	someone steps out holding tyler in her arms.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS419 	01:12:43,00 --> 01:12:49,50 	someone holds up one palm then clasps someone's hand.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS429 	01:13:58,00 --> 01:14:03,50 	someone holds out a manuscript.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS431 	01:14:15,00 --> 01:14:19,50 	someone holds up a check.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS434 	01:14:42,00 --> 01:14:48,50 	someone holds up his hands and shakes his head, then leaves.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS479 	01:22:03,00 --> 01:22:07,50 	he holds the phone to one ear.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS483 	01:22:30,00 --> 01:22:34,50 	later someone holds a small book.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS142 	00:17:33,00 --> 00:17:42,50 	in the light of the now open door, someone holds the ax while someone crawls toward the door his face beaten and bloody.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS283 	00:40:49,00 --> 00:41:06,50 	someone nears his target holding his ax at the ready.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS298 	00:43:26,00 --> 00:43:32,50 	he rises from his victim and holds up his hands.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS306 	00:44:21,00 --> 00:44:32,50 	as the others look on, the unshaven man holds his ground awaiting the imminent attack.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS322 	00:46:21,00 --> 00:46:37,50 	with both hands, he swipes at someone and attempts to stab him in the heart, but an unseen force holds the blade back.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS338 	00:48:25,00 --> 00:48:31,50 	someone watches as he takes a knee and holds up a ring.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS347 	00:49:33,00 --> 00:49:39,50 	holding hands, someone and someone kiss.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS382 	00:53:32,00 --> 00:53:38,50 	among them, someone recoils from someone as she holds him tight.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS388 	00:54:19,00 --> 00:54:33,50 	seated in a chair, someone smirks while two of his underlings hold someone on his knees.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS399 	00:57:58,00 --> 00:58:03,50 	a vamp holds someone.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS427 	01:00:35,00 --> 01:00:46,50 	now in the rain, protesters hold up pro- and anti-slavery signs.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS519 	01:12:57,00 --> 01:13:06,50 	he holds up a shaking hand and a shaft of light shining through a hole in his chest hits his palm.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS552 	01:17:32,00 --> 01:17:39,50 	tipping it, he holds it firmly in both hands and regards it nostalgically.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS596 	01:22:12,00 --> 01:22:46,50 	his guns fall from his grasp as he struggles against the vampire holding him.
BAD_TEACHER.srt 	BAD_TEACHER_DVS59 	00:18:23,00 --> 00:18:30,50 	now the principal holds a nudie magazine.
BAD_TEACHER.srt 	BAD_TEACHER_DVS129 	00:34:35,00 --> 00:34:46,50 	with uncertain eyes the matronly teacher takes the joint, pinching it between two fingers she lifts it to her lips, inhales, then holds her breath.
BAD_TEACHER.srt 	BAD_TEACHER_DVS196 	00:55:28,00 --> 00:55:34,50 	he twitches, holding a near empty glass of white wine.
BAD_TEACHER.srt 	BAD_TEACHER_DVS296 	01:19:22,00 --> 01:19:27,50 	someone holds up a hand and nods.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS221 	00:36:47,00 --> 00:36:53,50 	he lifts the toilet seat, then holds up the front of his dress.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS275 	00:47:13,00 --> 00:47:20,50 	someone puts up his feet, then notices someone holding the necklace from the library.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS347 	00:57:16,00 --> 00:57:24,50 	and holds it up to someone.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS486 	01:15:18,00 --> 01:15:23,50 	someone shakes his head and holds his heart.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS494 	01:18:41,00 --> 01:18:45,50 	someone holds her close.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS624 	01:36:51,00 --> 01:36:56,50 	held at gun point, someone falters.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS670 	01:42:03,00 --> 01:42:08,50 	someone holds up his someone padding.
BLINDDATING.srt 	BLINDDATING_DVS13 	00:04:23,00 --> 00:04:29,50 	she holds her blouse closed over her chest.
BLINDDATING.srt 	BLINDDATING_DVS167 	00:43:20,00 --> 00:43:26,50 	on a park bench, someone and someone hold hands.
BLINDDATING.srt 	BLINDDATING_DVS172 	00:44:48,00 --> 00:44:57,50 	her mother holds her in a gentle embrace.
BLINDDATING.srt 	BLINDDATING_DVS189 	00:48:36,00 --> 00:48:42,50 	as someone stands by, someone holds the weights over his head.
BLINDDATING.srt 	BLINDDATING_DVS211 	00:52:45,00 --> 00:52:54,50 	someone holds it up and faces it critically.
BLINDDATING.srt 	BLINDDATING_DVS237 	00:57:44,00 --> 00:57:49,50 	someone takes the wine lists and holds it.
BLINDDATING.srt 	BLINDDATING_DVS239 	00:58:02,00 --> 00:58:26,50 	she holds its stem delicately in her fingertips and closes her mouth sensuously around the fruit.
BLINDDATING.srt 	BLINDDATING_DVS312 	01:16:09,00 --> 01:16:15,50 	someone holds him tight.
BLINDDATING.srt 	BLINDDATING_DVS343 	01:22:16,00 --> 01:22:33,50 	holding the receiver to her ear, she gazes at the engagement ring on her finger.
BRUNO.srt 	BRUNO_DVS19 	00:03:58,00 --> 00:04:03,50 	a bespectacled man holds a cup.
BRUNO.srt 	BRUNO_DVS54 	00:11:03,00 --> 00:11:09,50 	now, someone eyes a sign, extras holding.
BRUNO.srt 	BRUNO_DVS74 	00:15:51,00 --> 00:15:55,50 	he holds out his microphone.
BRUNO.srt 	BRUNO_DVS114 	00:25:16,00 --> 00:25:41,50 	someone pretends to hold someone's penis.
BRUNO.srt 	BRUNO_DVS124 	00:28:49,00 --> 00:28:53,50 	someone holds a basket on her head.
BRUNO.srt 	BRUNO_DVS157 	00:43:28,00 --> 00:43:44,50 	wears his headphones and sunglasses, as someone holds him on the scooter.
BRUNO.srt 	BRUNO_DVS159 	00:44:08,00 --> 00:44:13,50 	it shows him holding a boy.
BRUNO.srt 	BRUNO_DVS213 	00:58:59,00 --> 00:59:06,50 	now, in a field, the men hold rifles.
BRUNO.srt 	BRUNO_DVS255 	01:09:27,00 --> 01:09:32,50 	now, an announcer holds a mic.
BURLESQUE.srt 	BURLESQUE_DVS76 	00:06:58,00 --> 00:07:03,50 	a doorman holds out his hand.
BURLESQUE.srt 	BURLESQUE_DVS177 	00:25:28,00 --> 00:25:33,50 	she holds the photo of the mother and child.
BURLESQUE.srt 	BURLESQUE_DVS195 	00:29:24,00 --> 00:29:29,50 	she grabs a newspaper and holds it overhead.
BURLESQUE.srt 	BURLESQUE_DVS229 	00:33:48,00 --> 00:33:54,50 	holding the back of the chair, she seductively points her knees in and out.
BURLESQUE.srt 	BURLESQUE_DVS232 	00:33:57,00 --> 00:34:05,50 	someone holds her hands out like paws, then slaps her backside with her right, then with her left,
BURLESQUE.srt 	BURLESQUE_DVS281 	00:38:44,00 --> 00:38:48,50 	she holds it out to someone.
BURLESQUE.srt 	BURLESQUE_DVS290 	00:40:09,00 --> 00:40:15,50 	holding someone' gaze, someone gives a mild shrug.
BURLESQUE.srt 	BURLESQUE_DVS425 	00:58:39,00 --> 00:58:44,50 	someone smiles warmly as she holds his gaze.
BURLESQUE.srt 	BURLESQUE_DVS597 	01:28:01,00 --> 01:28:08,50 	he innocently holds a box of famous amos cookies over his privates.
BURLESQUE.srt 	BURLESQUE_DVS660 	01:41:43,00 --> 01:41:47,50 	she holds up a bottle of tequila.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS67 	00:09:55,00 --> 00:10:05,50 	someone holds up a trash can lid like a shield, but the large man tosses it aside and punches someone in the face.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS274 	00:50:30,00 --> 00:50:40,50 	on a stage in new york city, someone holds a motorcycle holding three singing women over his head as a long chorus line performs high kicks in front of him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS274 	00:50:30,00 --> 00:50:40,50 	on a stage in new york city, someone holds a motorcycle holding three singing women over his head as a long chorus line performs high kicks in front of him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS301 	00:57:49,00 --> 00:57:56,50 	a man holding a clipboard steps up to someone.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS421 	01:16:36,00 --> 01:16:43,50 	as someone leans against the table, the woman holds up her newspaper, 400 prisoners liberated.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS438 	01:19:21,00 --> 01:19:26,50 	someone hold the shield in front of himself as he and his squad members barge into a factory, firing their weapons.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS449 	01:20:25,00 --> 01:20:40,50 	studying a map, someone holds a compass with a picture of her inside the lid.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS647 	01:48:48,00 --> 01:48:59,50 	a serviceman holds a newspaper, v-day it's over in europe.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS659 	01:50:11,00 --> 01:50:20,50 	outside, a young boy holds a garbage can lid painted like captain america's shield as he plays with his friends.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS66 	00:05:42,00 --> 00:05:48,50 	the girl watches, holding her dog, as the man gets out.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS163 	00:12:58,00 --> 00:13:04,50 	he holds on, shaking his drenched head, and keeps paddling.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS195 	00:15:13,00 --> 00:15:20,50 	another teen holds out his arm in mock indignation.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS333 	00:29:16,00 --> 00:29:21,50 	brackets on the boards hold water bottles.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS351 	00:32:46,00 --> 00:32:53,50 	at the rim, someone holds onto a fence as he flips his board with his feet.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS408 	00:38:34,00 --> 00:38:41,50 	standing together, someone and someone hold long boards and gaze out at the waves.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS431 	00:40:51,00 --> 00:40:59,50 	sitting on his board, someone holds two arms in the air and someone shows a beaming smile from the beach.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS459 	00:44:35,00 --> 00:44:41,50 	now, someone treads water in a pool, holding a chair above his head.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS462 	00:44:54,00 --> 00:45:02,50 	his friend in a hunter's cap skateboards holding onto the moving bus and flashes the surfer a shaka sign.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS477 	00:45:57,00 --> 00:46:01,50 	holding a half-eaten chicken leg, someone faces her and smiles.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS495 	00:48:10,00 --> 00:48:15,50 	they hurry out of the room to find someone holding the baby.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS549 	00:53:08,00 --> 00:53:14,50 	holding a handful of dollar bills, someone eyes a print ad for $89 weather radio.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS565 	00:54:44,00 --> 00:54:48,50 	someone holds out the cash.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS661 	01:04:11,00 --> 01:04:15,50 	watching the clock, someone holds his breath.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS713 	01:10:18,00 --> 01:10:24,50 	holding each other close, someone and someone gaze into each other's eyes.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS846 	01:23:29,00 --> 01:23:34,50 	someone holds out cash.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS861 	01:24:42,00 --> 01:24:46,50 	her brow furrowed, someone holds him tight.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS869 	01:25:03,00 --> 01:25:08,50 	kneeling underwater, someone holds up a single finger.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS956 	01:33:56,00 --> 01:34:02,50 	hiking down with his loved ones, someone holds someone's hand.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS957 	01:34:03,00 --> 01:34:09,50 	a monstrous wave curls into a barrel big enough to hold a bus.
CHRONICLE.srt 	CHRONICLE_DVS38 	00:04:35,00 --> 00:04:40,50 	a dark-haired bully holds someone in a headlock.
CHRONICLE.srt 	CHRONICLE_DVS105 	00:14:39,00 --> 00:14:44,50 	someone holds a baseball in one hand.
CHRONICLE.srt 	CHRONICLE_DVS134 	00:19:55,00 --> 00:20:01,50 	on another day, his mother holds it as they sit at a waterfront cafe.
CHRONICLE.srt 	CHRONICLE_DVS157 	00:23:52,00 --> 00:23:57,50 	someone holds it up, showing its bent tines.
CHRONICLE.srt 	CHRONICLE_DVS167 	00:24:57,00 --> 00:25:02,50 	he holds a bloody tissue out at someone.
CHRONICLE.srt 	CHRONICLE_DVS219 	00:31:49,00 --> 00:31:56,50 	now, someone holds the camera out to record himself and someone in action.
CHRONICLE.srt 	CHRONICLE_DVS282 	00:43:18,00 --> 00:43:36,50 	someone raises a finger then holds out his hand.
CHRONICLE.srt 	CHRONICLE_DVS326 	00:49:47,00 --> 00:49:55,50 	as he holds it in suspension, the spider's legs all helplessly splay outward, pulled taut.
CHRONICLE.srt 	CHRONICLE_DVS330 	00:49:59,00 --> 00:50:04,50 	he holds the dismembered bits frozen in the air.
CHRONICLE.srt 	CHRONICLE_DVS355 	00:54:13,00 --> 00:54:18,50 	a dozen teens, each hold a white rose.
CHRONICLE.srt 	CHRONICLE_DVS374 	00:57:00,00 --> 00:57:05,50 	someone holds up three bloody teeth.
CHRONICLE.srt 	CHRONICLE_DVS380 	00:58:10,00 --> 00:58:18,50 	someone straightens his back and holds out a hand.
CHRONICLE.srt 	CHRONICLE_DVS450 	01:05:48,00 --> 01:05:53,50 	he holds paper towels to his nosebleed.
CHRONICLE.srt 	CHRONICLE_DVS456 	01:07:05,00 --> 01:07:11,50 	someone flies out from the smoke, holding his father by the ankle.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS21 	00:04:34,00 --> 00:04:37,50 	and holds a younger boy.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS27 	00:06:58,00 --> 00:07:04,50 	their lips still locked, someone rises and holds her in his arms.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS42 	00:09:00,00 --> 00:09:08,50 	as she holds them out to the groggy boxer, he grabs her arm and pulls her in for a kiss.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS43 	00:09:06,00 --> 00:09:10,50 	holds the socks to his face.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS70 	00:13:49,00 --> 00:14:00,50 	someone descends the stairs toward the open door holding someone.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS86 	00:16:04,00 --> 00:16:08,50 	someone holds out his hand.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS153 	00:33:42,00 --> 00:33:48,50 	someone holds out her hands, palms up, and someone takes them in his own
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS230 	00:49:30,00 --> 00:49:36,50 	someone holds up a pair of bright red boxing shoes.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS251 	01:02:16,00 --> 01:02:22,50 	someone holds up some money.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS334 	01:24:19,00 --> 01:24:26,50 	he holds the flowers out over the kitchen table.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS348 	01:26:35,00 --> 01:26:39,50 	policemen hold back a crowd.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS360 	01:27:57,00 --> 01:28:03,50 	someone holds onto her black shawl as it billows in the wind.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS399 	01:37:02,00 --> 01:37:06,50 	someone holds a cigar as he reads.
COLOMBIANA.srt 	COLOMBIANA_DVS168 	00:14:55,00 --> 00:15:04,50 	someone turns a sharp corner around a display of bowls holding chili peppers.
COLOMBIANA.srt 	COLOMBIANA_DVS213 	00:18:21,00 --> 00:18:26,50 	she finds the computer chip and holds it out.
COLOMBIANA.srt 	COLOMBIANA_DVS244 	00:20:34,00 --> 00:20:38,50 	she holds up her wad of cash.
COLOMBIANA.srt 	COLOMBIANA_DVS277 	00:23:08,00 --> 00:23:16,50 	holding her close, someone cradles her head in his hand as she sobs into his shoulder.
COLOMBIANA.srt 	COLOMBIANA_DVS294 	00:24:35,00 --> 00:24:41,50 	holding a newspaper, someone gives the girl a sidelong look.
COLOMBIANA.srt 	COLOMBIANA_DVS321 	00:28:16,00 --> 00:28:21,50 	he holds out the gun and the backpack.
