ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS47 	00:04:38,00 --> 00:04:43,50 	someone looks at his mother's sleeping face.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS367 	01:43:02,00 --> 01:43:12,50 	daytime, brilliant sunlight reflects off the surface of the pool and brightens someone's face as she sleeps on the lounge chair.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS46 	00:06:21,00 --> 00:06:28,50 	in a deserted baggage claim area, someone spots a sleeping janitor slumped on the floor.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS146 	00:29:45,00 --> 00:29:52,50 	he takes another look at his sister who sleeps soundly atop the covers, fully clothed.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS366 	01:09:51,00 --> 01:09:59,50 	in the living room, someone still sleeps.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS288 	01:34:14,00 --> 01:34:19,50 	an obese woman sleeps on a couch.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS308 	01:38:47,00 --> 01:38:55,50 	half asleep, someone ambles into the bathroom, where someone still sleeps with his hand in the toilet.
KARATE_KID.srt 	KARATE_KID_DVS60 	00:05:11,00 --> 00:05:25,50 	later, he sleeps on his mother's shoulder.
KARATE_KID.srt 	KARATE_KID_DVS60 	00:05:11,00 --> 00:05:25,50 	as time passes, someone's sleeping form fades in and out of multiple contortions in his seat.
KARATE_KID.srt 	KARATE_KID_DVS1034 	01:23:50,00 --> 01:23:57,50 	the mother smiles at the man, then goes to her sleeping son.she kisses someone's forehead and caresses his cheek.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS256 	01:01:30,00 --> 01:01:36,50 	later she sleeps with her head against a thick pillow.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS198 	01:10:22,00 --> 01:10:31,50 	poolside, the three pals sleep, wearing matching towels around their waists.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS118 	00:13:38,00 --> 00:13:42,50 	his brother sleeping beside him.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS273 	00:36:25,00 --> 00:36:31,50 	his parents sleep in a bed across the room.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS274 	00:36:30,00 --> 00:36:35,50 	he leans down to the bottom bunk and shakes his sleeping brother.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS902 	01:30:45,00 --> 01:30:53,50 	he looks across the boat at someone someone who sleeps on the bench in a small shaft of sunlight.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1009 	01:39:01,00 --> 01:39:08,50 	its head slumps over and it falls toward another sleeping meerkat.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS137 	00:20:53,00 --> 00:21:00,50 	as someone sleeps soundly, his penguin watches with its beak mere inches from his face.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS216 	00:31:24,00 --> 00:31:31,50 	someone slaps off his alarm, then frowns at a sleeping penguin with its head against his arm.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS292 	00:38:19,00 --> 00:38:24,50 	now the penguins sleep on someone's bed.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS142 	00:32:15,00 --> 00:32:41,50 	a lamp at the head of the bed illuminates the girls sleeping toe-to-toe under the covers next to geraldine who snores.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS143 	00:32:43,00 --> 00:32:49,50 	in the next bed over, the goat sleeps with his head on a pillow next to
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS154 	00:34:19,00 --> 00:34:33,50 	now in the children's room, someone's shadow passes over their sleeping forms.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS421 	01:17:14,00 --> 01:17:24,50 	someone's new boyfriend, bones, is sleeping on the backseat.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS571 	01:43:15,00 --> 01:43:19,50 	they sleep peacefully.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS207 	00:51:11,00 --> 00:51:16,50 	someone sleeps alone in the guest bedroom.
PROMETHEUS.srt 	PROMETHEUS_DVS140 	00:08:22,00 --> 00:08:28,50 	clad in bandage-like undergarments, she appears to sleep.
PROMETHEUS.srt 	PROMETHEUS_DVS194 	00:13:33,00 --> 00:13:40,50 	now, back in the groups sleep chamber, someone moves among the opening pods.
PROMETHEUS.srt 	PROMETHEUS_DVS724 	01:17:09,00 --> 01:17:14,50 	she sleeps on a wide lit exam table.
PROMETHEUS.srt 	PROMETHEUS_DVS744 	01:20:28,00 --> 01:20:33,50 	taking a few deep breaths she drifts off to sleep.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS528 	01:39:02,00 --> 01:39:16,50 	now outside on a moonlit shoreline, someone sits by a sleeping someone.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS138 	00:35:32,00 --> 00:35:38,50 	who sleeps below with his arms wrapped around his sword.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS140 	00:35:43,00 --> 00:35:47,50 	his mouth opened as he sleeps.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS305 	01:14:00,00 --> 01:14:19,50 	someone enters, sets down a bucket near several sleeping men and ambles over to tuck, who hands him a cup.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS308 	01:14:31,00 --> 01:14:42,50 	someone strides back to his bucket, picks it up and splashes water in the sleeping men.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS339 	00:55:07,00 --> 00:55:14,50 	she finds her son sleeping on his back, holding the book over his chest.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS60 	00:04:15,00 --> 00:04:21,50 	the young woman glances at her sleeping partner as she answers.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS707 	00:46:17,00 --> 00:46:23,50 	later, she sleeps in someone's bed with her arm draped over her friend.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS988 	01:04:30,00 --> 01:04:36,50 	sleeping with her hand over some of the manuscript pages.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1367 	01:33:25,00 --> 01:33:32,50 	now, in a modest bedroom, someone lies on a sleeping platform with her hands folded on her chest.
SPARKLE_2012.srt 	SPARKLE_2012_DVS44 	00:07:38,00 --> 00:07:46,50 	the girls scurry into a queen-size bed and pull over the blankets, pretending to sleep.
SPARKLE_2012.srt 	SPARKLE_2012_DVS555 	01:31:06,00 --> 01:31:12,50 	in a striped dress, she sleeps clutching a magazine.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS227 	00:35:27,00 --> 00:35:32,50 	one of the sleeping man clutches a rat.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS234 	00:36:11,00 --> 00:36:20,50 	a sleeping man rolls on top of someone, but he shoves him off.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS234 	00:36:11,00 --> 00:36:20,50 	both stacks of bunks collapse and bury someone under a pile of sleeping men.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS188 	00:36:50,00 --> 00:36:57,50 	now, pale light glows on someone's sleeping face.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS194 	00:37:22,00 --> 00:37:30,50 	with his thoughtful gaze fixed on the sleeping girl, someone lets his eyelids shut.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS100 	00:18:32,00 --> 00:18:39,50 	at the wheel, someone glances over at someone, who sleeps with her head leaned against the window.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS123 	00:12:46,00 --> 00:12:54,50 	now, sleeping beneath a white comforter, someone's co-editor awakes alone in bed.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS694 	01:16:36,00 --> 01:16:43,50 	she pauses eyeing the door, then glances back at her sleeping lover in the bedroom.
THOR.srt 	THOR_DVS459 	01:15:24,00 --> 01:15:29,50 	who sleeps in a recliner beside him on the roof.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS60 	00:07:46,00 --> 00:07:51,50 	now, the girl sleeps soundly in her bed.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS252 	00:32:45,00 --> 00:32:50,50 	with a frightened look, he steps out and stares at a sleeping cat.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS253 	00:32:56,00 --> 00:33:03,50 	someone carefully sidesteps past the head of the sleeping tabby.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS259 	00:33:28,00 --> 00:33:33,50 	and spots a sleeping boy across the room.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS381 	00:41:26,00 --> 00:41:33,50 	now, someone lifts a pillow and the head of the child sleeping on it, takes the tooth, and tosses down a dollar.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS741 	01:21:36,00 --> 01:21:40,50 	as someone sleeps soundly in her bed, someone's hand reaches under her pillow.
TRUE_GRIT.srt 	TRUE_GRIT_DVS31 	00:03:15,00 --> 00:03:20,50 	at the undertakers, lying in an open coffin, someone's bearded father looks serene as if he's sleeping.
TRUE_GRIT.srt 	TRUE_GRIT_DVS379 	01:18:06,00 --> 01:18:11,50 	she looks down at someone sleeping on animal hides.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS593 	01:30:30,00 --> 01:30:42,50 	at night, someone tucks a blanket around his sleeping son.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS600 	01:31:13,00 --> 01:31:19,50 	he looks back at his sleeping son and beams proudly.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS86 	00:07:38,00 --> 00:07:46,50 	glancing around, she opens it and heads a blank page with the words "people i've slept with."
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS48 	00:06:46,00 --> 00:06:55,50 	later, someone awakes in bed beside the brown-haired man who sleeps beside her with his arm draped over her stomach.
ZOMBIELAND.srt 	ZOMBIELAND_DVS399 	00:45:32,00 --> 00:45:39,50 	now little someone sleeps on someone's shoulder.
