21_JUMP_STREET.srt 	21_JUMP_STREET_DVS62 	00:06:21,00 --> 00:06:26,50 	the rookies approach the biker gang.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS515 	01:32:46,00 --> 01:33:01,50 	approaching the hydra base, someone mounts his shield on the front of his motorcycle.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS540 	01:35:54,00 --> 01:36:06,50 	hydra guards and troopers fire blaster weapons, incinerating some soldiers as they approach the base.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS542 	01:36:04,00 --> 01:36:19,50 	other troopers fall back toward the base as they fire at approaching soldier.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS550 	01:36:43,00 --> 01:36:59,50 	someone approaches from a connecting corridor and shoots her machine gun.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS251 	00:19:44,00 --> 00:19:51,50 	peering over a ridge, someone finds the men approaching a small isolated beach at the base of the slope.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS470 	00:45:28,00 --> 00:45:32,50 	now he approaches someone's house.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS541 	00:52:35,00 --> 00:52:42,50 	blond approaches the door as the bully drives off and someone blocks him with his bike.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS766 	01:16:25,00 --> 01:16:31,50 	glancing toward someone, someone approaches the pretty teen who wears an anguished gaze.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS773 	01:16:53,00 --> 01:16:59,50 	someone looks over her shoulder and finds him approaching his mentor.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS805 	01:19:33,00 --> 01:19:39,50 	stepping outside, he approaches the shed and peers in with a worried gaze.
CHRONICLE.srt 	CHRONICLE_DVS62 	00:07:10,00 --> 00:07:14,50 	they approach a building.
CHRONICLE.srt 	CHRONICLE_DVS68 	00:08:03,00 --> 00:08:07,50 	she approaches him.
CHRONICLE.srt 	CHRONICLE_DVS110 	00:15:32,00 --> 00:15:39,50 	the ball slows down as it approaches someone.
CHRONICLE.srt 	CHRONICLE_DVS200 	00:29:25,00 --> 00:29:29,50 	they approach mounds of sawdust.
CHRONICLE.srt 	CHRONICLE_DVS273 	00:41:46,00 --> 00:41:52,50 	sharing another camera's perspective, we approach someone.
CHRONICLE.srt 	CHRONICLE_DVS407 	01:00:51,00 --> 01:00:56,50 	now, we approach the park thugs.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS18 	00:03:55,00 --> 00:04:05,50 	the car backs out of a driveway as someone approaches a house.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS111 	00:25:42,00 --> 00:25:49,50 	to her feet and gazes attentively at her husband who approaches with a neutral expression on his face.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS218 	00:45:12,00 --> 00:45:18,50 	as the children devour cake slices, a priest approaches.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS238 	00:52:54,00 --> 00:52:58,50 	at someone's bar, someone approaches the radio.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS307 	01:14:08,00 --> 01:14:18,50 	she faces him sadly as he approaches.
COLOMBIANA.srt 	COLOMBIANA_DVS251 	00:21:09,00 --> 00:21:16,50 	someone reads a comic book as she waits on a platform for an approaching l train.
COLOMBIANA.srt 	COLOMBIANA_DVS464 	00:40:46,00 --> 00:40:53,50 	we glimpse an fbi jacket as the two teams approach a pair of waiting suvs.
COLOMBIANA.srt 	COLOMBIANA_DVS499 	00:44:34,00 --> 00:44:41,50 	now a black luxury car approaches a mansion nestled among palm trees.
COLOMBIANA.srt 	COLOMBIANA_DVS508 	00:46:03,00 --> 00:46:10,50 	from around a corner, someone watches him swagger out, then approaches someone.
COLOMBIANA.srt 	COLOMBIANA_DVS596 	00:56:11,00 --> 00:56:16,50 	now someone approaches two caged mastiffs.
COLOMBIANA.srt 	COLOMBIANA_DVS616 	00:58:23,00 --> 00:58:29,50 	several bodyguards get out and someone approaches them.
COLOMBIANA.srt 	COLOMBIANA_DVS790 	01:16:17,00 --> 01:16:25,50 	at the third precinct, shari approaches her desk and finds a female fbi agent working at her computer.
COLOMBIANA.srt 	COLOMBIANA_DVS818 	01:19:10,00 --> 01:19:17,50 	as the elevator approaches the 11th floor, agent someone draws his gun.
COLOMBIANA.srt 	COLOMBIANA_DVS847 	01:21:05,00 --> 01:21:12,50 	the swat team enters her apartment while she approaches the fresh hole in the wall.
COLOMBIANA.srt 	COLOMBIANA_DVS903 	01:25:06,00 --> 01:25:13,50 	the agent heads through an iron security gate and approaches the entrance of a brownstone building.
DEAR_JOHN.srt 	DEAR_JOHN_DVS124 	00:18:43,00 --> 00:18:49,50 	now they approach a partially constructed house.
DEAR_JOHN.srt 	DEAR_JOHN_DVS190 	00:29:59,00 --> 00:30:03,50 	someone approaches him.
DEAR_JOHN.srt 	DEAR_JOHN_DVS296 	00:45:55,00 --> 00:46:24,50 	someone approaches a cafe, where pedestrians gather outside.
DEAR_JOHN.srt 	DEAR_JOHN_DVS314 	00:48:40,00 --> 00:48:44,50 	they approach the front door.
DEAR_JOHN.srt 	DEAR_JOHN_DVS344 	00:53:16,00 --> 00:53:21,50 	a cigar-smoking man approaches someone.
DEAR_JOHN.srt 	DEAR_JOHN_DVS429 	01:04:10,00 --> 01:04:18,50 	later, two soldiers approach the fallen crate.
DEAR_JOHN.srt 	DEAR_JOHN_DVS452 	01:06:23,00 --> 01:06:32,50 	passing a group of soldiers playing football, he approaches other lounging on picnic tables outside a tent.
DEAR_JOHN.srt 	DEAR_JOHN_DVS759 	01:39:49,00 --> 01:39:54,50 	as someone leads the group, a soldier approaches him.
DISTRICT_9.srt 	DISTRICT_9_DVS155 	00:18:02,00 --> 00:18:14,50 	now they approach another.
DISTRICT_9.srt 	DISTRICT_9_DVS174 	00:20:12,00 --> 00:20:17,50 	the little alien approaches him with a canister.
DISTRICT_9.srt 	DISTRICT_9_DVS183 	00:21:15,00 --> 00:21:25,50 	a helicopter view outside shows someone's team approaching their shack.
DISTRICT_9.srt 	DISTRICT_9_DVS246 	00:27:16,00 --> 00:27:25,50 	the agents approach.
DISTRICT_9.srt 	DISTRICT_9_DVS265 	00:29:10,00 --> 00:29:14,50 	the alien blocks someone from approaching the shack.
DISTRICT_9.srt 	DISTRICT_9_DVS469 	00:54:11,00 --> 00:54:24,50 	he stands and watches several helicopters approach.
DISTRICT_9.srt 	DISTRICT_9_DVS658 	01:17:12,00 --> 01:17:18,50 	in the ship, someone approaches a chamber where a pilot seat pops out.
DISTRICT_9.srt 	DISTRICT_9_DVS684 	01:20:12,00 --> 01:20:19,50 	someone, aiming a rifle, cautiously approaches an open hatchway to the ship.
DISTRICT_9.srt 	DISTRICT_9_DVS823 	01:36:59,00 --> 01:37:04,50 	he watches the module approach the mother ship.
EASY_A.srt 	EASY_A_DVS243 	01:13:22,00 --> 01:13:29,50 	someone's car peals through the parking lot as the off-duty waiter approaches the tearful girl.
FLIGHT.srt 	FLIGHT_DVS247 	00:52:10,00 --> 00:52:18,50 	he enters a dining area with a buffet to one side, and approaches someone, seated with a man wearing glasses.
FLIGHT.srt 	FLIGHT_DVS852 	01:42:01,00 --> 01:42:05,50 	they approach a burly man.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS23 	00:05:52,00 --> 00:05:59,50 	now at the airport, she approaches a driver holding a name card.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS60 	00:15:54,00 --> 00:16:10,50 	as they move into a broadway style dance number, young people approach from all over the crowd.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS171 	00:47:21,00 --> 00:47:28,50 	she looks on as he approaches the beauty.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS348 	01:32:50,00 --> 01:32:56,50 	he approaches a hostess at the airport restaurant.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS82 	00:13:10,00 --> 00:13:33,50 	as he approaches the side of the building, a flaming blast erupts from its door.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS244 	00:39:01,00 --> 00:39:08,50 	through its sight, he sees ghost rider approaching.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS282 	00:43:33,00 --> 00:43:46,50 	approaching from behind with a tray of food, someone stops and follows someone's gaze.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS349 	00:52:11,00 --> 00:52:20,50 	they approach towering rock formations that appear constructed into, creating buildings within their natural structures.
GREEN_ZONE.srt 	GREEN_ZONE_DVS133 	00:30:39,00 --> 00:30:47,50 	they approach the open patio door.
GREEN_ZONE.srt 	GREEN_ZONE_DVS226 	00:56:22,00 --> 00:56:27,50 	opens his backpack and a guard approaches someone.
GREEN_ZONE.srt 	GREEN_ZONE_DVS462 	01:41:13,00 --> 01:41:19,50 	the washington official notices the approaching soldier.
HUGO.srt 	HUGO_DVS75 	00:09:54,00 --> 00:10:01,50 	reaching into a pocket, the boy takes out a set of keys as he approaches another metal door.
HUGO.srt 	HUGO_DVS88 	00:11:14,00 --> 00:11:20,50 	the news vendor - a rotund man wearing glasses and a beret - approaches the woman.
HUGO.srt 	HUGO_DVS112 	00:14:46,00 --> 00:14:56,50 	they approach a gate leading to a cemetery filled with snow dusted statues of hooded figures standing with their hands clasped and their heads bowed.
HUGO.srt 	HUGO_DVS169 	00:23:43,00 --> 00:23:49,50 	the news vendor smiles as he approaches the woman and her dog.
HUGO.srt 	HUGO_DVS456 	01:05:50,00 --> 01:05:58,50 	he returns them to the brown-haired woman then approaches the flower seller, who arranges bouquets for display.
HUGO.srt 	HUGO_DVS710 	01:43:57,00 --> 01:44:05,50 	someone dives under some nearby cafe tables as the inspector turns and approaches frick and the cafe owner.
HUGO.srt 	HUGO_DVS783 	01:53:35,00 --> 01:53:39,50 	someone approaches him.
IN_TIME.srt 	IN_TIME_DVS62 	00:06:56,00 --> 00:07:01,50 	noticing, someone approaches the wealthy man.
IN_TIME.srt 	IN_TIME_DVS258 	00:26:30,00 --> 00:26:35,50 	in the hotel, someone approaches the front desk.
IN_TIME.srt 	IN_TIME_DVS307 	00:31:41,00 --> 00:31:50,50 	both players lift their gazes as the auburn-haired young woman approaches with her dark-haired guard right behind her.
IN_TIME.srt 	IN_TIME_DVS405 	00:43:31,00 --> 00:43:37,50 	someone coldly turns away and someone approaches someone.
IN_TIME.srt 	IN_TIME_DVS446 	00:48:09,00 --> 00:48:16,50 	as he turns his head to stare at it, the roadster approaches a spike strip laid across the street.
IN_TIME.srt 	IN_TIME_DVS485 	00:52:47,00 --> 00:52:58,50 	they race down a deserted road and approach a building with a sign over the entrance reading simply pawn.
IN_TIME.srt 	IN_TIME_DVS592 	01:03:20,00 --> 01:03:26,50 	climbing out of the cruiser, someone approaches the oblivious someone.
IN_TIME.srt 	IN_TIME_DVS608 	01:05:17,00 --> 01:05:24,50 	now, someone totes a gun as he approaches the group surrounding someone.
IN_TIME.srt 	IN_TIME_DVS681 	01:13:54,00 --> 01:14:03,50 	someone approaches the destroyed window trailed by his men.
IN_TIME.srt 	IN_TIME_DVS712 	01:16:03,00 --> 01:16:09,50 	someone gets out, approaches him, and aims again.
IN_TIME.srt 	IN_TIME_DVS722 	01:17:13,00 --> 01:17:19,50 	outside, timekeepers approach someone.
IN_TIME.srt 	IN_TIME_DVS726 	01:17:38,00 --> 01:17:43,50 	peering through blinds, he sees timekeepers approaching.
IN_TIME.srt 	IN_TIME_DVS727 	01:17:42,00 --> 01:17:47,50 	peering through blinds, he sees timekeepers approaching.
IN_TIME.srt 	IN_TIME_DVS761 	01:20:19,00 --> 01:20:26,50 	now, the two outlaws enter a sunlit hotel lobby and approach the desk.
INSIDE_MAN.srt 	INSIDE_MAN_DVS10 	00:03:43,00 --> 00:03:47,50 	someone is approaching van.
INSIDE_MAN.srt 	INSIDE_MAN_DVS33 	00:07:27,00 --> 00:07:33,50 	someone approaches the standing hasidic man.
INSIDE_MAN.srt 	INSIDE_MAN_DVS36 	00:08:03,00 --> 00:08:09,50 	the slim policeman approaches the entrance and tries the doors.
INSIDE_MAN.srt 	INSIDE_MAN_DVS54 	00:15:26,00 --> 00:15:31,50 	someone approaches the eight-year-old.
INSIDE_MAN.srt 	INSIDE_MAN_DVS59 	00:16:02,00 --> 00:16:19,50 	the leader approaches the executive and turns his ear to the man.
INSIDE_MAN.srt 	INSIDE_MAN_DVS73 	00:18:54,00 --> 00:19:00,50 	he approaches the turbaned loan officer who holds out a set of keys.
INSIDE_MAN.srt 	INSIDE_MAN_DVS128 	00:36:47,00 --> 00:36:55,50 	someone approaches a balding man.
INSIDE_MAN.srt 	INSIDE_MAN_DVS190 	00:54:23,00 --> 00:54:29,50 	now, in the command truck, someone approaches the construction worker.
INSIDE_MAN.srt 	INSIDE_MAN_DVS254 	01:18:31,00 --> 01:18:43,50 	the mastermind enters the secured office, approaches the desk and picks up the phone.
INSIDE_MAN.srt 	INSIDE_MAN_DVS261 	01:20:15,00 --> 01:20:41,50 	someone approaches one of the side offices and turns back to someone.
INSIDE_MAN.srt 	INSIDE_MAN_DVS263 	01:21:13,00 --> 01:21:20,50 	someone approaches another closed door and turns the knob.
INSIDE_MAN.srt 	INSIDE_MAN_DVS296 	01:30:08,00 --> 01:30:15,50 	approaching the vault, officers spread out.
INSIDE_MAN.srt 	INSIDE_MAN_DVS398 	01:53:37,00 --> 01:53:50,50 	as someone approaches the basement stairs, the man exits the secured office and strides toward the vault.
INSIDE_MAN.srt 	INSIDE_MAN_DVS402 	01:54:17,00 --> 01:54:27,50 	now, someone approaches the black suv.
IRON_MAN_2.srt 	IRON_MAN_2_DVS75 	00:13:42,00 --> 00:13:51,50 	someone stands, approaches someone, and shakes his hand.
IRON_MAN_2.srt 	IRON_MAN_2_DVS129 	00:24:11,00 --> 00:24:17,50 	someone approaches someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS158 	00:29:31,00 --> 00:29:40,50 	sitting alone at a table, pepper watches the tv as another uniformed man throws down his helmet and stomps off as someone approaches a blue and white racecar.
IRON_MAN_2.srt 	IRON_MAN_2_DVS165 	00:31:09,00 --> 00:31:20,50 	watching from bleachers above the road, race fans lean over the fence and gawk as someone throws his helmet off and walks down the center of the road toward the approaching cars.
IRON_MAN_2.srt 	IRON_MAN_2_DVS171 	00:32:12,00 --> 00:32:22,50 	approaching racecars zoom around the limousine as someone drives faster.
IRON_MAN_2.srt 	IRON_MAN_2_DVS195 	00:36:18,00 --> 00:36:33,50 	approaching someone, iron man wraps the whip around his own suit several times, and punches someone's stomach and face.
IRON_MAN_2.srt 	IRON_MAN_2_DVS218 	00:42:09,00 --> 00:42:15,50 	outside the cell, a dark-haired guard approaches with a tray of food.
IRON_MAN_2.srt 	IRON_MAN_2_DVS270 	00:50:04,00 --> 00:50:13,50 	they approach two rows of white armored suits standing atop platforms.
IRON_MAN_2.srt 	IRON_MAN_2_DVS275 	00:51:21,00 --> 00:51:25,50 	someone approaches someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS289 	00:53:43,00 --> 00:53:49,50 	moments later, someone walks into someone's house and approaches pepper.
IRON_MAN_2.srt 	IRON_MAN_2_DVS309 	00:56:31,00 --> 00:56:38,50 	someone faces someone as he approaches.
IRON_MAN_2.srt 	IRON_MAN_2_DVS346 	01:02:10,00 --> 01:02:16,50 	someone, wearing a tight black leather outfit, approaches the booth.
IRON_MAN_2.srt 	IRON_MAN_2_DVS431 	01:20:49,00 --> 01:20:55,50 	he approaches the object and reads a plaque on its side.
IRON_MAN_2.srt 	IRON_MAN_2_DVS483 	01:26:49,00 --> 01:26:53,50 	someone approaches the triangle.
IRON_MAN_2.srt 	IRON_MAN_2_DVS530 	01:35:39,00 --> 01:35:43,50 	someone approaches the colonel.
IRON_MAN_2.srt 	IRON_MAN_2_DVS553 	01:38:17,00 --> 01:38:21,50 	pepper approaches the tech.
IRON_MAN_2.srt 	IRON_MAN_2_DVS558 	01:38:45,00 --> 01:38:52,50 	people hurry past someone as she strides out of the expo's main entrance and approaches someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS594 	01:41:47,00 --> 01:42:29,50 	she slides between the legs of a fourth approaching guard and punches him in the groin.
IRON_MAN_2.srt 	IRON_MAN_2_DVS626 	01:47:11,00 --> 01:47:29,50 	someone and someone shoot and punch more drones as they approach.
IRON_MAN_2.srt 	IRON_MAN_2_DVS704 	01:56:28,00 --> 01:56:33,50 	someone picks up another medal and approaches someone.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS11 	00:04:18,00 --> 00:04:22,50 	an suv approaches.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS145 	00:29:26,00 --> 00:29:30,50 	the kids approached someone.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS353 	01:06:53,00 --> 01:06:58,50 	the balding man sternly gestures for someone to approach.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS390 	01:12:54,00 --> 01:12:59,50 	the attendant gestures for her to approach.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS221 	00:41:50,00 --> 00:41:57,50 	as she cautiously approaches the kitchen, someone grabs an apple and takes a bite.
