21_JUMP_STREET.srt 	21_JUMP_STREET_DVS95 	00:12:47,00 --> 00:12:52,50 	he spreads his hands in a dramatic shrug.
CHRONICLE.srt 	CHRONICLE_DVS483 	01:09:29,00 --> 01:09:37,50 	they hover around him in the helicopter's spotlights as he spreads his arms and faces his cousin.
COLOMBIANA.srt 	COLOMBIANA_DVS63 	00:04:09,00 --> 00:04:15,50 	someone rises and spreads his arms.
FLIGHT.srt 	FLIGHT_DVS889 	01:44:48,00 --> 01:44:55,50 	he tries to open the thick file someone left for him, and it spreads like an accordion.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS173 	00:47:38,00 --> 00:47:44,50 	someone smiles and spreads her arms as he rejoins her.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS338 	01:29:36,00 --> 01:29:44,50 	an asian male model spreads his arms as the other man holds him horizontally.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS40 	00:26:08,00 --> 00:26:13,50 	a grin slowly spreads across someone's face.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS183 	00:29:25,00 --> 00:29:36,50 	we spy flames spreading over the undercarriage as someone and his brutish henchman escape, leaving the heavyset thug stuck in his crushed doorway.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS373 	00:54:56,00 --> 00:55:02,50 	our view ascends to find an angel spreading its wings over the earth.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS528 	01:15:10,00 --> 01:15:21,50 	he pauses, spreading his arms exultantly.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS566 	01:21:18,00 --> 01:21:51,50 	a web-like network of cracks spreads across the glass.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS594 	01:25:29,00 --> 01:25:47,50 	he spreads them wide, lifting his palms and skeleton face exultingly toward the heavens.
INSIDE_MAN.srt 	INSIDE_MAN_DVS187 	00:53:50,00 --> 00:53:55,50 	the boy spreads his arms toward the cash.
INSIDE_MAN.srt 	INSIDE_MAN_DVS296 	01:30:08,00 --> 01:30:15,50 	approaching the vault, officers spread out.
IRON_MAN_2.srt 	IRON_MAN_2_DVS180 	00:33:44,00 --> 00:34:06,50 	someone strikes the ground with his whips, as someone rolls out of the way, then spreads his legs as a whip lashes the asphalt inches from his groin.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS493 	01:34:34,00 --> 01:34:41,50 	someone's lips spread in a wide grin, and he reaches for someone's groceries.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS547 	01:48:50,00 --> 01:49:02,50 	as she reads, a smile spreads across her face.
KARATE_KID.srt 	KARATE_KID_DVS74 	00:06:17,00 --> 00:06:29,50 	from a van on a highway, someone looks out at china's central tv headquarters, a looming skyscraper resembling a pair of rectangular legs, bent at the knees, and spread apart.
KARATE_KID.srt 	KARATE_KID_DVS332 	00:30:03,00 --> 00:30:09,50 	someone gazes out into the house and spreads his arms.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS21 	00:06:45,00 --> 00:06:52,50 	the brown-faced executive spreads his hands.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS571 	01:03:26,00 --> 01:03:37,50 	he lunges forward, his arms raised and spread.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS715 	01:14:31,00 --> 01:14:41,50 	he hurls the fish at the tiger's mouth and it spreads wings.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS869 	01:27:32,00 --> 01:27:41,50 	a massive lightning bolt smacks down beside the boat, spreading a web of brilliant electricity beneath the surface.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS312 	01:07:51,00 --> 01:08:07,50 	at the end of a long room, the carpet spreads into a square underneath a wide desk.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS191 	00:33:45,00 --> 00:33:50,50 	a smile spreads across his face.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS124 	00:31:38,00 --> 00:31:45,50 	someone spreads his arms wide like wings, then walks around in a circle.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS205 	00:51:52,00 --> 00:52:06,50 	the woman's eyes turn into granite like stone that spreads over her entire body.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS353 	01:26:50,00 --> 01:26:59,50 	facing someone, he spreads his arms.
PROMETHEUS.srt 	PROMETHEUS_DVS686 	01:13:24,00 --> 01:13:30,50 	spreading his arms wide, the pilot leans back as if playing an organ.
PROMETHEUS.srt 	PROMETHEUS_DVS689 	01:13:41,00 --> 01:13:46,50 	he spreads his arms wide and turns on the spot.
PROMETHEUS.srt 	PROMETHEUS_DVS695 	01:14:04,00 --> 01:14:10,50 	his arms spread, someone sways on the spot.
PROMETHEUS.srt 	PROMETHEUS_DVS780 	01:23:56,00 --> 01:24:06,50 	as she makes a selection on the overhead screen, the alien's four tentacles spread open and it moves its head.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS207 	00:50:08,00 --> 00:50:14,50 	someone spreads his arms wide.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS210 	00:50:28,00 --> 00:50:43,50 	as he heads away, he spreads his arms imitating someone.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS451 	01:52:30,00 --> 01:52:41,50 	the flames spread quickly devouring the stacked hay and greenery.
SALT.srt 	SALT_DVS487 	01:24:14,00 --> 01:24:19,50 	someone's lips spread into a smile.
SANCTUM.srt 	SANCTUM_DVS417 	01:20:47,00 --> 01:20:53,50 	someone's lips spread into a smile and he nods.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS466 	00:30:37,00 --> 00:30:44,50 	spreading open the fan, someone reads her friend's message.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS540 	00:36:10,00 --> 00:36:16,50 	she dips a brush in ink, then begins to write on a fan spread open before her.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1316 	01:30:49,00 --> 01:30:55,50 	the worker stops spreading towels over loungers and leaves.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1332 	01:31:36,00 --> 01:31:42,50 	she opens it, spreading its creased paper panels and finds writing on each one.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1478 	01:39:41,00 --> 01:39:46,50 	her lips spread into a sleepy smile.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS320 	01:05:24,00 --> 01:05:29,50 	spreading his arms wide from the balcony.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS389 	01:21:48,00 --> 01:22:06,50 	he sees a map spread out on the desk, with a someone circle drawn around one section labeled, forbidden domain.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS409 	01:25:30,00 --> 01:25:37,50 	he shuts his eyes, spreads his arms wide, and falls backward.
SOUL_SURFER.srt 	SOUL_SURFER_DVS274 	01:19:45,00 --> 01:19:49,50 	his lips spread into a smile.
SPARKLE_2012.srt 	SPARKLE_2012_DVS35 	00:06:37,00 --> 00:06:47,50 	someone stands and spreads her coat's lapel, creating a screen behind which someone can change.
SPARKLE_2012.srt 	SPARKLE_2012_DVS651 	01:48:31,00 --> 01:48:38,50 	someone leans her head back, spreads her arms and drinks in the applause.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS179 	00:36:04,00 --> 00:36:19,50 	he flops back on it, then watches as she spreads the comforter over him.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS152 	00:25:51,00 --> 00:25:57,50 	wheeling around, someone finds him with his arms spread open to her.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS458 	00:53:26,00 --> 00:53:31,50 	her widely spread arms are chained to the headboard.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS943 	01:44:30,00 --> 01:44:37,50 	back at the archives someone spreads out a map of sweden.
THOR.srt 	THOR_DVS79 	00:10:35,00 --> 00:10:43,50 	meanwhile, in the corridor, one of the guards stoops to peer at a film of frost spreading across the floor.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS93 	00:10:53,00 --> 00:11:00,50 	as he chuckles, a pair of fluffy-edged wings spread open on his back.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS800 	01:25:17,00 --> 01:25:22,50 	leaving the room, someone spreads his wings.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS831 	01:28:13,00 --> 01:28:19,50 	grinning, he spreads his arms and envelops her in a hug.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS524 	01:10:38,00 --> 01:10:43,50 	a smile spreads across her face.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS40 	00:06:27,00 --> 00:06:31,50 	his brother spreads his arms.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS59 	00:11:19,00 --> 00:11:29,50 	he watches his daughter spread peanut butter and jelly on slices of 	bread in the adjoining kitchen.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS625 	01:32:44,00 --> 01:32:57,50 	in a field, someone stands on one leg, with her arms spread, 	as her children look on.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS626 	01:32:55,00 --> 01:33:13,50 	in the field, someone and someone spread their arms 	like wings as they run circles around him.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS847 	01:58:39,00 --> 01:58:46,50 	as she gazes up at him, her lips spread into a faint smile.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS709 	01:04:04,00 --> 01:04:09,50 	it spreads to the wall, then surges around the room
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS836 	01:16:45,00 --> 01:16:52,50 	sitting on the window's ledge, someone crosses himself, then spreads his wings.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS878 	01:20:17,00 --> 01:20:23,50 	with his fingers spread wide, he aims his palms at the dish.
ZOMBIELAND.srt 	ZOMBIELAND_DVS687 	01:15:53,00 --> 01:15:59,50 	with a gun in each hand, he spreads his arms, shedding the tactical vest.
