21_JUMP_STREET.srt 	21_JUMP_STREET_DVS112 	00:15:13,00 --> 00:15:22,50 	the teen dances, rips the clothes from his closet, trashes a piano keyboard and then leans close to the camera.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS284 	00:41:03,00 --> 00:41:22,50 	someone leans back as someone throws a roundhouse kick.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS303 	00:44:06,00 --> 00:44:13,50 	as he kisses a woman leaning out of the window, he notices a team of riders approaching.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS365 	00:51:45,00 --> 00:51:52,50 	as he heads off, someone reads from the book leaning against the wall.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS584 	01:21:07,00 --> 01:21:15,50 	from the engine, someone leans out a window and spots several vampires leaping onto the freight cars.
BAD_TEACHER.srt 	BAD_TEACHER_DVS50 	00:16:38,00 --> 00:16:43,50 	someone leans forward.
BAD_TEACHER.srt 	BAD_TEACHER_DVS303 	01:20:43,00 --> 01:20:48,50 	the superintendent leans back.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS78 	00:11:59,00 --> 00:12:04,50 	he glances around, then leans in close.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS270 	00:45:16,00 --> 00:45:21,50 	he leans over to the stereo.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS414 	01:06:16,00 --> 01:06:22,50 	he leans on the booth facing her and gives a smoldering look.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS418 	01:06:44,00 --> 01:06:48,50 	he leans closer.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS429 	01:09:00,00 --> 01:09:04,50 	he leans closer.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS435 	01:09:44,00 --> 01:09:50,50 	as he leans closer, someone jumps up from the couch.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS454 	01:12:09,00 --> 01:12:13,50 	someone leans closer.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS460 	01:12:32,00 --> 01:12:37,50 	someone huddles in, his body leaning over someone's.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS602 	01:34:37,00 --> 01:34:42,50 	he leans against a wall, chest heaving.
BLINDDATING.srt 	BLINDDATING_DVS142 	00:38:55,00 --> 00:39:04,50 	someone gently touches her neck and leans his lips toward hers.
BLINDDATING.srt 	BLINDDATING_DVS171 	00:44:29,00 --> 00:44:38,50 	her mother leans closer and peers in to her daughter's eyes.
BLINDDATING.srt 	BLINDDATING_DVS336 	01:20:25,00 --> 01:20:34,50 	hiking up his pants, his father sits on the bed's edge and leans an arm over someone's legs.
BLINDDATING.srt 	BLINDDATING_DVS366 	01:30:32,00 --> 01:30:39,50 	someone leans his face close to someone's.
BRUNO.srt 	BRUNO_DVS77 	00:16:26,00 --> 00:16:36,50 	later, he leans against a bulletin board filled with celebrity photos.
BRUNO.srt 	BRUNO_DVS109 	00:23:43,00 --> 00:24:01,50 	someone leans his hands against the wall, and wags his butt.
BURLESQUE.srt 	BURLESQUE_DVS93 	00:10:15,00 --> 00:10:25,50 	a handsome toned bartender in eyeliner and a bowler hat leans toward the blonde.
BURLESQUE.srt 	BURLESQUE_DVS210 	00:30:54,00 --> 00:30:58,50 	the young woman leans on the sink.
BURLESQUE.srt 	BURLESQUE_DVS237 	00:34:14,00 --> 00:34:28,50 	as someone leans forward and pouts her full lips, someone's cool gaze hardens even more.
BURLESQUE.srt 	BURLESQUE_DVS398 	00:55:30,00 --> 00:55:35,50 	a bartender leans forward,
BURLESQUE.srt 	BURLESQUE_DVS410 	00:56:37,00 --> 00:56:43,50 	someone easily removes the cap, then leans closer.
BURLESQUE.srt 	BURLESQUE_DVS551 	01:19:49,00 --> 01:19:58,50 	someone flings the crowbar back into her trunk then turns and leans on the bumper.
BURLESQUE.srt 	BURLESQUE_DVS567 	01:24:13,00 --> 01:24:21,50 	now leaning on the bar, someone sips the last of a cocktail.
BURLESQUE.srt 	BURLESQUE_DVS683 	01:45:30,00 --> 01:45:35,50 	someone strolls up to the bar and leans her back against it.
BURLESQUE.srt 	BURLESQUE_DVS727 	01:49:49,00 --> 01:49:57,50 	he leans in and they kiss.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS79 	00:11:58,00 --> 00:12:12,50 	female models lean against a red car as a dark-haired mustached man in a tuxedo struts onto the stage.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS482 	01:24:57,00 --> 01:25:04,50 	someone leans out of the train, clinging to the side.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS104 	00:08:23,00 --> 00:08:28,50 	he leans down and kisses her.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS140 	00:11:26,00 --> 00:11:32,50 	surfboards lean against a rusted metal guardrail.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS901 	01:28:09,00 --> 01:28:15,50 	she sinks down to the floor and leans her back against a booth seat.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1095 	01:44:21,00 --> 01:44:27,50 	he leans down and paddles off as someone watches with a little smile.
CHRONICLE.srt 	CHRONICLE_DVS444 	01:05:16,00 --> 01:05:22,50 	the surveillance camera shows him leaning over someone and jabbing a finger at him.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS24 	00:05:41,00 --> 00:05:46,50 	someone leans forward and pulls his wife closer.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS57 	00:11:21,00 --> 00:11:27,50 	as someone eats with her hands, her father leans over the table and kiss his wife.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS83 	00:15:25,00 --> 00:15:31,50 	someone leans down to his wide-eyed son, propping his hands on his knees.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS124 	00:28:07,00 --> 00:28:19,50 	she leans close, nearly pressing her forehead to his, and drives her gaze squarely at him.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS170 	00:36:27,00 --> 00:36:32,50 	she leans on the brick wall.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS232 	00:50:52,00 --> 00:51:02,50 	he scans the locker room then leans over and eats out of the bowl.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS298 	01:11:55,00 --> 01:11:59,50 	someone leans back in his chair.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS365 	01:28:45,00 --> 01:28:51,50 	the boxer leans into a row of radio station microphones.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS367 	01:29:19,00 --> 01:29:24,50 	someone leans closer to the bank of microphones.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS420 	01:41:51,00 --> 01:41:55,50 	someone leans to his children.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS543 	02:07:53,00 --> 02:08:01,50 	as someone stands, he leans over with his mitts propped on his knees.
COLOMBIANA.srt 	COLOMBIANA_DVS302 	00:25:57,00 --> 00:26:04,50 	someone leans back in his chair and takes a deep breath through parted lips.
COLOMBIANA.srt 	COLOMBIANA_DVS426 	00:37:24,00 --> 00:37:30,50 	she leans over someone, pointing the gun at his chest.
COLOMBIANA.srt 	COLOMBIANA_DVS584 	00:55:02,00 --> 00:55:10,50 	someone gives a weary shrug then leans forward and rests his elbows on his legs.
COLOMBIANA.srt 	COLOMBIANA_DVS585 	00:55:09,00 --> 00:55:14,50 	our focus shifts to his niece as she leans forward as well.
COLOMBIANA.srt 	COLOMBIANA_DVS716 	01:08:17,00 --> 01:08:21,50 	she leans her head on her hands.
COLOMBIANA.srt 	COLOMBIANA_DVS721 	01:08:43,00 --> 01:08:48,50 	she leans closer and presses her lips to someone's.
COLOMBIANA.srt 	COLOMBIANA_DVS728 	01:09:08,00 --> 01:09:13,50 	then leans forward and places a gentle peck on her cheek.
COLOMBIANA.srt 	COLOMBIANA_DVS924 	01:28:29,00 --> 01:28:34,50 	spins around, and leans his hands on the seat.
DEAR_JOHN.srt 	DEAR_JOHN_DVS134 	00:21:56,00 --> 00:22:04,50 	he leans his face closer to her, and she smiles.
DEAR_JOHN.srt 	DEAR_JOHN_DVS253 	00:39:36,00 --> 00:39:42,50 	leaning on a fence, someone and someone watch someone feed a horse.
DEAR_JOHN.srt 	DEAR_JOHN_DVS356 	00:55:49,00 --> 00:55:59,50 	she leans on the railing, gazing out over the lawn as departing guests find their cars.
DEAR_JOHN.srt 	DEAR_JOHN_DVS366 	00:58:30,00 --> 00:58:41,50 	inside, she leans back against a wall as she unbuttons his dress shirt.
DEAR_JOHN.srt 	DEAR_JOHN_DVS719 	01:36:29,00 --> 01:36:36,50 	she glances back at him, then leans heavily on a counter.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS159 	00:37:48,00 --> 00:38:02,50 	he sinks to his knees then leans forward so his forehead is on the floor.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS433 	01:46:52,00 --> 01:46:57,50 	they lean in and kiss tenderly.
DISTRICT_9.srt 	DISTRICT_9_DVS282 	00:31:25,00 --> 00:31:34,50 	in the headquarters, someone leans back in a cubicle holding his head.
DISTRICT_9.srt 	DISTRICT_9_DVS474 	00:55:00,00 --> 00:55:04,50 	he leans toward someone's son.
DISTRICT_9.srt 	DISTRICT_9_DVS805 	01:35:15,00 --> 01:35:22,50 	leaning against the command module's wall, someone sinks to the floor and draws his son.
DISTRICT_9.srt 	DISTRICT_9_DVS861 	01:42:00,00 --> 01:42:26,50 	on-board the command module, someone leans back on his seat, blinking heavily.
EASY_A.srt 	EASY_A_DVS79 	00:29:56,00 --> 00:30:00,50 	she leans close to melody.
EASY_A.srt 	EASY_A_DVS97 	00:33:23,00 --> 00:33:29,50 	as she smiles and nods, he leans his forehead against hers.
EASY_A.srt 	EASY_A_DVS236 	01:12:50,00 --> 01:12:55,50 	he leans in again.
EASY_A.srt 	EASY_A_DVS254 	01:17:04,00 --> 01:17:11,50 	facing the car once again, she leans down to peak at someone through the window.
FLIGHT.srt 	FLIGHT_DVS47 	00:07:05,00 --> 00:07:11,50 	she leans on the steering wheel, and lowers the phone to the passenger seat.
FLIGHT.srt 	FLIGHT_DVS88 	00:16:14,00 --> 00:16:18,50 	she leans back, eyes closed.
FLIGHT.srt 	FLIGHT_DVS212 	00:47:54,00 --> 00:48:00,50 	he leans on a bureau, and pulls out a prescription bottle from his pocket.
FLIGHT.srt 	FLIGHT_DVS674 	01:31:10,00 --> 01:31:14,50 	she leans in and their foreheads touch.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS64 	00:16:55,00 --> 00:17:02,50 	the dancers lean over and back up, edging close to someone and someone.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS65 	00:17:03,00 --> 00:17:13,50 	a forward leaning pose radiates from the back of the flash mob.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS146 	00:38:11,00 --> 00:38:17,50 	he leans over awkwardly, bracing a hand on the bathtub.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS191 	00:52:06,00 --> 00:52:14,50 	someone lies back and he leans over her.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS246 	01:07:20,00 --> 01:07:37,50 	holding his gaze, she leans in, lays a hand on his chest and plants a tender kiss on his lips.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS115 	01:05:42,00 --> 01:05:48,50 	jonathan leans back and lights a fat joint.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS145 	01:25:16,00 --> 01:25:21,50 	someone and someone lean close to kiss.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS50 	00:08:12,00 --> 00:08:20,50 	someone throws the chain off, leaning over the back of the motorcycle.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS106 	00:17:04,00 --> 00:17:20,50 	he leans over his victim who trembles and sputters incoherently.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS108 	00:17:24,00 --> 00:17:47,50 	the henchman's wide eyes reflect his ghastly flaming visage as the rider cocks his head appraisingly then leans in to peer more closely at the man.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS143 	00:22:45,00 --> 00:22:51,50 	leaning back, his jaw distends in a supernatural roar.
HUGO.srt 	HUGO_DVS175 	00:24:44,00 --> 00:24:49,50 	he leans back against a pillar.
HUGO.srt 	HUGO_DVS545 	01:21:31,00 --> 01:21:36,50 	she leans forward and kisses someone on the cheek
HUGO.srt 	HUGO_DVS568 	01:23:22,00 --> 01:23:29,50 	the train's engineer, wearing goggles and covered in soot, leans out of the engine car.
HUGO.srt 	HUGO_DVS749 	01:49:42,00 --> 01:49:46,50 	someone leans his face against the clock as someone and the inspector head back downstairs.
IN_TIME.srt 	IN_TIME_DVS313 	00:32:37,00 --> 00:32:43,50 	spotting his exposed arm, the auburn-haired woman leans closer.
IN_TIME.srt 	IN_TIME_DVS354 	00:37:21,00 --> 00:37:26,50 	but someone leans her full lips closer.
IN_TIME.srt 	IN_TIME_DVS383 	00:40:17,00 --> 00:40:23,50 	someone briefly leans closer to him, then swims away.
IN_TIME.srt 	IN_TIME_DVS510 	00:54:45,00 --> 00:54:51,50 	taking it, someone casually leans against someone's desk.
IN_TIME.srt 	IN_TIME_DVS640 	01:08:38,00 --> 01:08:43,50 	he leans closer and presses his lips to hers.
IN_TIME.srt 	IN_TIME_DVS710 	01:15:56,00 --> 01:16:03,50 	someone leans out the passenger window and aims a gun at his back.
IN_TIME.srt 	IN_TIME_DVS787 	01:22:46,00 --> 01:22:53,50 	he joins someone, wrapping an arm around her as she leans against him.
IN_TIME.srt 	IN_TIME_DVS816 	01:26:33,00 --> 01:27:01,50 	someone and the thugs lean forward, watching intently.
IN_TIME.srt 	IN_TIME_DVS875 	01:32:54,00 --> 01:33:00,50 	leaning away from the weapon only inches from his brow.
IN_TIME.srt 	IN_TIME_DVS947 	01:39:41,00 --> 01:39:47,50 	he caresses her cheek, then leans in and kisses her.
INSIDE_MAN.srt 	INSIDE_MAN_DVS193 	00:55:16,00 --> 00:55:29,50 	someone turns to face the outer room and leans lazily on the vault doorframe.
INSIDE_MAN.srt 	INSIDE_MAN_DVS286 	01:27:57,00 --> 01:28:04,50 	someone looks over and sees his boss leaning against a dark sedan.
INSIDE_MAN.srt 	INSIDE_MAN_DVS301 	01:31:24,00 --> 01:31:31,50 	his partner leans his head against a wall.
INSIDE_MAN.srt 	INSIDE_MAN_DVS375 	01:49:18,00 --> 01:49:24,50 	her cool smile evaporates as she leans forward.
IRON_MAN_2.srt 	IRON_MAN_2_DVS61 	00:10:22,00 --> 00:10:28,50 	happy and someone approach a young brunette woman leaning against a white convertible.
IRON_MAN_2.srt 	IRON_MAN_2_DVS155 	00:28:49,00 --> 00:28:57,50 	he takes out his finger, leans against the sink counter with his head lowered, pauses, then stares at his reflection in the mirror.
IRON_MAN_2.srt 	IRON_MAN_2_DVS165 	00:31:09,00 --> 00:31:20,50 	watching from bleachers above the road, race fans lean over the fence and gawk as someone throws his helmet off and walks down the center of the road toward the approaching cars.
IRON_MAN_2.srt 	IRON_MAN_2_DVS217 	00:42:04,00 --> 00:42:12,50 	elsewhere in his cell, someone sits leaning against a sink.
IRON_MAN_2.srt 	IRON_MAN_2_DVS425 	01:20:23,00 --> 01:20:30,50 	someone leans back in his chair, then leans forward and grabs the toy's rotating arm.
IRON_MAN_2.srt 	IRON_MAN_2_DVS425 	01:20:23,00 --> 01:20:30,50 	someone leans back in his chair, then leans forward and grabs the toy's rotating arm.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS76 	00:23:30,00 --> 00:23:38,50 	someone wipes tears from her eyes then leans toward someone.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS108 	00:34:21,00 --> 00:34:25,50 	he leans in and kisses her.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS150 	00:49:44,00 --> 00:49:54,50 	later, someone reclines in a bubble bath while someone sits on the floor leaning on the tub eating ice cream.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS164 	00:53:39,00 --> 00:53:44,50 	as he leans to nuzzle her she scoots away.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS214 	01:03:43,00 --> 01:03:48,50 	leaning back against the headboard she faces him.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS219 	01:04:47,00 --> 01:04:52,50 	she starts to push her tray away then leans back.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS220 	01:04:54,00 --> 01:05:08,50 	leaning her head back someone wistfully watches his thumb stroke her fingers.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS237 	01:08:36,00 --> 01:08:45,50 	sitting on the edge of the boy's bed he leans over his
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS360 	01:41:22,00 --> 01:41:36,50 	someone leans heavily against an arched doorway.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS396 	01:50:38,00 --> 01:50:43,50 	she moves to lean on one arm.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS402 	01:52:43,00 --> 01:53:01,50 	she looks away from him then leans one elbow on the armrest and gazes off thoughtfully.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS202 	00:39:46,00 --> 00:39:51,50 	a vendor leans toward someone.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS310 	01:01:01,00 --> 01:01:12,50 	as someone leans alluringly on an archway before an enchanted someone, someone frowns.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS438 	01:26:54,00 --> 01:26:58,50 	an investigator leans closer.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS477 	01:32:22,00 --> 01:32:28,50 	in his office, someone leans his head back on a pillow.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS547 	01:48:50,00 --> 01:49:02,50 	someone exhales wearily through pursed lips, then picks up the box containing the manuscript and leans back in her chair.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS603 	01:56:59,00 --> 01:57:03,50 	she leans close.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS337 	01:48:11,00 --> 01:48:19,50 	leaning in, she gives him a passionate kiss.
KARATE_KID.srt 	KARATE_KID_DVS28 	00:02:46,00 --> 00:02:51,50 	someone frowns and leans his head against the seat.
KARATE_KID.srt 	KARATE_KID_DVS435 	00:39:13,00 --> 00:39:21,50 	as someone leans forward menacingly, mrs. po glances back from the front of the bus.
KARATE_KID.srt 	KARATE_KID_DVS922 	01:15:24,00 --> 01:15:30,50 	leaning across someone, someone draws a character on the dusty window.
KARATE_KID.srt 	KARATE_KID_DVS948 	01:17:45,00 --> 01:17:51,50 	later, at another section, someone stops, leaning against a stone banister.
KARATE_KID.srt 	KARATE_KID_DVS1180 	01:37:04,00 --> 01:37:09,50 	someone leans closer, then picks the scrap up,
KARATE_KID.srt 	KARATE_KID_DVS1188 	01:37:25,00 --> 01:37:33,50 	the bumper lies on the floor beneath a cock-eyed headlight, and the sledgehammer stands leaning against the hood.
KARATE_KID.srt 	KARATE_KID_DVS1200 	01:38:03,00 --> 01:38:09,50 	he looks to the dashboard, leans over, and grabs something.
KARATE_KID.srt 	KARATE_KID_DVS1462 	01:59:15,00 --> 01:59:21,50 	putting an arm around him, he leans close.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS264 	01:02:36,00 --> 01:02:41,50 	holding a microphone someone leans against the wall.
KNOCKED_UP.srt 	KNOCKED_UP_DVS38 	00:24:58,00 --> 00:25:02,50 	she leans back.
KNOCKED_UP.srt 	KNOCKED_UP_DVS48 	00:32:04,00 --> 00:32:09,50 	he leans back in his chair.
KNOCKED_UP.srt 	KNOCKED_UP_DVS59 	00:35:08,00 --> 00:35:12,50 	someone leans forward.
KNOCKED_UP.srt 	KNOCKED_UP_DVS78 	00:45:19,00 --> 00:45:28,50 	they lean close and enjoy a tender kiss.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS155 	00:57:34,00 --> 00:57:40,50 	someone blinks groggily, then leans his head back.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS229 	01:21:53,00 --> 01:21:59,50 	someone leans wearily against a rock and faces someone.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS251 	01:29:16,00 --> 01:29:31,50 	wincing, the scientist leans his head back, then puts a finger beneath her chin, and guides her face upward.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS251 	01:29:16,00 --> 01:29:31,50 	he leans in for a kiss.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS119 	00:27:36,00 --> 00:27:41,50 	closing her eyes, she leans forward.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS267 	00:35:32,00 --> 00:35:37,50 	facing the river, he leans forward.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS274 	00:36:30,00 --> 00:36:35,50 	he leans down to the bottom bunk and shakes his sleeping brother.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS370 	00:44:24,00 --> 00:44:29,50 	he leans far out, clinging to the mast.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS392 	00:46:24,00 --> 00:46:30,50 	he leans back, his arms draped on the boat's rim and cover.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS407 	00:47:48,00 --> 00:47:55,50 	the teen gives her a weary smile then leans over the side of the boat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS426 	00:49:14,00 --> 00:49:28,50 	the hyena briefly leans over the edge the resumes its wild laps as someone stands ready with the oar.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS571 	01:03:26,00 --> 01:03:37,50 	someone retreats to the boat's stern, sits on the rear seat and leans his face over the water.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS674 	01:11:34,00 --> 01:11:39,50 	the teen leans an ear close to the hull.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS942 	01:33:37,00 --> 01:33:42,50 	he leans close to the tiger.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1085 	01:50:20,00 --> 01:50:26,50 	the older someone leans back with his arms folded and gazes off.
