21_JUMP_STREET.srt 	21_JUMP_STREET_DVS412 	01:09:40,00 --> 01:09:46,50 	as the last of the bikers rides off, someone rises from someone's lap.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS286 	00:41:22,00 --> 00:41:36,50 	he rises to his feet then runs after the vampire landing on a new horse's back with every daring step.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS298 	00:43:26,00 --> 00:43:32,50 	he rises from his victim and holds up his hands.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS314 	00:45:43,00 --> 00:45:55,50 	as someone crosses to the dark haired woman, a dazed someone rises to his feet but struggles to maintain his balance.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS328 	00:47:11,00 --> 00:47:17,50 	beside someone, someone rises to his feet.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS340 	00:48:43,00 --> 00:48:50,50 	as someone offers her hand, someone rises to his feet and puts the ring on her finger.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS356 	00:50:50,00 --> 00:50:58,50 	he removes a red rose petal from one of the slain vampire's eyes then notices something in his hand.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS605 	01:23:59,00 --> 01:24:15,50 	rising to his knees, he turns the hand wheel, disengaging the brake.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS617 	01:26:53,00 --> 01:27:15,50 	someone rises to his feet and slams someone's face through the top of a wooden crate.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS625 	01:28:06,00 --> 01:28:18,50 	they rise to their feet and spot the burning bridge up ahead.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS633 	01:29:15,00 --> 01:29:34,50 	jostling inside a railcar, someone braces himself and someone rises to his knees.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS176 	00:29:57,00 --> 00:30:01,50 	he confidently rises from his seat.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS251 	00:42:09,00 --> 00:42:14,50 	the girls rise to their feet, someone does the same.
BURLESQUE.srt 	BURLESQUE_DVS84 	00:08:13,00 --> 00:08:18,50 	the dancers rise and strut around the singer.
BURLESQUE.srt 	BURLESQUE_DVS161 	00:22:54,00 --> 00:22:58,50 	she rises to her knees.
BURLESQUE.srt 	BURLESQUE_DVS226 	00:33:36,00 --> 00:33:41,50 	our view rises up someone's slender body
BURLESQUE.srt 	BURLESQUE_DVS347 	00:47:32,00 --> 00:47:38,50 	the stagehand pulls a rope and the curtain rises back to the ceiling.
BURLESQUE.srt 	BURLESQUE_DVS357 	00:49:23,00 --> 00:49:29,50 	as coco hugs someone, the crowd rises in a standing ovation.
BURLESQUE.srt 	BURLESQUE_DVS386 	00:53:43,00 --> 00:53:47,50 	she rises from the chaise lounge.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS197 	00:35:45,00 --> 00:35:50,50 	a needle rises on a vita-ray gauge.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS240 	00:41:42,00 --> 00:41:54,50 	a small submarine rises out of the water.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS368 	01:07:01,00 --> 01:07:06,50 	as the flames rise higher, someone gazes around the factory.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS576 	01:39:41,00 --> 01:39:48,50 	someone stands and gazes up at someone clinging to the rising bomber.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS112 	00:09:08,00 --> 00:09:12,50 	with a sigh, he rises.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS152 	00:12:11,00 --> 00:12:15,50 	he rises and crouches, carving up and down the face of the wave.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS648 	01:02:29,00 --> 01:02:35,50 	noticing someone's rising panic, someone turns the boy to face him and gives calming gestures.
CHRONICLE.srt 	CHRONICLE_DVS117 	00:16:24,00 --> 00:16:33,50 	as someone flicks his hands, several completed structures rise off the floor and connect to create the seattle space needle.
CHRONICLE.srt 	CHRONICLE_DVS207 	00:30:25,00 --> 00:30:31,50 	rocks and dirt float up around him as he rises.
CHRONICLE.srt 	CHRONICLE_DVS208 	00:30:36,00 --> 00:30:41,50 	someone flexes and bends his legs as he rises.
CHRONICLE.srt 	CHRONICLE_DVS301 	00:45:44,00 --> 00:45:49,50 	the camera view rose to a dj.
CHRONICLE.srt 	CHRONICLE_DVS355 	00:54:13,00 --> 00:54:18,50 	a dozen teens, each hold a white rose.
CHRONICLE.srt 	CHRONICLE_DVS356 	00:54:26,00 --> 00:54:32,50 	the camera view rose to someone who returns a stoic look.
CHRONICLE.srt 	CHRONICLE_DVS360 	00:55:28,00 --> 00:55:35,50 	our vantage rises like a helium balloon, but stays trained on the two young men.
CHRONICLE.srt 	CHRONICLE_DVS467 	01:07:53,00 --> 01:07:59,50 	the car rises several stories high.
CHRONICLE.srt 	CHRONICLE_DVS495 	01:11:14,00 --> 01:11:21,50 	someone lifts his hand and the cruiser rises over the boys, landing on its roof.
CHRONICLE.srt 	CHRONICLE_DVS506 	01:12:38,00 --> 01:12:46,50 	as someone slowly gets to his hands and knees, bits of glass strewn around him rise off the pavement.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS208 	00:43:17,00 --> 00:43:21,50 	someone rises from his chair.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS323 	01:20:42,00 --> 01:21:11,50 	fans rise from their seats.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS384 	01:33:37,00 --> 01:33:42,50 	campbell rises up from the canvas.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS384 	01:33:37,00 --> 01:33:42,50 	someone rises from his seat.
COLOMBIANA.srt 	COLOMBIANA_DVS197 	00:17:01,00 --> 00:17:07,50 	meanwhile, a manhole cover rises from the middle of a street.
COLOMBIANA.srt 	COLOMBIANA_DVS285 	00:23:52,00 --> 00:23:57,50 	a rising sun crests the chicago skyline.
COLOMBIANA.srt 	COLOMBIANA_DVS658 	01:01:48,00 --> 01:01:54,50 	someone rises from a chair in the portico behind him.
DEAR_JOHN.srt 	DEAR_JOHN_DVS301 	00:46:40,00 --> 00:46:44,50 	someone's friend rises.
DEAR_JOHN.srt 	DEAR_JOHN_DVS416 	01:03:09,00 --> 01:03:15,50 	he rises and stands at attention, joining the rest of his team.
DEAR_JOHN.srt 	DEAR_JOHN_DVS525 	01:15:36,00 --> 01:15:44,50 	his eyes narrowing as sunlight rises across his face.
DISTRICT_9.srt 	DISTRICT_9_DVS327 	00:35:47,00 --> 00:36:00,50 	someone rises from the sink.
DISTRICT_9.srt 	DISTRICT_9_DVS812 	01:35:44,00 --> 01:35:54,50 	the robot glances toward the rising craft, then fires.
DISTRICT_9.srt 	DISTRICT_9_DVS851 	01:40:52,00 --> 01:41:11,50 	the mothership rises.
FLIGHT.srt 	FLIGHT_DVS61 	00:12:29,00 --> 00:12:35,50 	the altimeter slides quickly to the right as the plane rises.
FLIGHT.srt 	FLIGHT_DVS134 	00:26:00,00 --> 00:26:06,50 	then turns towards the black smoke rising from the crash site.
FLIGHT.srt 	FLIGHT_DVS178 	00:39:14,00 --> 00:39:18,50 	she rises, to leave.
FLIGHT.srt 	FLIGHT_DVS341 	00:56:50,00 --> 00:56:54,50 	someone rises to leave.
FLIGHT.srt 	FLIGHT_DVS402 	01:03:42,00 --> 01:03:48,50 	someone looks up, and rises off the bed.
FLIGHT.srt 	FLIGHT_DVS605 	01:25:36,00 --> 01:25:40,50 	someone rises to leave.
FLIGHT.srt 	FLIGHT_DVS1055 	01:58:51,00 --> 01:58:57,50 	she rises and walks around the table at the head of the room.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS288 	01:16:25,00 --> 01:16:30,50 	a helicopter rises in front of them.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS135 	01:20:40,00 --> 01:20:49,50 	someone spreads rose petals, lights a candle, dips strawberries in chocolate and waits.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS248 	00:39:29,00 --> 00:39:41,50 	as guards shoot at him, the leather clad skeleton rises to his feet.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS308 	00:46:47,00 --> 00:46:58,50 	he rises to his feet and eyes his gloved hands.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS413 	01:00:12,00 --> 01:00:21,50 	he wakes with a start and rises to a crouch then looks at his gloved right hand, gives it a rub, and brightens.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS486 	01:10:42,00 --> 01:10:51,50 	someone faces his acolytes then raises both arms, gesturing for them to rise from their seats.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS556 	01:19:02,00 --> 01:19:36,50 	in the sky, a rising sun breaks over a rapid swirl of clouds.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS556 	01:19:02,00 --> 01:19:36,50 	ghost rider rises, taking out the acolytes with a circular sweep of his red hot chain.
GREEN_ZONE.srt 	GREEN_ZONE_DVS173 	00:45:20,00 --> 00:45:25,50 	someone rises from the table and trods off.
GREEN_ZONE.srt 	GREEN_ZONE_DVS322 	01:12:15,00 --> 01:12:20,50 	in the mess hall, someone rises from the table.
HUGO.srt 	HUGO_DVS25 	00:03:13,00 --> 00:03:23,50 	turning down another narrow hallway with steam rising through the grating, the boy reaches another clock powered by a complex mechanism of spinning gears.
HUGO.srt 	HUGO_DVS224 	00:33:20,00 --> 00:33:26,50 	as he waves one hand, the eight of diamonds rises from the middle of the deck.
HUGO.srt 	HUGO_DVS325 	00:50:23,00 --> 00:50:34,50 	tiny hammers rise and fall as a patterned cylinder rotates under them.
HUGO.srt 	HUGO_DVS790 	01:55:02,00 --> 01:55:07,50 	the audience rises to its feet.
IN_TIME.srt 	IN_TIME_DVS247 	00:25:27,00 --> 00:25:32,50 	the time zone barricade rises back up.
IN_TIME.srt 	IN_TIME_DVS325 	00:33:28,00 --> 00:33:31,50 	he rises.
IN_TIME.srt 	IN_TIME_DVS490 	00:53:12,00 --> 00:53:17,50 	it rises, revealing an additional grated gate behind it.
INSIDE_MAN.srt 	INSIDE_MAN_DVS98 	00:25:30,00 --> 00:25:49,50 	a swarthy fashionable man in a suit rises from a chair.
INSIDE_MAN.srt 	INSIDE_MAN_DVS100 	00:27:25,00 --> 00:27:33,50 	someone hangs up, then rises from his chair with the aid of a cane.
INSIDE_MAN.srt 	INSIDE_MAN_DVS214 	01:00:17,00 --> 01:00:22,50 	lights rises vertical and turns on.
IRON_MAN_2.srt 	IRON_MAN_2_DVS47 	00:06:14,00 --> 00:06:26,50 	giant robotic arms rise from the platform and remove someone's helmet, revealing his smiling face.
IRON_MAN_2.srt 	IRON_MAN_2_DVS438 	01:21:11,00 --> 01:21:24,50 	later, the disassembled model, stacked in four panels, rises out of the passenger seat of someone's convertible, as he drives down a highway.
IRON_MAN_2.srt 	IRON_MAN_2_DVS517 	01:33:43,00 --> 01:33:54,50 	as footage of military aircraft and ships appear on the screen, eight drones rise from the floor on a platform at the back of stage left.
IRON_MAN_2.srt 	IRON_MAN_2_DVS519 	01:33:57,00 --> 01:34:05,50 	more drones with wing-like panels atop their shoulders rise from the back of the stage left.
IRON_MAN_2.srt 	IRON_MAN_2_DVS520 	01:34:09,00 --> 01:34:15,50 	eight drones with glowing faces rise at the front of stage left.
IRON_MAN_2.srt 	IRON_MAN_2_DVS521 	01:34:18,00 --> 01:34:26,50 	stage right, eight more drones rise from the floor.
IRON_MAN_2.srt 	IRON_MAN_2_DVS523 	01:35:03,00 --> 01:35:12,50 	someone, wearing the war machine suit, the someone ii heavily modified with weapons, rises from the floor of the circular main stage.
IRON_MAN_2.srt 	IRON_MAN_2_DVS595 	01:42:32,00 --> 01:42:46,50 	as dark smoke rises from the pellets, the guards cover their eyes.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS22 	00:02:44,00 --> 00:02:49,50 	in a tub, bubbles rise from the little boy's bottom.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS55 	00:06:13,00 --> 00:06:23,50 	later, manhattan skyscrapers rise into the sky beyond an old cursive pepsi cola sign.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS145 	00:25:04,00 --> 00:25:11,50 	someone rises then types at her laptop.
KARATE_KID.srt 	KARATE_KID_DVS273 	00:24:47,00 --> 00:24:56,50 	now, twin skyscrapers under construction stand silhouetted against a rising sun that glows through the smog.
KARATE_KID.srt 	KARATE_KID_DVS565 	00:50:50,00 --> 00:50:58,50 	the square-jawed man rises from his bench and faces the boy, who shifts his eyes nervously.
KARATE_KID.srt 	KARATE_KID_DVS798 	01:07:20,00 --> 01:07:29,50 	curtains rise, revealing the performance screen and several puppets glowing from behind.
KARATE_KID.srt 	KARATE_KID_DVS969 	01:19:13,00 --> 01:19:25,50 	as she straightens, the reptile rises to match her.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS229 	00:56:53,00 --> 00:57:05,50 	someone rises on a platform.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS288 	01:08:13,00 --> 01:08:18,50 	the swing rises high above the stage.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS182 	01:05:27,00 --> 01:05:39,50 	before her, a triangle rises from the ground.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS127 	00:29:41,00 --> 00:29:52,50 	someone squares a stack of notecards on his desk then rises from his seat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS403 	00:47:24,00 --> 00:47:31,50 	from a cresting wave, an orangutan rises into view, perched on a floating bundle.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS522 	00:57:16,00 --> 00:57:22,50 	now a rising golden sun cuts through the dark.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS546 	00:59:06,00 --> 00:59:13,50 	nestled inside, someone snarls up at him but makes no move to rise.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS137 	00:50:20,00 --> 00:50:28,50 	as someone rises, someone stops and turns to him.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS218 	00:31:31,00 --> 00:31:40,50 	as stinky's tail feathers rise and fall on nimrod's face, the bird tries to shake them away, but rolls off the bed.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS498 	01:00:25,00 --> 01:00:32,50 	in the tub, stinky glances at rising water bubbles.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS371 	01:18:48,00 --> 01:19:01,50 	someone's head rises from behind the tabletop as he straightens and eyes someone.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS391 	01:22:35,00 --> 01:22:41,50 	she smiles at someone, then rises and embraces him.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS56 	00:06:44,00 --> 00:06:50,50 	someone's mother, someone, is standing outside by a pretty rose garden.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS180 	00:40:31,00 --> 00:40:37,50 	hades bursts into flames which rise into the air and disappear.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS250 	01:06:29,00 --> 01:06:35,50 	mist rises around the custodians as they drift close together.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS395 	01:36:51,00 --> 01:36:57,50 	he spots a helicopter rising in his direction and takes aim with the bolt.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS433 	01:41:54,00 --> 01:42:04,50 	someone rises from his throne at the center and eyes the timepiece.
PROMETHEUS.srt 	PROMETHEUS_DVS280 	00:27:46,00 --> 00:27:53,50 	in the airlock, a hatch rises.
PROMETHEUS.srt 	PROMETHEUS_DVS439 	00:45:43,00 --> 00:45:59,50 	meanwhile, in a lab on board someone, the head someone collected rises into a glass chamber.
PROMETHEUS.srt 	PROMETHEUS_DVS518 	00:57:15,00 --> 00:57:20,50 	he sets the rose in a tumbler before here.
PROMETHEUS.srt 	PROMETHEUS_DVS558 	01:02:24,00 --> 01:02:29,50 	a snake-like creature rises from the muck.
PROMETHEUS.srt 	PROMETHEUS_DVS613 	01:07:35,00 --> 01:07:40,50 	it rises and the probe soars through.
PROMETHEUS.srt 	PROMETHEUS_DVS622 	01:08:11,00 --> 01:08:16,50 	he operates it successfully and a door rises before him.
PROMETHEUS.srt 	PROMETHEUS_DVS669 	01:12:25,00 --> 01:12:31,50 	a blue and green holographic sphere rises before the pilot.
PROMETHEUS.srt 	PROMETHEUS_DVS674 	01:12:40,00 --> 01:12:45,50 	and the energy rises up to connect with it.
PROMETHEUS.srt 	PROMETHEUS_DVS813 	01:27:15,00 --> 01:27:22,50 	our view rises from her thigh up her blood-spattered body to her drawn face.
PROMETHEUS.srt 	PROMETHEUS_DVS861 	01:34:28,00 --> 01:34:34,50 	she rises to her feet, now, someone finds someone sitting in the corner of an equipment room.
PROMETHEUS.srt 	PROMETHEUS_DVS870 	01:35:53,00 --> 01:35:58,50 	a door rises and someone leads the group onward.
PROMETHEUS.srt 	PROMETHEUS_DVS892 	01:38:31,00 --> 01:38:41,50 	as he rises to his feet more tubing detaches.
PROMETHEUS.srt 	PROMETHEUS_DVS915 	01:41:00,00 --> 01:41:06,50 	the rising pillar tilts, attached to a base with a seat,
PROMETHEUS.srt 	PROMETHEUS_DVS932 	01:42:23,00 --> 01:42:34,50 	she rises to her feet, standing beside one of the erupting plumes.
PROMETHEUS.srt 	PROMETHEUS_DVS938 	01:43:31,00 --> 01:43:38,50 	someone glimpses the rising ship, then flees the shifting ground.
PROMETHEUS.srt 	PROMETHEUS_DVS947 	01:45:02,00 --> 01:45:11,50 	the crescent shaped ship rotates, its blunted ends turning toward the human's vessel as it rises into the sky.
PROMETHEUS.srt 	PROMETHEUS_DVS972 	01:47:11,00 --> 01:47:18,50 	she rises to her knees and watches someone fall to the ground up ahead.
PROMETHEUS.srt 	PROMETHEUS_DVS976 	01:47:27,00 --> 01:47:33,50 	gawking at the towering vessel, someone rises to her feet.
PROMETHEUS.srt 	PROMETHEUS_DVS984 	01:48:18,00 --> 01:48:26,50 	she rises to her feet, staggers a few steps, then glimpses an expanse of the vessel's outer wall.
PROMETHEUS.srt 	PROMETHEUS_DVS1066 	01:56:52,00 --> 01:56:57,50 	an engineer ship rises into view.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS221 	00:40:50,00 --> 00:41:17,50 	he rises, leaving a lifeless barton.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS316 	01:00:46,00 --> 01:00:51,50 	as the crowd rises, someone winks at someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS391 	01:15:08,00 --> 01:15:23,50 	he exchanges a glance with someone and they rise, grabbing their coats.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS194 	00:46:36,00 --> 00:46:41,50 	king someone rises from his throne.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS283 	01:07:46,00 --> 01:07:57,50 	a figure rises from the darkness.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS568 	01:26:04,00 --> 01:26:09,50 	someone rises to her feet and flails wildly.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS627 	01:30:52,00 --> 01:30:57,50 	he rises to his feet.
SALT.srt 	SALT_DVS531 	01:30:39,00 --> 01:30:44,50 	away from the rising helicopter, followed by another chopper
SALT.srt 	SALT_DVS532 	01:30:49,00 --> 01:31:09,50 	the helicopters rise high above the city, silhouetted against a rose and indigo sky.
SALT.srt 	SALT_DVS532 	01:30:49,00 --> 01:31:09,50 	the helicopters rise high above the city, silhouetted against a rose and indigo sky.
SANCTUM.srt 	SANCTUM_DVS449 	01:24:44,00 --> 01:24:50,50 	ahead, the walls of the tunnel widen and the ceiling rises slightly.
SANCTUM.srt 	SANCTUM_DVS471 	01:27:32,00 --> 01:27:43,50 	as someone rises with his flaming cylindrical container in hand, someone shoves fabric into the top of his own oil-filled container.
SANCTUM.srt 	SANCTUM_DVS505 	01:34:29,00 --> 01:34:36,50 	young man turns to see someone rising to his feet nearby holding a glow stick.
SANCTUM.srt 	SANCTUM_DVS525 	01:37:45,00 --> 01:37:53,50 	underwater, a flurry of bubbles rises.
SANCTUM.srt 	SANCTUM_DVS534 	01:38:55,00 --> 01:39:03,50 	he rises, drawing his arms back and allows his father's body to float away.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS119 	00:08:04,00 --> 00:08:10,50 	someone's eyes rise into view and she peeks inside.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS762 	00:50:55,00 --> 00:51:03,50 	now, our view rises from a customer's menu to find someone working as a waitress in a pink uniform.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS166 	00:32:55,00 --> 00:33:00,50 	hundreds of acupuncture needles rise.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS167 	00:33:09,00 --> 00:33:14,50 	the bare-chested man rises.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS316 	01:04:10,00 --> 01:04:13,50 	four electrical wall outlets sink the rising water
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS470 	01:39:36,00 --> 01:39:57,50 	our view rises about the grieving merlinians.
SOUL_SURFER.srt 	SOUL_SURFER_DVS55 	00:18:16,00 --> 00:18:21,50 	now, beyond palm trees the sun rises over the ocean.
SPARKLE_2012.srt 	SPARKLE_2012_DVS129 	00:21:17,00 --> 00:21:22,50 	he rises.
SPARKLE_2012.srt 	SPARKLE_2012_DVS392 	01:06:34,00 --> 01:06:39,50 	she rises from the couch.
SPARKLE_2012.srt 	SPARKLE_2012_DVS404 	01:08:35,00 --> 01:08:39,50 	she rises.
SPARKLE_2012.srt 	SPARKLE_2012_DVS456 	01:14:39,00 --> 01:14:44,50 	she rises from the window.
SPARKLE_2012.srt 	SPARKLE_2012_DVS515 	01:25:03,00 --> 01:25:13,50 	someone and someone arrive home, and someone rises to meet them.
SPARKLE_2012.srt 	SPARKLE_2012_DVS642 	01:45:38,00 --> 01:45:45,50 	a partition rises, revealing a gospel choir of singers dressed in white robes.
SPARKLE_2012.srt 	SPARKLE_2012_DVS644 	01:46:23,00 --> 01:46:28,50 	someone rises from the piano.
SUPER_8.srt 	SUPER_8_DVS102 	00:17:23,00 --> 00:17:31,50 	as the front train cars rise into the air and crash into poll, the boys drop the camera and scurry down the platform.
SUPER_8.srt 	SUPER_8_DVS607 	01:38:56,00 --> 01:39:02,50 	the soldier rises then let's go of his gun and falls to the ground.
SUPER_8.srt 	SUPER_8_DVS613 	01:39:50,00 --> 01:39:57,50 	the ship nears completion as cubes rise from different trucks throughout town.
SUPER_8.srt 	SUPER_8_DVS624 	01:41:17,00 --> 01:41:22,50 	the locket necklace rises from his pocket.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS346 	00:53:01,00 --> 00:53:08,50 	snowy drops to the floor of the plane as it rises steeply upwards, then stalls and falls again.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS347 	00:53:08,00 --> 00:53:13,50 	a large globule of alcohol rises out of the bottle.
