21_JUMP_STREET.srt 	21_JUMP_STREET_DVS498 	01:19:01,00 --> 01:19:08,50 	his mother looks out the window then shuts the laptop and gives her son a stern look.
COLOMBIANA.srt 	COLOMBIANA_DVS516 	00:46:53,00 --> 00:46:58,50 	then shuts the door.
COLOMBIANA.srt 	COLOMBIANA_DVS943 	01:31:00,00 --> 01:31:05,50 	then shuts a weapons case.
COLOMBIANA.srt 	COLOMBIANA_DVS1012 	01:36:20,00 --> 01:36:25,50 	as the gunman shuts the door and waits,
DEAR_JOHN.srt 	DEAR_JOHN_DVS116 	00:17:51,00 --> 00:17:57,50 	someone grins at him and shuts the door.
DEAR_JOHN.srt 	DEAR_JOHN_DVS147 	00:23:55,00 --> 00:24:04,50 	in a hallway, someone sneaks up on her as she shuts a door.
DEAR_JOHN.srt 	DEAR_JOHN_DVS289 	00:45:05,00 --> 00:45:11,50 	he tosses the carton back inside and shuts the door.
DEAR_JOHN.srt 	DEAR_JOHN_DVS690 	01:33:08,00 --> 01:33:12,50 	but he shuts it and looks away.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS439 	01:47:28,00 --> 01:47:34,50 	someone shuts the door.
DISTRICT_9.srt 	DISTRICT_9_DVS244 	00:27:00,00 --> 00:27:06,50 	the child exits and the father shuts the door.
DISTRICT_9.srt 	DISTRICT_9_DVS650 	01:16:10,00 --> 01:16:33,50 	under the shack, someone shuts a hatch below the open trapdoor and climbs down.
DISTRICT_9.srt 	DISTRICT_9_DVS683 	01:20:06,00 --> 01:20:11,50 	a soldier hops out and shuts the door.
EASY_A.srt 	EASY_A_DVS20 	00:05:00,00 --> 00:05:09,50 	sunday morning, someone repeatedly opens and shuts the card.
EASY_A.srt 	EASY_A_DVS23 	00:05:28,00 --> 00:05:34,50 	she glances about, then shuts the card and joins the dog on her bed.
EASY_A.srt 	EASY_A_DVS81 	00:30:38,00 --> 00:30:42,50 	she shuts the door.
EASY_A.srt 	EASY_A_DVS228 	01:11:59,00 --> 01:12:04,50 	she starts to open the passenger door, but he shuts it.
EASY_A.srt 	EASY_A_DVS253 	01:17:01,00 --> 01:17:06,50 	she stands and shuts the door behind her, strolling off.
FLIGHT.srt 	FLIGHT_DVS1218 	02:08:34,00 --> 02:08:38,50 	he shuts his eyes.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS116 	00:31:57,00 --> 00:32:03,50 	now someone shuts her eyes ecstatically.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS207 	00:54:40,00 --> 00:54:45,50 	as she shuts the door he stirs and stretches.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS94 	00:52:52,00 --> 00:52:57,50 	someone winces, his eyes shut.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS19 	00:03:05,00 --> 00:03:14,50 	someone and someone head through a door and pull it shut.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS457 	01:06:20,00 --> 01:06:26,50 	someone steps out of the ambulance and shuts the driver's door.
GREEN_ZONE.srt 	GREEN_ZONE_DVS415 	01:32:06,00 --> 01:32:12,50 	the apartment, shuts the door, but someone immediately bursts through it.
HUGO.srt 	HUGO_DVS36 	00:04:05,00 --> 00:04:11,50 	the boy watches as the man lowers his head and shuts his eyes.
HUGO.srt 	HUGO_DVS52 	00:06:12,00 --> 00:06:22,50 	the shopkeeper squeezes his eyes shut.
HUGO.srt 	HUGO_DVS77 	00:10:07,00 --> 00:10:14,50 	the boy enters an attic with a wood-plank floor and shuts the door behind him.
HUGO.srt 	HUGO_DVS114 	00:15:03,00 --> 00:15:12,50 	the man walks out of a gate on the opposite side then enters a building's front door- which he shuts in someone's face.
HUGO.srt 	HUGO_DVS385 	00:58:37,00 --> 00:58:41,50 	she shuts the door.
HUGO.srt 	HUGO_DVS390 	00:59:09,00 --> 00:59:15,50 	someone searches a container then shuts a drawer in the armoire.
HUGO.srt 	HUGO_DVS738 	01:48:32,00 --> 01:48:38,50 	he kicks the windows shut with one foot as he dangles.
IN_TIME.srt 	IN_TIME_DVS88 	00:09:44,00 --> 00:09:56,50 	the two men reach a door and someone breaks a chain locking it shut.
IN_TIME.srt 	IN_TIME_DVS103 	00:11:20,00 --> 00:11:25,50 	he shuts his eyes and shakes his head.
IN_TIME.srt 	IN_TIME_DVS482 	00:52:23,00 --> 00:52:33,50 	she withdraws into the apartment, shutting the doors.
IN_TIME.srt 	IN_TIME_DVS524 	00:56:37,00 --> 00:56:43,50 	someone drinks from the tap, wipes his mouth, then shuts off the faucet.
IN_TIME.srt 	IN_TIME_DVS672 	01:12:50,00 --> 01:12:55,50 	crouching, someone shuts the sizable case.
INSIDE_MAN.srt 	INSIDE_MAN_DVS29 	00:06:42,00 --> 00:06:54,50 	two painters fasten the doors shut.
INSIDE_MAN.srt 	INSIDE_MAN_DVS66 	00:17:58,00 --> 00:18:13,50 	he gives someone his cell phone and pats him on the cheek, then returns to the office and shuts the door.
INSIDE_MAN.srt 	INSIDE_MAN_DVS68 	00:18:20,00 --> 00:18:24,50 	someone holds him up, someone shuts the door.
INSIDE_MAN.srt 	INSIDE_MAN_DVS96 	00:24:49,00 --> 00:25:13,50 	the last one shuts a door behind him.
INSIDE_MAN.srt 	INSIDE_MAN_DVS163 	00:47:42,00 --> 00:47:50,50 	she shuts the door.
INSIDE_MAN.srt 	INSIDE_MAN_DVS384 	01:51:46,00 --> 01:51:55,50 	in his cell, someone shuts off two lights.
INSIDE_MAN.srt 	INSIDE_MAN_DVS411 	01:55:58,00 --> 01:56:13,50 	he bags the note with the other items, then shuts the maroon drawer and slides it back into box 392.
INSIDE_MAN.srt 	INSIDE_MAN_DVS424 	02:00:55,00 --> 02:01:12,50 	someone shuts the door, then steps over to the couch.
INSIDE_MAN.srt 	INSIDE_MAN_DVS426 	02:01:16,00 --> 02:01:23,50 	as he shuts the door, a pair of smooth feminine legs stretches out on the bed.
IRON_MAN_2.srt 	IRON_MAN_2_DVS481 	01:26:36,00 --> 01:26:41,50 	someone shuts off the accelerator.
IRON_MAN_2.srt 	IRON_MAN_2_DVS528 	01:35:32,00 --> 01:35:39,50 	the suit's thrusters shut off.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS134 	00:42:28,00 --> 00:42:35,50 	reads someone, she glances at someone, shuts off the phone, then stumbles.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS136 	00:42:43,00 --> 00:42:56,50 	fully clothed someone puts his phone in his pocket, steps out of the shower, and shuts its glass door.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS145 	00:48:01,00 --> 00:48:09,50 	someone smiles and shuts the door.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS233 	01:08:00,00 --> 01:08:08,50 	she shuts her laptop.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS373 	01:43:49,00 --> 01:43:55,50 	someone steps inside and he shuts the door behind her.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS390 	01:49:42,00 --> 01:49:49,50 	someone climbs out of the suv and shuts the door keeping her eyes fixed.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS249 	00:46:23,00 --> 00:46:33,50 	he shuts off a lamp, and stares up at the ceiling.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS290 	01:34:48,00 --> 01:34:55,50 	as someone walks away, someone slowly shuts the door to her suite.
KARATE_KID.srt 	KARATE_KID_DVS231 	00:20:06,00 --> 00:20:11,50 	entering his room, he shuts the door behind him.
KARATE_KID.srt 	KARATE_KID_DVS357 	00:31:59,00 --> 00:32:05,50 	as his mother comes in, someone curls up and shuts his eyes.
KARATE_KID.srt 	KARATE_KID_DVS481 	00:43:31,00 --> 00:43:36,50 	someone grits his teeth and squeezes his eyes shut.
KNOCKED_UP.srt 	KNOCKED_UP_DVS123 	01:12:52,00 --> 01:12:56,50 	gently shuts the door.
KNOCKED_UP.srt 	KNOCKED_UP_DVS140 	01:24:09,00 --> 01:24:15,50 	someone shuts the door on him.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS264 	01:36:30,00 --> 01:36:39,50 	the tv crew shuts off the lights and heads out of the studio.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS327 	01:15:45,00 --> 01:16:00,50 	he looks at the now empty house, then exits, shutting the door beside him.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS278 	00:37:05,00 --> 00:37:10,50 	the door swings shut behind him.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS475 	00:53:20,00 --> 00:53:30,50 	as the tiger climbs onto the canvas, someone curls up in a fetal position with his back to him and squeezes his eyes shut.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS679 	01:12:04,00 --> 01:12:10,50 	a few jelly fish gracefully open and shut their bells.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS148 	00:53:16,00 --> 00:53:22,50 	someone lets someone shut the door then enters anyway.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS151 	00:53:58,00 --> 00:54:04,50 	later in the hallway, someone gently shuts someone's door.
MORNING_GLORY.srt 	MORNING_GLORY_DVS372 	01:21:33,00 --> 01:21:38,50 	someone shuts his door.
MORNING_GLORY.srt 	MORNING_GLORY_DVS505 	01:41:49,00 --> 01:41:53,50 	then shuts the door.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS37 	00:05:23,00 --> 00:05:28,50 	someone shuts his eyes, and shakes his head.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS75 	00:11:44,00 --> 00:11:49,50 	someone shuts it off and sits up on the side of his bed.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS338 	00:43:23,00 --> 00:43:30,50 	someone and someone step onboard and the elevator doors shut the penguins out.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS389 	00:47:05,00 --> 00:47:12,50 	she gets in an suv and shuts the door.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS618 	01:15:17,00 --> 01:15:25,50 	someone shuts him in.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS56 	00:14:00,00 --> 00:14:18,50 	someone enters an adjoining room and shuts the door behind her.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS60 	00:14:58,00 --> 00:15:07,50 	she slams it shut.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS87 	00:18:47,00 --> 00:18:51,50 	she shuts the door.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS89 	00:20:06,00 --> 00:20:11,50 	she shuts the parlor door.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS231 	00:48:25,00 --> 00:48:31,50 	farmer someone shuts the cart and eyes a piglet.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS242 	00:50:26,00 --> 00:50:39,50 	someone shuts the door with a wounded gaze.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS374 	01:19:21,00 --> 01:19:38,50 	someone squeezes her eyes shut.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS443 	01:32:17,00 --> 01:32:21,50 	the door swings shut.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS505 	01:33:06,00 --> 01:33:12,50 	he walks into a room where someone lies in a slightly tilted bed someone shuts the door.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS205 	00:51:07,00 --> 00:51:12,50 	locked in the embrace, he shuts the door.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS286 	01:08:04,00 --> 01:08:10,50 	as someone shuts his eyes with him, we view archived footage of the game.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS227 	01:01:13,00 --> 01:01:19,50 	someone shuts the curtains and faces him.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS271 	01:09:05,00 --> 01:09:14,50 	someone shuts his eyes.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS412 	01:38:45,00 --> 01:38:52,50 	eyeing a water tower behind someone, someone shuts his eyes.
PROMETHEUS.srt 	PROMETHEUS_DVS456 	00:48:18,00 --> 00:48:27,50 	the chamber door slides shut and another shot of white mist blast it.
PROMETHEUS.srt 	PROMETHEUS_DVS992 	01:49:00,00 --> 01:49:07,50 	a pair of doors slides shut behind her, sealing her inside.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS27 	00:04:33,00 --> 00:04:38,50 	someone shuts the door behind him.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS39 	00:06:21,00 --> 00:06:33,50 	as the sandy-haired escapee shuts the door, someone puts a handgun to someone's neck.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS207 	00:39:22,00 --> 00:39:33,50 	someone leaves, shutting the door.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS320 	01:01:31,00 --> 01:01:39,50 	the janitor enters and the guard shuts the door behind him.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS558 	01:44:29,00 --> 01:44:35,50 	now, the interrogator returns, shuts the door, and eyes someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS634 	01:59:24,00 --> 01:59:31,50 	he shuts the watch, puts it away, and pockets the gun.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS57 	00:16:14,00 --> 00:16:25,50 	someone winces, squeezing his eyes shut, then lifts his head.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS371 	01:32:23,00 --> 01:32:32,50 	someone studies the old man uneasily, then blinks his eyes shut and swallows.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS449 	01:51:49,00 --> 01:52:04,50 	he gently cups her head and shuts his eyes.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS54 	00:09:39,00 --> 00:09:45,50 	he drops a book on the floor then shuts the door behind him.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS103 	00:17:58,00 --> 00:18:04,50 	someone gives someone a wide-eyed sheepish stare as she shuts the drawer.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS134 	00:23:06,00 --> 00:23:12,50 	beaming wistfully at the page, he shuts his eyes.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS150 	00:25:30,00 --> 00:25:35,50 	he dashes through doorway and slams it shut behind him.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS201 	00:33:53,00 --> 00:34:00,50 	she shuts her eyes ecstatically as he leans his face toward hers.
SALT.srt 	SALT_DVS78 	00:17:16,00 --> 00:17:32,50 	he shuts the door and faces someone.
SALT.srt 	SALT_DVS148 	00:26:13,00 --> 00:26:25,50 	shutting her eyes, she gently pounds the back of her head against the seat back then recalls someone showing her photographs of someone.
SALT.srt 	SALT_DVS229 	00:39:20,00 --> 00:39:44,50 	shutting her eyes, she remembers lying on top of someone in bed.
SALT.srt 	SALT_DVS235 	00:40:45,00 --> 00:40:50,50 	she cheerfully shuts her eyes and shakes her head.
SANCTUM.srt 	SANCTUM_DVS59 	00:13:18,00 --> 00:13:26,50 	someone shuts off the feed.
SANCTUM.srt 	SANCTUM_DVS137 	00:29:06,00 --> 00:29:15,50 	he squeezes his eyes shut.
SANCTUM.srt 	SANCTUM_DVS388 	01:16:50,00 --> 01:16:54,50 	squeezes his eyes shut.
SANCTUM.srt 	SANCTUM_DVS559 	01:41:56,00 --> 01:42:04,50 	as his near-motionless body rotates underwater, the young man shuts his eyes.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS73 	00:05:32,00 --> 00:05:38,50 	she brings the back of her hand to her mouth and squeezes her eyes shut.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS548 	00:36:43,00 --> 00:36:48,50 	someone shuts the door.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS553 	00:36:59,00 --> 00:37:05,50 	then shuts the fan and touches it to her chin.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1279 	01:27:20,00 --> 01:27:24,50 	back at the desk, shutting the notebook,
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS43 	00:09:05,00 --> 00:09:12,50 	they swing shut by themselves.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS405 	01:24:35,00 --> 01:24:41,50 	he takes in someone's sorry expression, then shuts his eyes.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS409 	01:25:30,00 --> 01:25:37,50 	he shuts his eyes, spreads his arms wide, and falls backward.
SOUL_SURFER.srt 	SOUL_SURFER_DVS84 	00:27:53,00 --> 00:28:15,50 	as the emts set someone on a bed, the nurse shuts the door.
SPARKLE_2012.srt 	SPARKLE_2012_DVS243 	00:38:17,00 --> 00:38:22,50 	someone shuts the driver's door and pulls out.
SPARKLE_2012.srt 	SPARKLE_2012_DVS585 	01:35:55,00 --> 01:35:59,50 	she shuts her song journal.
SPARKLE_2012.srt 	SPARKLE_2012_DVS619 	01:40:13,00 --> 01:40:20,50 	the mother shuts her eyes, lifts her brow, and gives a sad smile.
SUPER_8.srt 	SUPER_8_DVS349 	01:02:30,00 --> 01:02:37,50 	she shuts the door, sets the keys on a hall table, and tiptoes toward a staircase.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS112 	00:17:10,00 --> 00:17:15,50 	nestor shuts the front door on someone.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS154 	00:24:13,00 --> 00:24:18,50 	he shuts snowy in the apartment building.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS182 	00:27:02,00 --> 00:27:08,50 	snowy slips past the last thug and into the hold as he shuts the door.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS351 	00:53:43,00 --> 00:53:50,50 	he opens the plane's side door, looks down and shuts the door again.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS442 	01:04:33,00 --> 01:04:43,50 	someone jumps on his bed and swings his arms as someone shuts the door.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS194 	00:37:22,00 --> 00:37:30,50 	with his thoughtful gaze fixed on the sleeping girl, someone lets his eyelids shut.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS253 	00:48:31,00 --> 00:48:41,50 	someone lies with his arms folded over his stomach and his eyes shut.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS259 	00:49:38,00 --> 00:49:45,50 	someone shuts his eyes.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS296 	00:57:17,00 --> 00:57:22,50 	she slips out shutting the door behind her.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS411 	01:17:07,00 --> 01:17:11,50 	he shuts the door.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS452 	01:23:32,00 --> 01:23:38,50 	at cupid's cabin, as someone stands on the front stoop, someone shuts the door.
THE_CALL.srt 	THE_CALL_DVS109 	00:08:20,00 --> 00:08:32,50 	as it swings shut behind him, the dark ominous figure stands frozen in a vestibule with an arched entry.
THE_CALL.srt 	THE_CALL_DVS146 	00:11:50,00 --> 00:11:57,50 	the man leaves and shuts the door.
THE_CALL.srt 	THE_CALL_DVS185 	00:14:59,00 --> 00:15:03,50 	she shuts her eyes.
THE_CALL.srt 	THE_CALL_DVS979 	01:15:16,00 --> 01:15:21,50 	shutting her flashlight off,
THE_CALL.srt 	THE_CALL_DVS990 	01:16:00,00 --> 01:16:06,50 	now, someone scurries back through the white door and shuts it, pressing herself against it.
THE_CALL.srt 	THE_CALL_DVS1048 	01:19:25,00 --> 01:19:34,50 	someone shuts her mouth in a tight someone while someone closes his eyes and smells the contents of the wardrobe.
THE_CALL.srt 	THE_CALL_DVS1079 	01:21:03,00 --> 01:21:07,50 	the teen shuts her eyes.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS127 	00:21:08,00 --> 00:21:20,50 	his expression growing resigned, he leaves and shuts the door.
