21_JUMP_STREET.srt 	21_JUMP_STREET_DVS308 	00:52:23,00 --> 00:52:31,50 	someone turns, revealing an ornate south-western knife handle sticking out of his back.
HUGO.srt 	HUGO_DVS496 	01:12:47,00 --> 01:12:55,50 	elsewhere, two wooden doors swing open, revealing a large room filled with dark furniture and framed photographs.
HUGO.srt 	HUGO_DVS596 	01:25:55,00 --> 01:26:04,50 	a gloved hand pushes open the man's coat revealing a flask in a vest pocket.
HUGO.srt 	HUGO_DVS805 	01:57:28,00 --> 01:57:40,50 	a magician lifts a giant hat, revealing a woman with butterfly wings.
IN_TIME.srt 	IN_TIME_DVS318 	00:32:55,00 --> 00:33:01,50 	looking down at his own, he flips them over to reveal an eight and a four.
IN_TIME.srt 	IN_TIME_DVS490 	00:53:12,00 --> 00:53:17,50 	it rises, revealing an additional grated gate behind it.
IN_TIME.srt 	IN_TIME_DVS757 	01:20:07,00 --> 01:20:13,50 	the bus pulls away, revealing someone as he arrives at the curb.
IN_TIME.srt 	IN_TIME_DVS980 	01:42:44,00 --> 01:42:53,50 	our view widens to reveal a broad row of pillared stone archways opening into the towering bank's courtyard.
INSIDE_MAN.srt 	INSIDE_MAN_DVS97 	00:25:14,00 --> 00:25:31,50 	someone turns on rows of fluorescent lights revealing a storage room.
INSIDE_MAN.srt 	INSIDE_MAN_DVS109 	00:33:10,00 --> 00:33:16,50 	peels off the decal revealing a different logo underneath.
INSIDE_MAN.srt 	INSIDE_MAN_DVS250 	01:17:00,00 --> 01:17:07,50 	she rolls her eyes, then unzips the coveralls revealing her full chest.
INSIDE_MAN.srt 	INSIDE_MAN_DVS261 	01:20:15,00 --> 01:20:41,50 	the mastermind opens the door revealing a group of hooded hostages seated on the floor.
IRON_MAN_2.srt 	IRON_MAN_2_DVS47 	00:06:14,00 --> 00:06:26,50 	giant robotic arms rise from the platform and remove someone's helmet, revealing his smiling face.
IRON_MAN_2.srt 	IRON_MAN_2_DVS166 	00:31:18,00 --> 00:31:54,50 	on the road, a car zooms past someone as he rips open his orange shirt, revealing the arc reactor attached to his body frame.
IRON_MAN_2.srt 	IRON_MAN_2_DVS215 	00:40:57,00 --> 00:41:02,50 	he uncovers the tray, revealing an omelet.
IRON_MAN_2.srt 	IRON_MAN_2_DVS353 	01:04:08,00 --> 01:04:16,50 	he and someone remove the cover, revealing a white cockatoo.
IRON_MAN_2.srt 	IRON_MAN_2_DVS434 	01:20:56,00 --> 01:21:03,50 	revealing the scale city model propped on its side with the roofs of miniature buildings pointing toward him.
IRON_MAN_2.srt 	IRON_MAN_2_DVS497 	01:28:52,00 --> 01:28:59,50 	the man yanks off someone's shoes, revealing letters written on someone's bare feet.
IRON_MAN_2.srt 	IRON_MAN_2_DVS571 	01:39:42,00 --> 01:39:53,50 	the child raises his left arm, revealing a glowing light in his hand.
IRON_MAN_2.srt 	IRON_MAN_2_DVS644 	01:49:05,00 --> 01:49:15,50 	the suit's face plate flips up, revealing someone's smiling face.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS301 	01:26:37,00 --> 01:26:43,50 	lights reveals the well-stocked artfully arranged on a central island.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS427 	01:18:26,00 --> 01:18:35,50 	a masculine blonde woman wearing a bouffant and a flashy navel revealing dress sits among other gaudy friends.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS131 	00:23:24,00 --> 00:23:29,50 	she unwraps it, revealing a thick book.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS236 	00:44:10,00 --> 00:44:15,50 	then reveals a pearl necklace.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS371 	01:10:14,00 --> 01:10:21,50 	she yanks out the pot and takes off the lid, revealing her ruined stew.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS166 	01:00:22,00 --> 01:00:29,50 	someone strips down to a pink string bikini, revealing her tan slender body.
KARATE_KID.srt 	KARATE_KID_DVS238 	00:20:46,00 --> 00:20:52,50 	the bathroom door opens, revealing someone with a cap tipped over his eyes.
KARATE_KID.srt 	KARATE_KID_DVS320 	00:28:40,00 --> 00:28:50,50 	before him, two, red, wooden doors stand open, revealing a pair of inner doors upholstered in dark-green leather.
KARATE_KID.srt 	KARATE_KID_DVS798 	01:07:20,00 --> 01:07:29,50 	curtains rise, revealing the performance screen and several puppets glowing from behind.
KARATE_KID.srt 	KARATE_KID_DVS968 	01:19:08,00 --> 01:19:16,50 	she crouches, revealing a cobra poised before her, its hood fanned out.
KARATE_KID.srt 	KARATE_KID_DVS1345 	01:48:47,00 --> 01:48:53,50 	the door swings open further, revealing her father standing behind it.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS69 	00:12:38,00 --> 00:12:45,50 	a male dancer lifts dark fabric up around someone, then lowers it revealing her in a red and white dress.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS84 	00:16:47,00 --> 00:16:54,50 	in fast motion night turns to day revealing the cityscape of las vegas, nevada.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS29 	00:10:40,00 --> 00:10:47,50 	he removes the tarp, revealing a model of a golden building with two pointed towers.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS41 	00:02:44,00 --> 00:02:51,50 	our distant view sharpens to reveal a cheetah patting across a lush habitat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS485 	00:54:14,00 --> 00:54:25,50 	at the boat's prow, someone peaks in at the tiger, he lifts out the duffle of supplies, revealing a sizable stock of canned goods and boxed food beneath.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS648 	01:09:19,00 --> 01:09:24,50 	his soaked fur revealing his lean frame.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS840 	01:25:09,00 --> 01:25:18,50 	a brilliant light zooms and reveals a snaggletooth angler fish with an illuminated antenna.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS915 	01:31:39,00 --> 01:31:48,50 	he lowers it to reveal dead sunken eyes and untamed black hair forming a nest around his drawn and weary face.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS916 	01:31:46,00 --> 01:31:55,50 	his blurry gaze shifts into focus revealing someone someone, emaciated and lying on the bench with one arm dangling.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1035 	01:40:52,00 --> 01:40:58,50 	the leaves separate to reveal a black and yellow tooth.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS162 	00:57:22,00 --> 00:57:34,50 	someone lifts his shirt to reveal his lower back.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS435 	00:51:12,00 --> 00:51:17,50 	a penguin backs up to reveal an egg.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS449 	00:52:34,00 --> 00:52:40,50 	someone urges a penguin back to reveal her egg.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS683 	01:24:59,00 --> 01:25:08,50 	a gust of snowflakes obscures our view, then clears to reveal the family in goggles and winter coats with fur-lined hoods.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS696 	01:26:09,00 --> 01:26:14,50 	she steps back to reveal an egg.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS422 	01:29:27,00 --> 01:29:32,50 	around the wire revealing a green loop.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS23 	00:04:16,00 --> 00:04:21,50 	revealing a flood of brilliant light.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS424 	01:40:42,00 --> 01:40:55,50 	across the room two shelving units part to reveal double doors, which slide open, displaying the interior of an elevator.
PROMETHEUS.srt 	PROMETHEUS_DVS61 	00:03:27,00 --> 00:03:34,50 	revealing a pale hairless body of flawless muscle tone and proportion.
PROMETHEUS.srt 	PROMETHEUS_DVS111 	00:06:44,00 --> 00:06:54,50 	his flashlight beam revealing renderings of galloping horses and illustrations of people gathered together.
PROMETHEUS.srt 	PROMETHEUS_DVS136 	00:08:11,00 --> 00:08:16,50 	onboard, automated doors open to reveal a trim blond man in a gray jumpsuit.
PROMETHEUS.srt 	PROMETHEUS_DVS139 	00:08:19,00 --> 00:08:25,50 	it's clouded glass clears revealing holloway's colleague.
PROMETHEUS.srt 	PROMETHEUS_DVS253 	00:24:16,00 --> 00:24:22,50 	fog parts, revealing a barren valley dotted with low hills.
PROMETHEUS.srt 	PROMETHEUS_DVS383 	00:38:39,00 --> 00:38:47,50 	her flashlight beam reveals a head, three times the size of a human's with a short elephant like trunk.
PROMETHEUS.srt 	PROMETHEUS_DVS389 	00:39:08,00 --> 00:39:16,50 	one of their boots lifts from the soft dirt revealing worms wriggling about.
PROMETHEUS.srt 	PROMETHEUS_DVS445 	00:46:54,00 --> 00:47:01,50 	carefully lifting the large helmet off completely, he reveals a human-like head.
PROMETHEUS.srt 	PROMETHEUS_DVS466 	00:49:15,00 --> 00:49:22,50 	he removes his helmet and amber visor, revealing his stoic expression.
PROMETHEUS.srt 	PROMETHEUS_DVS534 	00:59:20,00 --> 00:59:26,50 	reaching down, someone pulls holloway's shirt up his torso, revealing his toned sun-kissed back.
PROMETHEUS.srt 	PROMETHEUS_DVS704 	01:14:43,00 --> 01:14:51,50 	someone flashlight beam shines through the barrier, revealing an engineer lying inside.
PROMETHEUS.srt 	PROMETHEUS_DVS757 	01:22:03,00 --> 01:22:12,50 	someone quickly removes her white hospital gown, revealing her bandage-like underwear, and grabs two auto-injectors.
PROMETHEUS.srt 	PROMETHEUS_DVS779 	01:23:46,00 --> 01:23:54,50 	the sac brakes open splattering her with bloody fluid and revealing the squid-like alien.
PROMETHEUS.srt 	PROMETHEUS_DVS801 	01:25:47,00 --> 01:25:54,50 	his smashed open helmet reveals his grotesquely deformed features.
PROMETHEUS.srt 	PROMETHEUS_DVS998 	01:49:25,00 --> 01:49:31,50 	doors ahead open, revealing the devastated remains of someone quarters.
PROMETHEUS.srt 	PROMETHEUS_DVS1020 	01:51:24,00 --> 01:51:34,50 	flaps on its underside blossom outward like petals, revealing egg-shaped buds surrounding a vertical mouth lined with dagger-like teeth.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS184 	00:34:53,00 --> 00:35:06,50 	her head, revealing a silvery blue slip, then leans over on top of someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS200 	00:38:06,00 --> 00:38:16,50 	it opens, revealing a young woman in a demure house dress, her strawberry blonde hair frames her face in a curly someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS212 	00:40:03,00 --> 00:40:08,50 	opens, revealing a tall man with rugged features.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS530 	01:39:28,00 --> 01:39:36,50 	someone gazes at her and brushes her dark hair aside to reveal her big eyes.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS598 	01:51:58,00 --> 01:52:17,50 	someone unfolds the page to reveal a handwritten message.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS675 	02:06:52,00 --> 02:07:02,50 	the agent narrows his eye, glances at the fallen man, and withdraws, revealing someone's lifeless stare.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS65 	00:18:22,00 --> 00:18:30,50 	the imposing man presents someone who lowers his hood to reveal a bald head and raven like features.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS338 	01:22:55,00 --> 01:23:06,50 	later, as he arrives at a blacksmith's forge, a glimpse beneath his hood reveals him as someone's goateed accomplice.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS433 	01:47:27,00 --> 01:47:50,50 	in the shed, someone raises her skirts above her knee boot revealing her milky white leg.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS503 	02:05:50,00 --> 02:06:03,50 	someone pulls her closer and her helmet falls off revealing a leather
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS95 	00:16:42,00 --> 00:16:49,50 	he opens the cabinet, revealing a woman's razor on the shelf.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS310 	00:49:09,00 --> 00:49:17,50 	the gate opens automatically, revealing an abundance of shrubs and trees around a driveway.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS632 	01:31:16,00 --> 01:31:21,50 	revealing the sticky note now gone.
SALT.srt 	SALT_DVS161 	00:27:56,00 --> 00:28:04,50 	apartment, someone lowers a panel from the underside of a table, revealing a hidden gun.
SALT.srt 	SALT_DVS229 	00:39:20,00 --> 00:39:44,50 	then lifts her bloodstained shirt to reveal a gunshot wound at the top of her hip.
SALT.srt 	SALT_DVS234 	00:40:40,00 --> 00:40:46,50 	she faces him, revealing her bruised swollen eye.
SALT.srt 	SALT_DVS351 	01:02:29,00 --> 01:02:46,50 	as someone peers down through the opening, a flashlight turns on to reveal someone bound with a chain.
SALT.srt 	SALT_DVS405 	01:10:49,00 --> 01:11:02,50 	someone turns revealing his soft features and bee-stung lips.
SALT.srt 	SALT_DVS501 	01:26:25,00 --> 01:26:38,50 	someone breaks part of the wall away to reveal an electronic device inside.
SANCTUM.srt 	SANCTUM_DVS200 	00:44:54,00 --> 00:45:05,50 	someone rushes to a floating body bag and gently pulls it open to reveal someone' lifeless face.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS382 	00:25:22,00 --> 00:25:29,50 	a young man walks over and lifts off her veil, revealing her elaborate bridal crown.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS924 	00:59:58,00 --> 01:00:04,50 	revealing her tiny bound foot still wrapped in bandages.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1393 	01:34:47,00 --> 01:34:54,50 	someone opens it, revealing the columns of hand-painted characters on its panels.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS42 	00:08:33,00 --> 00:08:49,50 	the sorcerer opens the lid, revealing the silver-dragon figurine.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS47 	00:10:08,00 --> 00:10:23,50 	a red veneer crumbles away, revealing ancient darker bricks beneath.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS252 	00:50:38,00 --> 00:50:49,50 	he gingerly unrolls it to reveal an arcane depiction of a spell being cast.
