30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS151 	00:39:45,00 --> 00:39:50,50 	mr. fisher presses a button and the garage door rises.
SANCTUM.srt 	SANCTUM_DVS503 	01:34:04,00 --> 01:34:11,50 	shaking his head, someone returns to his back, his hand pressed to his son's cheek.
SANCTUM.srt 	SANCTUM_DVS533 	01:38:47,00 --> 01:38:56,50 	with one hand pressed to his father's chest, someone bends down and plants a tender kiss on his forehead.
SANCTUM.srt 	SANCTUM_DVS551 	01:41:17,00 --> 01:41:25,50 	someone crawls over and presses his lips to one.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS513 	00:33:18,00 --> 00:33:25,50 	the two friends kneel, press their hands together in prayer, and bow their heads.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS556 	00:37:11,00 --> 00:37:15,50 	as she gently presses the fan to her cheek, the image fades to black.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS795 	00:53:18,00 --> 00:53:24,50 	someone takes her friend's hands and presses them against her heart.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS977 	01:03:40,00 --> 01:03:47,50 	someone swallows, tilts her head, and presses her brow to her sister's.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS275 	00:56:10,00 --> 00:56:16,50 	someone presses the knob of his walking stick to his lips.
SOUL_SURFER.srt 	SOUL_SURFER_DVS139 	00:42:54,00 --> 00:42:58,50 	her lips pressed to a thin
SUPER_8.srt 	SUPER_8_DVS493 	01:24:18,00 --> 01:24:24,50 	the creature lunges toward someone pressing him against the cell door.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS152 	00:24:03,00 --> 00:24:09,50 	a burly man presses a rag over someone's face, then shoves him into a crate.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS106 	00:25:00,00 --> 00:25:05,50 	now he presses a doorbell.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS195 	00:37:30,00 --> 00:37:46,50 	she presses her lips together to stifle a smile, then shifts her gaze to someone who blinks awake and looks up at her.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS235 	00:45:37,00 --> 00:45:44,50 	someone presses his lips into a tight line.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS254 	00:48:43,00 --> 00:48:49,50 	he presses play on his ipod and lies back.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS297 	00:57:25,00 --> 00:57:30,50 	he presses her up against the door and kisses her.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS350 	01:10:02,00 --> 01:10:08,50 	someone's eyes glisten and he presses his lip.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS86 	00:16:47,00 --> 00:16:56,50 	someone defensively grabs a picture frame and presses her back to a wall by a white-trim doorway.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS185 	00:38:31,00 --> 00:38:36,50 	he presses an ear to the trunk and listens.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS212 	00:42:59,00 --> 00:43:11,50 	someone struts out of the room and presses an elevator call button.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS213 	00:43:12,00 --> 00:43:19,50 	he boards the elevator, presses a button, and snaps open the check from teresa.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS263 	00:49:50,00 --> 00:49:56,50 	later, at the elevators, she presses the call button.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS264 	00:49:53,00 --> 00:50:08,50 	he quickly presses the call button.
THE_CALL.srt 	THE_CALL_DVS151 	00:12:30,00 --> 00:12:38,50 	a bare hand caresses a lock of hair pressed against her neck.
THE_CALL.srt 	THE_CALL_DVS282 	00:24:44,00 --> 00:24:49,50 	realizing her location, she presses her hands to the roof,
THE_CALL.srt 	THE_CALL_DVS465 	00:35:30,00 --> 00:35:36,50 	slowly closing her eyes, the scared teen presses her lips tight.
THE_CALL.srt 	THE_CALL_DVS519 	00:40:07,00 --> 00:40:12,50 	he presses the screw driver to someone's cheek.
THE_CALL.srt 	THE_CALL_DVS572 	00:43:52,00 --> 00:43:58,50 	someone lies inside the trunk with the driver's body pressed against her back.
THE_CALL.srt 	THE_CALL_DVS844 	01:04:11,00 --> 01:04:17,50 	someone presses it against her until she calms.
THE_CALL.srt 	THE_CALL_DVS990 	01:16:00,00 --> 01:16:06,50 	now, someone scurries back through the white door and shuts it, pressing herself against it.
THE_CALL.srt 	THE_CALL_DVS1028 	01:18:27,00 --> 01:18:34,50 	she watches him press his face into the hair and inhale deeply.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS175 	00:21:39,00 --> 00:21:48,50 	someone views more than a dozen pressed and framed wildflowers, mounted meticulously on a wall in a tidy grid.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS781 	01:30:04,00 --> 01:30:10,50 	someone presses his lips together stifling a wretch.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1061 	01:52:31,00 --> 01:52:40,50 	his lips pressed together tightly.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1180 	02:06:07,00 --> 02:06:15,50 	as his prisoner continues to gasp for air, he presses on his midsection with his fingertips.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS265 	01:27:56,00 --> 01:28:00,50 	he presses play.
THE_VOW.srt 	THE_VOW_DVS79 	00:06:53,00 --> 00:07:01,50 	holding his gaze, she presses the photo to her chest.
THE_VOW.srt 	THE_VOW_DVS131 	00:14:04,00 --> 00:14:11,50 	grinning, she cups his face in her hands and presses her lips to his abashed smirk.
THE_VOW.srt 	THE_VOW_DVS673 	01:34:03,00 --> 01:34:09,50 	seen in slow motion, someone hugs him, her chin pressing firmly to his shoulder.
THE_WATCH.srt 	THE_WATCH_DVS18 	00:02:41,00 --> 00:02:46,50 	the manager presses a button on the tall man's glasses.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS312 	00:57:41,00 --> 00:57:45,50 	someone presses a remote.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS318 	00:58:26,00 --> 00:58:31,50 	he sets them down then presses the remote.
THOR.srt 	THOR_DVS307 	00:44:40,00 --> 00:44:47,50 	someone presses her lips together and glances away, then returns to someone.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS302 	00:36:22,00 --> 00:36:28,50 	pressing his back against a wall, he swallows hard.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS305 	00:36:36,00 --> 00:36:43,50 	he reaches into his pouch, pulls out his cat away canister, and presses the nozzle button.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS543 	01:12:46,00 --> 01:13:01,50 	he presses the call button,
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS548 	01:13:13,00 --> 01:13:18,50 	someone presses two buttons on the control panel.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS199 	00:33:53,00 --> 00:34:01,50 	he presses the picture to his chest, and wraps his arms around it, with tears in his eyes.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS228 	00:38:48,00 --> 00:38:52,50 	the boy presses his lips together.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS295 	00:46:53,00 --> 00:46:58,50 	she presses it to someone's shoulder.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS347 	00:56:08,00 --> 00:56:15,50 	pressing her lips together, someone allows a warm amused smile.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS355 	00:57:13,00 --> 00:57:25,50 	the grizzly smells the window, then rises onto his hind legs and presses a paw to the glass.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS551 	01:25:51,00 --> 01:25:57,50 	pressing his lips together, he leans against the banister railing.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS797 	01:53:06,00 --> 01:53:11,50 	she closes her eyes and presses her lips to his.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS358 	00:52:32,00 --> 00:52:38,50 	pressing her lips together, someone ducks back into the alcove.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS646 	01:29:46,00 --> 01:29:51,50 	his lips pressed into a tight smile.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS243 	00:18:45,00 --> 00:18:53,50 	in the club alcove, the agent pats around the table edge, then presses an ashtray at its center.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS466 	00:41:48,00 --> 00:41:53,50 	someone presses his lips shut and swallow
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS543 	00:50:58,00 --> 00:51:04,50 	with puzzled looks, the others press their hands to their ear
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS831 	01:16:07,00 --> 01:16:11,50 	he presses an ear to the door.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS946 	01:27:51,00 --> 01:27:58,50 	bending down, he injects himself near the ankle and presses down on the plunger.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1067 	01:36:34,00 --> 01:36:42,50 	with wide eyes, he crosses the bridge, pushes a fellow officer out of his way, and presses a button.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1224 	01:50:03,00 --> 01:50:10,50 	pressed against the wall, someone looks at someone, who grins, baring only his top teeth.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS173 	00:33:32,00 --> 00:33:37,50 	and presses the front door bell.
