500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS512 	01:23:10,00 --> 01:23:15,50 	she strolls down towards him.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS152 	00:29:06,00 --> 00:29:13,50 	at sid's bail bonds, teresa chews gum as she strolls to the phone and answers it.
THE_CALL.srt 	THE_CALL_DVS263 	00:22:17,00 --> 00:22:23,50 	now she strolls through a quiet parking garage.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS407 	01:01:39,00 --> 01:01:47,50 	later, strolling the beach, someone shows someone a photo of someone speer from a real estate ad.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS645 	01:32:44,00 --> 01:32:48,50 	he strolls past it,
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS279 	01:44:49,00 --> 01:44:54,50 	someone strolls over and hands him a check.
THE_VOW.srt 	THE_VOW_DVS116 	00:12:03,00 --> 00:12:11,50 	a wider view shows people strolling the plaza around the 40-foot high sculpture.
THE_VOW.srt 	THE_VOW_DVS439 	01:02:07,00 --> 01:02:13,50 	now, someone strolls the patio, sipping a glass of red wine.
THE_VOW.srt 	THE_VOW_DVS543 	01:14:35,00 --> 01:14:41,50 	he strolls through a lavish outdoor reception
THE_VOW.srt 	THE_VOW_DVS641 	01:29:05,00 --> 01:29:11,50 	as they stroll into the alley, someones grin fades.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS354 	01:27:35,00 --> 01:27:42,50 	now at the santa someone someone, someone stifles a smile as she strolls with someone.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS108 	00:18:30,00 --> 00:18:35,50 	he smiles at a dark-haired woman strolling by.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS281 	00:28:00,00 --> 00:28:05,50 	he strolls outside the studio.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS514 	01:08:00,00 --> 01:08:07,50 	later someone strolls into a restaurant and approaches the hostess.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS590 	01:18:30,00 --> 01:18:38,50 	someone watches sadly as he strolls down the hallway with his hands in his pockets.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS30 	00:04:26,00 --> 00:04:36,50 	later, he strolls a neighborhood with a rugged-	faced man.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS210 	00:15:46,00 --> 00:15:52,50 	he calmly strolls back around the desk, then faces the banker.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS349 	00:27:59,00 --> 00:28:07,50 	peering at him through dark sunglasses, someone coolly strolls up to the military commander.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS465 	00:41:40,00 --> 00:41:46,50 	she straightens abruptly as someone strolls over.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS320 	00:59:29,00 --> 00:59:35,50 	putting it on, she strolls down a hallway
ZOMBIELAND.srt 	ZOMBIELAND_DVS319 	00:36:02,00 --> 00:36:08,50 	she strolls out, leaving the manager grinning.
ZOMBIELAND.srt 	ZOMBIELAND_DVS743 	01:20:10,00 --> 01:20:14,50 	he strolls toward a snack shop.
