500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS221 	00:38:29,00 --> 00:38:34,50 	pictures and books resting on the mantelpiece and on the floor.
SOUL_SURFER.srt 	SOUL_SURFER_DVS250 	01:15:11,00 --> 01:15:17,50 	the gift surfboards rest on a beached boat.
SPARKLE_2012.srt 	SPARKLE_2012_DVS120 	00:19:22,00 --> 00:19:28,50 	she rests her cheek on his shoulder, looking to the side.
SPARKLE_2012.srt 	SPARKLE_2012_DVS323 	00:53:06,00 --> 00:53:13,50 	with her eyes closed, someone rests her cheek against his brown leather jacket.
SPARKLE_2012.srt 	SPARKLE_2012_DVS505 	01:21:25,00 --> 01:21:32,50 	someone rests her head across her arm, as she lies face down on her bed.
SPARKLE_2012.srt 	SPARKLE_2012_DVS508 	01:21:37,00 --> 01:21:43,50 	then turns and rests her head on her own crossed arms.
SPARKLE_2012.srt 	SPARKLE_2012_DVS526 	01:26:58,00 --> 01:27:04,50 	someone waves, then rests her head on the window pane.
SPARKLE_2012.srt 	SPARKLE_2012_DVS607 	01:39:32,00 --> 01:39:36,50 	then rests her cheek against his shoulder.
SUPER_8.srt 	SUPER_8_DVS60 	00:08:56,00 --> 00:09:01,50 	and rest on the gold necklace in his left hand.
SUPER_8.srt 	SUPER_8_DVS62 	00:09:02,00 --> 00:09:07,50 	and rests his chin on his clasped hands.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS103 	00:14:30,00 --> 00:14:35,50 	his model ship rests in a large case.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS55 	00:13:03,00 --> 00:13:09,50 	someone leans forward, resting her head on her hand.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS321 	01:01:48,00 --> 01:01:54,50 	he rests his cheek against her honey blond hair.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS353 	01:10:24,00 --> 01:10:32,50 	she rubs her neck then rests her head in her hand and allows a brief sad smile.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS300 	00:54:37,00 --> 00:54:47,50 	in the passenger seat, someone wipes her eyes then rests her forehead on the back of her hand, hiding her face.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS305 	00:54:59,00 --> 00:55:04,50 	someone rests his leg on the toilet.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS390 	01:14:21,00 --> 01:14:29,50 	resting her cheek against her hand, someone shakes her head and gazes skyward.
THE_CALL.srt 	THE_CALL_DVS169 	00:13:51,00 --> 00:13:57,50 	she slowly sits and rests a hand next to her keyboard.
THE_CALL.srt 	THE_CALL_DVS199 	00:15:58,00 --> 00:16:05,50 	resting her chin in her hand and keeping her eyes on the city, she nods.
THE_CALL.srt 	THE_CALL_DVS466 	00:36:00,00 --> 00:36:14,50 	an industrial rail yard full of motionless freight trains rests beside the large boulevard.
THE_CALL.srt 	THE_CALL_DVS490 	00:37:51,00 --> 00:37:59,50 	his large sunglasses rest on the center of his nose, exposing his dark, narrow eyes.
THE_CALL.srt 	THE_CALL_DVS865 	01:05:43,00 --> 01:05:50,50 	she turns the lock and rests her head, then spots something across the room.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS122 	00:20:47,00 --> 00:20:54,50 	her arms hug him around the neck and her head rests against his shoulder.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS156 	00:25:59,00 --> 00:26:08,50 	fully dressed and curled up on a sofa, someone faces its back and rests her chin on her folded arms.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS352 	00:54:02,00 --> 00:54:11,50 	sitting back on his ankles, the weary husband rests his hands on his thighs and gazes off pensively.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS623 	01:31:20,00 --> 01:31:27,50 	resting his hand on his daughter's head, someone bends down and gives her a light kiss on the cheek.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS630 	01:31:48,00 --> 01:31:54,50 	at home, someone sleeps with his face resting on his cluttered desk.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS756 	01:45:07,00 --> 01:45:11,50 	resting her chin on his shoulder, she gazes upward.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS812 	01:48:35,00 --> 01:48:41,50 	someone sits on the couch and rests his feet on an ottoman.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS824 	01:49:20,00 --> 01:49:26,50 	he hands her his bowl of ice cream and she rests it on her lap.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS366 	00:45:06,00 --> 00:45:12,50 	a picture of the guardian's family rests on his desk.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS221 	01:13:36,00 --> 01:13:42,50 	she joins her hands together and rests them against her forehead.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS260 	01:27:15,00 --> 01:27:21,50 	someone rests her head back in the seat, as a warm grin forms on her face.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS282 	01:31:54,00 --> 01:32:03,50 	a young boy sleeps, resting on a woman's shoulder.
THE_VOW.srt 	THE_VOW_DVS245 	00:30:53,00 --> 00:30:58,50 	he rests his elbows on his knees,
THE_VOW.srt 	THE_VOW_DVS355 	00:48:59,00 --> 00:49:06,50 	he hesitates then wraps his arms around her and wraps his arms around her and rests this chin on her shoulder.
THE_VOW.srt 	THE_VOW_DVS365 	00:51:43,00 --> 00:51:49,50 	as she rests her elbows on the table, he rubs her shoulders.
THE_VOW.srt 	THE_VOW_DVS642 	01:29:09,00 --> 01:29:17,50 	his ex-wife sits on a stoop with her head rested on her hands.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS408 	01:35:55,00 --> 01:36:02,50 	meanwhile, someone pushes a plate of half-eaten food away and rests his head on his hand.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS517 	01:54:36,00 --> 01:54:40,50 	their lips rest mere inches apart.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS258 	00:48:23,00 --> 00:48:32,50 	behind his back, he discreetly draws a gun then makes a show of resting his hand behind someone's seat back.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS427 	01:16:52,00 --> 01:16:57,50 	she rests from using her fitness ball.
THOR.srt 	THOR_DVS76 	00:09:48,00 --> 00:09:56,50 	the guards approach the glowing blue box which rests upon a pedestal of scored rock at the end of the corridor.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS23 	00:02:49,00 --> 00:02:58,50 	someone enters the penalty box, where he sits on a waiting recliner, puts his feet up, and rests his hands behind his head.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS403 	00:43:44,00 --> 00:43:49,50 	his head rests on a third chair's arm.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS746 	01:21:50,00 --> 01:21:58,50 	the winged man leans forward, resting his elbows the side of tess' bed as he gazes tenderly at her.
TRUE_GRIT.srt 	TRUE_GRIT_DVS81 	00:22:52,00 --> 00:22:57,50 	he rests his boots on the wooden rail.
TRUE_GRIT.srt 	TRUE_GRIT_DVS231 	00:48:31,00 --> 00:48:36,50 	he rests his hand on it and watches the man approach.
TRUE_GRIT.srt 	TRUE_GRIT_DVS483 	01:32:21,00 --> 01:32:26,50 	someone rests it free of his grasp
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS67 	00:12:16,00 --> 00:12:22,50 	the teen's hand rests on a leather-bound book resembling a journal.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS93 	00:14:09,00 --> 00:14:21,50 	she rests her head against his shoulder and closes her eyes.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS239 	00:39:45,00 --> 00:39:51,50 	someone doffs his reading glasses and rests his head in his hands.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS559 	01:26:58,00 --> 01:27:05,50 	near a watchtower, someone rests his arms on a fence and gazes off pensively.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS477 	01:07:08,00 --> 01:07:18,50 	the next morning, our view descends to the bed, where someone and someone sleep facing each other, her hand gently resting on his cheek.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS484 	01:07:43,00 --> 01:07:49,50 	he rests his hand on his knee, then pats the bed.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS933 	01:26:02,00 --> 01:26:08,50 	someone rests his hand on his fist while someone sips a martini.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS116 	00:19:10,00 --> 00:19:16,50 	someone glances down at a crutch resting against the bar between someone and herself.
ZOMBIELAND.srt 	ZOMBIELAND_DVS157 	00:15:56,00 --> 00:16:01,50 	she kisses his cheek and rests her head on his shoulder.
ZOMBIELAND.srt 	ZOMBIELAND_DVS726 	01:18:57,00 --> 01:19:02,50 	she rests her face on someone's shoulder.
ZOOKEEPER.srt 	ZOOKEEPER_DVS318 	01:11:50,00 --> 01:11:57,50 	eyeing someone, he rests his lips on his fists as if thinking.
ZOOKEEPER.srt 	ZOOKEEPER_DVS371 	01:22:54,00 --> 01:23:00,50 	stepping closer, shane rests his stick on his shoulder.
