21_JUMP_STREET.srt 	21_JUMP_STREET_DVS542 	01:23:47,00 --> 01:23:55,50 	as the teen strides past two valets, someone tosses the box in the air.
GREEN_ZONE.srt 	GREEN_ZONE_DVS328 	01:14:15,00 --> 01:14:20,50 	he hangs up and strides into someone's cubicle.
GREEN_ZONE.srt 	GREEN_ZONE_DVS333 	01:15:15,00 --> 01:15:27,50 	leaving his men behind, someone strides out into the street and heads for the bus station.
HUGO.srt 	HUGO_DVS101 	00:13:47,00 --> 00:13:51,50 	the man strides off.
HUGO.srt 	HUGO_DVS103 	00:13:52,00 --> 00:13:57,50 	someone strides closer as they reach the front entrance.
HUGO.srt 	HUGO_DVS698 	01:42:47,00 --> 01:42:53,50 	inside, he grins as he strides through a sea of people.
IN_TIME.srt 	IN_TIME_DVS218 	00:23:12,00 --> 00:23:19,50 	he strides toward his car, his long leather jacket billowing behind him.
IN_TIME.srt 	IN_TIME_DVS267 	00:27:40,00 --> 00:27:44,50 	he strides away.
IN_TIME.srt 	IN_TIME_DVS561 	01:00:14,00 --> 01:00:22,50 	he grabs two guns off the table, tucking one into the back of his waistband as he strides out of the room.
IN_TIME.srt 	IN_TIME_DVS588 	01:02:51,00 --> 01:02:58,50 	as their kiss ends, someone lets her lips graze against his, then strides away.
IN_TIME.srt 	IN_TIME_DVS596 	01:03:41,00 --> 01:03:54,50 	striding up to someone, someone kicks the timekeeper's gun aside.
IN_TIME.srt 	IN_TIME_DVS854 	01:30:23,00 --> 01:30:32,50 	someone picks up her gun and strides up to her father.
IN_TIME.srt 	IN_TIME_DVS872 	01:32:48,00 --> 01:32:53,50 	someone strides forward,
IN_TIME.srt 	IN_TIME_DVS878 	01:33:10,00 --> 01:33:17,50 	he strides out of the office and someone punches a code into the keypad.
INSIDE_MAN.srt 	INSIDE_MAN_DVS235 	01:09:09,00 --> 01:09:15,50 	she strides over to the front doors and knocks on the glass.
INSIDE_MAN.srt 	INSIDE_MAN_DVS237 	01:09:28,00 --> 01:09:35,50 	someone strides forward in her taupe heels, she takes off the nypd jacket.
INSIDE_MAN.srt 	INSIDE_MAN_DVS344 	01:39:13,00 --> 01:39:32,50 	someone strides out into the alcove and turns left before the secured office.
INSIDE_MAN.srt 	INSIDE_MAN_DVS398 	01:53:37,00 --> 01:53:50,50 	as someone approaches the basement stairs, the man exits the secured office and strides toward the vault.
IRON_MAN_2.srt 	IRON_MAN_2_DVS558 	01:38:45,00 --> 01:38:52,50 	people hurry past someone as she strides out of the expo's main entrance and approaches someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS596 	01:42:43,00 --> 01:43:17,50 	someone strides down the corridor.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS240 	01:09:03,00 --> 01:09:21,50 	adjusting the black belt at her narrow waist she strides out and turns off the kitchen light.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS68 	00:08:22,00 --> 00:08:30,50 	now, amid the flow of pedestrians on the sidewalk, she strides along with a down-hearted look.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS415 	01:21:11,00 --> 01:21:16,50 	he puts it on as he strides toward the stairs.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS487 	01:33:53,00 --> 01:34:07,50 	later, someone strides out of the apartment.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS89 	00:21:58,00 --> 00:22:05,50 	with a resolute nod she strides up to someone's desk and raps on it.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS122 	00:28:28,00 --> 00:28:35,50 	she opens her mouth to speak, then strides off.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS288 	01:09:07,00 --> 01:09:17,50 	with a triumphant smirk he turns on his heel and strides out of the bank.
MORNING_GLORY.srt 	MORNING_GLORY_DVS116 	00:26:30,00 --> 00:26:35,50 	she strides across long grass.
MORNING_GLORY.srt 	MORNING_GLORY_DVS281 	01:01:42,00 --> 01:01:50,50 	it's dark with the first wisps of pink morning light as someone strides over a bridge.
MORNING_GLORY.srt 	MORNING_GLORY_DVS382 	01:24:25,00 --> 01:24:33,50 	someone, who's striding toward the colonial-style clapboard country mansion, stops in his tracks.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS634 	01:16:49,00 --> 01:17:07,50 	she gives him a nod, then strides toward the guard, swoons, and falls on her back.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS119 	00:26:27,00 --> 00:26:35,50 	as she strides out of the room, mr. edelweiss obeys.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS157 	00:35:36,00 --> 00:35:54,50 	he eyes someone suspiciously as she cooks, then strides to a seat at the head of the table.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS338 	01:14:13,00 --> 01:14:26,50 	with a tender look, lord someone strides down the narrow red carpet, his eyes on his son.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS389 	01:22:16,00 --> 01:22:21,50 	someone strides over to her.
PROMETHEUS.srt 	PROMETHEUS_DVS151 	00:09:36,00 --> 00:09:41,50 	holding a basketball in one hand, he strides through the ships chambers.
PROMETHEUS.srt 	PROMETHEUS_DVS175 	00:12:12,00 --> 00:12:17,50 	someone strides to one and pushes a button.
PROMETHEUS.srt 	PROMETHEUS_DVS467 	00:49:23,00 --> 00:49:28,50 	now, as he strides down a corridor,
PROMETHEUS.srt 	PROMETHEUS_DVS742 	01:20:21,00 --> 01:20:27,50 	someone snatches the jar with her necklace and strides out.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS99 	00:16:19,00 --> 00:16:24,50 	the bank robbers leave their hostages and stride out of the trees.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS124 	00:23:00,00 --> 00:23:23,50 	he strides resolutely through the crowd and halts just behind her, and leans onto her chair.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS169 	00:31:33,00 --> 00:31:41,50 	nighttime, someone strides past a bright city park.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS300 	00:56:13,00 --> 00:56:19,50 	she strides out to the crowd.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS306 	00:57:47,00 --> 00:58:02,50 	now, a hulking black inmate strides past a row of cells and enters a common room where someone reads a newspaper.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS336 	01:04:18,00 --> 01:04:41,50 	he strides to the ford v8.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS548 	01:42:49,00 --> 01:42:57,50 	several armed agents remain behind who strides around a parked car.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS40 	00:08:45,00 --> 00:08:51,50 	regal middle aged woman wearing a wimple strides down a hallway.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS127 	00:32:54,00 --> 00:33:00,50 	man with wind tousled curls strides up to the edge of the deck and watches the approaching
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS206 	00:49:54,00 --> 00:50:09,50 	straightening, someone glances at him, then strides off.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS259 	01:00:07,00 --> 01:00:11,50 	brushing past him, she strides
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS275 	01:06:01,00 --> 01:06:09,50 	she strides to the center of the room to address him.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS279 	01:06:46,00 --> 01:06:53,50 	she gestures at the bedding, then strides to the curtains toward her bed.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS308 	01:14:31,00 --> 01:14:42,50 	someone strides back to his bucket, picks it up and splashes water in the sleeping men.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS358 	01:28:28,00 --> 01:28:34,50 	the messenger stands, gives a slight bow and strides off.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS402 	01:38:33,00 --> 01:38:37,50 	someone strides forward.
SALT.srt 	SALT_DVS22 	00:03:52,00 --> 00:04:37,50 	she strides toward the civilian who stares anxiously at her injured face.
SALT.srt 	SALT_DVS73 	00:15:49,00 --> 00:15:57,50 	someone eyes her colleagues worriedly then strides forward
SALT.srt 	SALT_DVS288 	00:50:38,00 --> 00:50:56,50 	she aims a tiny mirror down the hallway and spots a security agent striding up.
SALT.srt 	SALT_DVS323 	00:57:25,00 --> 00:57:46,50 	later, she strides casually away with her hands in her pockets.
SALT.srt 	SALT_DVS330 	00:59:03,00 --> 00:59:13,50 	as the young girl stares longingly after him, a smooth featured man strides up.
SALT.srt 	SALT_DVS370 	01:05:52,00 --> 01:06:01,50 	she strides across the room and opens several cases of weapons.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS918 	00:59:41,00 --> 00:59:47,50 	the butcher gives him a hearty kiss, sets him down, and strides off.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS145 	00:28:13,00 --> 00:28:20,50 	someone strides past someone, to the decorative eagle, and climbs onto it.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS362 	01:16:42,00 --> 01:16:50,50 	someone glances over his shoulder as he strides casually down the sidewalk.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS471 	01:39:55,00 --> 01:40:00,50 	he strides forward.
SOUL_SURFER.srt 	SOUL_SURFER_DVS47 	00:15:44,00 --> 00:15:52,50 	rolling her eyes, someone strides off.
SOUL_SURFER.srt 	SOUL_SURFER_DVS272 	01:19:35,00 --> 01:19:38,50 	someone strides over.
SPARKLE_2012.srt 	SPARKLE_2012_DVS441 	01:12:01,00 --> 01:12:09,50 	another white man stares at her, and she glares back as she strides past him and down the hall.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS56 	00:08:17,00 --> 00:08:23,50 	clutching the model ship to his chest the young man strides off.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS181 	00:26:53,00 --> 00:26:59,50 	snowy peers into a hallway as someone strides out of the cargo hold.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS282 	00:40:40,00 --> 00:40:50,50 	someone strides to a deck railing and glares down at someone and someone as they row away.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS424 	01:01:17,00 --> 01:01:24,50 	in slow motion, a pirate wearing a plumed hat strides down the length of a burning mast.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS584 	01:20:04,00 --> 01:20:08,50 	holding the falcon, someone strides off.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS201 	00:38:36,00 --> 00:38:44,50 	she pushes her chair out and strides away.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS245 	00:47:11,00 --> 00:47:16,50 	he turns on his heels and strides away.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS261 	00:49:51,00 --> 00:50:20,50 	striding down a waterfront walkway she pauses as she notices someone up ahead.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS30 	00:04:22,00 --> 00:04:36,50 	now, someone steps off an elevator - phone in hand - and strides past a reception desk.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS363 	00:44:37,00 --> 00:44:42,50 	she strides through a vacant reception area.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS414 	00:48:14,00 --> 00:48:22,50 	he spritzes his mouth with breath freshener as he strides across the street to a stately stone building.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS801 	01:32:14,00 --> 01:32:20,50 	as she strides into an adjacent dining room and disappears from view
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS870 	01:37:07,00 --> 01:37:12,50 	she glances around the bathroom then strides into the kitchen.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1050 	01:51:55,00 --> 01:52:03,50 	from outside someone's home we watch someone striding more boldly through the living room.
THE_SITTER.srt 	THE_SITTER_DVS56 	00:33:51,00 --> 00:33:57,50 	then she strides of leaving someone with someone.
THE_SITTER.srt 	THE_SITTER_DVS150 	01:15:07,00 --> 01:15:15,50 	letting his bike drop someone waves at the kids, then strides to the car.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS236 	01:33:19,00 --> 01:33:23,50 	someone strides up to a window in the bank.
THE_VOW.srt 	THE_VOW_DVS281 	00:37:03,00 --> 00:37:10,50 	later, she clutches a hard-covered book to her chest, as she strides into someone mnemonic.
THE_VOW.srt 	THE_VOW_DVS306 	00:39:06,00 --> 00:39:09,50 	someone strides over.
THE_VOW.srt 	THE_VOW_DVS344 	00:46:41,00 --> 00:46:49,50 	later, elevator doors open and she strides past a reception desk in an upscale office.
THE_VOW.srt 	THE_VOW_DVS400 	00:55:42,00 --> 00:55:50,50 	lowering her gaze, she strides for the door and irritably tosses down a piece of clay on her way out.
THE_VOW.srt 	THE_VOW_DVS446 	01:04:37,00 --> 01:04:43,50 	someone chuckles as he strides briskly around the car.
THE_VOW.srt 	THE_VOW_DVS686 	01:36:02,00 --> 01:36:08,50 	striding down a sidewalk with hunched shoulders,
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS124 	00:36:01,00 --> 00:36:09,50 	at the ritz-carlton residences, two suited men open the front double doors for someone as she strides out,
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS249 	01:01:53,00 --> 01:01:58,50 	as he strides off, sonia laughs.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS414 	01:14:50,00 --> 01:14:57,50 	as someone strides out of the room, someone stands motionless at his box of belongings.
THOR.srt 	THOR_DVS60 	00:07:12,00 --> 00:07:18,50 	as the king strides off the boys exchange smirks then chase after him.
THOR.srt 	THOR_DVS63 	00:07:42,00 --> 00:07:50,50 	smiling as he strides past lines of guards, the man casually flips the hammer and points to cheering onlookers.
THOR.srt 	THOR_DVS67 	00:08:08,00 --> 00:08:15,50 	the blonde man pumps his arm overhead as he strides toward the waiting king who watches expressionless.
THOR.srt 	THOR_DVS106 	00:16:04,00 --> 00:16:08,50 	someone strides past someone.
THOR.srt 	THOR_DVS282 	00:38:37,00 --> 00:38:42,50 	someone turns and strides out of the room.
THOR.srt 	THOR_DVS304 	00:43:34,00 --> 00:43:38,50 	someone strides out.
THOR.srt 	THOR_DVS322 	00:47:48,00 --> 00:47:54,50 	in asgard, someone and her companions stride into the throne room.
THOR.srt 	THOR_DVS381 	00:57:02,00 --> 00:57:10,50 	he smiles as he strides toward the hammer.
THOR.srt 	THOR_DVS464 	01:16:45,00 --> 01:16:49,50 	someone strides away.
THOR.srt 	THOR_DVS475 	01:18:05,00 --> 01:18:12,50 	in the vault beneath asgard, someone strides up to the casket and taps his spear on the ground.
THOR.srt 	THOR_DVS480 	01:18:22,00 --> 01:18:30,50 	on earth, townspeople gawk at someone's friends as they stride up the middle of a street while carrying exposed weapons.
THOR.srt 	THOR_DVS532 	01:25:00,00 --> 01:25:06,50 	someone strides up the middle of the street toward the destroyer.
THOR.srt 	THOR_DVS580 	01:29:39,00 --> 01:29:45,50 	as the dust settles, someone casually strides up to someone.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS519 	00:57:46,00 --> 00:57:51,50 	and a shadowy figure strides in.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS225 	00:21:07,00 --> 00:21:12,50 	with a thumbs-up, someone strides out.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS575 	01:16:26,00 --> 01:16:32,50 	he strides determinedly to someone's door and raises his fist.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS47 	00:08:28,00 --> 00:08:37,50 	he strides to an open awning window which jiggles in the wind.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS56 	00:10:35,00 --> 00:10:41,50 	someone strides out of the school with his son right behind him.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS425 	01:07:19,00 --> 01:07:25,50 	blinking back tears, someone strides away.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS658 	01:36:41,00 --> 01:36:50,50 	someone strides past and takes a screwdriver to a water fountain.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS662 	01:37:12,00 --> 01:37:22,50 	now, a spotless sweatless someone strides past someone and someone, with an ax and an overly confident air.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS825 	01:55:35,00 --> 01:55:50,50 	a tiger strides across grass.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS837 	01:57:42,00 --> 01:57:53,50 	he strides up to the table, faces a seat, then stares wistfully.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS563 	01:16:28,00 --> 01:16:36,50 	she strides briskly into a restaurant, where her sister smiles sheepishly at her from a table set for four.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS529 	00:48:40,00 --> 00:48:47,50 	striding out of the bridge, she enters the adjacent living room and office area.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS538 	00:50:33,00 --> 00:50:37,50 	he strides over to a fish tank.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS681 	01:02:02,00 --> 01:02:07,50 	as he strides to the window, someone follows.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS853 	01:18:04,00 --> 01:18:09,50 	someone stares after him as he strides away.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS262 	00:50:03,00 --> 00:50:09,50 	she strides toward someone who loads the band's equipment into a station wagon.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS348 	01:07:21,00 --> 01:07:28,50 	later, she strides into a buy buy baby store where she walks through the clothing department.
ZOMBIELAND.srt 	ZOMBIELAND_DVS292 	00:32:50,00 --> 00:32:56,50 	the hummer pulls forward and someone strides back to meet it.
ZOMBIELAND.srt 	ZOMBIELAND_DVS320 	00:36:05,00 --> 00:36:12,50 	now on a suburban street, little someone strides up to the convertible and gets in.
ZOOKEEPER.srt 	ZOOKEEPER_DVS58 	00:11:21,00 --> 00:11:27,50 	someone strides over to someone.
ZOOKEEPER.srt 	ZOOKEEPER_DVS349 	01:18:19,00 --> 01:18:24,50 	he strides over to him.
