21_JUMP_STREET.srt 	21_JUMP_STREET_DVS475 	01:17:40,00 --> 01:17:49,50 	they hurry on stage and break up the fight.
IRON_MAN_2.srt 	IRON_MAN_2_DVS539 	01:36:50,00 --> 01:36:57,50 	the air force drones fly through the roof, breaking more glass.
IRON_MAN_2.srt 	IRON_MAN_2_DVS596 	01:42:43,00 --> 01:43:17,50 	someone breaks his right arm and knocks him out with a kick.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS399 	01:13:48,00 --> 01:13:52,50 	someone breaks a bottle.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS401 	01:14:00,00 --> 01:14:06,50 	someone sidesteps and breaks the chair over his back.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS152 	00:57:38,00 --> 00:57:44,50 	a board breaks, and he lands on a crossbeam, crotch first.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS260 	01:27:33,00 --> 01:27:46,50 	someone glances at her opponent, then breaks into a lively charleston, kicking up her heels.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS293 	01:35:12,00 --> 01:35:21,50 	rounding a corner, he breaks into a run.
KARATE_KID.srt 	KARATE_KID_DVS951 	01:17:53,00 --> 01:18:02,50 	someone continues up without breaking his stride.
KARATE_KID.srt 	KARATE_KID_DVS1342 	01:48:32,00 --> 01:48:37,50 	someone breaks the embrace and hobbles away.
KARATE_KID.srt 	KARATE_KID_DVS1412 	01:53:57,00 --> 01:54:07,50 	the flag drops, and someone attacks before his opponent even breaks his bow.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS130 	00:44:53,00 --> 00:45:01,50 	our view pulls back through the broken window of a british phone booth.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS86 	00:21:42,00 --> 00:21:49,50 	someone half-smiles in someones direction but breaks off an urge to comment to him.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS208 	00:27:42,00 --> 00:27:47,50 	the teacher breaks his trance.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS629 	01:08:09,00 --> 01:08:17,50 	standing between the two broken stumps of a broken off bench that once stretched across the boat,
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS152 	00:54:21,00 --> 00:54:31,50 	without breaking eye contact, the two men circle.
MORNING_GLORY.srt 	MORNING_GLORY_DVS459 	01:37:34,00 --> 01:37:40,50 	the interviewers all turn to see someone breaking eggs.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS95 	00:14:06,00 --> 00:14:14,50 	someone walks into the crate, breaking it apart and sending an envelope sliding under a dresser.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS387 	01:11:25,00 --> 01:11:29,50 	a security guard breaks them up.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS388 	01:11:53,00 --> 01:12:00,50 	the guard runs over to them he breaks them up a second time.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS76 	00:19:34,00 --> 00:20:19,50 	the horn snaps in two and the beast collapses, leaving the broken off tip lodged in the tree.
PROMETHEUS.srt 	PROMETHEUS_DVS71 	00:04:03,00 --> 00:04:08,50 	large dark lesions break out all over his body.
PROMETHEUS.srt 	PROMETHEUS_DVS75 	00:04:18,00 --> 00:04:26,50 	within, a microscopic view shows golden strands of dna blackening, then breaking apart.
PROMETHEUS.srt 	PROMETHEUS_DVS489 	00:51:16,00 --> 00:51:22,50 	the android breaks off one of the translucent, foot long vials.
PROMETHEUS.srt 	PROMETHEUS_DVS802 	01:25:52,00 --> 01:25:58,50 	the mutant backhands him, breaking open his helmet.
PROMETHEUS.srt 	PROMETHEUS_DVS898 	01:39:30,00 --> 01:39:38,50 	with both hands, he grabs someone by the throat, then lifts him off his feet and breaks his neck.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS230 	00:42:12,00 --> 00:42:34,50 	without breaking his stride, someone draws a gun in each hand.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS598 	01:51:58,00 --> 01:52:17,50 	dear someone, don't try and break me out.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS80 	00:21:23,00 --> 00:21:34,50 	someone stares slack jawed, then turns and breaks into a run.
SALT.srt 	SALT_DVS247 	00:42:43,00 --> 00:42:54,50 	passing the rack, someone snatches a garment in each hand without breaking her stride.
SANCTUM.srt 	SANCTUM_DVS554 	01:41:33,00 --> 01:41:39,50 	from above, someone's face breaks the water's surface.
SANCTUM.srt 	SANCTUM_DVS564 	01:42:18,00 --> 01:42:27,50 	a view from underwater reveals shafts of light breaking on the pool's surface, cutting through the murk from a crevasse above.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS67 	00:05:02,00 --> 00:05:09,50 	looking the other way, she breaks into a jog and joins a tall woman.
SOUL_SURFER.srt 	SOUL_SURFER_DVS232 	01:11:41,00 --> 01:11:51,50 	the dispirited woman stares back, her gaze broken.
SOUL_SURFER.srt 	SOUL_SURFER_DVS245 	01:14:01,00 --> 01:14:10,50 	briefly holds her own face as she breaks into sobs but tears slides down her cheek.
SPARKLE_2012.srt 	SPARKLE_2012_DVS181 	00:29:49,00 --> 00:29:54,50 	with her back to him, she breaks into a smile.
SUPER_8.srt 	SUPER_8_DVS227 	00:38:29,00 --> 00:38:36,50 	in a spray of breaking glass, someone is yanked to the floor and violently pulled down the aisle.
SUPER_8.srt 	SUPER_8_DVS414 	01:14:24,00 --> 01:14:29,50 	someone tries to break the lock of with the tire iron.
SUPER_8.srt 	SUPER_8_DVS415 	01:14:35,00 --> 01:14:40,50 	someone grabs the tire iron and breaks the lock.
SUPER_8.srt 	SUPER_8_DVS485 	01:23:35,00 --> 01:23:44,50 	as someone breaks the glass shard rained down on his friends.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS627 	01:23:55,00 --> 01:24:01,50 	the handlebars break on a crossbeam and someone swings on to a paper lantern.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS673 	01:30:43,00 --> 01:30:48,50 	the crates break apart and rain down around someone.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS271 	00:52:11,00 --> 00:52:20,50 	someone nods then breaks into a flirtatious smile.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS444 	01:22:32,00 --> 01:22:41,50 	he breaks off the top and falls back onto the bed.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS513 	01:32:20,00 --> 01:32:24,50 	a brawl breaks out in the club.
THE_CALL.srt 	THE_CALL_DVS93 	00:07:43,00 --> 00:07:51,50 	a man reaches into the broken window as someone goes to the stairs.
THE_CALL.srt 	THE_CALL_DVS698 	00:53:44,00 --> 00:53:52,50 	breaking his stare, the killer rushes to the trunk.
THE_CALL.srt 	THE_CALL_DVS1095 	01:21:58,00 --> 01:22:09,50 	she stands over him and breaks the ceramic head over his.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS20 	00:03:08,00 --> 00:03:13,50 	breaking off his stare, he answers his cell.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS773 	01:46:05,00 --> 01:46:12,50 	beyond a line of breaking waves, vibrant shades of ocean blue extend to the horizon meeting powder blue sky.
THE_VOW.srt 	THE_VOW_DVS294 	00:38:14,00 --> 00:38:19,50 	on the sidewalk out front, he glances around, then breaks into a run.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS355 	01:27:41,00 --> 01:27:46,50 	she breaks into a grin.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS541 	00:59:31,00 --> 00:59:35,50 	a fight breaks out.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS352 	00:41:41,00 --> 00:41:51,50 	he watches as she breaks into a goofy giddy dance.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS721 	01:04:49,00 --> 01:04:55,50 	the cyclone-maker climbs through the broken window.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS903 	01:22:25,00 --> 01:22:30,50 	breaking into a grin, he lowers his arm.
ZOMBIELAND.srt 	ZOMBIELAND_DVS563 	01:05:51,00 --> 01:05:57,50 	as they lope off in the direction of the park, other zombies by a broken down semi notice the park too.
ZOMBIELAND.srt 	ZOMBIELAND_DVS628 	01:11:34,00 --> 01:11:41,50 	he breaks, backs over the already crushed bodies, then drives forward over them.
ZOMBIELAND.srt 	ZOMBIELAND_DVS692 	01:16:13,00 --> 01:16:19,50 	one zombie breaks the glass of a back door's small window.
