21_JUMP_STREET.srt 	21_JUMP_STREET_DVS213 	00:36:25,00 --> 00:36:30,50 	the coach starts to give the pass back, then pauses.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS674 	01:23:54,00 --> 01:24:02,50 	at a small table, someone and quint pause their conversation and gaze at mr.
PROMETHEUS.srt 	PROMETHEUS_DVS153 	00:09:42,00 --> 00:09:49,50 	pausing by a table, he crouches and picks something up off the spotless floor.
PROMETHEUS.srt 	PROMETHEUS_DVS318 	00:30:49,00 --> 00:30:55,50 	they pause, shining their lights in either direction.
PROMETHEUS.srt 	PROMETHEUS_DVS546 	01:00:54,00 --> 01:00:59,50 	she pauses as he gets to his feet.
PROMETHEUS.srt 	PROMETHEUS_DVS604 	01:07:05,00 --> 01:07:10,50 	he pauses, frowning gravely.
PROMETHEUS.srt 	PROMETHEUS_DVS1004 	01:49:51,00 --> 01:49:59,50 	pausing at its threshold, she raises the axe and gazes down a brief passageway ending in a sealed door with two small windows.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS275 	00:52:30,00 --> 00:52:36,50 	someone pauses on his way out and faces someone.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS320 	01:17:28,00 --> 01:17:54,50 	he watches from the floor as she pauses.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS338 	01:22:55,00 --> 01:23:06,50 	he pauses briefly, glancing over his shoulder.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS348 	01:25:15,00 --> 01:25:35,50 	someone looks over her shoulder to find her companion pausing to take in his surroundings.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS121 	00:21:00,00 --> 00:21:04,50 	chewing, he pauses.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS125 	00:21:54,00 --> 00:22:00,50 	at his typewriter, someone furrows his brow and pauses briefly.
SALT.srt 	SALT_DVS154 	00:26:54,00 --> 00:27:17,50 	creeping to the living room, she pauses in a doorway to pick up a pair of boots.
SANCTUM.srt 	SANCTUM_DVS454 	01:25:15,00 --> 01:25:21,50 	someone pauses beside him and someone shoots him a glance.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS108 	00:07:28,00 --> 00:07:33,50 	she pauses and faces her guest.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS295 	00:19:54,00 --> 00:20:00,50 	her mother pauses as she eats, frowning at her daughter's sullen downcast gaze.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS947 	01:01:32,00 --> 01:01:37,50 	patting the boy's hand, he pauses.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1132 	01:17:03,00 --> 01:17:09,50 	she pauses at the threshold, gazing out over the countryside.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1186 	01:20:17,00 --> 01:20:22,50 	she pauses by a window and gazed outward.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1262 	01:25:17,00 --> 01:25:25,50 	someone steps through the doorway into the apartment and pauses to take in her surroundings with a grave expression.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1372 	01:33:42,00 --> 01:33:47,50 	she pauses by someone's feet,
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS120 	00:23:39,00 --> 00:23:45,50 	he pauses and looks at his apartment.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS163 	00:31:41,00 --> 00:32:07,50 	he pauses and waves his hand over it.
SOUL_SURFER.srt 	SOUL_SURFER_DVS166 	00:49:51,00 --> 00:49:55,50 	induced, her father pauses then
SUPER_8.srt 	SUPER_8_DVS312 	00:55:29,00 --> 00:55:35,50 	someone leans over someone pausing inches from his face.
SUPER_8.srt 	SUPER_8_DVS492 	01:24:14,00 --> 01:24:20,50 	someone tosses the gun aside and smiles briefly as the creature pauses.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS204 	00:39:01,00 --> 00:39:08,50 	he pauses behind a pair of pay phones then takes a few steps and sees
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS261 	00:49:51,00 --> 00:50:20,50 	striding down a waterfront walkway she pauses as she notices someone up ahead.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS394 	01:15:13,00 --> 01:15:19,50 	someone pauses to eye an inscription on one of the doors.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS126 	00:21:01,00 --> 00:21:08,50 	heading out, he pauses at the door and glances solemnly back at her.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS424 	01:04:39,00 --> 01:04:47,50 	shuffling through the shadows, he pauses by a sofa and juts his head forward.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS513 	01:13:16,00 --> 01:13:23,50 	the family pauses near the threshold, taking in the thriving casual hot spot.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS101 	00:10:31,00 --> 00:10:37,50 	she pauses within earshot of a building entrance.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS108 	00:10:54,00 --> 00:11:00,50 	she pauses, looking around, then climbs a marble staircase to a posted directory.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS694 	01:16:36,00 --> 01:16:43,50 	she pauses eyeing the door, then glances back at her sleeping lover in the bedroom.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS764 	01:28:07,00 --> 01:28:12,50 	someone pauses on his way into the bedroom.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS965 	01:46:53,00 --> 01:46:59,50 	someone pauses at an article with a photo headlined carlin and vanger rebuilt local port.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1032 	01:50:54,00 --> 01:51:03,50 	as he creeps past an island counter he pauses at a set of knives.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1051 	01:52:00,00 --> 01:52:07,50 	reaching the dining area he pauses to face a dark corridor beside him.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1062 	01:52:37,00 --> 01:52:44,50 	later, arriving in another room he pauses and stares past a glass cabinet displaying an impressive wine collection.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1095 	01:54:52,00 --> 01:54:56,50 	she pauses at a photo of a dinner.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS177 	00:58:46,00 --> 00:58:52,50 	someone winces as she pauses to remove her jacket.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS114 	00:36:00,00 --> 00:36:11,50 	he pauses thoughtfully then continues.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS179 	01:11:00,00 --> 01:11:05,50 	someone pauses on his way out.
THE_VOW.srt 	THE_VOW_DVS110 	00:11:43,00 --> 00:11:52,50 	hurrying up a flight of stairs, someone drops his someone mnemonic menu and pauses to snatch it up.
THE_VOW.srt 	THE_VOW_DVS525 	01:13:41,00 --> 01:13:46,50 	he pauses, then tosses them down.
THE_VOW.srt 	THE_VOW_DVS577 	01:20:13,00 --> 01:20:18,50 	pausing by the door he faces his wife.
THE_WATCH.srt 	THE_WATCH_DVS223 	00:42:03,00 --> 00:42:07,50 	turning away, he pauses.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS330 	01:22:36,00 --> 01:22:41,50 	he pauses and shakes his head.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS370 	01:08:28,00 --> 01:08:32,50 	pausing in tracks.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS500 	01:26:46,00 --> 01:26:52,50 	heading off, he pauses and turns back to face his approaching friend.
THOR.srt 	THOR_DVS338 	00:50:16,00 --> 00:50:22,50 	he pauses at an image of someone holding someone.
THOR.srt 	THOR_DVS380 	00:56:59,00 --> 00:57:04,50 	someone dashes around a corner, then pauses.
THOR.srt 	THOR_DVS561 	01:28:22,00 --> 01:28:27,50 	the destroyer pauses and looks back.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS768 	01:23:16,00 --> 01:23:21,50 	an ear bud wire trails from someone starts to approach, then pauses.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS866 	01:31:54,00 --> 01:31:59,50 	he pauses, facing the large packed house, and gives a modest smile.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS207 	00:35:44,00 --> 00:36:05,50 	he pauses to 	scan his surroundings, then continues on his way.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS332 	00:54:06,00 --> 00:54:12,50 	someone pauses just long enough to give a derisive sneer.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS681 	01:39:23,00 --> 01:39:33,50 	she pauses and frowns.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS56 	00:04:38,00 --> 00:04:46,50 	she pauses to get her bearings, then hustles across the street, chomping down a hot dog as she goes.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS199 	00:24:15,00 --> 00:24:19,50 	pausing by a cake,
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS271 	00:39:26,00 --> 00:39:31,50 	she pauses on her way out, still holding it.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS542 	01:14:53,00 --> 01:15:02,50 	he pauses to greet acquaintances, then spots her.
ZOMBIELAND.srt 	ZOMBIELAND_DVS127 	00:11:05,00 --> 00:11:14,50 	he pauses, facing someone.
ZOMBIELAND.srt 	ZOMBIELAND_DVS607 	01:09:46,00 --> 01:09:55,50 	as the ride pauses at the top of the tower, someone and little someone's feet dangle over the growing crowd of zombies below.
ZOMBIELAND.srt 	ZOMBIELAND_DVS653 	01:13:31,00 --> 01:13:45,50 	he pauses to fire at a group of oncoming attackers.
ZOOKEEPER.srt 	ZOOKEEPER_DVS353 	01:19:07,00 --> 01:19:21,50 	someone's smirk fades as a bus pauses on the street outside.
