21_JUMP_STREET.srt 	21_JUMP_STREET_DVS23 	00:03:03,00 --> 00:03:09,50 	with tearful eyes he notices the awkward teen watching him.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS108 	00:09:04,00 --> 00:09:09,50 	the prisoner, someone's son, watches him light up.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS146 	00:13:45,00 --> 00:13:50,50 	as he watches his son reach the courthouse stairs.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS158 	00:14:35,00 --> 00:14:42,50 	he watches a large armored truck, reverse behind a building corner at the end of the block.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS455 	00:44:21,00 --> 00:44:26,50 	the young woman watches her father with a breathless
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS532 	00:51:33,00 --> 00:51:40,50 	he watches the chopper lift off from the rooftop helipad below.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS628 	01:04:55,00 --> 01:05:02,50 	he pauses and watches the young man, who turns around and stares at his father.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS679 	01:09:44,00 --> 01:09:50,50 	watching the radiation levels decrease on her tablet.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS902 	01:27:09,00 --> 01:27:14,50 	someone watches them fall with glaring eyes.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS35 	00:09:12,00 --> 00:09:19,50 	someone watches him passively as two men help up someone and lead him away.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS86 	00:23:02,00 --> 00:23:07,50 	someone watches more leaves fall to the ground.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS373 	01:05:37,00 --> 01:05:43,50 	someone watches him leave, then stares at the table top.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS413 	01:11:59,00 --> 01:12:07,50 	he watches the butterfly zigzag down and land on a small thin book lying on the ground.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS438 	01:15:39,00 --> 01:15:44,50 	someone watches them hug and nuzzle each other.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS439 	01:15:44,00 --> 01:15:51,50 	later someone sits on a bench and watches a group of children playing on a swing set.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS38 	00:04:02,00 --> 00:04:08,50 	watching the front door open, he inches back.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS45 	00:04:30,00 --> 00:04:35,50 	he watches someone kneel at his mother's bedside.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS73 	00:08:13,00 --> 00:08:25,50 	someone leans against a pole watching his superior set on a rowboat with two others.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS174 	00:23:34,00 --> 00:23:45,50 	someone watches someone as he takes it behind the counter and rips it open.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS235 	00:33:23,00 --> 00:33:29,50 	stepping forward, he sees someone pause at the door to watch her suitor go.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS314 	00:45:43,00 --> 00:45:55,50 	he watches someone wrap his arms around her.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS317 	00:45:59,00 --> 00:46:06,50 	he watches the attack in a stupor, his jaw hanging slack.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS319 	00:46:09,00 --> 00:46:14,50 	trembling, face down, someone watches his dead love.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS386 	00:54:01,00 --> 00:54:13,50 	someone watches pleasurably.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS467 	01:06:19,00 --> 01:06:34,50 	watching him, someone notices his stricken gaze as he looks away.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS526 	01:14:15,00 --> 01:14:23,50 	someone watches him with wide eyes.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS530 	01:15:17,00 --> 01:15:23,50 	in a factory, someone watches workers melt the silver.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS567 	01:19:06,00 --> 01:19:15,50 	heading further into the car, a soot-smeared someone catches someone watching him and pauses with a frown.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS606 	01:24:13,00 --> 01:24:35,50 	on the roof, still turning the hand wheel, someone watches his enemy rise to his feet.
BAD_TEACHER.srt 	BAD_TEACHER_DVS56 	00:17:41,00 --> 00:17:47,50 	someone's class watches lean on me.
BAD_TEACHER.srt 	BAD_TEACHER_DVS81 	00:22:33,00 --> 00:22:39,50 	someone watches her from a short distance away.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS91 	00:13:20,00 --> 00:13:27,50 	the fbi agent watches someone park in front of a warehouse.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS92 	00:13:32,00 --> 00:13:38,50 	through binoculars, he watches someone greet two thugs by the door.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS189 	00:32:06,00 --> 00:32:11,50 	someone watches two dancers.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS258 	00:44:15,00 --> 00:44:20,50 	the smitten security guard watches someone go.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS262 	00:44:40,00 --> 00:44:46,50 	he watches a girl dance in a skimpy nightie and gives her two thumbs up.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS269 	00:45:11,00 --> 00:45:16,50 	someone watches his son dance for the girls.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS351 	00:57:28,00 --> 00:57:34,50 	he watches confusedly as she hangs their selections on a hook.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS384 	01:01:47,00 --> 01:01:52,50 	someone watches her apply lip gloss.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS401 	01:05:09,00 --> 01:05:14,50 	he watches someone scratching.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS500 	01:20:00,00 --> 01:20:05,50 	someone watches her go, then walks off.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS503 	01:20:18,00 --> 01:20:23,50 	they watch someone skirt around a building.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS510 	01:20:43,00 --> 01:20:50,50 	someone watches the husky girlish student back to the dorm, then lowers his binoculars.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS531 	01:22:59,00 --> 01:23:06,50 	he watches them get in their mercedes, then spots someone in a parked car.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS561 	01:27:47,00 --> 01:27:53,50 	in a dressing room, someone watches someone put on make-up.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS566 	01:28:30,00 --> 01:28:36,50 	standing in the wings, someone watches someone perform.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS571 	01:29:16,00 --> 01:29:22,50 	someone watches someone step out onto stage.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS578 	01:30:52,00 --> 01:30:57,50 	someone returns to the wings and watches them.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS601 	01:34:35,00 --> 01:34:39,50 	someone watches someone leave.
BLINDDATING.srt 	BLINDDATING_DVS15 	00:04:45,00 --> 00:04:50,50 	now outside, they watch him as he goes, finishing an apple.
BLINDDATING.srt 	BLINDDATING_DVS66 	00:20:37,00 --> 00:20:43,50 	someone watches her leave with a lascivious look in his eye.
BLINDDATING.srt 	BLINDDATING_DVS185 	00:48:11,00 --> 00:48:17,50 	someone watches women spreading their legs in thigh machines.
BLINDDATING.srt 	BLINDDATING_DVS249 	00:59:54,00 --> 00:59:59,50 	she watches the floodlit baseball field through the windows.
BLINDDATING.srt 	BLINDDATING_DVS269 	01:05:59,00 --> 01:06:04,50 	someone watches her jog over.
BLINDDATING.srt 	BLINDDATING_DVS270 	01:06:03,00 --> 01:06:21,50 	he watches someone lead the way with someone on his elbow.
BLINDDATING.srt 	BLINDDATING_DVS330 	01:18:36,00 --> 01:18:46,50 	someone and his parents watch a newscast.
BLINDDATING.srt 	BLINDDATING_DVS340 	01:21:38,00 --> 01:21:46,50 	someone's mother watches the young indian man slide the ring on to her daughter's slender finger.
BLINDDATING.srt 	BLINDDATING_DVS355 	01:26:54,00 --> 01:27:00,50 	someone's family watches attentively.
BLINDDATING.srt 	BLINDDATING_DVS356 	01:27:35,00 --> 01:27:53,50 	someone's father watches the kissing couple with a wistful smile.
BLINDDATING.srt 	BLINDDATING_DVS358 	01:28:11,00 --> 01:28:29,50 	someone watches them walk past someone, who stands alone, still in her sari.
BRUNO.srt 	BRUNO_DVS106 	00:23:23,00 --> 00:23:28,50 	ron someone watches awkwardly.
BURLESQUE.srt 	BURLESQUE_DVS48 	00:04:50,00 --> 00:04:56,50 	at her open window, she tosses the scraps and watches them flutter downward.
BURLESQUE.srt 	BURLESQUE_DVS163 	00:23:12,00 --> 00:23:21,50 	someone watches her and someone looks up from pouring a drink.
BURLESQUE.srt 	BURLESQUE_DVS167 	00:23:42,00 --> 00:23:47,50 	someone and someone watch her down both shots.
BURLESQUE.srt 	BURLESQUE_DVS196 	00:29:31,00 --> 00:29:37,50 	someone peers out of his window and watches her walk out to the curb.
BURLESQUE.srt 	BURLESQUE_DVS197 	00:29:36,00 --> 00:29:43,50 	someone watches a car pass by.
BURLESQUE.srt 	BURLESQUE_DVS216 	00:31:50,00 --> 00:31:56,50 	as she doffs her jean jacket, she keeps watching.
BURLESQUE.srt 	BURLESQUE_DVS231 	00:33:55,00 --> 00:34:00,50 	someone and the others keep watching.
BURLESQUE.srt 	BURLESQUE_DVS261 	00:36:59,00 --> 00:37:03,50 	someone watches someone perform.
BURLESQUE.srt 	BURLESQUE_DVS314 	00:43:43,00 --> 00:43:50,50 	someone pauses from organizing costumes on a rack and watches someone stalk away.
BURLESQUE.srt 	BURLESQUE_DVS336 	00:46:12,00 --> 00:46:20,50 	someone watches someone leave, then moves to his soundboard.
BURLESQUE.srt 	BURLESQUE_DVS387 	00:53:56,00 --> 00:54:00,50 	someone watches dreamily.
BURLESQUE.srt 	BURLESQUE_DVS432 	00:59:48,00 --> 00:59:54,50 	at a table, someone thoughtfully rubs his chin as he watches her.
BURLESQUE.srt 	BURLESQUE_DVS481 	01:06:57,00 --> 01:07:02,50 	someone watches from his corner table.
BURLESQUE.srt 	BURLESQUE_DVS485 	01:07:28,00 --> 01:07:33,50 	he watches from his keyboard as she walks into the bedroom.
BURLESQUE.srt 	BURLESQUE_DVS495 	01:09:05,00 --> 01:09:13,50 	someone seethes as she watches.
BURLESQUE.srt 	BURLESQUE_DVS531 	01:13:43,00 --> 01:13:48,50 	she watches him go with a grateful smile.
BURLESQUE.srt 	BURLESQUE_DVS560 	01:22:29,00 --> 01:22:35,50 	later at the reception, someone watches someone talk on his cell phone.
BURLESQUE.srt 	BURLESQUE_DVS585 	01:26:59,00 --> 01:27:04,50 	she watches him cross back to the bedroom.
BURLESQUE.srt 	BURLESQUE_DVS707 	01:47:45,00 --> 01:47:52,50 	the corner of someone's mouth twitches in a thoughtful smirk as she continues to watch someone in the mirror,
BURLESQUE.srt 	BURLESQUE_DVS713 	01:48:10,00 --> 01:48:17,50 	someone smiles as she watches in her mirror, then touches up her mascara.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS126 	00:21:54,00 --> 00:22:01,50 	someone watches the other soldiers fight off one another as they try to climb a flagpole.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS166 	00:30:58,00 --> 00:31:05,50 	standing a short distance down the street, two men in suites watch someone and someone enter a shop,
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS286 	00:54:53,00 --> 00:54:59,50 	agent someone watches someone stride out then stares at the map.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS328 	01:01:55,00 --> 01:02:00,50 	someone watches the breakout on a monitor,
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS334 	01:02:38,00 --> 01:02:44,50 	he rotates a security camera and watches someone as he fights his way past several hydra soldiers.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS336 	01:03:00,00 --> 01:03:11,50 	someone gapes as he watches someone bash a guard with his shield.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS440 	01:19:40,00 --> 01:19:46,50 	approaching in his long, black convertible, someone stops and grimaces as he watches the hydra factory burn.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS449 	01:20:25,00 --> 01:20:40,50 	in a small movie theater, someone sits and watches a film of someone and his men riding in the back of a truck.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS458 	01:22:19,00 --> 01:22:27,50 	with the binoculars, falsworth watches a train speed across a distant trestle.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS468 	01:23:37,00 --> 01:23:47,50 	someone watches the action on a monitor.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS474 	01:24:15,00 --> 01:24:22,50 	someone watches the monitor as someone and someone fight the hydra soldiers.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS565 	01:38:27,00 --> 01:38:41,50 	in the cockpit, someone watches the car approach on a monitor.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS595 	01:41:46,00 --> 01:41:54,50 	someone watches someone on a radar screen and fires bolts of blue energy from the plane's rotary cannon.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS651 	01:49:15,00 --> 01:49:21,50 	in a ship's pilothouse, someone stark watches the robot on a monitor.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS40 	00:02:53,00 --> 00:02:59,50 	the girl watches in anguish as another wave rolls over him.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS49 	00:03:30,00 --> 00:03:37,50 	the girl watches, then runs to meet them with the dog in tow.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS66 	00:05:42,00 --> 00:05:48,50 	the girl watches, holding her dog, as the man gets out.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS108 	00:08:57,00 --> 00:09:03,50 	he watches her walk out, a hopeful smile on his face.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS148 	00:11:56,00 --> 00:12:02,50 	they watch someone pass, lugging his old, dirty board.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS190 	00:14:47,00 --> 00:14:55,50 	high above on the cliff, a teenage boy scowls, watching him with his buddies.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS210 	00:16:57,00 --> 00:17:04,50 	across the street, someone stands with his hands in his pockets watching the scene.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS310 	00:25:29,00 --> 00:25:35,50 	turning, he finds his wife watching from the front door of their home.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS427 	00:40:33,00 --> 00:40:40,50 	watching closely, someone stands up as someone paddles beside the protruding rock formations.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS466 	00:45:10,00 --> 00:45:16,50 	looking up from the essay, someone watches her closely.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS579 	00:56:11,00 --> 00:56:17,50 	blond lingers on the cliff, watching his friend inscrutably.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS586 	00:56:39,00 --> 00:56:47,50 	from the lookout point, someone snacks on sunflower seeds as he watches the teen.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS593 	00:57:26,00 --> 00:57:31,50 	from the lookout, someone watches him intently.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS599 	00:57:53,00 --> 00:58:00,50 	someone watches jealously as someone allows a faint proud smile.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS645 	01:02:22,00 --> 01:02:26,50 	as someone watches it calmly, someone flails his arms and recoils.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS661 	01:04:11,00 --> 01:04:15,50 	watching the clock, someone holds his breath.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS680 	01:06:11,00 --> 01:06:18,50 	she watches with glistening eyes as someone shuffles to a partially open door at the end of the hall.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS710 	01:10:11,00 --> 01:10:16,50 	someone beams as she watches her parents.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS974 	01:35:35,00 --> 01:35:39,50 	someone watches emotionally.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS989 	01:36:49,00 --> 01:36:55,50 	he watches as the blue boat lurches up and over a cresting 15 footer.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS996 	01:37:21,00 --> 01:37:26,50 	on the bluffs, someone shades her eyes as she watches.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS999 	01:37:28,00 --> 01:37:37,50 	he watches as another surfer loses his balance halfway down the face of a 20-foot wave.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1007 	01:37:58,00 --> 01:38:06,50 	someone, with a concerned look, watches the next wave curl over a group of surfers as they paddle up its face.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1017 	01:38:54,00 --> 01:39:02,50 	through his binoculars, someone watches a handful of surfers being rolled up into the wave.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1041 	01:40:27,00 --> 01:40:34,50 	someone clutches someone's arm as they watch the surf explode like a volcano.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1045 	01:40:42,00 --> 01:40:47,50 	someone breathes hard, watching in anguish.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1058 	01:41:35,00 --> 01:41:42,50 	the veterans watch the white water ram into the treacherous rocks of the bone yard.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1093 	01:44:05,00 --> 01:44:10,50 	they watch another crusher.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1095 	01:44:21,00 --> 01:44:27,50 	he leans down and paddles off as someone watches with a little smile.
CHRONICLE.srt 	CHRONICLE_DVS32 	00:04:03,00 --> 00:04:08,50 	watching the girls, he grabs a bag of chips.
CHRONICLE.srt 	CHRONICLE_DVS124 	00:18:04,00 --> 00:18:08,50 	the park ranger watches from a hill.
CHRONICLE.srt 	CHRONICLE_DVS244 	00:34:54,00 --> 00:35:00,50 	as it floats upward, he folds his arms and watches it contentedly.
CHRONICLE.srt 	CHRONICLE_DVS263 	00:40:32,00 --> 00:40:38,50 	we catch sight of his father who lounges in a recliner, watching tv.
CHRONICLE.srt 	CHRONICLE_DVS324 	00:49:41,00 --> 00:49:46,50 	he watches a spider crossing in front of him.
CHRONICLE.srt 	CHRONICLE_DVS365 	00:56:24,00 --> 00:56:30,50 	someone sits motionless watching the cheerleaders practice.
CHRONICLE.srt 	CHRONICLE_DVS425 	01:02:37,00 --> 01:02:43,50 	from his camera, we watch him float cash from the register into his bag.
CHRONICLE.srt 	CHRONICLE_DVS436 	01:03:36,00 --> 01:03:44,50 	through the high-angle surveillance camera, we watch mr.
CHRONICLE.srt 	CHRONICLE_DVS475 	01:08:43,00 --> 01:08:50,50 	we watch the falling car exploding on impact, then look up at our savior.
CHRONICLE.srt 	CHRONICLE_DVS493 	01:11:06,00 --> 01:11:14,50 	now, from inside a speeding police cruiser, we watch the pair land in the street before us,
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS59 	00:11:30,00 --> 00:11:33,50 	his round faced wife watches him go.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS109 	00:25:15,00 --> 00:25:32,50 	someone watches the chauffeur driven car pull away.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS129 	00:28:46,00 --> 00:28:52,50 	someone watches the foreman pace a few feet away.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS168 	00:35:59,00 --> 00:36:04,50 	someone and someone watch her exit quickly.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS215 	00:44:26,00 --> 00:44:36,50 	takes a seat at the kitchen table and watches his boys.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS247 	01:01:47,00 --> 01:01:56,50 	someone emerges in her bib front apron and watches her husband shut the door behind him.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS290 	01:09:40,00 --> 01:09:49,50 	mrs. gould watches him disappear behind the doorway
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS302 	01:12:16,00 --> 01:12:21,50 	later, jeanette, someone's trainer, watches the bulldog.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS355 	01:27:20,00 --> 01:27:25,50 	as he watches them carry someone away.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS361 	01:28:02,00 --> 01:28:06,50 	someone watches her sadly.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS405 	01:38:03,00 --> 01:38:10,50 	the braddocks and goulds watch
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS434 	01:45:04,00 --> 01:45:11,50 	other families watch from the sidewalk.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS569 	02:13:48,00 --> 02:13:53,50 	they watch the judges confer with the ref.
COLOMBIANA.srt 	COLOMBIANA_DVS66 	00:04:26,00 --> 00:04:31,50 	someone sips his drink as he watches his friend leave.
COLOMBIANA.srt 	COLOMBIANA_DVS92 	00:07:12,00 --> 00:07:16,50 	someone watches from a window.
COLOMBIANA.srt 	COLOMBIANA_DVS113 	00:09:09,00 --> 00:09:20,50 	someone watches with a creased brow, a hint of tears glistening in her wide eyes.
COLOMBIANA.srt 	COLOMBIANA_DVS116 	00:09:25,00 --> 00:09:32,50 	tears continue to well up in her eyes as she watches her father in the doorway.
COLOMBIANA.srt 	COLOMBIANA_DVS270 	00:22:32,00 --> 00:22:39,50 	as two women leave one of them, she watches them go with a solemn curious gaze.
COLOMBIANA.srt 	COLOMBIANA_DVS273 	00:22:48,00 --> 00:22:54,50 	as he strides around a corner, she watches him through the windows.
