500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS265 	00:49:19,00 --> 00:49:24,50 	she touches his bruised jaw
CHRONICLE.srt 	CHRONICLE_DVS99 	00:13:51,00 --> 00:13:57,50 	someone touches a crystal spike.
CHRONICLE.srt 	CHRONICLE_DVS101 	00:14:07,00 --> 00:14:14,50 	someone touches his face and finds blood streaming from his nose.
CHRONICLE.srt 	CHRONICLE_DVS113 	00:15:48,00 --> 00:15:53,50 	the ball drops as it touches his nose.
COLOMBIANA.srt 	COLOMBIANA_DVS288 	00:24:03,00 --> 00:24:08,50 	she touches one of her mother as she passes.
COLOMBIANA.srt 	COLOMBIANA_DVS445 	00:39:20,00 --> 00:39:25,50 	her toes touch down on a slim ledge.
COLOMBIANA.srt 	COLOMBIANA_DVS602 	00:56:50,00 --> 00:56:59,50 	someone touches a wind chime made from tire rims as she enters the garage.
DEAR_JOHN.srt 	DEAR_JOHN_DVS181 	00:29:09,00 --> 00:29:18,50 	he touches someone's chest.
DEAR_JOHN.srt 	DEAR_JOHN_DVS326 	00:50:41,00 --> 00:50:46,50 	she touches his back, and he walks off.
DEAR_JOHN.srt 	DEAR_JOHN_DVS570 	01:21:06,00 --> 01:21:14,50 	as it slides off, someone catches it, and lovingly touches his chin to his father's frail fingers.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS129 	00:30:15,00 --> 00:30:19,50 	are you touching yourself?
DISTRICT_9.srt 	DISTRICT_9_DVS518 	01:00:25,00 --> 01:00:42,50 	he touches it.
EASY_A.srt 	EASY_A_DVS298 	01:26:37,00 --> 01:26:43,50 	in the gazebo, someone soberly touches her cross necklace.
FLIGHT.srt 	FLIGHT_DVS525 	01:15:42,00 --> 01:15:46,50 	a young boy touches someone's arm.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS282 	00:43:33,00 --> 00:43:46,50 	he watches the father affectionately touch his son's head then glances back at someone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS284 	00:43:50,00 --> 00:43:57,50 	he glances at the family then reaches out and touches someone's hair.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS366 	00:53:55,00 --> 00:53:59,50 	he touches someone's cheek.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS566 	01:21:18,00 --> 01:21:51,50 	crouching playfully, he touches a fingertip to her windshield.
GREEN_ZONE.srt 	GREEN_ZONE_DVS275 	01:03:58,00 --> 01:04:03,50 	she wearily touches her forehead.
HUGO.srt 	HUGO_DVS467 	01:08:13,00 --> 01:08:18,50 	he touches the brim of his cap.
HUGO.srt 	HUGO_DVS500 	01:13:23,00 --> 01:13:28,50 	someone touches a large movie camera.
IN_TIME.srt 	IN_TIME_DVS166 	00:18:03,00 --> 00:18:09,50 	a faint smile touches his lips as he turns to someone.
IN_TIME.srt 	IN_TIME_DVS557 	00:59:54,00 --> 00:59:58,50 	touching her face, she examines it.
IRON_MAN_2.srt 	IRON_MAN_2_DVS174 	00:32:37,00 --> 00:32:46,50 	upside down, with his right shoulder touching the ground, someone places his left hand on the road as he tries to wiggle free.
IRON_MAN_2.srt 	IRON_MAN_2_DVS257 	00:48:11,00 --> 00:48:16,50 	someone touches someone's shoulder.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS377 	01:46:11,00 --> 01:46:22,50 	someone covers her mother's hand with her own and someone touches his sister's forearm.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS132 	00:26:49,00 --> 00:26:53,50 	she touches the screen.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS447 	01:28:07,00 --> 01:28:13,50 	someone touches her forehead reassuringly, then turns off the light.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS498 	01:36:16,00 --> 01:36:24,50 	the newcomer touches her chest.
KARATE_KID.srt 	KARATE_KID_DVS70 	00:05:52,00 --> 00:06:01,50 	now, the plane touches down.
KARATE_KID.srt 	KARATE_KID_DVS343 	00:31:07,00 --> 00:31:11,50 	he touches one of someone's cornrows.
KARATE_KID.srt 	KARATE_KID_DVS470 	00:41:37,00 --> 00:42:00,50 	as someone touches back down to the street, someone's crew course after him through an alley filled with old tires.
KARATE_KID.srt 	KARATE_KID_DVS524 	00:47:37,00 --> 00:47:41,50 	someone touches his injured side.
KNOCKED_UP.srt 	KNOCKED_UP_DVS18 	00:17:06,00 --> 00:17:13,50 	she extends her foot and touches someone's side.
KNOCKED_UP.srt 	KNOCKED_UP_DVS33 	00:23:16,00 --> 00:23:24,50 	someone touches her throat and heaves forward.
KNOCKED_UP.srt 	KNOCKED_UP_DVS110 	01:09:29,00 --> 01:09:43,50 	she touches an overturned marijuana plant and a large branch breaks off in her hand.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS58 	00:19:08,00 --> 00:19:13,50 	she touches her chest.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS60 	00:19:26,00 --> 00:19:30,50 	she moves the primate's hand and touches his knee.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS72 	00:22:50,00 --> 00:22:54,50 	someone's fingers almost touch the
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS81 	00:27:20,00 --> 00:27:28,50 	someone touches someone's bare legs.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS82 	00:27:29,00 --> 00:27:35,50 	he touches her
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS163 	01:00:14,00 --> 01:00:19,50 	someone touches his shoulder and he pauses.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS312 	01:13:58,00 --> 01:14:05,50 	someone touches it.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS152 	00:20:28,00 --> 00:20:32,50 	she touches her chest.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS928 	01:32:31,00 --> 01:32:39,50 	as he touches the fur of someone's brow, the cat briefly flinches then lies still.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS97 	00:38:38,00 --> 00:38:42,50 	someone touches his cheek.
MORNING_GLORY.srt 	MORNING_GLORY_DVS486 	01:40:45,00 --> 01:40:50,50 	someone touches his chest gently.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS194 	00:27:51,00 --> 00:27:55,50 	she touches his arm.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS308 	01:06:50,00 --> 01:07:21,50 	she knowingly touches the side of her nose.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS273 	00:49:17,00 --> 00:49:23,50 	and then opens the door again, someone smiles - touched.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS336 	01:03:32,00 --> 01:03:36,50 	someone looks touched.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS514 	01:35:26,00 --> 01:35:32,50 	someone stands and gently touches someone's brow.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS225 	00:58:42,00 --> 00:58:49,50 	he lowers a hand back into the pool and touches his fingertips to hers.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS449 	01:45:10,00 --> 01:45:15,50 	someone touches the boy's shoulder.
PROMETHEUS.srt 	PROMETHEUS_DVS82 	00:04:45,00 --> 00:04:54,50 	his neck rips apart, beheading him as he touches down.
PROMETHEUS.srt 	PROMETHEUS_DVS139 	00:08:19,00 --> 00:08:25,50 	he touches a long casket like pod.
PROMETHEUS.srt 	PROMETHEUS_DVS149 	00:09:31,00 --> 00:09:37,50 	now he touches a panel and doors open before him.
PROMETHEUS.srt 	PROMETHEUS_DVS267 	00:25:55,00 --> 00:26:02,50 	the jets bring up massive clouds of dust around the ship as it touches down.
PROMETHEUS.srt 	PROMETHEUS_DVS401 	00:40:12,00 --> 00:40:21,50 	the android tilts his head curiously and touches some spilling down the side with a gloved finger.
PROMETHEUS.srt 	PROMETHEUS_DVS465 	00:49:08,00 --> 00:49:15,50 	someone touches his palm to its top and a light glowing within dims.
PROMETHEUS.srt 	PROMETHEUS_DVS586 	01:05:07,00 --> 01:05:12,50 	she touches an intercom.
PROMETHEUS.srt 	PROMETHEUS_DVS954 	01:45:39,00 --> 01:45:44,50 	touching ground, it slides to a stop.
PROMETHEUS.srt 	PROMETHEUS_DVS1056 	01:55:30,00 --> 01:55:34,50 	the body touches down gently.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS251 	00:58:06,00 --> 00:58:22,50 	he sweeps one hand down someone's forehead, then touches his brow with both thumbs.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS648 	01:32:50,00 --> 01:32:58,50 	a golf club touches down beside it as someone prepares to hit the ball out of the rough.
SALT.srt 	SALT_DVS482 	01:23:03,00 --> 01:23:17,50 	a tiny smile touches someone's lips and he nods.
SANCTUM.srt 	SANCTUM_DVS421 	01:21:10,00 --> 01:21:22,50 	someone watches his son head to an eye-level cavity in the rock.reaching inside, someone touches a dark, muddy substance, then lifts his fingers to his nose.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS71 	00:05:18,00 --> 00:05:24,50 	she reaches down to touch her but her hand hovers inches away.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS553 	00:36:59,00 --> 00:37:05,50 	then shuts the fan and touches it to her chin.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS851 	00:56:33,00 --> 00:56:38,50 	her fingertips awkwardly touching her skin, as they trail down her bare throat,
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS948 	01:01:34,00 --> 01:01:41,50 	the father lays a hand on his son's head, then touches his face.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS247 	00:49:03,00 --> 00:49:08,50 	someone grimly touches the bull statue.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS363 	01:16:48,00 --> 01:16:58,50 	someone touches a plain-faced woman, giving her someone's likeness.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS376 	01:19:57,00 --> 01:20:01,50 	he touches his walking stick to his neck.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS377 	01:20:05,00 --> 01:20:19,50 	he slides someone's ring onto his cane and touches the jewel knob to the someone.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS447 	01:35:07,00 --> 01:35:25,50 	as he tenderly touches someone's forehead, his ring glows green.
SOUL_SURFER.srt 	SOUL_SURFER_DVS120 	00:39:46,00 --> 00:39:53,50 	the shark-bite survivor pensively touches the instrument then picks it up.
SPARKLE_2012.srt 	SPARKLE_2012_DVS302 	00:51:11,00 --> 00:51:17,50 	as someone follows sister upstairs, someone touches her temple.
SPARKLE_2012.srt 	SPARKLE_2012_DVS312 	00:52:06,00 --> 00:52:13,50 	with a soft smile, she touches someone's cheek and grabs her suitcases.
SPARKLE_2012.srt 	SPARKLE_2012_DVS357 	01:00:17,00 --> 01:00:23,50 	off stage, someone touches a cut on his forehead.
SUPER_8.srt 	SUPER_8_DVS146 	00:22:49,00 --> 00:22:56,50 	as someone touches the man his arm falls and a piece of paper drops from his hand.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS454 	01:06:23,00 --> 01:06:34,50 	someone steps to a bookcase and touches the top of a book.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS44 	00:10:34,00 --> 00:10:46,50 	someone in a negligee and robe, the woman kisses a younger man, then flirtatiously touches his coat lapel.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS48 	00:11:35,00 --> 00:11:42,50 	someone touches someone's leg.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS273 	00:52:28,00 --> 00:52:36,50 	as his english teacher collects the students papers, she stops at his desk and touches his shoulder.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS274 	00:51:45,00 --> 00:52:00,50 	behind the wheel, someone eyes the two-inch red someone on his neck in the rear-view mirror then touches it and winces.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS255 	00:40:18,00 --> 00:40:23,50 	someone touches him gently.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS883 	01:38:20,00 --> 01:38:27,50 	someone touches his cut.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1126 	01:58:00,00 --> 01:58:08,50 	someone touches a keycard to a panel and the door behind someone opens.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS199 	01:04:26,00 --> 01:04:32,50 	someone touches the tip of his hat and walks to his truck.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS273 	01:30:53,00 --> 01:30:59,50 	someone smiles again, genuinely touched by someone's declaration.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS274 	01:31:00,00 --> 01:31:06,50 	someone touches a finger to her lips and waves goodbye to someone.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS96 	00:31:07,00 --> 00:31:35,50 	he touches his forehead and pumps a fist.
THE_VOW.srt 	THE_VOW_DVS156 	00:16:24,00 --> 00:16:30,50 	he touches her arm, but she pulls it back with an alarmed look.
THE_VOW.srt 	THE_VOW_DVS166 	00:17:27,00 --> 00:17:34,50 	he touches the wedding band around his finger, then wrings his hands.
THE_WATCH.srt 	THE_WATCH_DVS195 	00:35:37,00 --> 00:35:42,50 	someone touches the slime with his fingers.
THE_WATCH.srt 	THE_WATCH_DVS197 	00:36:03,00 --> 00:36:07,50 	someone touches it.
THE_WATCH.srt 	THE_WATCH_DVS200 	00:36:24,00 --> 00:36:28,50 	someone crouches and touches it.
THE_WATCH.srt 	THE_WATCH_DVS284 	00:52:08,00 --> 00:52:11,50 	someone touches it.
THE_WATCH.srt 	THE_WATCH_DVS398 	01:12:10,00 --> 01:12:15,50 	someone touches his hand and forehead to someone's chest.
THE_WATCH.srt 	THE_WATCH_DVS435 	01:19:38,00 --> 01:19:43,50 	he kisses her forehead and touches her face.
THOR.srt 	THOR_DVS427 	01:08:25,00 --> 01:08:32,50 	someone pours the shots into the beers then touches his glass against someone's.
THOR.srt 	THOR_DVS690 	01:42:55,00 --> 01:43:01,50 	someone offers a small smile and touches someone's bare arm.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS110 	00:12:04,00 --> 00:12:16,50 	she flies up to a map of the world and touches her wand to a location over eastern europe.
TRUE_GRIT.srt 	TRUE_GRIT_DVS77 	00:22:36,00 --> 00:22:41,50 	he touches the brim of his hat, with a cigarette in his mouth.
TRUE_GRIT.srt 	TRUE_GRIT_DVS374 	01:17:49,00 --> 01:17:55,50 	he touches his hat, turns his horse, and rides off through the trees.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS287 	00:28:49,00 --> 00:28:53,50 	someone touches his earpiece.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS533 	01:11:43,00 --> 01:11:54,50 	she straightens with a wide grin and touches her forehead to his as they dance in a circle.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS188 	00:33:01,00 --> 00:33:13,50 	he touches his brow as he continues to review the expenses.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS640 	01:34:27,00 --> 01:34:34,50 	as someone steps away, our view drifts closer to the touching memorial
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS328 	00:47:49,00 --> 00:47:59,50 	now a plane touches down on a tarmac.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS584 	00:54:52,00 --> 00:54:56,50 	someone touches his temple.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS597 	00:55:47,00 --> 00:55:54,50 	as he touches his temple, someone and someone raise their binoculars again.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS624 	00:58:06,00 --> 00:58:12,50 	he touches the soldier's cheek.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS637 	00:58:51,00 --> 00:58:56,50 	with his eyes fixed on her, someone touches his temple.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS655 	01:00:05,00 --> 01:00:11,50 	gazing intently at someone, someone touches his temple.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS883 	01:20:42,00 --> 01:20:48,50 	someone shakes his head and someone touches his temple.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1028 	01:33:01,00 --> 01:33:06,50 	she touches his cheek.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1060 	01:35:37,00 --> 01:35:45,50 	someone touches his finger to his temple and closes his eye
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1065 	01:36:27,00 --> 01:36:33,50 	someone touches his temple and closes his eyes.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1102 	01:39:42,00 --> 01:39:46,50 	someone touches his temple.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1122 	01:40:51,00 --> 01:40:57,50 	someone touches his temple.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1208 	01:47:49,00 --> 01:47:56,50 	he touches someone's forehead, sending the mutant crashing into a mirror.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1218 	01:48:52,00 --> 01:49:00,50 	someone touches a girder someone holds between them.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1257 	01:53:37,00 --> 01:53:41,50 	he touches his temple.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS195 	00:37:23,00 --> 00:37:28,50 	she touches a figurine on someone's desk.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS279 	00:55:03,00 --> 00:55:09,50 	smiling at one another, they touch glasses then finished their drinks.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS366 	01:10:07,00 --> 01:10:12,50 	she touches his head, then his chest.
ZOMBIELAND.srt 	ZOMBIELAND_DVS465 	00:54:12,00 --> 00:54:16,50 	someone touches the wound.
ZOMBIELAND.srt 	ZOMBIELAND_DVS527 	01:01:40,00 --> 01:01:47,50 	soon they touch tummies and their heads nestle cheek to cheek.
